VK,HT,FT
16,286,-1
71,114,105
65,126,140
89,140,817
32,129,165
77,826,463
65,117,112
82,130,151
65,123,119
73,116,189
71,121,149
8,478,526
73,114,171
65,123,156
71,107,159
69,112,144
32,112,131
73,126,182
83,110,173
32,121,108
65,120,121
78,119,129
32,141,158
65,121,104
66,214,229
79,137,102
77,367,38
73,119,172
78,132,125
65,114,154
84,112,177
73,124,177
79,124,121
78,139,124
188,471,397
32,121,129
65,117,106
78,113,127
68,111,171
32,106,150
73,117,184
84,117,205
32,145,111
67,107,214
76,152,147
69,113,134
65,125,137
82,133,142
76,167,202
89,629,676
32,127,102
83,112,196
84,111,110
65,127,131
84,114,173
69,105,159
83,117,132
32,113,128
84,120,206
65,128,144
8,362,466
72,102,111
65,127,161
84,107,163
32,142,129
73,124,190
78,124,125
32,127,121
84,108,175
72,95,121
69,98,103
32,110,98
16,262,191
79,118,118
76,192,153
68,114,151
32,110,122
16,310,201
84,107,218
69,112,166
83,128,158
84,115,213
65,111,156
77,69,719
69,116,149
78,125,131
84,105,208
188,450,124
32,113,170
73,108,168
78,139,115
32,116,156
16,215,522
76,181,151
69,113,105
86,794,576
73,105,184
84,112,206
73,112,137
67,109,170
85,95,187
83,112,123
190,395,795
32,139,127
16,291,281
71,114,104
79,138,150
68,112,146
32,124,105
68,100,175
69,120,135
83,126,129
73,125,156
78,121,140
8,544,519
71,121,136
78,130,131
69,115,107
68,112,170
32,114,183
85,104,223
83,128,131
32,121,133
65,129,139
83,123,139
32,141,154
8,162,444
16,321,476
84,108,152
72,81,130
69,103,111
32,119,121
66,195,798
73,126,167
66,430,755
76,190,176
8,339,420
16,238,320
66,566,460
73,113,161
66,681,608
76,179,151
73,115,121
67,103,239
65,115,122
76,135,198
32,122,107
68,119,109
69,117,132
70,115,129
73,107,120
78,122,140
73,104,187
84,117,157
73,124,121
79,121,137
78,136,135
32,124,97
79,120,89
70,110,130
32,118,160
77,84,198
65,111,119
82,155,165
73,118,136
65,115,169
71,121,128
69,120,170
32,124,91
73,104,136
83,113,145
32,119,107
66,177,680
69,103,118
84,114,141
87,131,287
69,111,117
78,120,130
32,131,132
79,136,120
78,125,129
69,104,110
32,123,113
77,437,810
65,128,151
78,115,145
32,128,137
65,113,122
78,112,135
68,104,182
32,124,194
79,143,150
78,115,123
69,120,176
32,109,147
87,124,182
79,130,93
77,527,652
65,119,152
78,142,119
190,324,478
32,123,122
16,393,197
77,770,177
65,125,110
82,149,218
73,107,126
65,129,151
71,110,111
69,118,104
32,119,125
73,116,128
83,125,152
32,123,137
73,106,124
78,114,132
84,105,213
69,115,129
68,99,156
78,123,122
8,486,471
78,124,110
68,120,117
69,113,99
68,99,124
32,110,150
70,104,138
79,123,139
82,102,172
32,113,168
84,113,244
72,80,122
69,107,114
32,119,103
80,374,15
82,103,137
79,123,96
67,104,166
82,141,214
69,100,175
65,131,157
84,112,209
73,105,138
79,122,124
78,130,128
32,125,167
79,120,110
70,112,137
32,138,167
84,121,152
72,89,121
69,106,111
32,115,157
79,118,113
8,274,511
80,887,451
69,111,111
79,125,152
80,697,907
76,164,168
69,114,181
188,952,317
32,141,113
65,130,115
78,123,119
68,114,176
32,118,128
71,111,127
8,175,475
72,85,152
79,141,118
