VK,HT,FT
16,695,-1
73,85,174
32,111,157
65,109,147
77,429,756
32,99,76
65,83,190
71,432,432
65,96,288
73,82,70
78,429,64
83,755,879
84,95,697
32,95,76
71,382,359
65,99,94
89,699,519
32,100,103
77,724,538
65,96,111
82,797,467
73,89,135
65,76,191
71,898,805
69,122,116
32,100,147
66,142,644
69,119,102
67,330,589
65,99,245
85,546,785
83,113,271
69,106,85
32,86,51
73,110,161
84,449,289
32,85,106
65,94,110
8,829,793
73,76,136
83,585,274
32,98,82
78,521,690
79,736,808
84,242,879
32,85,131
78,618,805
65,78,0
84,547,854
85,508,12
82,188,374
65,69,57
76,325,643
190,180,934
32,81,112
16,613,833
66,947,856
73,75,132
79,112,756
76,553,124
79,642,208
71,664,64
89,467,152
32,103,96
72,114,47
65,79,225
83,344,95
32,106,141
68,964,235
69,58,127
84,452,302
69,120,165
82,37,766
77,623,760
73,101,194
78,602,669
69,109,67
68,728,888
32,95,170
84,101,836
72,511,679
65,95,110
84,166,303
32,105,89
65,84,161
32,101,156
77,446,18
65,101,148
76,398,436
69,107,100
32,106,119
65,65,298
78,962,557
68,981,546
32,92,133
70,231,912
69,129,53
77,955,72
65,86,143
76,782,253
32,88,152
65,44,178
82,897,769
69,84,67
32,95,95
8,319,827
69,98,96
32,82,54
65,89,187
82,153,744
69,115,121
32,91,28
82,884,373
69,122,124
81,107,258
85,247,43
73,85,115
82,499,922
69,139,87
68,719,251
32,105,133
84,228,190
79,800,174
32,122,177
77,375,406
65,87,124
75,292,197
69,112,122
32,96,68
65,113,245
32,105,112
66,397,874
65,80,82
66,394,30
89,5,71
32,72,98
65,74,249
78,577,286
68,614,611
32,117,64
65,68,20
32,110,121
82,929,58
69,110,123
65,105,52
76,166,835
32,86,106
82,607,811
69,109,127
76,907,554
65,87,27
84,123,748
73,68,102
79,540,444
78,210,52
83,65,962
72,833,380
73,80,150
80,411,84
191,81,287
8,859,768
190,369,29
32,101,87
16,34,198
73,94,97
32,115,126
84,215,7
72,585,573
73,70,141
78,94,436
75,561,617
32,114,147
84,90,159
72,923,165
65,68,176
84,856,730
32,96,131
87,832,599
72,193,425
73,110,187
76,825,947
69,93,108
32,101,135
71,564,175
65,74,27
89,436,663
32,74,93
80,632,795
69,102,79
79,271,543
80,63,656
76,29,818
69,118,162
32,88,85
83,598,925
72,59,895
79,567,656
85,13,500
76,324,644
68,176,66
32,88,162
66,688,757
69,117,81
32,104,111
65,118,158
76,870,72
79,220,512
87,737,823
69,121,85
68,438,961
32,81,185
84,209,103
79,515,957
32,101,130
76,660,892
73,71,107
86,11,116
69,108,34
32,125,95
84,239,264
79,126,173
71,756,929
69,88,89
84,745,45
72,784,11
69,123,86
82,378,379
32,104,184
65,91,205
78,607,186
68,97,302
32,107,133
76,404,310
86,43,459
79,343,364
8,759,701
79,245,922
86,269,684
69,117,87
32,95,176
69,125,105
65,114,166
67,520,318
72,270,234
32,100,120
79,357,218
84,759,256
72,688,69
69,97,136
82,881,935
188,765,849
32,125,121
84,837,95
72,447,578
69,97,133
89,319,87
32,87,134
83,110,441
72,406,340
79,412,461
85,404,19
76,323,671
68,302,660
32,108,114
78,390,852
79,61,158
84,336,249
32,107,204
66,476,462
69,134,81
32,98,136
65,102,107
66,351,607
76,881,853
69,95,128
32,108,60
84,438,735
79,52,83
32,110,64
71,87,682
69,88,118
84,978,107
32,98,135
77,826,263
65,82,75
82,91,64
73,63,71
69,107,73
68,847,887
190,696,505
32,100,98
16,449,898
77,672,885
65,93,112
82,633,905
73,86,109
65,80,219
71,767,729
69,119,101
32,117,136
73,91,192
83,916,102
32,99,153
65,76,122
32,88,99
82,262,89
69,113,52
76,343,491
73,81,72
71,156,482
73,95,193
79,135,582
85,956,744
83,291,640
32,110,79
84,449,372
72,160,739
73,84,171
78,123,781
71,637,682
188,731,589
32,103,80
65,61,92
78,856,668
68,770,864
32,75,98
73,97,180
70,33,995
32,102,99
82,988,622
69,86,105
76,818,492
73,77,237
71,21,597
73,77,170
79,191,559
78,298,72
32,104,150
73,92,24
83,51,454
32,98,92
65,106,135
71,635,659
65,102,214
73,77,9
78,460,488
83,171,996
84,934,405
32,91,138
72,956,508
79,29,24
77,962,167
79,181,262
83,336,51
69,132,135
88,873,451
89,652,645
85,251,276
65,73,121
76,161,382
73,78,65
84,49,671
89,595,235
188,654,950
8,804,463
85,523,298
65,61,156
76,114,564
73,83,162
84,885,317
89,338,317
188,762,662
32,108,71
84,67,183
72,518,687
65,74,153
84,622,980
32,77,84
73,96,177
83,938,947
32,101,58
79,810,508
75,824,343
190,621,152
32,104,67
16,818,813
77,173,388
65,94,192
82,61,438
73,105,146
65,82,247
71,180,977
69,117,112
32,130,108
72,618,7
65,81,124
83,420,305
32,116,118
65,86,77
32,90,101
76,594,480
79,48,722
78,490,387
71,689,705
32,108,107
83,813,491
84,234,134
65,90,173
78,954,313
68,653,557
73,121,114
78,671,566
71,446,166
32,105,84
84,900,109
82,324,392
65,70,191
83,289,7
73,106,89
84,326,747
73,86,182
79,383,253
78,884,216
32,107,104
8,645,942
68,301,619
73,93,132
84,632,148
73,83,115
79,494,907
78,344,669
32,89,157
73,71,75
78,833,164
32,91,89
79,877,895
85,757,946
82,115,955
32,115,54
87,400,903
79,379,440
82,861,925
76,618,847
68,641,362
188,109,366
32,112,27
65,125,115
78,44,319
68,12,150
32,118,94
84,891,462
79,507,809
32,104,146
67,227,884
72,712,548
65,70,67
78,995,304
71,42,845
69,103,131
32,113,63
73,68,69
84,348,461
32,98,96
87,420,324
79,657,226
85,988,646
76,534,245
68,306,248
32,109,146
66,203,686
69,129,109
32,78,33
84,525,93
79,683,422
32,81,141
73,92,126
71,534,258
78,728,638
79,475,582
82,111,858
69,116,102
32,98,15
84,901,984
72,123,33
69,111,26
32,90,100
87,310,470
73,90,148
83,676,367
72,349,45
69,108,130
83,866,457
32,110,106
79,894,88
70,561,248
32,86,170
65,62,57
76,838,513
32,96,75
79,976,236
70,309,502
32,84,113
84,990,333
72,704,326
69,91,24
32,93,99
80,480,594
69,112,71
79,630,198
80,302,58
76,476,760
69,97,33
32,112,91
87,964,807
72,978,793
79,241,270
32,80,105
72,264,596
65,85,168
86,678,373
69,137,53
32,122,56
66,838,486
69,102,82
78,50,649
32,79,126
77,941,582
65,97,221
82,875,180
73,106,63
69,83,94
68,815,777
32,110,108
66,266,814
69,92,113
70,675,298
79,303,20
82,781,209
69,104,29
32,122,153
65,79,148
78,297,492
68,832,112
32,120,145
86,805,438
65,121,158
76,49,975
85,117,806
69,76,111
32,97,72
84,148,636
72,820,408
69,121,78
32,112,161
83,777,447
67,3,675
78,500,684
8,418,36
65,72,119
78,605,276
67,505,802
84,669,873
73,95,160
84,357,761
89,180,130
32,123,114
79,484,870
70,393,925
32,96,144
84,175,262
72,765,447
69,109,103
73,78,198
82,79,598
32,90,78
77,981,554
65,107,85
82,697,125
73,89,144
65,97,117
71,90,519
69,118,128
190,278,994
