VK,HT,FT
16,260,-1
71,142,163
65,140,320
89,132,41
32,14,147
77,15,193
65,30,128
82,229,155
73,99,513
65,99,230
71,149,83
69,131,174
32,115,107
83,115,619
72,124,131
79,124,187
85,163,352
76,236,111
68,92,139
32,133,141
66,108,264
69,108,159
32,147,235
65,17,163
67,100,195
69,105,231
80,164,219
84,87,131
69,110,164
68,33,227
32,99,145
65,116,496
83,139,267
32,115,179
77,164,303
79,94,163
82,129,202
65,131,253
76,244,226
32,123,307
65,76,211
78,125,145
68,124,131
32,147,191
72,140,183
69,116,163
78,116,152
67,75,219
69,124,299
32,132,195
76,205,176
69,116,167
71,131,185
65,116,187
76,244,155
73,123,167
90,39,602
69,140,131
68,98,235
32,108,99
70,114,208
79,155,179
82,108,46
32,108,324
78,148,131
85,137,131
77,147,155
69,131,336
82,25,514
79,132,158
85,164,149
83,58,131
32,64,627
82,116,131
69,108,163
65,131,87
83,101,224
79,38,163
78,116,212
83,114,123
188,124,847
32,124,164
83,93,300
69,131,139
86,148,219
69,140,117
82,124,98
65,135,595
76,162,125
32,100,223
79,148,235
70,7,203
32,154,211
87,94,263
72,131,179
73,95,171
67,123,163
72,131,150
32,115,163
87,108,229
73,48,99
76,105,195
32,108,228
66,104,267
69,107,191
32,132,427
83,120,259
65,139,179
84,116,139
69,112,130
68,92,583
8,181,530
84,108,35
65,100,251
84,124,135
69,123,75
68,91,41
32,100,198
72,147,744
69,116,155
82,132,119
69,124,129
190,92,513
32,107,478
16,284,78
84,68,888
72,128,737
82,97,179
79,210,99
85,71,139
71,116,146
72,92,163
79,165,131
85,10,131
84,100,651
32,124,175
72,13,743
73,106,191
83,130,268
84,84,114
79,129,363
82,83,203
89,107,187
188,168,146
32,115,168
77,146,251
65,109,147
78,141,130
89,100,155
32,126,147
68,116,177
73,112,179
83,135,195
65,124,259
68,100,195
86,135,275
65,131,171
78,140,155
84,99,155
69,132,195
8,75,880
65,91,179
71,148,173
69,124,170
68,89,243
32,115,234
80,148,95
8,59,443
65,131,179
78,140,155
68,76,147
32,100,139
83,159,408
79,138,74
67,99,203
73,123,265
65,128,195
76,252,93
89,124,307
32,163,194
77,134,200
65,147,179
82,239,195
71,74,85
73,100,171
78,124,188
65,179,227
76,244,155
73,108,132
90,223,746
69,124,147
68,122,222
32,102,210
71,93,360
82,83,299
85,148,155
80,164,267
8,89,1164
79,139,155
85,148,139
80,108,171
83,171,123
32,123,171
72,148,187
65,104,179
68,139,143
32,115,137
69,75,163
88,431,900
73,116,163
83,100,202
84,115,147
69,75,45
68,151,235
32,89,611
65,108,139
78,115,179
68,52,208
32,147,218
66,132,112
69,107,180
78,116,203
8,76,467
69,116,163
78,111,293
32,179,131
80,107,139
69,107,203
82,116,469
83,156,105
69,115,139
67,115,244
85,163,179
84,108,147
69,110,139
68,90,270
32,100,140
66,91,235
89,147,187
32,138,217
84,115,172
72,118,103
69,116,163
32,108,530
76,153,130
65,84,123
87,83,220
188,92,849
32,124,177
68,123,257
69,124,171
32,100,182
70,107,139
65,107,211
67,84,275
84,115,147
79,99,163
32,116,137
65,108,131
78,99,225
68,94,154
32,148,259
68,115,547
69,107,187
32,116,195
74,653,132
85,123,197
82,91,299
69,108,123
190,100,204
32,115,360
16,254,131
68,150,147
69,108,171
83,155,365
80,74,162
73,86,179
84,108,187
69,132,196
32,142,155
84,91,178
72,108,154
73,139,171
83,113,236
32,107,174
76,100,285
79,108,379
78,148,104
71,116,132
83,68,267
84,95,140
65,124,331
78,116,123
68,92,193
73,73,187
78,139,211
71,99,78
32,133,707
84,126,139
82,124,115
65,124,595
68,100,254
73,71,147
84,77,147
73,196,81
79,108,170
78,124,215
188,96,262
32,124,183
77,163,147
65,125,313
78,139,139
32,115,170
8,154,469
89,123,79
32,87,851
79,148,275
70,97,203
32,92,147
84,100,203
72,92,158
69,124,155
83,156,349
69,116,382
32,115,391
71,116,164
82,116,219
79,242,163
85,55,96
80,236,658
83,131,227
32,100,211
72,124,191
65,120,179
86,115,235
69,116,168
32,100,323
83,79,121
69,116,235
78,65,181
32,84,131
84,92,186
72,112,121
69,124,163
73,132,151
82,91,219
32,124,203
82,101,203
73,124,287
71,148,187
72,148,187
84,99,170
83,119,247
32,96,78
65,107,168
67,134,290
69,98,195
80,193,298
84,76,335
69,128,169
68,144,558
188,132,187
32,98,194
76,107,130
69,104,155
71,92,147
65,116,193
76,123,108
73,108,170
90,868,254
69,140,203
68,84,251
188,139,411
32,135,68
65,123,188
78,125,123
68,49,163
32,108,155
73,147,266
77,139,283
80,156,171
82,108,115
79,262,99
86,124,287
69,116,75
68,115,211
32,91,220
79,148,228
86,116,106
69,140,176
82,123,110
32,130,203
84,114,123
72,84,179
