VK,HT,FT
16,759,-1
71,104,108
65,111,0
89,86,153
32,93,401
77,92,150
65,75,127
82,780,231
73,180,279
65,90,315
71,79,533
69,101,0
32,81,116
73,70,204
83,72,94
32,75,168
78,82,269
79,165,258
84,75,159
32,103,117
87,89,108
72,53,160
65,142,40
84,41,122
32,63,0
16,314,114
71,94,80
79,0,274
68,27,314
32,65,369
78,67,286
84,71,173
69,57,0
78,66,358
8,61,695
73,226,371
78,52,130
84,71,80
69,121,73
78,80,318
68,59,421
69,53,389
68,72,225
32,56,146
87,62,753
72,77,319
69,90,152
78,69,144
32,67,179
72,82,95
69,103,94
32,89,192
8,1340,543
67,43,113
82,0,108
69,31,251
8,1113,752
32,77,0
67,49,211
84,72,141
8,350,802
82,0,49
69,111,516
65,97,236
84,57,90
69,73,0
68,51,189
32,42,205
16,285,224
222,77,0
77,74,69
65,139,258
78,57,113
190,67,568
16,178,471
222,80,263
32,87,386
16,291,133
71,122,74
79,25,243
68,76,119
32,70,79
67,78,276
82,40,311
84,94,47
69,65,315
65,68,250
8,0,774
69,21,74
65,67,182
84,83,316
69,76,283
68,71,168
32,65,130
77,89,64
65,91,262
78,71,109
32,91,0
65,79,7
78,61,117
68,56,147
32,71,296
87,73,286
79,90,327
77,70,206
65,84,200
78,44,111
32,70,291
83,80,514
79,48,93
32,107,64
84,60,201
72,36,191
65,88,104
84,59,0
32,118,443
84,88,352
72,80,134
69,70,50
89,76,110
32,59,151
67,76,18
79,102,198
85,70,127
76,0,428
68,90,69
32,67,0
66,47,161
69,63,157
32,76,73
67,71,350
79,84,433
77,79,253
80,45,0
65,182,316
78,42,110
73,255,166
79,80,93
78,59,88
83,76,9
32,69,29
65,73,263
78,51,119
68,44,89
32,83,101
77,65,233
65,80,109
84,86,242
69,94,39
83,74,252
32,49,240
70,62,127
79,90,17
82,21,189
32,87,106
79,66,194
78,69,238
69,63,188
32,85,159
65,96,296
78,49,92
79,160,218
84,38,137
72,63,216
69,65,116
82,70,0
190,59,165
32,86,456
16,79,96
84,70,307
72,78,141
69,62,119
89,75,83
32,73,102
87,56,8
69,33,267
82,63,155
69,88,158
32,62,367
67,91,170
82,212,40
69,39,278
65,68,208
84,91,132
69,88,134
68,69,205
32,97,147
84,49,0
79,100,280
32,57,98
66,49,210
69,68,117
32,93,137
68,69,63
73,58,64
70,11,125
69,0,0
82,82,96
69,73,60
78,78,191
84,75,45
32,63,194
73,54,160
78,83,109
32,93,54
84,66,207
72,89,15
69,74,141
32,129,138
87,44,217
65,84,168
89,67,67
32,72,23
84,47,166
72,54,234
69,67,107
32,149,185
8,0,524
89,74,238
32,64,127
76,65,0
79,50,237
75,51,703
188,68,503
32,63,78
70,58,76
69,101,172
76,63,623
188,49,862
32,83,369
82,16,356
69,51,120
65,60,235
67,90,401
84,80,205
32,75,265
65,58,69
78,60,112
68,59,112
32,78,0
84,40,110
72,67,192
73,102,137
78,40,159
75,59,580
32,45,217
83,75,354
79,67,204
32,63,97
84,33,132
72,75,0
65,106,63
84,97,215
89,68,170
8,537,307
32,51,0
84,52,123
72,60,85
69,62,98
89,68,97
32,48,76
67,94,60
79,58,215
85,39,58
68,38,157
76,0,246
8,379,522
76,89,254
68,64,422
32,64,117
67,74,449
79,70,175
77,111,285
76,54,198
8,782,213
80,106,338
76,93,193
69,80,30
77,61,310
69,92,102
78,54,244
84,74,245
32,61,419
69,57,303
65,89,140
67,82,629
72,40,109
79,41,120
84,74,116
72,33,31
69,103,75
82,70,153
190,44,97
32,89,835
16,9,137
69,54,140
86,47,118
69,155,145
78,60,243
32,128,164
73,62,140
70,151,340
32,111,142
8,1441,360
32,77,209
79,60,144
84,109,49
72,59,38
69,74,150
82,99,104
190,65,332
32,80,155
16,133,143
69,76,503
86,35,149
69,136,91
78,74,0
32,61,0
73,43,260
70,108,0
32,85,134
16,441,42
71,63,88
79,0,218
68,92,0
32,81,0
73,34,271
83,48,113
32,53,78
84,61,301
65,126,339
75,60,200
69,67,77
8,343,395
76,57,124
69,56,234
70,165,451
84,71,547
32,84,455
79,57,166
85,38,143
84,70,127
32,68,20
79,75,126
70,0,137
32,85,94
84,69,55
72,68,68
69,70,149
32,102,225
69,88,161
81,106,369
85,91,75
65,57,534
84,58,128
73,0,126
79,13,0
78,53,98
188,36,60
32,63,0
77,60,496
65,89,115
78,72,91
32,78,349
65,99,299
78,58,114
32,101,362
8,1279,473
68,83,520
32,67,187
87,57,202
79,90,270
77,61,207
65,167,86
78,64,120
32,30,341
65,85,0
82,150,186
69,88,174
32,68,38
77,70,70
65,78,218
68,66,69
69,81,87
32,51,173
84,69,262
79,43,0
32,96,78
70,60,86
73,236,195
84,72,42
32,62,0
84,74,207
79,90,73
71,63,242
69,63,161
84,56,349
72,61,139
69,29,113
82,98,209
32,82,39
80,86,221
72,70,226
89,58,130
83,88,79
73,68,0
67,63,169
65,67,146
76,0,218
89,88,142
190,74,77
32,85,639
16,86,40
66,61,180
85,84,187
84,53,541
32,86,621
84,87,516
72,56,182
69,95,114
89,62,105
32,69,117
65,102,287
76,268,232
83,90,319
32,88,283
85,80,108
83,75,107
69,50,143
32,80,0
68,78,149
73,51,0
70,0,239
69,68,556
82,55,7
69,84,115
78,70,20
84,60,245
32,97,554
80,21,0
65,122,40
82,426,243
84,53,282
83,81,157
32,85,161
79,73,166
70,115,108
32,81,92
84,63,247
72,74,64
69,64,71
73,150,329
82,98,254
32,61,176
66,57,200
82,252,282
65,165,328
73,0,246
78,66,169
83,96,1
32,58,213
84,52,113
79,72,70
32,65,67
83,88,304
79,74,205
76,171,282
69,74,167
32,102,386
8,285,240
86,57,197
69,102,108
32,86,0
80,48,353
82,61,0
79,41,252
66,61,163
76,16,289
69,66,274
77,68,159
83,94,62
32,59,132
65,85,0
78,64,96
68,49,90
32,84,310
69,60,272
86,104,119
69,33,99
78,83,222
32,90,63
82,152,265
65,12,20
73,152,313
83,76,94
69,82,144
32,87,89
67,74,403
72,63,181
73,48,122
76,267,221
68,114,375
82,73,25
69,91,89
78,58,0
190,33,0
32,77,583
16,187,203
80,65,613
65,154,111
82,111,130
69,64,360
78,67,390
84,56,215
73,0,0
78,25,182
71,73,380
32,95,270
73,59,161
78,49,190
86,73,146
79,19,93
76,138,0
86,72,167
69,93,141
83,94,101
32,78,278
76,53,379
79,10,273
86,67,295
69,56,160
188,42,0
32,115,599
87,81,794
72,68,21
67,62,125
8,498,58
73,30,109
67,53,65
72,93,89
32,95,236
84,63,57
89,46,210
8,300,316
65,109,32
32,96,157
87,54,279
79,0,129
77,54,2
65,0,67
78,66,122
32,46,370
84,64,182
89,70,137
80,99,77
73,94,404
67,62,127
65,68,174
76,0,0
89,80,0
32,59,434
69,89,795
88,813,619
72,46,79
73,437,127
66,85,444
73,224,127
84,63,173
83,72,59
32,81,238
69,67,550
65,61,136
83,72,0
73,0,5
69,80,169
82,82,76
32,67,0
84,81,16
72,49,250
65,109,85
78,36,78
32,106,185
65,132,195
32,83,47
77,67,104
65,74,100
78,57,91
59,329,464
32,73,464
80,62,0
65,88,20
82,132,178
69,78,278
78,58,276
84,62,137
73,43,70
78,108,135
71,80,444
32,90,0
73,44,70
78,48,170
86,0,181
79,109,186
76,95,100
32,67,0
69,73,253
8,981,434
76,59,116
86,45,180
69,34,88
83,84,416
32,79,0
68,89,93
73,60,235
83,90,112
73,100,196
8,1121,457
83,74,0
67,54,204
73,0,4
80,113,69
76,113,0
73,16,146
8,62,636
67,56,335
73,80,176
80,74,213
76,67,152
73,224,158
78,74,190
69,38,130
188,53,505
32,64,360
87,62,407
72,45,244
73,0,134
67,71,182
72,51,120
32,114,0
65,107,410
32,89,93
77,60,410
65,87,47
78,66,130
32,50,495
84,87,158
89,88,290
80,85,252
73,95,0
67,42,147
65,82,189
76,407,227
89,49,271
38,460,460
37,182,578
79,78,149
40,883,21
39,355,821
40,822,115
35,226,292
32,88,81
69,53,0
88,330,885
72,71,44
73,63,128
84,60,209
8,0,641
73,31,371
66,56,238
73,59,150
84,61,173
83,64,236
32,97,9
69,70,131
65,65,197
83,84,65
73,162,366
69,52,151
82,85,147
32,71,92
84,94,382
72,51,0
65,88,139
78,36,110
32,97,121
65,104,403
32,90,101
87,76,224
79,53,140
77,104,233
65,185,70
78,64,116
190,57,971
32,56,753
16,66,237
78,54,130
65,109,75
84,68,461
85,65,86
82,256,21
69,65,136
32,95,221
87,64,589
65,87,139
78,42,130
84,73,129
83,68,10
32,91,174
73,80,199
84,69,122
32,79,343
84,71,37
72,54,150
65,107,99
84,63,94
32,72,64
87,61,0
65,116,186
89,70,128
32,64,142
83,79,91
32,74,228
