VK,HT,FT
16,481,-1
71,849,914
65,569,714
89,878,487
32,8,93
16,202,25
77,756,621
65,25,832
82,97,803
8,659,303
77,510,280
65,259,649
82,691,988
73,421,370
65,121,505
71,491,274
69,127,93
32,44,79
83,842,441
72,458,948
79,488,24
85,561,520
76,815,11
68,881,378
32,120,80
66,933,744
69,119,210
32,88,154
76,174,793
69,107,73
71,807,197
65,180,48
76,298,423
73,645,346
90,301,95
69,120,220
68,892,442
32,116,65
73,34,446
78,288,103
32,113,206
84,283,102
72,9,708
69,126,74
32,104,169
16,80,690
85,316,967
78,446,324
73,186,75
84,124,686
69,79,33
68,134,389
32,113,106
83,992,780
8,516,195
16,927,857
83,632,300
84,683,77
65,867,421
84,509,62
69,132,26
83,407,866
190,805,982
32,129,84
16,914,906
84,847,931
72,789,235
73,536,569
83,142,802
32,112,80
73,642,737
83,571,609
32,58,111
66,408,514
69,123,119
67,111,348
65,521,659
85,496,754
83,342,487
69,132,41
32,117,85
70,517,251
85,361,245
78,783,411
68,107,864
65,416,680
77,499,645
69,130,72
78,231,279
84,585,983
65,483,109
76,385,591
89,531,418
188,338,143
32,88,128
69,111,32
86,438,84
69,104,68
82,980,547
89,823,311
79,223,785
78,193,846
69,104,135
32,89,83
83,65,378
72,287,406
79,748,479
85,183,696
76,6,581
68,330,680
32,112,79
66,35,938
69,68,101
32,112,109
84,304,367
82,518,562
69,82,107
65,202,305
84,773,204
69,86,197
68,392,202
32,104,31
69,108,72
81,536,703
85,537,933
65,559,625
76,913,17
89,282,983
32,88,110
65,498,774
78,166,901
68,298,577
32,86,148
71,524,837
73,8,462
86,905,461
69,148,80
78,194,446
32,124,190
69,120,67
81,305,749
85,298,380
65,87,207
76,931,391
32,116,80
82,121,381
73,672,176
71,226,907
72,339,460
84,673,743
83,520,427
190,793,976
32,87,104
16,121,921
84,979,647
73,3,677
8,6,223
72,224,695
73,137,466
83,220,984
32,114,126
73,677,468
83,765,741
32,112,85
69,131,19
83,75,543
80,547,985
69,134,96
67,231,184
73,260,244
65,826,809
76,351,591
89,477,422
32,93,92
84,494,724
82,71,670
85,395,168
69,33,81
32,6,95
66,321,78
69,87,154
67,329,797
65,956,743
85,473,6
83,538,713
69,64,102
32,88,142
79,859,767
78,629,485
69,86,80
222,359,854
83,264,917
32,112,209
83,933,452
69,152,79
67,294,111
8,628,55
88,526,255
85,647,919
65,848,302
76,643,741
32,113,111
79,375,592
82,672,59
73,550,255
69,104,76
78,684,430
84,652,254
65,746,745
84,591,242
73,314,444
79,320,810
78,146,419
32,112,85
73,97,668
83,617,655
32,131,86
65,299,404
8,712,815
32,104,92
8,272,432
32,92,104
73,389,789
83,498,314
32,113,111
76,308,824
65,625,704
82,895,971
71,937,450
69,127,175
76,580,863
89,309,511
32,11,121
68,509,890
69,112,65
84,535,515
69,115,108
82,512,451
77,780,649
73,652,764
78,530,386
69,158,42
68,880,918
32,104,106
65,663,355
84,974,198
32,88,79
84,910,806
72,1,503
69,66,96
32,88,91
84,688,740
73,425,839
77,209,969
69,134,94
32,96,75
79,367,673
70,949,667
32,25,79
66,613,79
82,866,879
73,854,900
84,667,391
72,842,82
8,608,140
85,846,549
82,55,356
8,893,941
73,390,723
82,744,785
84,551,634
72,501,950
188,650,643
32,86,80
65,39,289
78,451,338
68,15,212
32,112,75
65,572,968
78,252,97
32,86,128
73,303,482
78,943,8
68,817,288
73,14,581
86,600,456
73,550,427
68,931,250
85,553,823
65,429,284
76,49,276
32,112,122
72,601,830
83,67,723
8,393,362
65,338,566
83,10,155
32,113,122
76,944,954
73,874,204
84,707,18
76,186,997
69,96,102
32,114,86
84,934,454
79,465,739
32,11,65
78,613,781
79,125,109
32,112,111
84,664,132
8,29,261
67,41,774
79,292,484
78,840,295
84,813,535
82,997,810
79,71,666
76,601,367
32,112,106
79,438,459
86,383,615
69,205,73
82,629,933
32,96,99
73,784,837
84,312,598
190,596,463
32,113,104
16,678,13
84,332,602
72,634,93
85,997,795
83,88,84
188,64,157
32,104,105
73,419,616
84,120,241
32,112,79
73,309,305
83,969,380
32,24,100
70,131,419
85,877,394
78,635,352
68,585,630
65,274,450
77,699,56
69,112,125
78,311,604
84,479,531
76,735,192
89,519,404
32,92,80
8,167,990
84,942,137
65,908,122
76,212,776
89,363,761
32,87,79
8,816,739
76,908,725
89,6,508
32,88,128
87,216,895
82,317,217
79,854,492
78,893,619
71,676,901
32,112,195
84,310,5
79,653,417
32,126,66
68,171,379
69,199,186
78,502,208
89,102,374
32,112,111
83,329,965
79,489,760
77,242,160
69,166,76
79,585,985
78,820,107
69,113,100
32,113,79
84,315,679
72,968,668
69,205,89
32,104,79
82,512,176
73,677,226
71,418,985
72,803,629
84,75,639
32,131,83
84,687,854
79,732,786
32,112,120
77,669,742
65,384,804
82,458,674
89,104,827
32,88,79
65,676,543
32,120,115
80,138,551
65,364,967
82,269,507
84,72,512
78,579,372
69,164,21
82,465,809
32,106,109
84,331,268
72,178,950
65,499,399
84,494,794
32,104,63
8,267,205
32,88,87
84,733,284
72,300,787
69,86,93
89,603,959
32,104,128
71,221,814
69,122,80
78,184,131
85,668,496
73,952,299
78,889,987
76,53,978
69,84,73
8,408,718
89,345,472
32,7,122
8,791,441
69,99,41
76,265,251
89,650,757
32,84,86
76,889,10
79,468,642
86,679,679
69,110,73
32,94,79
65,688,867
78,747,62
68,143,504
32,130,71
67,151,585
65,831,119
82,624,813
69,85,100
32,100,162
70,288,962
79,445,420
82,149,185
32,26,101
66,921,733
65,581,667
83,233,619
69,135,73
68,41,372
32,135,79
79,526,570
78,257,443
32,114,111
8,60,689
83,320,788
73,174,248
77,529,81
80,520,829
76,365,111
89,597,547
32,112,79
66,356,324
69,86,101
67,167,627
65,750,122
85,194,509
83,466,212
69,90,174
32,112,128
84,627,820
69,208,98
72,912,581
8,189,598
72,427,314
69,126,133
89,187,292
32,109,111
72,894,142
65,500,314
80,752,235
69,133,173
78,624,790
32,112,77
84,79,309
79,552,637
32,88,80
66,565,408
69,32,22
32,24,66
73,846,863
78,489,999
32,88,123
84,532,521
72,592,979
69,104,94
32,88,113
77,340,482
73,92,515
78,501,468
79,890,857
82,816,411
73,30,823
84,894,747
89,177,528
32,104,92
73,85,371
78,361,690
32,104,141
84,499,697
69,85,66
82,790,702
77,389,989
83,376,201
32,51,111
79,653,98
70,789,539
32,112,80
83,30,934
69,97,102
88,908,335
85,507,477
65,267,310
76,453,640
32,106,89
79,676,617
82,577,841
73,661,779
69,86,87
78,671,660
84,331,467
65,353,759
76,358,823
8,988,731
84,484,173
73,646,578
79,260,510
78,758,43
190,886,908
32,104,49
16,7,450
65,3,977
76,859,81
79,194,915
87,438,416
73,712,928
78,31,32
71,118,118
32,112,156
71,815,908
65,781,936
89,907,914
83,817,60
32,111,80
84,911,496
79,823,79
