VK,HT,FT
16,119,-1
71,54,71
84,103,124
72,127,111
69,106,114
32,50,162
87,88,481
8,385,258
16,191,106
84,238,128
72,72,88
69,4,79
32,64,70
87,110,101
79,30,180
82,87,117
68,92,63
32,92,107
77,123,172
83,134,166
8,346,420
65,73,552
82,99,89
73,150,261
65,108,93
71,111,127
69,160,81
83,141,94
8,305,421
32,86,162
65,125,99
76,127,113
87,94,96
65,144,46
8,184,494
72,86,103
65,125,78
83,130,115
32,112,162
65,147,113
76,268,128
87,94,91
65,127,63
89,104,116
83,95,94
32,75,122
77,143,158
69,108,72
8,166,422
65,158,125
78,128,103
84,89,98
32,43,97
84,95,131
72,117,104
69,39,89
32,105,126
85,210,66
78,213,147
73,128,312
79,161,80
78,139,79
32,120,146
79,157,112
70,113,98
32,64,125
79,142,133
78,39,79
69,86,71
32,63,195
77,119,156
65,125,86
78,119,30
32,105,119
65,145,70
78,110,98
68,103,31
32,103,79
79,104,127
78,252,71
69,44,147
32,57,106
87,144,101
79,96,120
77,137,177
65,110,93
78,114,99
188,96,165
32,72,108
85,88,19
83,117,132
85,121,118
65,118,102
76,147,207
89,107,112
32,52,35
73,119,91
78,118,61
32,43,209
65,126,141
32,65,113
82,89,111
69,152,70
76,103,113
73,144,88
71,79,54
73,228,128
79,160,69
85,265,18
83,92,101
32,64,150
67,117,242
69,73,102
82,95,81
69,119,87
77,142,173
78,142,113
8,47,246
79,138,76
78,106,179
89,125,95
188,96,191
32,70,74
66,65,123
85,88,163
8,9,241
190,3,156
32,63,96
16,270,443
73,127,367
78,136,79
32,50,112
77,131,64
79,206,112
68,111,118
69,111,254
82,123,72
78,108,183
32,104,229
84,89,81
73,49,127
77,99,175
69,97,88
83,102,20
32,72,129
77,70,211
65,122,180
82,318,103
73,155,304
65,115,85
71,105,110
69,120,34
32,80,216
72,67,155
65,127,114
83,93,179
32,67,103
65,126,85
76,185,74
83,71,78
79,157,89
32,95,82
66,65,36
69,127,64
67,95,284
79,125,125
77,129,94
69,129,74
32,56,135
80,81,293
65,135,62
82,89,120
84,118,111
32,78,121
79,142,58
85,210,78
8,558,783
70,95,99
32,57,78
79,142,158
85,90,87
82,231,81
32,74,78
67,75,171
8,537,285
32,89,134
77,123,155
79,96,66
68,133,64
69,127,134
82,124,80
78,73,182
32,77,97
76,213,199
69,121,120
8,173,936
76,159,62
69,121,101
71,113,112
65,159,84
76,236,113
32,103,105
83,78,112
89,125,119
83,134,101
84,112,132
69,159,68
77,81,171
188,96,40
32,63,81
65,105,80
78,110,202
68,90,37
32,95,80
84,90,83
85,73,683
8,68,319
72,82,103
85,70,38
83,120,112
32,88,113
84,74,80
72,103,64
69,106,107
32,88,113
71,101,97
79,117,130
86,53,118
69,127,150
82,117,96
78,102,183
77,111,1264
69,73,124
78,121,86
84,89,72
32,35,100
72,104,158
65,79,62
83,96,199
32,111,126
66,96,396
69,71,121
67,96,248
79,201,65
77,155,114
69,126,88
32,64,82
73,96,100
78,111,87
86,64,96
79,126,89
76,169,161
86,72,157
69,75,125
68,109,174
32,72,117
73,116,103
78,110,87
32,109,112
77,143,233
65,111,64
82,278,94
73,157,363
65,106,104
71,111,73
69,165,95
190,111,171
32,49,97
8,373,317
16,146,204
72,90,93
79,88,133
87,103,104
69,111,70
86,56,127
69,123,134
82,111,95
188,135,190
32,64,102
84,125,124
72,96,69
8,135,265
78,173,72
79,138,68
87,92,162
32,68,105
84,104,114
72,71,107
65,96,98
84,85,98
32,76,100
84,108,108
72,56,98
69,132,88
32,96,75
79,124,158
86,55,421
8,65,310
71,51,126
79,103,108
86,65,127
69,48,108
82,103,73
78,111,96
77,111,101
69,106,106
78,67,109
84,103,100
32,49,92
72,104,439
79,156,112
65,81,94
8,459,241
65,114,127
83,150,20
32,100,125
84,99,127
65,106,133
75,777,413
69,149,138
78,72,127
32,80,116
79,112,132
86,54,231
69,80,131
82,95,99
32,77,90
84,112,57
72,103,71
69,110,20
32,95,123
73,115,124
78,162,71
83,122,81
84,109,139
73,277,88
84,104,103
85,104,112
84,109,93
73,188,188
79,182,59
78,161,71
32,89,94
79,94,113
70,142,74
32,70,106
77,111,172
65,8,142
82,262,192
73,127,332
65,114,85
71,111,72
69,120,109
188,111,80
32,66,104
77,111,156
65,89,84
89,94,110
8,52,929
78,141,87
89,57,183
32,42,120
80,81,83
69,88,91
79,80,116
80,56,166
76,119,153
69,90,102
32,45,108
65,96,115
82,96,96
69,135,71
32,44,126
80,116,114
85,156,221
83,120,101
72,79,123
73,151,101
78,111,40
71,124,72
32,613,90
84,91,111
72,90,103
69,118,27
32,64,126
71,72,124
79,199,114
86,47,126
69,85,127
82,111,96
78,60,134
77,87,94
69,108,88
78,13,111
84,104,105
32,16,99
84,88,116
79,118,78
32,102,91
82,112,112
69,152,80
68,108,126
69,109,80
70,107,182
73,65,119
78,157,72
69,81,275
32,53,106
77,119,211
65,128,93
82,256,188
73,127,234
65,115,83
71,110,57
69,159,72
32,29,136
70,107,182
79,120,153
82,20,103
32,66,151
84,102,42
72,7,103
69,105,95
32,103,141
66,93,131
69,71,95
78,105,72
69,99,87
188,110,134
32,72,89
84,63,147
79,70,57
32,70,118
79,112,246
80,118,158
69,102,133
78,107,118
32,80,222
73,146,103
84,108,254
32,30,140
85,88,119
80,49,142
32,1500,20
84,81,51
79,123,107
32,15,96
77,115,211
79,53,65
82,12,47
69,127,87
32,80,184
8,156,344
82,126,98
69,147,87
32,58,113
80,100,142
69,103,133
79,59,81
80,58,26
76,119,138
69,103,101
188,87,92
32,72,81
83,118,150
80,49,161
69,118,134
67,67,270
73,89,152
70,97,119
73,167,94
67,103,64
65,118,73
76,92,113
89,90,143
32,72,101
83,112,96
65,101,93
77,154,234
69,110,128
189,792,933
83,152,105
69,5,19
88,89,181
32,68,112
67,140,102
79,134,62
85,107,78
80,101,151
76,148,149
69,159,111
83,132,197
190,112,72
32,64,126
16,152,577
84,118,178
72,135,33
69,105,84
32,104,126
70,97,24
65,111,78
67,118,78
84,103,136
32,50,81
73,11,281
83,120,22
32,63,129
84,104,81
72,125,87
65,106,56
84,74,83
32,68,96
84,95,114
72,56,75
69,70,103
32,50,99
70,94,482
79,57,88
8,254,936
71,13,119
79,210,103
86,46,259
69,104,138
82,98,111
78,81,88
77,18,186
69,106,71
78,76,164
84,103,40
32,96,110
72,103,291
65,133,78
83,88,376
32,61,152
78,116,162
79,133,111
32,79,97
82,337,88
73,128,315
71,51,18
72,103,103
84,97,142
32,70,97
84,121,69
79,103,57
32,67,118
66,79,145
69,100,123
32,49,114
68,81,125
8,362,1136
82,99,62
69,142,86
68,133,38
69,111,63
70,91,282
73,110,111
78,136,132
73,166,128
78,180,79
71,108,72
32,103,115
65,111,95
78,97,36
32,61,119
65,122,120
67,96,209
8,166,398
78,128,103
67,187,117
73,167,135
69,91,102
78,146,168
84,67,72
32,34,115
84,132,113
72,110,120
69,101,57
32,103,124
16,220,455
85,65,87
78,72,87
73,151,157
84,118,269
69,18,97
68,131,64
32,65,80
16,190,488
83,103,160
84,109,120
65,57,504
84,112,93
69,89,154
83,95,94
32,80,45
70,97,102
8,254,241
16,38,895
71,83,63
79,104,149
86,55,119
69,127,104
82,93,88
78,81,165
77,64,166
69,21,108
78,72,125
71,107,53
84,105,111
8,49,916
78,101,268
84,102,63
66,123,123
85,111,182
83,134,89
73,181,88
78,168,242
69,122,155
83,137,83
32,41,129
82,77,40
69,127,96
68,102,112
69,129,443
70,114,106
73,284,110
78,180,135
73,73,112
78,111,403
71,112,99
32,289,136
65,99,98
78,101,119
32,116,194
65,115,104
78,146,113
67,130,191
73,192,307
69,120,101
78,94,104
84,88,72
32,45,117
84,24,118
69,97,96
82,73,96
77,120,213
32,66,118
84,110,109
72,134,75
65,139,77
84,103,93
32,105,46
72,96,154
65,92,70
83,106,63
32,71,115
69,105,104
88,121,185
73,128,168
83,137,104
84,104,134
69,160,152
68,112,189
32,50,104
77,119,140
85,88,175
67,87,102
72,88,127
32,72,82
76,209,150
79,65,153
78,127,138
71,103,95
69,119,113
82,72,72
32,81,135
84,99,110
72,56,144
65,136,85
78,110,97
32,71,197
84,112,147
72,96,78
69,119,96
32,99,112
71,70,119
79,226,133
86,93,139
69,151,150
82,95,88
78,103,85
77,129,213
69,116,102
78,104,128
84,16,118
32,70,89
73,119,219
84,91,117
83,75,88
69,156,60
76,187,206
70,96,200
32,78,106
72,67,117
65,56,93
83,112,229
190,7,85
13,697,143
16,155,482
84,76,110
72,72,111
69,105,111
83,115,88
69,151,155
32,63,58
68,105,415
65,112,112
89,83,127
83,221,168
188,103,84
32,79,97
71,89,147
65,151,77
89,104,130
32,74,121
8,308,494
89,195,215
32,69,89
80,81,29
69,144,119
79,49,82
80,65,157
76,136,150
69,126,94
32,9,118
72,96,190
65,79,65
86,92,96
69,81,134
32,76,112
66,96,141
69,89,88
67,95,197
79,138,57
77,80,195
69,120,43
32,74,188
86,73,120
69,103,150
82,96,88
89,128,143
32,49,120
77,111,94
85,88,175
67,130,87
72,83,103
32,80,118
65,133,75
67,113,124
69,96,102
80,66,145
84,126,124
69,148,72
68,134,137
32,95,78
73,146,132
78,110,78
32,83,137
77,99,111
65,115,62
73,99,87
78,65,72
83,80,226
84,116,113
82,87,111
69,127,79
65,111,90
77,71,114
32,63,176
83,91,115
79,80,73
67,122,103
73,166,96
69,105,147
84,113,111
89,79,143
188,121,80
32,94,90
65,160,115
78,97,88
68,91,29
32,67,142
89,112,117
188,74,121
32,64,97
87,99,67
72,84,96
73,157,90
67,70,154
72,39,115
32,80,163
73,127,124
83,131,93
32,113,120
65,113,132
32,103,82
71,86,119
79,115,126
68,123,79
32,89,95
84,137,111
72,96,103
73,143,58
78,175,71
71,109,40
65,137,73
78,61,156
68,87,65
32,36,142
84,132,33
72,24,61
73,169,58
83,130,88
32,52,54
67,104,176
65,141,79
78,140,200
32,58,147
79,14,749
78,159,79
76,140,171
89,115,117
32,65,88
66,61,146
69,79,112
32,63,132
65,93,107
32,89,92
71,116,232
79,103,47
68,111,71
32,73,91
84,88,77
72,98,77
73,225,65
78,142,87
71,116,18
188,127,190
32,87,73
66,104,359
69,107,72
67,96,240
65,146,50
85,170,109
83,115,41
69,95,63
32,71,138
78,88,132
79,135,88
32,79,132
77,58,155
65,112,86
84,32,100
69,131,219
82,95,72
32,79,150
87,90,107
72,79,80
65,102,70
84,86,98
188,97,215
32,72,89
83,128,112
79,178,90
77,66,141
69,107,71
32,50,78
80,81,125
79,80,89
8,207,498
69,88,82
79,66,134
80,41,182
76,152,135
69,103,102
32,42,110
65,145,98
82,265,74
69,19,70
32,72,189
66,56,129
79,89,120
82,97,103
78,140,151
32,73,665
71,103,119
65,160,62
89,122,99
32,66,90
65,144,102
78,50,152
68,130,72
32,63,88
72,104,116
65,167,90
86,88,170
69,120,114
32,56,96
78,65,148
79,113,102
32,104,111
67,83,170
72,108,79
79,73,89
73,128,118
67,111,234
69,121,76
32,52,142
73,125,95
78,140,116
32,80,159
84,96,141
72,81,49
69,106,116
32,60,121
77,89,233
65,111,116
84,119,89
69,145,103
82,105,88
190,82,89
32,67,72
16,184,115
66,104,142
89,80,111
85,104,86
84,121,171
32,57,49
8,398,431
85,87,150
84,111,104
32,97,110
82,126,109
69,150,71
68,92,162
69,80,151
70,95,75
73,166,135
78,141,68
73,181,123
78,118,74
71,104,48
32,66,122
77,111,94
65,117,108
82,285,97
65,87,84
73,196,144
71,97,112
69,116,96
32,56,107
8,183,432
73,119,117
65,104,85
71,104,50
69,118,90
32,41,90
84,93,92
72,92,126
65,129,85
8,348,245
73,69,301
83,127,123
32,109,146
68,110,72
79,134,66
69,95,150
83,142,191
32,57,146
78,61,79
79,114,86
84,120,47
32,80,98
77,119,156
69,106,102
65,111,269
78,65,150
32,63,105
84,74,52
72,138,119
65,133,151
84,108,89
32,67,81
73,96,118
83,113,78
32,61,150
84,112,77
72,125,69
69,115,71
32,64,109
76,142,159
79,106,112
71,104,127
73,222,159
86,65,565
8,56,330
67,112,213
65,151,93
76,145,155
32,103,73
78,54,503
69,81,106
88,62,19
84,104,111
32,49,127
83,143,119
84,129,146
69,130,113
80,65,168
190,108,94
32,57,75
16,98,40
73,259,126
78,104,87
32,72,97
84,119,229
72,103,93
73,117,79
83,119,78
8,28,287
16,247,106
84,73,79
72,72,79
69,122,70
83,134,87
69,118,73
32,80,86
68,105,114
65,110,86
89,103,113
83,118,63
32,76,141
187,964,548
8,189,715
188,86,199
32,80,74
71,74,46
65,153,86
89,103,73
32,65,105
67,89,171
79,115,229
85,112,19
80,128,142
76,188,135
69,121,78
83,133,66
32,67,120
72,115,21
65,46,78
86,89,111
69,128,126
32,46,75
69,81,86
86,38,197
69,64,115
82,112,96
89,114,147
32,57,71
82,84,111
73,66,108
71,121,145
72,114,72
84,105,105
32,49,120
84,107,112
72,110,103
65,135,71
84,110,73
32,69,96
83,128,119
82,110,110
8,166,242
84,129,53
82,87,96
65,102,271
73,104,127
71,103,19
72,104,72
84,110,21
32,49,19
67,80,399
79,141,82
85,220,79
80,41,158
76,112,158
69,119,94
83,103,66
32,82,143
72,135,117
65,109,62
86,65,98
69,132,122
188,111,151
32,69,81
46,320,493
65,115,85
76,268,172
77,124,272
79,118,72
83,113,147
84,114,140
32,95,95
69,111,119
86,111,143
69,45,142
82,97,88
89,128,222
32,66,125
82,103,81
8,189,494
73,103,157
78,142,63
32,90,128
83,127,121
79,112,82
67,80,196
73,130,130
69,144,119
84,88,246
89,90,133
32,73,139
66,64,150
85,100,384
84,2,175
32,48,177
84,125,127
72,87,113
69,148,88
8,56,333
83,110,133
79,106,127
77,80,150
69,111,92
32,96,43
79,81,40
70,112,70
32,70,106
84,112,163
72,120,93
69,114,109
32,93,118
80,92,122
82,104,92
73,88,123
86,73,191
73,158,123
76,143,152
69,122,102
71,99,122
69,41,96
83,100,113
32,115,85
79,112,109
70,109,77
32,55,65
77,169,286
65,130,102
82,255,121
73,156,75
65,106,61
71,111,73
69,159,94
32,103,108
79,103,132
78,198,111
76,190,348
89,61,92
32,65,76
77,112,148
65,68,103
75,46,685
69,104,140
32,106,126
83,128,194
69,136,81
78,25,109
83,110,201
69,112,88
32,96,83
70,24,79
79,109,73
82,87,106
32,80,141
65,118,97
32,88,94
72,49,139
69,130,110
84,96,119
69,95,96
82,126,112
79,96,106
90,370,981
69,142,68
8,21,430
83,109,142
69,118,98
88,73,19
85,88,109
65,157,87
76,145,98
32,64,114
67,134,170
79,135,138
77,153,158
8,224,549
79,135,136
85,241,26
80,56,176
8,637,268
85,92,151
80,112,66
76,113,150
69,110,94
188,118,180
32,86,87
87,104,60
72,103,43
73,180,74
67,97,33
72,32,21
32,96,231
73,127,93
83,87,90
32,89,133
84,97,86
72,104,69
190,88,135
32,96,122
16,143,106
79,112,82
78,142,88
69,117,61
8,68,265
16,269,83
83,103,125
73,65,101
78,136,72
67,86,93
69,134,254
32,102,106
72,133,64
85,179,151
77,108,150
65,104,149
78,107,113
83,158,81
32,41,220
72,7,108
65,103,110
86,74,101
69,137,132
32,53,76
69,140,143
88,89,206
73,119,67
83,38,78
84,119,113
69,187,43
68,112,112
188,121,191
32,81,75
84,126,88
72,146,49
69,102,117
73,182,127
82,117,72
32,64,126
70,118,70
65,159,86
77,119,167
73,107,95
76,176,167
89,104,122
32,83,96
85,64,40
78,127,87
73,103,98
84,110,73
83,104,119
32,72,146
72,104,118
65,105,70
86,107,123
69,97,134
32,73,77
67,90,187
79,134,58
78,69,147
83,150,113
73,181,64
83,121,78
84,97,113
69,89,135
68,110,189
32,23,137
79,112,133
70,162,101
32,69,112
79,103,133
78,254,84
69,122,56
32,68,77
77,95,173
65,34,155
78,128,105
68,99,86
32,106,105
65,137,115
78,147,111
8,56,409
188,120,196
32,70,82
79,258,113
78,115,87
69,96,46
32,63,130
87,42,130
79,143,57
77,104,125
65,128,117
78,82,88
188,118,79
32,71,73
65,102,84
78,105,160
68,88,36
32,54,142
65,117,88
32,67,128
78,92,84
85,74,103
77,71,156
66,96,130
69,79,111
82,135,88
32,36,130
79,120,130
70,103,70
32,9,88
67,70,163
72,117,113
73,162,130
76,180,84
68,107,265
82,260,107
69,131,78
78,112,173
190,102,90
32,72,124
16,144,366
84,118,118
72,72,103
73,141,87
8,56,933
188,118,168
32,71,90
65,76,88
78,88,99
68,106,57
32,102,137
84,92,454
72,103,35
69,68,91
32,64,125
73,147,115
78,135,38
83,145,20
84,83,136
73,255,147
84,97,123
85,88,89
84,5,36
73,116,116
79,161,72
78,197,71
32,94,157
79,62,122
70,17,55
32,51,104
77,115,172
65,111,131
82,21,122
73,151,332
65,101,112
71,110,113
69,127,77
32,64,113
87,110,133
65,111,41
83,93,62
32,59,141
67,81,154
82,104,112
69,87,86
65,130,65
84,83,121
69,15,229
68,112,196
32,81,57
84,110,111
79,102,88
32,66,80
83,105,102
85,82,80
80,89,175
79,238,94
82,103,26
84,95,55
32,31,137
84,80,114
72,71,111
73,182,251
32,102,105
83,126,167
70,89,92
65,88,55
8,147,397
83,118,120
32,63,146
70,200,158
65,122,79
77,65,180
73,167,141
76,163,152
89,95,143
32,39,73
85,88,124
78,199,392
73,120,118
84,116,285
89,96,97
8,412,428
190,79,163
32,73,141
8,174,635
32,72,159
8,257,265
16,143,689
82,112,128
69,97,87
83,114,18
69,120,186
82,108,84
86,58,148
73,72,106
78,176,60
71,119,92
32,103,113
73,167,906
84,97,79
32,67,114
79,112,127
78,117,71
76,89,113
89,101,116
32,102,88
70,9,192
79,182,120
82,85,89
32,64,121
79,155,135
78,140,79
69,36,100
32,72,37
8,56,392
32,64,76
70,119,112
79,106,109
82,87,22
32,49,96
65,98,112
32,36,126
83,68,98
73,89,127
78,171,80
71,119,47
76,159,50
69,121,102
32,72,98
77,89,157
65,69,86
78,83,65
68,101,80
32,73,74
65,119,99
78,108,141
8,57,241
32,83,118
65,143,162
78,105,75
68,93,18
32,68,137
65,108,118
32,88,82
83,135,132
73,144,300
78,142,80
71,119,109
76,136,93
69,181,102
32,46,91
87,104,110
79,115,158
77,72,171
65,119,109
78,119,24
32,63,584
79,141,127
78,198,71
76,60,167
89,110,227
32,71,107
73,73,132
75,923,804
83,76,88
32,78,148
8,57,467
83,159,20
32,72,142
78,119,328
79,135,21
84,111,124
32,48,117
68,80,126
73,192,638
83,118,94
67,96,31
82,109,89
73,118,313
77,95,173
73,135,72
78,105,79
65,88,110
84,105,83
79,104,427
82,87,103
89,122,101
188,97,191
32,64,81
73,120,353
84,140,285
222,651,875
83,126,495
32,67,124
83,121,115
73,96,225
77,73,79
80,118,152
76,124,150
89,95,111
32,18,189
76,156,154
79,96,102
71,104,40
73,64,42
67,105,264
65,163,126
76,177,93
190,119,74
32,73,98
16,234,92
84,129,174
79,68,57
32,4,99
67,69,252
72,94,78
65,127,38
78,101,196
71,98,47
69,125,110
32,68,126
84,86,111
72,71,56
69,128,63
32,54,119
77,102,211
69,134,75
65,135,63
78,119,111
84,104,111
8,49,240
73,104,124
78,129,79
71,124,72
32,67,136
79,158,109
70,73,70
32,58,128
77,115,172
65,113,127
82,319,82
73,150,283
65,114,72
71,108,127
69,40,87
32,64,144
84,113,77
79,106,71
32,101,115
73,147,132
78,120,71
67,95,109
76,159,657
85,135,19
68,124,462
69,102,73
32,54,213
83,112,213
65,72,206
77,72,189
69,110,71
189,656,671
83,154,146
69,121,80
88,62,199
32,95,106
67,103,110
79,135,82
85,88,79
80,49,154
76,136,156
69,121,102
83,195,26
32,72,121
87,105,99
79,143,120
85,45,96
76,103,87
68,133,121
32,71,106
65,103,98
76,179,105
84,232,128
69,171,64
82,112,83
32,56,97
84,140,104
72,104,33
69,116,71
32,4,89
73,127,132
78,151,87
83,144,36
84,116,118
73,227,92
84,72,87
85,141,150
84,116,87
73,118,121
79,174,73
78,213,89
32,73,97
84,91,110
79,119,57
32,72,111
77,119,207
85,110,98
67,140,211
72,94,87
188,101,144
32,78,97
82,104,185
69,126,72
77,111,30
73,120,367
86,54,123
69,120,35
32,9,135
73,137,255
84,92,87
8,73,425
79,4,132
86,46,142
69,127,145
32,70,81
73,151,400
84,80,165
32,64,98
70,14,71
82,120,72
79,140,58
77,111,211
32,64,209
73,104,44
84,97,161
83,103,110
32,51,106
72,96,79
73,182,108
83,127,93
84,12,120
79,119,57
82,125,103
73,88,321
67,142,155
65,125,60
76,83,94
32,94,178
67,65,189
79,201,215
78,39,78
84,88,72
69,95,96
88,116,203
84,89,154
188,120,153
32,99,81
65,115,138
78,111,147
68,118,65
32,73,137
68,109,205
73,113,158
76,188,55
85,265,149
84,111,174
69,95,25
32,44,144
84,119,139
72,100,111
69,100,110
32,95,113
77,121,94
69,106,88
65,95,79
78,102,98
73,284,87
78,111,83
71,123,67
32,103,113
73,150,165
84,98,145
32,55,96
72,96,112
65,85,44
83,134,78
32,64,152
