VK,HT,FT
16,200,-1
84,79,96
79,143,219
32,128,0
70,88,95
8,121,431
68,95,112
69,131,62
70,88,144
73,72,128
78,111,33
69,112,80
32,120,119
77,120,166
65,38,77
82,232,43
73,112,276
65,3,102
71,143,5
69,153,71
32,114,136
79,123,84
78,154,96
69,163,39
32,115,144
79,143,503
70,85,191
84,88,120
69,111,125
78,112,119
32,128,89
80,132,72
73,53,119
67,96,119
84,104,200
85,80,154
82,86,96
69,150,60
83,119,18
32,112,97
87,72,139
72,80,388
73,139,57
84,95,128
69,149,142
32,145,136
68,96,179
82,126,216
69,191,42
83,100,88
69,97,275
83,307,65
188,153,220
32,128,83
82,120,171
73,105,281
78,112,27
71,105,60
83,68,96
188,113,123
32,128,112
65,104,278
32,111,96
72,73,81
79,26,83
78,136,182
77,85,89
8,1144,266
69,88,72
77,119,66
89,64,44
8,182,464
89,105,104
77,134,153
79,127,571
78,140,111
190,105,168
32,135,239
16,122,391
87,108,75
72,130,26
65,118,121
84,125,74
32,127,273
82,103,84
69,133,47
65,144,72
76,119,56
89,111,31
32,136,172
83,92,111
73,120,83
71,135,115
78,112,128
73,112,103
70,96,105
73,143,63
69,128,72
83,119,62
32,115,44
77,84,96
65,118,129
82,251,117
73,112,440
65,88,103
71,121,48
69,153,88
188,105,111
32,111,126
77,136,204
79,127,77
83,106,249
84,99,81
32,119,244
67,151,370
65,40,56
78,103,88
32,107,144
65,110,95
71,127,83
82,96,64
69,115,56
188,121,20
32,145,58
73,135,135
83,128,31
32,104,111
84,96,124
72,112,65
69,169,64
32,123,180
73,137,151
68,79,333
69,190,173
65,127,65
76,112,64
32,104,197
65,81,80
78,144,113
68,63,163
32,112,72
83,125,90
65,152,72
67,144,172
82,152,11
69,200,71
68,99,84
32,144,119
86,136,136
79,120,80
87,96,112
32,111,56
84,104,87
79,140,64
32,92,71
83,112,122
84,133,142
65,183,157
78,111,42
68,112,63
32,128,116
66,113,87
89,117,154
32,120,126
89,87,137
79,12,160
85,137,59
82,1,14
32,85,142
66,111,102
8,56,264
80,144,72
65,7,75
82,120,641
84,52,72
78,128,547
69,279,216
82,113,88
32,105,170
84,116,157
72,75,56
82,80,200
79,113,99
85,96,72
71,119,120
72,88,119
32,35,151
71,12,131
79,121,150
68,112,72
32,119,106
65,142,80
78,112,48
32,104,125
68,112,229
66,50,207
65,30,56
8,13,308
68,71,145
32,142,61
66,34,104
65,80,159
68,105,331
190,183,188
32,107,96
16,208,331
87,142,106
72,36,145
69,98,58
8,404,285
65,82,1083
84,104,120
32,112,67
79,132,67
70,96,120
84,105,103
69,128,88
78,111,53
32,128,88
67,115,41
79,111,88
77,80,56
69,94,148
83,9,88
32,96,111
87,136,142
73,177,112
84,95,136
72,96,165
32,144,95
77,111,131
65,1,128
82,233,56
73,104,431
65,148,144
71,143,120
69,132,88
32,15,159
73,126,164
83,100,96
32,104,124
84,120,80
72,88,80
69,144,87
32,136,18
72,89,944
79,152,92
80,110,202
69,160,98
32,128,127
79,144,132
70,139,52
32,77,97
72,113,40
65,108,331
80,120,277
73,136,96
69,120,135
83,114,55
78,143,104
8,95,272
78,136,112
69,143,80
83,304,48
188,116,115
