VK,HT,FT
16,91,-1
73,176,759
32,133,292
83,148,161
85,38,217
80,278,644
79,132,474
8,166,656
80,0,1144
79,87,866
82,87,249
84,87,283
32,127,211
71,103,256
65,103,236
89,57,219
32,80,183
77,119,208
65,110,179
82,268,376
73,111,377
65,117,192
71,47,456
69,141,179
32,68,763
66,112,278
69,39,246
67,114,404
65,96,254
85,42,190
83,87,119
69,79,153
32,110,224
65,67,360
76,200,232
32,102,563
73,98,275
83,47,265
8,686,521
76,105,567
79,63,288
86,118,177
69,98,252
32,186,239
73,105,266
83,95,176
32,104,239
69,96,364
81,94,143
85,103,336
65,91,223
76,95,189
190,99,528
32,245,332
17,263,1198
16,291,261
83,338,323
79,127,197
67,70,299
73,80,212
69,96,208
84,125,320
89,52,278
32,105,221
68,103,698
79,87,203
69,66,134
83,146,192
32,86,279
78,102,370
79,96,181
84,94,192
32,88,1042
76,55,508
73,86,272
77,112,407
73,72,253
84,277,196
32,95,184
84,81,296
72,95,232
69,62,207
32,96,264
73,70,901
78,168,244
70,71,366
69,67,293
82,91,209
84,56,361
73,97,208
76,184,236
69,63,232
32,95,194
82,102,303
32,40,208
8,90,528
79,159,894
82,116,208
32,10,256
84,70,241
72,134,167
79,164,175
83,160,151
69,122,164
32,90,305
87,97,571
72,81,226
79,200,185
32,25,650
68,71,181
79,58,281
32,41,149
78,115,122
79,153,194
84,87,278
80,95,224
82,125,267
69,73,192
86,62,304
69,135,372
78,63,240
84,55,366
40,71,255
224,829,569
32,112,224
87,70,605
72,92,262
73,82,267
8,61,831
73,71,444
83,114,137
72,172,203
32,101,227
84,146,374
79,87,160
32,128,228
72,73,321
65,103,175
86,191,207
69,103,197
32,120,221
67,79,259
72,55,190
73,182,329
76,80,344
68,0,344
82,176,253
69,44,237
78,72,331
32,104,364
70,68,240
82,71,301
79,179,241
77,88,225
32,38,191
77,115,272
65,107,248
82,205,228
89,89,381
73,111,277
78,68,261
71,62,204
188,58,754
32,112,231
83,124,1358
79,95,115
32,56,251
84,177,232
72,70,238
69,63,232
32,83,260
78,144,273
79,136,303
84,87,222
73,138,199
79,137,180
78,92,174
32,84,208
84,146,181
72,87,254
65,0,234
84,142,198
32,57,611
77,78,286
65,71,183
82,295,394
73,120,551
65,103,626
71,71,303
69,213,225
32,70,235
73,92,270
83,90,233
32,89,230
83,131,270
84,94,134
82,78,346
73,78,206
67,83,217
84,116,420
76,62,213
89,64,269
32,2,550
70,72,357
79,63,256
82,39,216
32,95,182
80,138,186
82,79,184
79,95,242
67,82,266
82,111,383
69,31,168
65,96,259
84,102,198
73,119,252
79,133,232
78,87,177
