VK,HT,FT
16,318,-1
71,89,0
65,116,19
89,920,509
32,46,121
77,127,355
65,110,282
82,89,175
73,79,454
65,133,113
71,118,469
69,84,138
32,71,154
73,108,1068
83,91,263
32,58,306
65,95,226
32,90,41
72,811,2
79,142,195
84,123,240
32,98,118
84,115,469
79,167,291
80,111,381
73,115,412
67,830,573
32,61,0
73,86,770
78,149,312
32,111,312
84,103,304
72,663,637
69,123,499
32,78,416
78,89,243
69,87,204
87,829,201
83,93,449
32,95,408
65,105,220
78,86,160
68,120,518
32,79,152
77,110,774
69,119,390
68,135,295
65,96,357
73,87,557
8,493,409
73,121,631
65,123,478
32,80,326
84,97,150
72,611,711
69,125,641
83,113,126
69,172,264
32,108,437
68,122,934
89,121,31
65,123,633
8,83,565
65,153,378
89,180,995
83,100,379
32,79,286
65,116,264
78,124,223
68,138,154
32,88,388
72,209,931
69,119,64
82,171,300
69,147,202
32,82,585
65,139,254
82,174,189
69,177,387
32,85,380
83,115,40
79,96,251
77,98,309
69,57,435
32,72,279
82,202,187
69,110,87
65,121,421
83,148,403
79,118,328
78,113,369
83,85,539
32,51,617
87,980,323
72,560,954
89,530,652
32,69,467
16,385,583
73,99,386
32,68,308
65,99,342
77,96,383
32,135,55
79,102,379
80,47,275
79,138,284
83,124,296
69,78,270
68,137,675
32,108,385
84,113,296
79,156,270
32,71,214
73,92,502
84,106,641
190,125,549
32,95,129
16,493,772
70,425,521
73,84,853
82,105,471
83,119,70
84,109,0
188,686,986
32,52,485
73,82,298
84,109,127
76,108,89
8,542,803
222,445,286
83,98,332
32,94,494
74,901,463
85,89,559
83,124,478
84,134,336
32,103,145
78,114,236
79,98,328
84,124,575
32,77,232
82,164,142
73,124,451
71,102,750
72,358,464
84,78,568
190,592,745
32,80,544
16,987,476
71,97,598
79,96,133
68,112,292
32,86,210
67,813,852
82,209,158
65,114,325
84,120,185
69,132,536
68,111,933
32,54,315
65,142,265
32,86,320
77,106,539
69,121,169
65,120,362
8,0,424
65,122,6
78,88,403
32,71,0
65,119,527
78,178,401
68,103,82
32,136,465
65,147,180
32,52,337
87,761,178
79,104,241
77,109,407
65,136,117
78,123,196
32,69,0
84,118,423
79,141,230
32,75,457
66,34,774
69,121,286
32,73,457
84,99,0
79,131,162
71,86,453
69,137,18
84,84,0
72,716,225
69,87,362
82,30,904
188,974,956
32,72,286
78,126,240
79,133,215
84,119,179
32,92,168
65,100,219
32,61,156
77,124,312
69,102,235
8,168,824
77,127,137
65,118,36
78,128,24
32,68,246
65,158,338
78,92,158
68,120,406
32,82,251
65,148,356
32,78,233
77,68,576
65,143,635
78,113,271
190,105,440
32,123,220
16,729,171
83,153,125
69,101,81
67,690,437
79,99,304
78,107,219
68,125,84
188,577,875
32,162,193
66,96,564
69,127,43
67,376,632
65,109,301
85,203,750
83,153,406
69,120,298
32,78,88
71,120,680
65,150,689
89,208,631
32,84,416
77,109,0
65,111,750
82,93,0
73,91,498
65,119,689
71,130,623
69,146,483
32,68,117
73,133,801
83,120,172
32,75,0
83,133,214
8,0,251
68,129,138
73,96,253
83,125,289
71,105,264
85,651,669
83,163,0
84,99,354
73,98,443
78,112,242
32,89,438
65,134,259
78,143,405
68,137,411
32,130,198
8,509,710
71,106,522
32,65,170
65,131,324
78,144,36
68,131,78
32,86,242
77,123,89
65,103,429
75,978,212
69,143,261
83,114,500
32,65,0
77,99,391
69,138,56
32,54,313
83,128,432
73,97,610
67,653,529
75,517,467
190,102,950
32,72,304
16,216,671
73,114,0
32,107,0
68,118,532
79,148,268
78,136,151
222,364,533
84,108,100
32,74,194
87,878,151
65,138,153
78,129,273
84,102,373
32,95,98
84,109,202
79,95,165
32,102,169
83,91,329
69,117,0
32,93,691
73,94,0
84,157,106
32,111,144
79,85,174
82,301,76
32,77,489
72,666,543
65,122,385
77,149,736
8,0,232
86,306,932
69,105,372
32,110,242
84,97,560
79,145,282
32,84,706
66,326,475
69,134,352
32,95,235
65,128,192
82,112,574
79,128,319
85,287,330
78,118,268
68,113,331
32,97,90
73,102,418
84,114,307
190,215,365
32,88,226
16,480,933
83,147,14
69,91,0
78,129,286
73,111,111
8,149,889
73,94,390
78,129,163
71,93,113
32,66,351
84,87,326
72,621,367
65,111,575
84,119,427
32,100,218
84,123,80
89,692,524
80,63,401
69,130,494
32,87,455
79,124,443
70,684,961
32,43,479
84,151,370
72,749,453
73,79,340
78,125,102
71,123,755
32,107,580
73,92,202
78,130,162
32,110,479
80,54,533
85,298,392
66,460,653
76,98,331
73,122,528
67,914,43
32,58,346
71,115,616
82,211,474
79,122,198
83,85,302
69,124,55
83,121,440
32,130,457
77,115,172
69,88,415
32,80,18
79,88,384
85,175,524
84,134,229
32,88,205
65,107,273
78,136,207
68,82,529
32,118,222
16,439,891
73,103,480
32,144,0
83,96,382
72,338,716
79,93,137
85,963,371
76,89,665
68,66,245
78,132,68
222,701,394
84,109,372
32,86,116
72,796,594
65,139,515
86,144,6
69,91,454
32,89,313
84,131,442
79,103,90
32,55,345
68,127,508
69,109,0
65,133,135
76,94,909
32,92,14
87,327,719
73,54,541
84,138,623
72,243,125
32,70,333
73,112,269
84,153,300
190,928,972
32,96,218
16,840,901
76,121,233
65,142,0
83,94,146
84,102,347
76,105,0
89,963,82
188,687,487
32,96,511
71,99,227
79,146,250
68,74,271
32,89,470
73,107,419
83,98,642
32,57,200
71,94,0
79,97,393
73,122,697
78,100,245
71,92,628
32,50,265
71,97,808
8,0,634
84,133,228
79,123,377
82,36,651
69,127,175
8,0,0
32,84,184
82,187,103
65,97,134
76,92,312
89,687,549
8,49,994
69,122,388
65,114,472
76,58,349
89,729,149
32,91,95
66,793,105
69,139,413
32,83,0
77,147,276
65,120,114
68,79,317
32,97,216
65,129,65
84,119,645
32,103,0
77,112,684
69,105,384
32,77,20
73,136,326
70,22,121
32,103,271
72,339,840
73,99,652
8,576,714
72,481,439
69,136,231
32,79,316
84,112,150
72,786,301
73,125,844
78,128,0
8,471,638
72,52,564
8,237,520
84,137,460
72,285,169
73,135,271
78,119,531
75,138,853
68,89,388
8,0,175
83,89,360
32,67,0
16,121,976
73,97,201
222,343,565
188,474,22
8,348,630
77,113,148
32,70,427
16,751,159
79,189,69
190,7,329
75,612,796
190,397,281
32,85,0
87,386,340
73,119,286
84,102,0
72,301,73
32,101,264
71,98,450
65,112,569
89,587,418
32,84,198
80,106,445
69,117,224
79,198,183
59,796,967
79,130,308
8,269,649
80,166,508
76,129,744
69,112,296
190,441,282
32,87,802
16,548,786
73,100,140
78,95,70
32,104,344
67,54,929
79,109,250
78,103,57
67,667,88
76,86,354
85,951,679
83,140,276
73,138,255
79,155,288
78,99,268
188,11,431
32,67,471
16,293,49
73,101,404
32,103,149
82,129,0
69,136,547
65,134,281
76,118,139
89,90,554
32,67,377
68,162,327
78,122,258
79,113,169
222,587,359
8,492,0
79,174,174
78,139,180
222,41,211
84,128,294
32,100,165
70,441,781
82,275,669
8,0,228
69,130,310
76,85,211
32,142,445
76,97,144
73,111,760
75,233,296
69,135,319
32,88,508
73,108,970
84,75,383
222,709,912
83,92,225
32,126,383
84,137,152
72,932,184
69,95,362
32,79,242
82,378,424
73,108,726
71,112,722
72,610,35
84,122,522
32,83,125
84,87,577
72,644,848
73,128,352
78,156,244
71,134,581
32,69,0
84,103,245
79,91,144
32,52,350
68,154,367
79,123,251
32,90,474
65,108,343
78,108,28
68,112,490
32,64,0
16,736,407
73,88,774
32,79,473
68,85,0
79,106,179
78,143,375
222,697,320
84,126,213
32,70,181
87,55,23
65,125,405
78,119,347
84,140,299
32,91,256
84,135,156
79,137,425
32,90,79
82,98,231
73,108,483
67,888,373
8,743,938
83,130,346
75,275,155
32,74,308
69,119,446
84,118,572
69,123,405
82,261,386
78,136,585
65,137,24
76,107,587
32,72,143
66,281,768
76,138,321
73,96,912
83,121,199
32,91,367
70,992,785
79,111,331
82,69,0
32,67,291
73,90,1096
84,143,411
190,759,363
