VK,HT,FT
16,682,-1
71,141,693
65,101,333
89,100,380
32,113,229
16,992,161
77,103,36
65,96,203
82,217,361
73,76,675
65,77,94
71,94,330
69,90,160
32,122,383
83,61,294
72,56,0
79,89,211
85,82,355
76,82,211
68,99,409
32,86,349
66,83,508
69,159,126
32,117,930
76,79,681
69,84,129
71,88,206
65,98,240
76,59,186
190,99,958
32,127,391
16,625,39
84,126,293
72,77,119
69,142,120
82,105,197
69,68,148
32,89,210
73,100,237
83,82,212
32,92,129
78,70,98
79,110,44
32,129,199
82,98,363
69,125,142
65,208,246
83,126,73
79,145,119
78,96,160
65,151,214
66,82,119
76,51,0
69,79,84
32,97,94
66,75,674
65,96,133
83,135,190
73,107,268
83,132,163
32,89,211
70,122,616
79,91,0
82,95,178
32,119,82
69,114,382
88,65,368
67,85,262
76,144,395
85,89,136
68,183,420
73,164,201
78,123,243
71,75,159
32,106,176
83,142,643
65,134,206
77,82,114
69,92,191
189,129,597
83,104,48
69,87,180
32,111,0
8,121,829
88,102,443
32,112,433
67,91,290
79,113,162
85,84,180
80,159,151
76,130,11
69,95,152
83,155,190
32,96,318
70,166,178
82,110,658
79,88,1
77,50,181
32,125,0
83,227,770
72,101,143
65,53,10
82,114,152
73,24,409
78,103,185
71,97,121
32,90,171
84,72,418
72,65,132
69,92,168
32,138,139
74,733,709
79,90,224
89,76,248
32,90,130
79,24,251
70,133,65
32,111,476
65,46,441
32,115,105
87,94,131
69,119,247
68,82,241
73,160,220
78,94,182
71,94,69
32,120,221
68,127,247
65,91,406
89,80,324
190,47,750
32,83,540
16,527,173
78,123,149
79,66,308
84,93,117
8,266,712
82,138,7
32,136,149
83,119,671
72,84,105
79,87,226
85,76,98
76,55,331
68,87,346
32,152,375
84,94,112
72,83,144
69,95,62
89,65,113
32,127,192
66,80,26
69,54,76
32,81,177
68,114,105
69,110,450
78,120,152
73,32,239
69,58,99
68,123,224
32,115,174
69,98,53
67,90,257
79,173,154
78,84,163
79,95,270
77,148,319
73,107,439
67,137,628
32,87,229
79,120,0
82,88,138
32,82,162
76,103,659
69,73,73
71,82,279
65,118,218
76,69,170
32,124,320
66,86,352
69,41,117
78,77,107
69,73,236
70,73,186
73,134,291
84,175,198
83,156,572
32,124,215
65,105,111
68,129,213
8,235,727
70,209,311
79,79,281
82,94,222
68,109,303
69,138,482
68,90,209
32,121,112
84,104,548
79,40,333
32,121,173
72,98,0
69,143,229
84,128,234
69,133,67
82,137,0
83,70,0
79,140,273
8,52,378
79,184,325
83,80,289
69,97,221
88,106,361
85,80,270
65,122,161
76,199,171
32,115,359
67,91,217
79,141,250
85,61,253
80,120,0
76,88,196
83,77,182
8,283,878
69,97,307
83,106,233
32,138,404
66,80,367
65,100,302
83,53,111
69,90,256
68,41,196
32,149,209
79,90,435
78,73,105
32,106,581
84,76,281
72,94,165
8,814,642
87,114,107
72,102,54
79,64,261
32,103,263
84,79,0
72,63,121
69,96,157
89,69,113
32,75,216
76,74,0
79,74,235
86,136,205
69,98,351
190,66,477
32,132,353
16,615,253
77,114,150
65,110,227
78,77,151
89,107,161
32,81,143
85,25,300
83,86,125
69,74,278
32,111,365
82,174,424
69,114,97
76,74,103
73,97,338
71,103,344
73,191,150
79,82,194
78,90,168
32,140,105
65,145,431
83,136,117
32,128,117
65,63,289
32,114,138
82,171,508
69,134,109
65,101,238
83,105,45
79,159,97
78,93,236
32,122,309
84,66,224
79,32,0
32,135,196
68,94,0
69,139,256
78,78,150
89,107,269
32,110,310
72,70,378
79,58,212
77,183,124
79,4,373
83,115,0
69,108,231
88,73,276
85,122,274
65,160,303
76,71,180
83,77,0
32,136,154
84,106,300
72,66,140
69,99,164
32,96,113
82,141,994
73,120,365
71,102,169
72,74,268
84,109,338
32,113,92
84,106,2
79,37,164
32,91,199
77,100,693
65,93,106
82,219,290
89,94,476
188,101,512
32,115,286
84,86,261
72,91,153
79,92,213
85,28,134
71,114,173
72,107,0
32,87,375
82,161,600
69,101,101
76,75,127
73,70,195
71,94,235
73,0,171
79,50,172
78,76,50
83,123,147
32,114,0
16,476,303
57,800,779
69,100,312
83,192,236
80,75,83
69,66,519
67,125,407
73,83,172
65,89,2
76,174,85
89,90,442
32,89,72
16,1300,99
74,971,548
85,19,224
68,141,482
69,95,691
79,96,47
189,357,135
16,1019,4
67,143,42
72,89,93
82,215,337
73,158,335
83,94,119
84,108,283
73,111,445
65,82,142
78,57,0
32,88,125
16,805,173
82,189,273
69,100,134
76,75,138
73,80,205
71,85,134
73,126,77
79,136,167
78,90,362
83,83,44
16,568,284
48,199,707
32,121,32
65,138,322
82,236,400
69,148,116
32,67,155
72,72,334
65,130,127
82,312,280
68,125,137
76,69,155
84,51,369
32,151,254
8,459,1156
89,69,193
32,107,222
84,103,0
72,81,108
69,111,83
32,108,132
66,74,346
69,28,148
83,90,177
84,96,203
32,104,192
77,103,537
79,28,397
82,105,247
65,142,195
76,163,101
32,137,301
65,116,135
82,345,259
66,98,346
73,113,403
84,93,146
69,163,412
82,129,182
83,86,119
32,112,0
65,201,446
78,74,169
68,109,137
32,121,159
8,4,723
188,70,610
32,64,482
73,89,176
78,55,85
32,132,195
77,81,195
65,60,85
78,85,160
89,82,195
32,121,42
67,82,0
65,139,251
83,124,168
69,128,227
83,97,121
188,111,714
32,142,247
65,128,224
82,147,176
69,88,98
32,110,35
79,80,411
78,82,93
76,74,58
89,79,147
32,101,130
66,91,432
69,85,143
73,142,357
78,104,19
71,66,74
32,106,205
85,67,189
83,60,111
69,85,299
68,133,195
32,110,330
66,64,227
69,38,142
67,115,297
65,119,253
85,128,393
83,74,159
69,97,222
32,129,392
83,74,166
79,191,151
77,148,188
69,101,114
79,99,0
78,34,270
69,107,228
32,107,0
70,100,351
69,125,275
76,110,123
83,131,476
32,113,87
85,2,199
78,50,246
67,136,460
79,154,264
77,69,98
70,185,58
79,77,315
82,83,222
84,135,259
65,125,539
66,94,129
76,116,246
69,102,72
32,142,688
87,184,66
73,86,162
84,53,285
72,67,44
32,108,284
65,123,269
78,86,399
79,88,327
84,78,124
72,83,28
69,119,92
82,100,278
32,164,74
80,92,442
69,175,145
82,101,161
83,117,386
79,185,89
78,129,0
222,974,455
83,91,123
32,99,132
76,100,0
73,82,231
70,119,226
69,68,0
83,55,300
84,107,234
89,83,151
76,105,245
69,101,40
190,107,886
32,137,0
16,767,288
84,118,467
72,84,78
69,109,82
83,18,239
69,77,323
32,102,115
83,140,339
65,119,153
77,64,162
69,91,162
32,143,328
80,86,582
69,143,12
79,109,0
80,260,235
76,93,175
69,59,104
32,120,167
71,84,603
79,127,0
32,91,84
65,159,485
71,116,435
73,109,158
78,98,161
83,117,183
84,128,201
32,92,66
79,90,369
84,99,137
72,55,104
69,146,91
82,105,152
32,82,153
37,491,553
65,169,204
40,189,966
87,124,612
