VK,HT,FT
16,348,-1
73,94,14
32,84,116
77,75,147
8,106,306
65,52,148
77,94,101
32,89,105
65,67,321
66,55,249
83,83,283
79,88,182
76,98,203
85,68,215
84,68,89
69,84,5
76,101,94
89,46,87
32,87,152
73,78,248
78,77,76
32,71,152
83,93,225
85,61,153
80,235,252
79,79,351
82,52,125
84,74,152
32,86,160
79,90,177
70,72,103
32,80,96
71,52,333
65,111,95
89,60,174
32,34,101
77,96,353
65,76,153
82,186,171
73,59,327
65,66,126
71,71,123
69,63,92
190,113,138
32,83,93
16,225,191
68,79,84
8,641,112
70,65,298
73,85,368
82,79,152
83,87,180
84,76,200
32,78,267
65,53,147
78,71,127
68,83,128
32,85,140
70,78,296
79,82,104
82,50,81
69,97,75
77,63,166
79,78,111
83,60,144
84,71,256
188,92,131
32,103,126
16,225,192
73,67,121
32,82,116
66,56,415
69,78,196
76,107,71
73,69,224
69,54,114
86,75,375
69,99,123
32,79,87
84,60,95
72,37,53
65,88,51
84,86,105
32,83,28
84,63,241
72,72,168
69,65,146
32,79,68
16,151,166
222,75,151
83,78,138
65,72,904
78,82,160
67,68,312
84,69,188
73,2,184
84,46,159
89,63,243
16,225,316
32,80,220
79,81,132
70,77,216
32,83,70
77,83,148
65,64,82
82,203,151
73,80,254
65,92,217
71,64,171
69,116,130
16,655,240
222,66,48
32,82,122
73,48,695
83,58,144
32,117,133
65,99,273
78,95,59
32,73,312
73,63,155
78,103,266
86,96,113
65,78,277
76,254,194
73,55,212
68,59,186
32,120,52
65,67,371
82,177,202
71,70,98
85,84,182
77,89,150
69,46,113
78,82,224
84,53,326
32,99,101
87,59,138
72,102,203
69,80,145
78,42,212
32,25,113
83,65,163
8,100,278
68,64,124
73,94,57
83,88,127
67,77,647
85,85,150
83,74,240
73,110,360
78,101,95
71,78,70
32,85,384
83,52,205
85,79,139
67,59,189
72,61,146
32,88,117
65,76,251
32,83,91
84,47,146
79,98,107
80,216,211
73,84,124
67,75,965
190,106,753
32,114,100
16,383,244
84,56,303
72,83,66
79,90,43
83,68,1301
69,98,236
32,81,92
87,16,180
72,59,146
79,97,117
32,15,123
86,70,431
73,81,120
69,59,166
87,59,354
32,79,103
77,92,173
65,77,56
82,203,701
73,82,228
65,91,126
71,80,151
69,76,109
32,100,30
65,68,147
83,102,121
32,93,189
65,125,147
32,85,128
72,55,595
79,59,118
76,91,199
89,54,109
32,95,183
85,84,291
78,75,117
73,97,96
79,88,83
78,63,292
32,64,159
83,80,220
72,46,148
79,76,94
85,68,405
76,89,227
68,71,218
32,83,67
66,64,471
69,104,143
32,97,76
65,80,151
66,58,257
76,77,82
69,60,89
32,102,110
84,71,189
79,81,60
32,84,105
76,45,72
79,209,274
75,360,318
32,113,96
65,73,156
8,101,324
80,71,259
65,63,96
83,134,137
84,77,225
32,84,89
84,97,112
72,69,149
69,73,141
32,82,117
70,60,286
65,128,148
67,82,126
84,100,505
32,73,90
84,71,117
72,26,56
65,121,274
84,106,86
32,91,103
67,74,170
79,89,71
85,87,194
80,21,379
76,80,169
69,56,30
83,140,246
32,96,715
65,70,173
82,197,53
69,96,73
32,79,66
79,86,204
70,68,204
32,83,86
84,87,849
72,53,68
69,48,161
32,90,74
83,38,359
65,85,99
77,71,107
69,54,103
32,39,107
83,83,215
69,138,191
88,746,953
188,95,151
32,77,105
65,108,182
78,77,81
68,74,92
32,35,141
83,107,225
73,77,220
77,95,242
80,96,265
76,101,173
89,52,201
32,92,134
65,84,95
80,30,221
82,112,96
69,71,16
67,118,237
73,89,96
65,85,118
84,93,79
69,76,47
32,78,108
84,62,105
72,62,0
69,49,167
32,69,18
70,103,567
65,85,74
67,34,179
84,22,89
32,78,102
84,56,160
72,59,168
65,114,349
84,104,145
32,84,177
84,67,129
87,98,534
79,115,108
32,66,79
80,116,141
69,188,135
79,78,93
80,79,200
76,70,168
69,146,1
32,57,77
76,78,130
79,72,258
86,103,103
69,97,71
32,98,83
69,59,38
65,147,166
67,101,169
72,46,215
32,131,84
79,106,118
84,59,110
