VK,HT,FT
16,523,-1
73,94,129
32,100,116
84,86,118
72,72,80
78,98,105
8,38,168
73,88,137
78,106,101
75,411,343
32,105,113
84,84,90
72,76,102
65,99,244
84,81,125
32,90,127
71,769,528
65,94,178
89,332,704
32,96,104
77,602,906
65,85,109
82,850,619
73,82,153
65,96,289
71,880,611
69,81,220
32,95,152
83,80,193
72,68,106
79,77,174
85,387,870
76,56,381
68,871,335
32,94,98
66,601,834
69,95,185
32,87,115
67,7,198
79,75,111
77,512,690
80,599,439
69,87,156
76,105,441
69,92,132
84,80,131
76,471,931
89,419,43
32,102,127
65,89,346
67,852,437
69,70,134
80,35,303
84,84,153
65,85,349
66,303,835
76,43,569
69,74,207
32,98,133
73,85,147
78,83,105
32,94,107
65,87,93
76,487,685
32,95,121
70,563,495
73,83,160
70,726,251
84,86,134
89,728,636
32,94,97
83,82,185
84,86,99
65,87,267
84,90,126
69,67,170
190,675,790
16,744,178
32,101,119
8,532,235
83,81,289
8,955,940
83,92,202
190,931,288
32,95,108
16,979,719
84,82,134
72,75,102
69,92,158
82,992,198
69,88,150
32,92,142
73,82,161
83,83,303
32,105,116
78,88,103
79,83,140
32,90,126
82,755,919
69,71,181
65,96,315
83,87,290
79,98,147
78,80,94
32,91,141
84,82,103
72,72,116
65,95,248
84,85,112
32,92,121
83,85,143
79,84,140
77,480,357
69,81,162
79,78,170
78,85,107
69,78,214
32,88,141
83,77,232
72,72,111
79,81,182
85,892,85
76,54,903
68,661,370
32,92,114
66,727,251
69,70,178
32,85,122
8,406,264
78,107,94
79,96,115
84,85,98
32,106,108
66,597,901
69,94,161
32,94,155
65,85,207
76,959,295
79,99,136
87,953,47
69,88,201
68,631,949
32,105,109
84,83,156
79,86,121
32,94,138
71,70,418
69,67,153
84,82,167
32,102,133
77,916,547
65,98,251
82,898,205
73,81,125
69,101,188
71,905,776
69,92,200
8,104,104
65,98,253
71,389,694
69,78,189
32,86,127
8,315,353
188,904,305
32,97,117
69,67,211
88,308,133
67,883,455
69,90,125
80,436,781
84,91,101
32,95,126
79,92,142
70,203,382
32,103,97
67,579,978
79,104,173
85,578,76
82,297,216
83,90,248
69,91,206
32,83,112
73,91,147
70,652,498
32,103,118
84,88,124
72,78,117
69,89,138
89,683,245
32,103,125
65,100,140
82,84,361
69,71,189
32,89,135
8,664,386
32,95,109
65,87,242
76,27,963
82,997,384
69,80,150
65,99,282
68,187,963
89,376,290
32,106,104
77,788,574
65,92,332
82,335,209
73,89,170
69,89,134
68,334,678
190,943,959
32,91,129
16,807,887
84,90,97
72,79,113
69,75,164
32,90,101
83,86,330
69,71,206
88,662,992
65,87,337
85,702,991
76,200,209
32,103,116
79,89,153
82,880,829
73,78,179
69,72,199
78,101,113
84,83,149
65,86,184
84,90,158
79,92,163
78,117,113
32,106,132
68,468,868
79,96,184
69,97,153
83,89,346
32,93,122
78,98,98
79,76,119
84,77,89
32,95,123
65,98,254
70,860,520
69,77,170
67,151,525
84,87,153
32,97,143
65,98,143
78,105,108
84,90,96
89,334,392
73,74,138
78,89,108
71,987,753
32,99,138
8,496,617
89,907,745
84,81,167
72,68,96
73,76,170
78,84,101
71,70,296
32,89,101
76,532,10
69,99,215
65,100,182
71,264,993
76,522,453
65,93,284
8,797,929
71,910,300
65,84,285
76,264,816
89,684,948
32,104,127
8,923,771
188,603,39
32,99,113
84,78,123
72,73,118
69,70,126
82,549,509
69,89,187
70,28,731
79,82,133
82,877,634
69,93,125
32,90,105
84,78,92
8,325,673
73,96,128
84,89,135
32,94,134
83,90,201
72,81,106
79,83,131
85,876,532
76,328,510
68,411,540
32,92,103
78,96,109
79,103,150
84,80,127
32,104,135
66,995,821
69,72,187
32,96,127
65,92,298
32,91,101
82,644,108
69,100,181
65,87,186
83,78,253
79,97,145
78,82,110
32,99,136
84,83,141
79,104,139
32,94,130
66,987,298
65,86,179
78,110,111
32,96,114
71,299,75
65,97,285
89,28,717
32,104,141
77,395,518
65,96,150
82,574,372
73,73,132
65,86,224
71,191,815
69,101,153
190,22,190
32,92,120
16,273,23
84,87,156
72,66,115
69,70,188
32,83,106
69,72,145
77,345,4
79,89,185
84,83,93
73,88,168
79,94,114
78,101,100
83,88,246
32,94,136
84,88,138
72,82,84
65,82,298
84,83,106
32,104,133
71,643,914
65,91,119
89,976,410
222,16,61
83,91,156
32,93,129
70,405,984
69,95,177
76,560,738
32,99,138
65,93,93
82,111,573
69,78,147
32,95,113
74,895,304
85,315,822
83,87,324
84,90,125
32,92,98
84,90,99
72,67,84
69,83,210
32,98,121
83,89,359
65,85,342
77,382,657
69,80,183
32,92,100
65,91,194
83,88,308
32,92,100
65,85,279
78,110,105
89,55,507
32,96,109
72,77,92
69,78,184
84,87,151
69,69,203
82,837,966
83,86,166
79,86,162
8,784,265
79,101,117
83,89,143
69,87,145
88,342,828
85,822,81
65,98,131
76,976,20
32,91,133
65,99,269
78,113,108
68,514,74
32,102,126
84,79,89
72,76,108
65,83,197
84,89,94
32,99,117
73,94,123
83,89,354
32,93,102
78,111,113
79,88,171
84,82,113
32,95,144
83,78,300
79,85,187
77,258,951
69,67,145
84,91,91
72,81,105
73,81,123
78,89,94
71,751,483
32,100,125
84,77,111
72,66,116
65,93,283
84,77,156
32,98,121
67,678,836
65,91,188
78,105,113
32,93,114
66,382,985
69,76,173
32,87,148
74,172,234
8,17,610
67,186,182
72,82,105
65,90,178
78,116,111
71,855,186
69,72,178
68,982,284
188,441,310
32,96,131
74,197,216
85,94,103
83,82,154
84,86,105
32,106,135
65,84,276
83,75,141
32,98,127
87,275,53
69,104,138
32,92,123
67,594,437
65,82,214
78,86,101
79,91,158
84,82,134
32,91,102
67,709,722
72,68,78
65,86,189
78,79,100
71,91,499
69,101,207
32,85,141
84,80,114
72,80,78
69,69,163
32,89,115
67,421,208
79,86,175
76,611,932
79,95,135
82,583,994
32,100,106
79,88,151
70,945,725
32,90,116
79,76,156
85,578,586
82,508,254
32,91,113
83,90,208
75,977,446
73,80,165
78,104,110
68,423,173
8,128,688
32,101,111
79,103,168
82,557,313
32,101,99
71,429,828
8,828,277
79,81,180
85,428,390
84,78,147
32,92,108
71,309,338
69,82,212
78,84,109
69,70,156
8,666,738
68,75,448
69,100,146
82,377,210
32,104,101
16,10,443
57,437,284
69,94,205
65,93,323
83,80,164
73,75,151
76,130,136
89,645,752
16,103,51
48,115,7
190,113,52
32,99,101
16,550,951
71,817,167
65,95,171
89,338,84
222,464,554
83,89,339
32,101,133
65,84,107
82,842,47
69,81,133
32,85,145
84,81,155
72,79,97
69,94,133
32,93,138
83,82,318
65,89,334
77,470,611
