VK,HT,FT
16,252,-1
84,85,160
72,97,69
69,83,108
82,73,152
69,84,162
32,92,78
73,127,146
83,64,87
32,101,96
78,113,161
79,98,132
32,93,163
82,83,144
69,84,162
65,82,140
83,80,175
79,101,92
32,93,163
8,718,417
78,102,78
32,101,144
84,81,168
72,96,65
65,69,171
84,92,215
32,97,102
84,93,178
79,98,82
8,369,417
87,82,132
79,101,129
32,93,163
73,127,146
78,114,63
68,74,113
73,109,126
86,78,134
73,109,126
68,83,114
85,96,125
76,132,110
83,83,133
8,369,417
65,64,196
76,176,46
83,83,133
32,92,102
8,718,417
65,64,196
76,176,46
83,83,133
32,92,102
79,103,214
70,74,121
32,95,117
84,85,172
72,96,65
69,83,112
32,110,66
83,86,172
65,82,140
69,81,128
8,369,417
77,99,150
69,92,84
32,92,78
71,88,189
69,70,158
78,87,73
68,74,113
69,84,156
82,73,152
32,99,126
83,86,172
72,96,87
79,95,140
85,96,125
76,132,110
68,94,59
32,92,97
77,99,150
65,84,73
82,123,230
89,79,237
32,141,103
79,103,214
78,94,56
69,76,90
32,92,78
65,82,107
78,93,101
79,98,132
84,78,69
72,97,69
69,83,108
82,73,152
190,83,159
32,97,125
16,259,158
73,109,126
84,75,138
32,97,102
72,96,136
65,71,117
83,80,175
32,92,102
65,77,106
76,176,46
87,82,132
65,82,140
89,77,224
83,83,133
32,92,102
66,97,236
69,83,76
78,87,73
32,101,144
79,103,214
78,94,56
69,76,90
32,92,78
77,99,150
65,84,73
78,105,71
32,106,136
65,77,106
78,93,101
68,78,81
32,96,69
79,103,214
78,94,56
69,76,90
32,92,78
87,82,120
79,101,129
77,112,65
78,102,78
8,369,417
65,64,196
78,105,71
32,106,136
67,85,99
79,101,129
77,112,65
73,109,126
78,114,63
71,71,109
32,86,99
84,85,172
79,98,82
71,78,150
69,70,158
84,85,160
72,97,69
69,83,108
82,73,152
32,99,126
84,85,172
79,98,82
32,91,181
85,96,125
83,83,133
69,98,182
32,92,78
84,87,125
72,87,47
69,87,118
73,104,60
82,80,108
32,96,182
79,103,214
87,82,132
78,102,78
32,101,144
65,77,106
68,83,114
86,78,134
65,82,140
78,105,71
84,85,160
65,72,181
71,78,150
69,70,158
83,108,151
32,92,102
84,85,172
79,98,82
32,91,181
84,85,172
65,72,181
75,89,112
69,81,128
32,92,78
67,76,113
65,73,149
82,123,230
69,84,162
32,92,78
79,103,214
70,74,121
32,95,117
69,81,128
65,82,140
67,82,143
72,92,66
32,97,125
79,103,214
84,79,73
72,97,69
69,83,108
82,73,152
190,83,159
32,97,125
16,259,158
84,85,160
72,97,69
69,83,108
32,109,61
77,99,150
65,84,73
78,105,71
32,106,136
73,127,146
83,64,87
32,101,96
80,125,176
72,96,87
89,79,237
73,109,126
8,369,417
83,83,133
73,109,126
67,82,143
65,72,176
76,176,46
89,79,237
32,141,103
83,86,172
84,85,160
82,83,144
79,101,129
78,94,56
71,70,130
32,86,99
65,77,106
78,93,101
68,78,81
32,96,69
67,83,140
79,101,129
78,94,56
8,369,417
65,64,196
78,105,71
32,106,136
80,125,176
82,83,144
86,78,134
79,101,129
73,109,126
68,83,114
69,84,156
8,369,417
79,101,129
86,78,134
73,109,126
68,83,114
69,84,156
32,92,78
84,87,125
72,87,47
69,87,118
32,110,66
80,125,176
72,96,87
89,79,237
83,83,133
73,109,126
67,82,143
65,72,176
76,176,46
32,97,125
78,113,161
69,76,90
68,83,114
