VK,HT,FT
16,356,-1
80,126,43
69,87,56
79,123,50
80,88,49
76,142,95
69,83,58
32,101,219
67,108,113
78,133,285
8,172,895
65,106,256
78,90,74
79,108,197
84,25,89
32,95,128
67,99,93
72,114,53
65,33,93
78,128,54
71,70,164
69,53,143
32,87,39
87,81,104
72,14,153
79,123,70
32,98,275
84,86,311
72,120,82
69,99,100
89,98,222
32,95,52
65,105,41
82,93,248
69,107,139
32,18,51
70,102,44
82,86,134
79,122,59
77,149,66
32,93,198
66,85,135
73,112,148
82,90,86
84,101,122
72,112,53
190,101,131
32,111,145
16,171,572
65,45,62
78,93,55
32,15,144
16,567,61
65,180,63
8,196,394
16,173,131
65,95,143
32,110,48
16,138,64
67,111,166
65,94,160
85,127,142
67,98,110
65,17,86
83,106,4
73,104,77
65,102,24
78,99,117
32,90,140
67,83,93
65,89,182
78,104,44
79,111,196
84,97,46
32,110,136
67,108,231
72,119,45
65,92,129
78,129,59
71,94,137
69,98,154
32,116,45
84,132,66
72,87,48
69,106,106
73,120,72
82,83,86
32,23,56
76,83,88
73,160,102
71,174,133
72,96,53
84,89,143
32,80,64
83,94,164
75,122,10
73,120,48
78,112,49
32,114,168
84,93,104
79,107,37
78,114,47
69,83,84
32,14,147
8,253,279
188,87,31
32,116,171
65,91,62
78,96,158
32,49,169
16,166,132
65,94,75
70,81,186
82,93,206
73,123,151
67,91,139
65,86,143
78,94,34
32,122,138
16,509,852
65,58,60
77,105,60
69,91,65
82,104,123
73,117,163
67,118,152
65,84,159
78,107,53
32,136,76
67,90,58
65,94,185
78,253,53
32,83,165
8,89,302
78,103,55
79,119,74
84,100,95
32,115,153
67,93,86
72,107,57
65,85,103
78,129,106
71,29,182
69,96,155
32,103,109
84,99,130
72,92,40
69,101,140
73,123,49
82,90,103
32,91,188
68,97,57
65,94,142
82,85,172
75,149,11
32,110,88
83,93,265
75,122,109
73,150,159
78,109,68
32,110,33
84,91,239
79,99,65
78,105,49
69,85,48
188,126,169
32,115,162
16,172,111
65,97,61
83,109,198
8,105,272
65,105,114
32,127,48
83,106,67
72,34,42
79,119,188
82,91,48
84,101,132
32,122,63
80,78,145
69,113,111
82,110,124
83,109,178
79,145,31
78,94,27
32,110,129
67,85,110
65,94,183
78,108,51
222,84,88
84,116,119
32,132,107
67,102,97
72,109,31
65,91,110
78,115,86
71,90,178
69,91,113
32,107,107
66,116,134
8,1101,333
84,90,102
72,18,111
69,92,77
73,122,61
82,86,118
32,114,40
66,127,158
69,79,70
73,93,72
78,121,48
71,90,70
32,79,120
83,94,106
72,63,265
79,118,167
82,137,152
84,101,126
188,110,48
32,31,111
65,84,114
32,109,7
84,94,34
65,94,200
76,122,44
32,110,152
80,160,225
69,90,4
82,98,147
83,100,181
79,122,47
78,96,50
32,110,226
67,85,64
65,18,160
78,82,81
222,127,84
84,91,97
32,102,118
67,99,76
72,97,79
65,97,105
78,152,61
71,94,137
69,76,140
32,103,50
84,107,49
72,120,77
69,102,104
73,119,72
82,43,83
32,119,120
66,113,212
69,199,36
73,97,136
78,115,49
71,105,62
32,110,87
84,98,7
65,74,214
76,262,47
190,106,182
32,110,188
16,83,117
84,95,76
72,113,117
73,128,189
83,109,17
32,110,100
69,92,31
88,177,191
65,74,155
67,87,158
84,93,105
32,98,94
83,104,133
65,96,140
77,113,177
32,93,160
8,98,322
69,65,143
8,98,331
16,347,140
84,98,35
8,86,365
16,156,127
84,87,105
72,140,182
79,143,168
83,99,61
69,84,143
32,112,40
79,119,164
70,94,57
32,67,238
72,110,81
79,123,179
77,136,62
79,117,40
83,210,9
69,81,135
85,110,202
8,105,323
88,240,585
85,102,74
76,224,11
65,77,168
8,221,405
65,88,659
76,253,44
32,31,181
79,135,147
82,79,85
32,134,190
8,386,288
65,96,46
70,152,113
73,112,98
76,108,151
73,104,88
65,90,79
84,94,185
73,160,95
79,127,31
78,65,44
8,421,301
79,112,658
82,91,69
73,110,164
69,91,64
78,92,91
84,96,106
65,106,200
84,228,217
73,169,37
79,148,45
78,143,6
32,134,142
8,98,959
32,124,218
67,102,207
65,94,184
78,145,30
79,119,228
84,86,55
32,102,94
74,994,274
85,127,53
83,89,52
84,97,206
32,110,116
67,67,71
72,95,47
65,100,112
78,125,57
8,937,309
67,102,290
72,98,179
65,93,142
78,113,57
71,94,177
69,86,145
32,102,108
72,124,77
79,19,170
8,888,538
16,281,74
76,123,146
73,128,126
75,111,106
69,90,108
87,115,105
73,99,57
83,99,48
69,97,168
188,125,48
32,110,73
84,107,60
87,101,191
72,96,152
79,181,159
32,106,127
84,100,882
69,94,150
8,405,560
74,388,743
72,129,82
69,110,115
8,101,230
72,100,48
69,94,99
89,98,178
32,108,52
65,92,176
82,93,192
69,98,139
32,126,58
65,156,76
84,95,200
82,94,83
65,89,175
67,84,13
84,91,4
69,90,152
70,92,70
32,106,347
8,194,282
68,75,61
32,94,53
84,103,136
79,89,32
190,111,44
32,19,158
16,141,72
73,47,168
84,123,87
32,94,95
