VK,HT,FT
16,303,-1
73,106,224
32,113,200
84,140,160
8,250,545
66,90,199
69,104,125
76,121,238
73,122,251
69,93,123
86,67,273
69,119,168
32,90,133
84,143,263
72,141,80
65,125,119
84,111,185
32,98,131
71,97,466
65,81,237
89,123,341
32,135,141
67,117,272
79,133,75
85,92,111
80,94,241
76,122,177
69,95,113
83,134,229
32,112,95
72,97,107
65,124,115
86,65,201
69,98,205
32,94,140
69,95,196
86,71,214
69,121,162
82,240,224
89,143,247
32,117,117
77,92,205
85,85,141
67,107,288
72,125,108
32,137,113
70,102,245
32,100,192
65,126,124
32,93,119
82,254,153
73,97,382
8,276,516
79,113,105
70,105,252
32,105,90
65,129,149
32,91,115
82,134,151
73,94,292
71,94,154
72,115,92
84,91,117
32,81,106
84,153,173
79,138,62
32,113,102
84,126,205
72,161,102
69,178,99
32,131,60
80,110,273
82,135,108
73,98,350
86,65,217
73,104,233
76,188,176
69,82,109
71,122,193
69,128,104
83,100,238
32,123,116
79,92,243
70,107,234
32,108,168
77,98,287
65,144,117
82,394,153
73,102,364
65,89,284
71,128,242
69,114,97
32,104,92
73,103,238
78,103,190
32,99,86
84,127,316
72,167,105
69,156,80
32,157,72
16,301,174
85,100,159
78,108,146
73,101,161
84,115,163
69,100,98
83,96,237
32,101,97
16,244,305
8,263,436
68,108,229
32,107,118
16,414,216
83,97,239
84,104,216
65,128,142
84,110,176
69,118,88
83,118,237
32,101,128
65,117,172
83,126,100
32,92,372
68,108,254
79,100,125
32,117,119
83,101,185
84,99,206
82,104,106
65,96,211
73,94,113
71,99,142
72,130,93
84,102,121
32,89,108
67,122,272
79,134,72
85,97,104
80,84,203
76,127,166
69,127,117
83,102,236
190,165,248
32,101,93
16,336,364
73,107,159
32,115,137
70,111,266
73,88,173
82,192,168
77,90,277
76,170,234
89,118,169
32,95,204
66,110,224
69,116,118
76,133,247
73,123,193
69,83,143
86,67,281
69,102,257
32,82,131
84,166,215
72,170,88
65,124,119
84,110,184
32,97,105
76,187,263
79,113,134
86,56,210
69,103,328
32,102,127
73,99,260
83,136,125
32,79,109
76,199,264
79,111,107
86,56,262
69,103,170
32,89,126
65,132,209
78,94,115
68,100,96
32,111,106
87,111,362
69,308,61
32,129,88
72,123,132
65,109,108
86,70,270
69,104,255
32,92,127
69,95,338
86,63,217
69,100,260
8,266,440
79,107,152
76,199,184
86,64,226
69,113,170
68,79,287
32,108,87
69,88,384
78,118,265
79,94,178
85,95,103
71,133,282
72,114,99
32,135,157
73,100,201
78,105,182
32,93,191
84,144,171
69,97,103
82,227,226
77,77,253
83,134,150
32,87,206
79,89,257
70,114,202
32,121,173
72,108,93
85,98,165
77,96,253
65,171,116
78,119,143
32,105,152
67,117,334
79,114,62
78,96,212
83,92,129
67,117,343
73,99,193
79,115,98
85,86,106
83,136,182
78,90,187
69,104,125
83,113,238
32,121,109
84,160,212
79,136,63
32,105,99
82,200,229
69,127,135
65,107,194
76,221,116
73,119,300
90,680,439
69,98,102
32,121,88
84,141,232
72,153,93
65,115,126
84,109,166
32,97,112
83,88,473
69,152,246
88,204,26
