VK,HT,FT
16,306,-1
71,606,919
65,116,179
89,247,534
32,117,135
77,968,576
65,118,165
82,352,145
73,842,789
65,116,174
71,645,94
69,107,221
32,123,168
72,857,60
65,109,161
83,503,770
32,114,135
66,208,795
69,116,183
78,101,178
32,108,175
71,998,680
79,89,172
73,597,586
78,105,159
71,751,117
32,110,133
79,102,171
78,98,169
32,123,127
83,583,581
73,363,973
78,107,180
67,192,854
69,104,221
32,121,167
65,115,161
83,678,841
32,111,187
76,521,325
79,103,165
78,97,170
71,410,424
32,117,212
65,107,161
83,190,902
32,121,132
77,334,916
8,264,4
78,96,173
65,109,161
77,736,675
8,270,367
77,592,317
69,103,188
78,100,168
32,117,181
65,109,156
78,104,168
68,746,21
32,122,166
87,58,209
79,90,182
77,22,732
69,103,175
78,99,160
32,119,211
72,620,619
65,113,153
86,489,918
69,113,190
32,120,151
66,5,131
69,106,226
78,101,177
32,125,122
70,587,256
79,97,175
82,539,188
77,452,174
73,12,7
78,107,162
71,623,269
32,110,204
77,596,663
69,114,223
65,107,169
78,99,173
73,951,500
78,109,167
71,233,859
70,510,121
85,74,384
76,456,642
32,121,208
82,927,837
69,115,222
76,387,691
65,110,176
84,776,276
73,590,988
79,89,177
78,106,175
83,775,86
72,216,266
73,570,90
80,730,544
83,857,415
190,189,501
32,113,155
16,720,197
71,925,211
65,114,149
89,151,282
32,121,122
80,953,241
65,112,182
82,55,803
84,426,69
78,101,163
69,103,198
83,370,259
72,668,118
8,591,763
82,256,58
83,296,268
72,578,919
73,548,488
80,686,77
83,475,978
32,108,133
65,109,168
82,296,618
69,113,223
32,124,139
69,115,198
86,77,477
69,114,178
78,109,171
32,108,178
83,116,361
69,103,178
78,96,161
32,120,136
73,258,223
78,100,173
32,124,126
78,109,159
65,115,170
84,773,633
85,492,898
82,828,86
69,116,205
190,886,544
32,118,196
16,219,729
73,449,373
84,171,968
32,117,124
73,919,997
83,992,170
32,111,127
78,98,165
79,99,178
84,234,227
32,117,184
65,114,169
78,108,161
32,113,131
73,840,499
78,108,175
83,587,755
84,135,226
85,400,496
84,279,871
73,953,326
79,93,166
78,96,180
32,114,174
8,948,410
84,433,218
73,654,817
79,101,188
78,108,168
32,126,129
84,232,32
72,238,942
65,111,149
8,176,152
73,643,456
84,444,142
85,905,508
84,327,156
73,1,579
79,88,175
78,109,164
32,108,205
84,326,629
72,422,926
65,115,169
84,678,55
32,126,209
73,635,4
83,882,128
32,124,207
87,905,142
82,692,859
79,96,167
78,104,173
71,634,433
32,124,183
79,94,175
82,837,428
32,118,182
83,486,778
72,337,352
79,93,169
85,258,893
76,730,443
68,1,195
32,113,189
66,218,517
69,112,167
32,120,184
