VK,HT,FT
16,205,-1
73,129,263
32,126,108
66,294,635
69,150,88
76,39,796
73,136,485
69,161,94
86,230,23
69,107,88
32,131,93
71,288,412
65,184,55
89,809,946
32,111,97
77,669,911
82,934,462
8,33,219
65,155,89
82,427,440
73,41,586
65,185,125
71,684,413
69,162,1
32,13,102
73,148,503
83,65,719
32,124,70
83,225,917
69,200,88
8,464,205
69,154,82
83,44,824
69,140,113
78,107,84
84,139,116
73,148,487
65,145,92
76,239,47
32,114,89
70,260,571
79,137,16
82,768,851
32,123,90
84,161,138
72,118,475
69,163,88
32,128,102
16,260,969
85,255,602
83,13,23
32,90,58
73,110,424
70,406,615
32,112,90
87,680,14
69,150,79
32,100,137
65,164,115
82,676,762
69,160,92
32,113,98
84,125,261
79,148,112
32,103,418
84,162,126
82,663,381
69,166,207
65,189,93
84,167,214
32,93,90
83,849,296
65,185,126
8,845,32
65,134,597
76,257,396
32,133,110
73,129,123
78,117,112
68,559,576
73,114,660
86,702,434
73,148,49
68,651,357
85,483,419
65,127,254
76,293,521
83,50,18
32,105,94
69,203,341
81,595,251
85,554,399
65,189,86
76,550,360
89,336,594
32,116,62
8,712,501
190,173,373
32,115,84
16,272,301
78,132,109
79,184,113
84,165,634
32,89,90
65,153,180
76,991,790
32,115,441
80,837,328
69,158,76
79,192,97
80,823,551
76,771,818
69,150,88
32,110,10
67,993,563
65,144,320
78,132,341
32,86,87
67,795,245
72,112,127
79,132,359
83,812,449
69,158,81
32,115,94
84,146,133
72,113,285
69,183,101
73,110,112
82,86,266
32,102,130
83,240,487
69,171,80
88,781,411
85,809,998
65,189,87
76,556,573
32,99,117
79,114,84
82,380,515
73,21,135
69,201,117
78,132,107
84,145,113
65,130,111
84,174,93
73,148,82
79,165,93
78,116,132
32,80,106
188,835,2
8,555,445
188,102,503
32,92,110
77,519,119
65,145,51
75,6,293
73,123,100
78,109,52
71,724,92
32,124,133
73,127,271
84,139,159
32,128,97
68,826,870
73,110,99
70,859,144
73,114,121
67,752,763
85,687,62
76,908,945
84,161,95
32,112,97
70,641,587
79,79,122
82,795,40
32,95,79
72,114,803
79,146,74
77,121,270
79,105,66
83,669,602
69,151,116
88,150,488
85,930,414
65,183,198
76,978,621
83,728,492
32,90,86
84,154,131
79,144,620
32,128,84
67,659,394
79,24,23
78,124,126
70,852,665
79,154,83
82,161,656
77,173,769
32,111,84
84,127,133
79,86,96
32,122,109
84,137,61
72,150,573
69,150,206
32,130,90
84,203,1
82,524,824
65,226,107
68,875,927
73,140,127
84,147,247
73,150,139
79,140,14
65,151,158
8,768,107
78,134,112
65,164,91
76,133,40
83,975,982
8,142,331
32,111,102
78,7,99
79,150,122
84,161,116
73,129,49
79,140,123
78,121,108
190,221,187
32,111,95
16,419,751
8,220,623
32,111,130
79,147,50
70,904,676
32,108,84
77,122,466
65,154,97
82,75,262
73,119,645
65,151,100
71,979,845
69,165,193
190,24,844
32,98,83
16,159,20
71,968,713
65,161,147
89,280,464
32,90,130
80,323,697
69,171,112
80,54,687
79,184,83
8,247,273
79,177,60
80,935,497
76,196,440
69,164,9
32,128,17
72,121,952
65,177,86
86,482,578
69,156,88
32,106,94
84,161,132
72,119,521
69,157,117
32,115,90
82,793,335
73,142,157
71,462,337
72,54,769
84,154,142
32,119,78
84,149,138
79,124,125
32,112,90
66,265,672
69,166,337
32,111,102
87,37,429
69,167,221
73,126,126
8,642,132
73,148,163
84,132,68
72,139,962
32,134,86
87,454,24
72,118,162
79,144,90
32,91,94
84,133,78
72,107,860
69,131,10
89,822,869
32,106,130
76,763,942
79,184,750
86,60,314
69,73,141
32,111,100
65,151,89
78,132,523
68,49,636
32,125,84
70,665,516
85,5,13
76,393,601
32,120,114
80,833,678
82,65,211
79,114,21
84,137,130
69,157,110
67,823,568
84,157,157
73,115,488
79,141,80
78,141,59
32,96,96
79,184,291
70,76,335
32,93,130
84,148,138
72,132,785
69,161,328
32,123,90
76,340,412
65,158,123
87,697,182
190,454,730
32,115,128
16,471,792
71,960,916
65,164,144
89,46,120
32,108,95
73,129,24
78,108,128
68,718,307
73,108,70
86,50,112
73,137,363
68,396,343
85,146,948
65,8,75
76,580,782
83,361,772
32,99,106
65,186,49
82,198,460
69,180,78
32,84,97
83,256,391
73,129,12
77,470,572
73,127,4
76,622,215
65,183,104
82,100,415
32,115,94
84,172,132
79,140,775
32,13,89
16,712,778
65,147,147
70,621,282
82,610,656
73,128,47
67,470,621
65,183,192
78,106,522
32,124,110
16,289,277
65,152,185
77,609,158
69,159,89
82,309,244
73,141,50
67,844,337
65,189,146
78,132,88
83,612,788
32,90,88
68,359,102
85,909,161
82,580,70
73,115,102
78,131,58
71,274,601
32,128,94
84,125,211
72,115,319
69,151,88
32,111,28
16,267,142
67,437,259
73,150,281
86,709,785
73,122,50
76,527,938
32,107,94
16,696,493
82,339,885
73,148,311
71,21,833
72,131,105
84,125,127
83,575,830
32,103,84
69,150,78
82,736,807
65,148,77
188,997,111
32,112,137
87,666,808
72,108,303
79,131,85
32,112,83
72,96,529
65,174,109
68,918,316
32,106,188
76,578,548
73,149,113
84,126,138
76,165,42
69,151,115
32,115,102
84,54,133
79,114,153
32,9,6
78,125,84
79,184,123
32,96,20
80,49,903
82,584,141
79,98,82
69,140,108
67,42,303
8,269,784
84,176,68
69,157,59
67,756,700
84,161,212
73,141,291
79,184,84
78,115,48
32,126,110
70,333,705
79,119,74
82,219,96
8,199,519
82,480,413
79,131,130
77,439,754
32,111,98
68,411,632
73,129,120
83,42,280
67,18,122
82,438,55
73,149,16
77,804,651
73,108,69
78,120,11
65,145,62
84,161,116
73,90,72
79,170,400
78,132,106
32,129,85
65,107,105
78,132,95
68,687,753
32,111,107
80,875,431
82,332,171
79,132,124
84,161,131
69,156,81
67,940,767
84,162,117
73,108,128
79,165,73
78,140,103
32,111,150
66,485,238
89,405,581
32,112,103
84,157,153
72,96,995
69,153,88
32,79,98
76,116,658
65,166,774
87,215,522
190,140,808
32,129,113
16,730,437
73,108,311
32,111,111
84,159,158
82,617,380
89,960,52
8,725,949
85,11,368
76,708,381
89,901,10
32,99,107
66,119,808
69,160,65
76,743,32
73,147,26
69,160,117
86,569,562
69,156,206
32,115,94
84,153,116
72,131,984
65,29,84
84,155,555
32,128,79
73,108,306
70,319,938
32,111,94
84,125,42
72,126,629
8,610,116
71,923,559
65,165,360
89,605,89
32,95,94
80,123,775
69,150,117
79,146,73
80,998,248
76,267,941
69,156,78
32,120,103
65,161,637
82,856,263
69,160,79
32,105,126
78,128,105
79,156,26
84,131,134
32,104,109
65,165,99
66,759,290
76,293,25
69,150,88
32,20,98
84,168,18
79,167,83
32,128,130
77,852,840
65,161,124
82,95,347
89,651,594
188,841,105
32,124,90
84,137,93
72,113,764
69,165,81
89,584,313
32,90,106
65,128,59
82,296,481
69,162,79
32,73,100
78,118,516
79,133,6
84,135,203
32,128,88
67,992,27
79,161,159
77,222,588
80,278,339
76,464,410
69,159,24
84,103,134
69,156,79
76,134,26
89,575,261
32,111,59
69,160,81
81,718,647
85,94,502
65,228,248
76,673,960
32,94,88
67,379,312
73,109,113
84,168,57
73,114,124
90,885,125
69,150,117
78,59,129
83,361,725
32,115,87
87,599,102
73,110,127
84,158,138
72,66,242
73,148,598
78,136,94
32,111,39
84,109,126
72,104,413
69,112,88
32,128,90
16,310,26
85,751,953
78,111,145
73,128,671
84,134,69
69,157,89
68,122,818
32,79,103
16,495,564
83,208,376
84,160,146
65,156,17
84,162,45
69,149,88
83,919,750
190,477,839
32,113,106
16,217,143
84,154,130
72,107,616
69,166,81
89,289,435
32,89,88
8,758,17
32,97,102
77,186,964
79,114,37
83,996,523
84,161,146
32,128,59
73,114,379
77,662,71
80,65,626
79,144,87
82,54,396
84,148,99
65,183,86
78,58,112
84,167,386
32,90,97
69,155,117
81,242,989
85,206,176
65,165,32
76,861,382
32,104,123
82,180,83
73,108,509
71,304,203
72,132,47
84,161,160
83,335,362
32,135,84
77,343,583
79,146,660
86,772,629
69,150,76
77,814,498
69,135,117
78,128,51
84,125,133
32,150,32
84,128,29
79,142,677
68,773,689
8,801,852
73,112,49
78,140,96
32,97,84
84,106,117
72,107,367
69,175,64
32,117,102
16,190,935
85,820,587
83,469,993
32,85,164
84,176,93
79,96,128
68,603,184
65,189,96
89,413,582
32,108,83
73,108,581
83,864,909
32,91,97
84,138,200
72,138,796
69,140,78
32,128,146
82,688,402
73,110,112
71,928,221
72,91,12
84,152,159
32,121,94
70,409,541
79,184,775
82,39,910
32,124,106
72,157,988
79,25,71
77,727,950
79,44,164
83,409,904
69,68,88
88,914,183
85,932,633
65,171,95
76,479,40
83,861,790
32,87,129
84,133,7
79,131,173
32,106,187
77,367,684
65,163,130
82,448,820
89,454,766
32,103,461
87,808,910
72,119,567
79,140,126
32,116,129
84,149,112
72,151,218
69,226,88
89,211,533
32,146,59
76,49,379
79,144,88
86,873,575
69,147,103
190,27,88
32,108,130
