VK,HT,FT
16,859,-1
71,43,119
65,89,291
89,364,848
32,35,0
8,539,504
16,330,581
69,82,205
86,741,981
69,90,150
82,379,360
89,508,458
32,83,214
80,825,815
69,82,151
82,30,53
83,82,11
79,71,263
78,79,112
32,85,101
72,67,133
65,87,60
83,91,159
32,74,180
84,42,201
72,63,132
69,74,225
32,82,506
82,945,390
73,72,990
71,932,397
72,57,104
84,48,134
32,92,175
84,64,171
79,66,142
32,46,180
77,219,529
65,47,139
82,922,183
89,769,246
32,66,109
87,439,758
72,68,97
79,67,6
32,64,297
84,91,129
72,59,141
69,90,252
89,267,449
32,83,208
76,250,216
79,81,182
86,178,851
69,74,175
190,485,137
32,98,114
16,820,961
84,53,115
72,58,132
69,85,174
32,82,128
67,279,228
72,64,128
82,101,155
85,599,924
67,187,399
72,77,132
32,79,340
73,73,925
8,408,853
85,757,117
82,831,952
67,165,741
72,71,129
32,85,100
67,179,742
76,294,111
65,75,251
73,74,124
77,35,170
83,82,121
32,64,514
73,71,775
84,87,128
32,8,97
73,70,250
83,91,124
32,77,866
65,90,175
32,81,87
83,79,107
73,63,189
78,72,254
188,567,118
32,103,89
66,995,295
85,271,556
84,72,231
32,75,228
73,30,23
84,80,134
32,8,114
73,71,128
83,82,53
78,64,263
222,673,775
84,86,125
32,82,94
8,976,337
83,90,175
32,54,120
66,321,225
69,112,130
73,4,628
78,64,115
71,746,643
32,100,525
71,510,802
65,82,176
89,271,953
32,96,109
73,62,260
83,83,73
32,90,128
65,82,54
32,64,522
83,90,109
65,54,95
73,61,252
78,69,273
8,737,776
73,76,55
78,78,115
188,765,792
32,81,525
66,510,398
85,87,904
84,28,120
32,89,98
73,67,616
84,37,129
32,101,173
73,69,270
83,82,121
78,78,489
222,983,143
84,87,129
188,91,579
32,74,88
73,73,262
84,72,227
32,92,95
73,71,814
83,86,142
32,53,233
76,725,46
79,53,353
86,328,759
69,74,160
190,995,128
32,90,434
16,700,661
84,54,543
72,61,133
69,111,173
32,73,108
67,453,620
72,61,140
85,496,853
82,100,559
67,44,274
72,69,180
32,72,232
73,79,1093
83,76,138
32,90,619
84,64,127
72,71,126
85,630,15
83,75,132
32,82,110
65,74,259
71,326,213
65,87,172
73,66,251
78,79,17
83,90,114
84,54,129
32,72,173
76,170,734
79,68,383
86,773,376
69,88,301
190,886,478
32,101,93
16,762,910
74,643,437
69,76,161
83,82,110
85,744,826
83,86,118
32,95,223
73,73,260
83,91,0
32,72,107
8,86,632
65,92,172
76,384,604
87,74,990
65,88,155
89,511,568
83,83,168
32,75,86
84,72,134
