VK,HT,FT
16,21,-1
77,205,651
65,481,552
82,326,750
73,263,744
65,574,177
71,511,764
69,169,196
32,75,355
73,420,668
83,75,213
32,79,226
65,143,949
78,819,75
32,80,296
73,928,271
78,163,819
83,593,180
84,116,243
73,43,492
84,134,174
85,353,647
84,136,298
73,834,87
79,718,685
78,810,819
32,76,316
82,208,616
69,163,229
67,88,13
8,489,634
69,176,225
88,583,708
8,808,810
83,914,110
84,124,346
65,846,369
66,574,752
76,311,328
73,338,871
83,340,906
72,825,173
69,170,201
68,908,237
32,78,333
66,144,548
89,388,251
32,69,230
84,115,438
72,678,842
69,166,213
32,83,303
83,113,605
84,119,441
65,533,67
84,126,369
69,146,184
8,646,465
84,124,190
69,155,234
32,84,280
84,114,213
79,137,510
32,73,353
82,930,34
69,141,200
67,136,469
79,335,138
71,905,964
78,149,953
73,82,902
90,588,67
69,148,229
32,66,262
65,702,586
32,68,340
66,546,202
79,71,218
78,152,296
68,573,136
32,74,294
66,426,492
69,172,216
84,135,175
87,375,399
69,158,172
78,851,188
32,68,323
84,113,378
87,246,402
79,401,431
32,70,352
73,966,687
78,858,402
68,351,386
73,37,758
86,687,663
73,395,537
68,977,202
85,571,371
65,7,79
76,53,113
83,255,235
190,198,5
32,77,359
16,124,547
84,126,385
72,83,221
69,168,197
32,74,236
83,120,505
69,143,238
88,493,168
32,67,357
79,32,357
70,560,993
32,74,280
84,109,310
72,36,507
79,410,21
8,259,230
32,66,322
16,60,394
84,125,328
72,747,522
69,173,239
32,77,261
83,423,450
84,126,448
65,664,827
84,118,219
69,143,216
32,68,198
77,580,925
65,565,57
89,367,454
188,170,256
32,78,309
73,369,71
78,251,852
32,81,237
8,767,967
32,72,257
83,851,509
79,126,896
8,246,453
79,706,736
77,932,758
69,170,174
32,80,263
73,595,269
78,516,165
83,359,29
84,122,222
65,312,140
78,984,347
67,992,718
69,161,217
83,450,482
32,79,359
8,503,166
188,263,319
32,73,234
74,103,556
8,1,64
72,969,840
65,61,962
86,913,242
69,156,231
32,78,352
82,389,737
69,168,228
83,801,426
8,785,655
65,578,778
83,491,263
79,679,378
78,209,885
83,532,665
32,75,207
70,175,262
79,688,621
82,598,405
32,82,300
68,69,558
69,174,171
78,792,635
73,526,834
8,267,785
89,581,709
73,375,736
78,573,582
71,212,170
32,78,218
80,747,685
69,160,234
79,362,743
80,240,796
76,850,445
69,143,175
32,69,280
84,130,309
72,464,887
69,143,180
32,73,309
82,816,432
73,714,739
71,573,374
72,988,402
84,131,415
32,71,364
8,783,833
72,65,7
84,135,286
32,76,313
84,130,323
79,665,913
32,75,303
69,138,239
78,95,59
84,110,229
69,159,180
82,645,456
32,82,223
73,288,166
78,816,154
84,122,357
79,146,295
32,67,364
65,9,854
32,68,286
77,439,581
65,358,439
82,375,610
65,316,579
8,382,768
73,224,734
65,436,264
71,487,948
69,147,179
76,190,264
69,146,189
71,537,432
73,446,908
84,113,377
73,592,903
77,507,574
65,262,758
84,108,297
69,175,180
32,82,197
188,845,123
32,70,334
65,755,385
83,979,851
32,78,258
87,147,37
72,577,725
69,172,238
78,584,501
32,70,328
84,122,295
72,536,404
69,176,208
32,78,257
73,864,387
78,424,393
68,690,397
73,633,833
86,157,910
73,590,810
68,228,649
85,29,671
65,781,872
76,904,794
83,958,943
32,84,316
65,199,548
82,609,421
69,165,189
32,71,296
67,303,907
76,31,844
79,104,829
83,106,843
69,148,198
76,232,783
89,603,53
32,73,327
82,667,216
69,146,221
76,647,8
65,564,289
84,133,296
69,137,195
68,622,821
32,78,344
65,559,883
78,754,550
68,412,352
32,69,284
84,130,221
72,628,924
85,957,541
83,342,329
32,78,258
82,815,452
85,425,925
78,850,590
32,66,353
84,125,357
72,948,488
69,176,192
32,69,319
82,275,921
73,946,858
83,537,599
75,432,575
32,82,318
79,407,961
70,632,603
32,81,254
80,294,638
65,966,616
83,922,178
73,943,802
78,664,360
71,127,224
32,80,284
79,281,973
78,277,87
32,74,336
71,444,997
69,145,175
78,529,753
69,157,198
84,126,445
73,73,302
67,761,499
32,74,279
68,468,944
69,170,230
70,752,462
69,152,229
67,15,550
84,113,239
83,678,703
32,73,296
84,124,318
79,56,501
32,67,234
65,249,280
78,686,178
89,347,589
32,80,325
67,345,169
74,523,539
8,661,308
72,35,362
73,399,527
76,10,1
68,688,227
82,647,412
69,160,213
78,743,820
32,70,344
66,503,490
79,771,235
82,646,957
78,783,519
32,71,347
79,463,296
70,670,76
32,74,234
84,134,177
72,824,745
69,140,231
32,82,332
87,951,66
69,163,235
68,264,98
76,275,781
79,499,699
67,721,10
75,196,751
190,27,806
32,79,305
16,97,408
66,415,321
85,183,583
84,135,411
32,66,313
8,37,940
32,72,364
73,421,480
78,780,716
32,69,273
84,110,406
72,631,30
69,169,219
32,80,326
67,907,468
65,742,621
83,843,6
69,169,214
32,77,356
79,579,203
70,246,955
32,73,295
71,955,3
65,276,293
89,604,752
32,79,237
77,401,426
65,134,428
82,734,219
73,188,528
65,925,402
71,372,866
69,166,172
188,460,220
32,73,209
84,115,425
72,462,373
69,170,216
32,71,230
79,426,356
78,307,104
76,18,742
89,158,300
32,78,247
79,885,31
78,287,756
76,148,370
89,851,183
32,72,305
8,533,160
79,656,692
66,936,383
74,574,826
69,155,212
67,505,678
84,126,404
73,459,317
79,906,290
78,364,110
83,302,433
32,77,284
84,111,323
79,687,261
32,77,228
84,111,184
72,811,979
69,174,172
32,72,278
8,376,670
79,551,554
80,279,248
79,27,350
78,528,426
69,145,210
78,272,99
69,146,185
84,112,247
83,290,703
32,73,241
8,317,995
80,562,870
79,549,243
78,777,798
69,145,175
78,532,835
69,177,172
84,130,183
83,268,411
32,83,289
8,717,245
78,895,596
84,122,195
83,451,545
32,83,329
66,789,842
8,79,560
80,331,480
85,567,112
84,118,243
32,67,204
70,371,739
79,805,895
82,475,512
87,805,75
65,253,911
82,628,342
68,407,957
32,73,240
65,175,503
82,278,464
69,155,210
32,69,302
84,121,180
72,47,115
79,740,562
83,87,270
69,155,222
32,75,230
66,59,352
65,245,24
83,13,939
69,163,212
68,386,932
32,78,269
79,656,958
78,724,165
32,76,335
84,123,355
82,405,726
65,192,538
68,896,732
73,681,159
84,132,296
73,317,210
79,945,255
78,756,975
65,74,731
76,972,723
32,83,221
82,903,493
69,160,175
71,418,782
76,92,907
73,677,77
8,277,680
76,726,981
73,40,53
71,403,429
73,214,204
79,702,572
85,628,815
83,844,278
32,75,327
86,184,231
65,59,111
76,723,134
85,418,962
69,170,177
83,148,116
190,529,746
32,67,289
16,833,298
84,136,319
72,982,965
69,152,221
82,758,405
69,149,182
32,69,337
73,101,859
83,983,587
32,66,289
78,477,20
79,538,54
32,69,345
83,664,964
84,123,216
65,554,697
84,127,409
8,382,744
16,929,976
79,684,111
70,173,375
32,72,274
67,702,154
79,563,722
8,51,453
16,173,399
84,126,232
72,257,98
69,146,179
82,337,12
69,147,215
32,81,301
73,419,401
83,851,956
32,79,328
78,444,252
79,109,942
84,113,268
32,75,243
73,418,814
78,842,235
32,71,294
16,230,616
65,689,33
77,151,795
69,149,186
82,352,900
73,520,267
67,464,955
65,168,436
32,79,214
65,433,342
78,219,139
89,844,634
