VK,HT,FT
16,287,-1
77,37,175
65,140,127
82,210,493
73,65,286
65,217,158
71,107,126
69,150,157
32,44,173
73,103,212
83,101,167
32,108,237
65,151,234
32,77,187
83,145,459
65,144,196
67,150,283
82,245,142
69,99,92
68,106,318
32,109,203
85,103,165
78,109,269
73,107,163
79,144,227
78,111,212
32,114,228
66,105,216
69,106,184
84,68,171
87,154,178
69,110,173
78,113,575
32,68,134
84,119,193
87,188,306
79,150,223
32,154,136
80,113,431
69,109,537
79,114,145
80,103,248
76,144,676
69,49,196
32,18,647
84,68,403
72,122,142
65,141,150
84,102,107
32,65,132
87,144,358
65,184,153
83,117,259
32,110,174
8,1328,593
32,71,634
79,184,314
82,108,147
68,149,198
65,111,153
73,98,220
78,109,176
69,110,221
68,111,238
32,109,192
66,101,273
89,110,158
32,113,145
65,154,74
32,60,89
72,111,320
73,99,205
71,105,212
72,113,195
84,106,165
69,105,110
8,110,521
69,112,196
82,146,95
32,144,331
80,112,261
79,114,837
87,148,181
69,142,176
82,103,97
32,110,471
84,176,288
72,70,802
65,151,185
78,97,140
32,114,182
72,101,402
85,118,168
77,55,201
65,144,152
78,94,139
32,74,209
66,113,149
69,151,240
73,111,156
78,119,241
71,112,204
83,211,359
190,107,65
32,160,360
16,1500,466
73,22,127
84,108,389
32,107,171
87,127,358
65,151,163
83,161,224
32,108,428
77,105,169
69,149,707
65,3,218
78,149,159
84,112,257
32,116,171
84,99,156
79,158,135
32,110,163
73,103,93
78,109,224
68,112,271
73,147,141
67,147,308
65,152,365
84,109,171
69,112,161
32,111,136
84,130,162
72,113,153
65,183,140
84,110,130
32,112,74
84,111,226
87,139,180
79,183,183
32,102,112
80,112,378
69,108,537
79,64,139
80,109,196
76,110,211
69,111,197
32,109,188
173,91,580
32,85,609
79,114,219
70,141,152
32,98,210
79,185,225
80,88,205
79,151,168
83,149,486
73,110,151
84,120,275
69,75,202
32,108,164
83,113,466
69,144,160
88,687,631
69,179,1281
83,147,196
32,84,223
173,112,231
32,109,502
87,144,376
69,110,218
82,107,156
69,127,206
32,113,183
87,151,239
73,60,146
76,241,226
73,114,221
78,108,218
71,112,201
32,89,215
84,121,97
79,180,154
32,113,66
83,113,126
80,74,487
69,111,174
78,58,215
68,114,157
32,60,175
84,119,194
72,122,136
69,145,215
73,111,146
82,117,159
32,65,175
76,110,264
73,114,331
70,110,225
69,112,138
32,111,183
84,120,555
79,108,333
71,107,212
69,146,221
84,110,171
72,106,161
69,158,235
82,143,416
32,108,262
65,115,190
78,150,152
68,111,144
32,76,168
84,86,177
79,118,137
32,116,222
80,73,397
82,105,179
79,99,153
68,148,134
85,138,984
67,109,206
69,102,389
32,44,214
79,184,290
84,75,175
72,76,98
69,149,221
82,60,61
32,110,184
72,103,402
85,110,216
77,38,243
65,146,129
78,94,274
32,109,216
66,111,548
69,110,211
73,146,143
78,110,220
71,174,172
83,146,210
190,107,360
32,70,193
16,187,466
87,111,321
72,114,117
69,117,173
84,68,378
72,151,143
69,145,1281
82,60,192
32,144,74
79,86,55
82,81,42
32,110,143
78,149,242
79,137,207
84,141,206
32,72,546
84,107,156
72,101,211
69,27,119
89,97,194
32,114,162
85,75,109
76,107,228
84,81,237
73,110,88
77,107,204
65,180,163
84,107,123
76,111,150
69,144,181
89,111,159
8,498,668
84,120,1240
69,158,331
76,107,237
89,143,205
32,158,190
68,3,263
79,69,207
32,149,103
83,140,274
79,191,162
32,111,193
73,104,347
83,151,189
32,139,221
78,114,244
79,100,189
84,76,245
32,108,141
84,119,188
72,94,135
69,108,138
32,73,282
73,103,212
77,41,200
80,72,185
79,155,227
82,147,1364
84,99,550
65,155,163
78,150,179
84,119,470
32,108,148
84,170,156
72,70,124
73,152,220
78,110,212
71,180,201
59,966,954
32,60,190
72,83,298
65,144,103
86,144,424
69,102,249
32,149,214
67,115,308
72,110,225
73,131,210
76,229,225
68,119,220
82,181,220
69,105,129
78,113,609
84,110,52
72,69,201
69,176,98
32,60,115
70,110,334
65,111,212
67,146,200
84,99,231
32,148,149
84,140,159
72,73,151
65,181,196
84,120,35
32,63,149
84,111,149
72,71,205
69,94,138
89,97,44
32,13,162
65,141,166
82,257,32
69,100,114
32,110,130
87,119,140
73,59,147
76,11,230
