VK,HT,FT
16,210,-1
73,159,120
32,137,124
79,207,139
80,144,155
79,105,132
83,125,472
69,112,156
32,129,141
84,105,117
72,135,61
69,73,59
32,120,70
76,53,189
69,86,152
71,167,300
65,71,124
76,108,157
8,113,701
73,120,115
76,117,254
73,53,94
90,646,357
65,111,136
84,132,512
73,12,102
79,120,132
78,112,84
32,109,136
79,111,131
70,46,97
32,127,157
77,144,79
65,147,132
82,120,115
73,65,448
65,152,62
71,110,77
69,82,143
32,120,173
70,117,141
79,92,147
82,73,139
32,121,84
71,130,88
65,168,122
89,98,203
32,121,259
66,89,685
8,105,293
67,116,178
79,105,32
85,63,91
80,129,257
69,79,121
8,102,711
76,137,984
69,98,160
83,259,138
190,148,401
32,115,148
16,167,393
32,120,220
73,128,217
32,121,200
66,98,334
69,17,217
76,113,779
73,65,105
8,113,250
16,215,603
73,120,191
32,152,101
66,80,183
69,184,178
76,113,434
73,111,180
69,107,125
86,135,114
69,112,156
32,136,151
84,109,192
72,62,93
65,95,113
84,95,101
32,122,82
77,150,65
65,127,128
82,120,93
73,120,170
65,174,60
71,113,148
69,131,159
32,121,71
73,118,135
83,113,138
32,160,134
66,80,260
65,120,273
83,177,128
69,110,258
68,77,16
32,129,126
79,113,407
78,143,92
32,142,144
67,125,253
72,129,100
82,106,124
73,65,120
83,117,99
84,92,148
73,145,280
65,144,151
78,105,88
32,109,99
86,121,163
65,113,124
76,109,300
85,42,76
69,88,60
83,105,164
32,97,115
65,143,143
78,138,121
32,109,133
68,97,155
83,112,209
72,109,116
79,258,172
85,139,98
76,192,167
68,102,28
32,133,119
66,74,174
69,81,195
32,128,52
66,82,264
69,19,146
84,121,167
87,151,102
69,126,120
78,120,107
32,137,142
65,113,287
32,121,144
77,136,209
65,128,16
78,135,108
32,127,102
65,42,167
78,95,123
68,105,83
32,138,109
65,158,294
32,113,100
87,149,151
79,100,150
77,152,91
69,96,98
78,102,99
188,151,94
32,106,118
78,82,758
79,103,125
84,96,116
32,139,107
66,101,349
69,80,194
84,103,266
87,139,176
69,114,116
78,136,99
32,121,145
84,105,98
87,128,230
79,163,130
32,122,119
79,112,160
70,47,86
32,108,134
84,105,136
72,96,61
69,111,152
32,114,123
83,137,186
65,110,163
77,218,93
69,96,90
32,132,275
69,104,96
88,768,331
8,110,478
83,151,300
69,140,157
88,82,670
190,153,181
32,103,128
8,612,266
16,224,202
73,153,85
32,123,209
66,57,116
69,89,151
76,141,208
73,156,76
69,128,123
86,158,151
69,113,129
32,140,196
84,126,88
72,111,80
65,103,96
84,105,58
32,84,67
71,132,148
65,140,118
89,129,203
32,133,155
80,147,133
69,125,123
79,48,157
80,144,133
76,144,105
69,126,50
32,109,190
67,136,534
65,167,115
78,127,148
32,128,149
67,125,296
79,90,132
78,119,104
84,121,233
73,121,258
