VK,HT,FT
16,248,-1
71,131,350
65,100,160
89,93,42
77,82,62
65,97,215
82,257,139
73,85,203
65,142,144
71,124,145
69,97,112
32,69,10
73,86,539
83,79,67
32,89,28
65,88,164
78,99,95
32,88,297
65,127,165
70,15,0
82,147,54
79,121,144
78,81,211
84,93,116
32,86,190
84,111,90
79,106,161
32,107,125
80,89,0
69,114,87
79,84,98
80,100,506
76,109,173
69,277,0
32,80,200
79,98,179
70,80,46
32,79,80
70,159,112
65,104,274
73,96,299
84,111,222
72,96,0
32,68,643
87,96,449
72,74,91
79,95,132
32,91,89
66,115,168
69,87,128
76,108,121
73,116,207
69,89,0
86,108,119
69,111,99
32,80,5
84,100,418
72,96,0
65,112,108
84,134,631
32,74,38
16,192,446
71,106,434
79,89,138
68,72,116
32,94,172
79,94,42
78,68,160
76,0,90
89,98,233
32,107,63
65,109,263
80,106,19
82,95,206
79,100,127
86,70,220
69,150,176
83,131,59
32,78,0
79,102,182
70,99,110
32,81,115
77,83,199
65,119,99
82,264,100
73,90,261
65,148,230
71,117,99
69,73,171
32,90,85
79,97,87
78,93,209
76,232,0
89,89,109
32,59,181
66,137,150
69,77,105
84,132,0
87,95,166
69,210,148
78,67,191
32,102,358
65,108,220
32,86,266
77,76,82
65,143,109
78,95,90
32,69,323
65,89,0
78,87,94
68,83,97
32,90,87
65,81,49
32,78,163
87,118,69
79,111,66
77,111,132
65,128,54
78,83,131
32,67,135
16,185,830
57,975,341
79,119,0
82,97,132
32,80,165
87,51,433
79,118,75
77,95,97
69,61,395
78,94,117
16,285,411
48,909,824
190,88,684
32,0,147
16,116,449
77,163,281
65,119,144
82,238,102
73,103,151
65,115,425
71,103,105
69,100,130
32,58,244
73,96,0
83,82,76
32,90,155
65,108,125
32,70,0
83,82,65
67,67,443
65,116,218
82,280,80
69,116,199
68,100,194
32,95,157
73,97,596
78,93,136
83,70,244
84,141,50
73,105,192
84,95,139
85,108,112
84,142,39
73,117,273
79,141,168
78,99,92
32,91,99
66,155,162
76,111,253
69,115,249
83,63,161
69,39,335
68,98,197
32,84,205
66,125,170
89,87,18
32,0,556
83,138,121
79,104,76
67,93,101
73,85,129
69,98,0
84,111,587
89,75,0
32,167,120
73,142,406
78,123,137
32,83,163
79,90,68
82,91,112
68,107,199
69,103,198
82,122,13
32,100,65
84,100,68
79,109,20
32,98,107
80,101,55
82,109,92
79,91,118
68,111,200
85,77,93
67,107,820
69,91,0
32,77,183
67,115,606
72,89,101
73,129,146
76,204,161
68,143,59
82,101,0
69,112,139
78,93,162
190,118,99
32,0,111
16,0,629
83,114,0
73,100,12
78,104,155
67,98,163
69,90,120
32,65,172
71,95,117
65,108,123
89,80,464
32,83,178
80,87,156
69,99,125
79,105,85
80,136,471
76,107,223
69,175,115
32,82,139
67,123,0
65,159,0
78,103,0
79,100,195
84,90,150
32,71,261
78,96,183
65,111,165
84,138,0
85,87,79
82,121,0
65,110,170
76,125,83
89,84,58
32,52,183
80,90,35
82,104,81
79,99,127
68,75,180
85,83,106
67,126,324
69,95,253
32,83,175
67,124,119
72,106,102
73,147,0
76,167,165
68,101,103
82,187,252
69,75,212
78,110,170
188,84,288
32,86,158
84,83,0
72,79,159
69,107,196
89,90,3
32,0,0
69,135,592
65,128,196
76,159,51
89,89,241
32,12,228
72,68,139
65,137,116
86,129,328
69,120,106
32,77,0
78,89,173
79,110,174
32,75,172
78,103,133
69,99,88
68,101,139
32,72,154
84,93,122
79,102,119
32,85,146
71,92,175
69,79,49
84,107,45
32,73,116
77,139,308
65,136,101
82,266,92
73,83,0
69,105,298
68,97,209
190,82,578
32,524,97
16,74,128
84,156,243
72,76,181
69,91,114
73,108,0
82,166,181
32,81,161
76,114,247
69,0,120
71,154,314
65,110,123
76,187,106
32,108,0
82,106,552
73,92,407
71,104,146
72,98,97
84,82,288
83,187,348
32,80,0
66,108,176
65,142,103
78,108,0
32,80,188
66,138,240
69,138,110
32,82,199
65,98,267
68,96,147
69,83,225
81,632,180
85,92,287
65,118,185
84,64,163
69,152,162
76,0,278
89,102,146
32,288,251
82,122,265
69,124,50
80,38,0
82,97,96
69,52,225
83,158,79
69,183,164
78,87,257
84,94,191
69,94,28
68,89,165
32,75,281
66,135,159
89,69,138
32,0,117
67,133,0
73,93,110
86,100,365
73,119,89
76,190,74
32,82,84
85,90,102
78,101,186
73,105,146
79,83,111
78,87,98
83,91,0
190,98,280
32,144,158
13,13,318
16,460,453
77,112,505
65,84,150
82,250,92
73,88,287
65,125,87
71,106,163
69,94,74
32,81,102
73,85,0
83,87,89
32,63,8
65,93,216
78,92,109
32,73,149
73,95,213
78,93,122
72,92,118
69,68,233
82,134,116
69,102,40
78,78,153
84,95,41
76,97,71
89,89,72
32,0,102
69,103,334
71,100,173
73,71,62
79,98,133
85,107,69
83,97,0
32,75,267
85,79,79
78,110,240
73,95,141
79,107,138
78,76,91
188,127,97
32,93,121
83,82,396
79,76,245
32,104,168
78,115,209
79,91,255
32,77,181
67,101,426
72,102,104
85,72,161
82,100,284
67,108,340
72,74,95
32,81,191
83,68,0
72,101,68
79,113,171
85,92,102
76,171,162
68,115,57
32,80,93
66,113,154
69,87,114
32,83,111
82,111,238
69,111,167
81,390,578
85,78,312
73,112,1
