VK,HT,FT
16,320,-1
73,124,167
84,112,249
222,118,0
83,93,86
32,63,124
65,111,313
71,120,216
65,140,185
73,116,88
78,122,129
83,91,138
84,133,242
32,124,354
84,155,353
72,117,59
69,105,69
32,69,90
87,96,178
73,73,126
76,157,48
32,140,221
79,92,215
70,114,90
32,76,63
16,185,476
71,82,0
79,43,189
68,134,283
190,91,746
32,144,348
16,186,826
73,103,0
84,124,130
222,98,487
83,143,21
32,89,156
77,120,175
8,347,488
87,112,797
82,110,55
79,105,239
78,103,207
71,96,0
32,65,114
77,110,293
79,47,135
82,79,0
65,97,177
76,167,107
89,99,352
32,125,108
65,150,222
78,160,85
68,145,174
32,81,283
82,129,89
69,92,64
76,127,139
73,53,76
71,81,136
73,147,103
79,96,216
85,183,179
83,157,137
76,98,142
89,103,400
32,60,0
8,1342,834
190,70,939
32,80,552
16,470,354
84,131,0
72,99,127
69,127,146
32,145,80
16,123,330
66,56,127
73,76,263
66,83,145
76,114,265
69,140,158
32,140,268
83,112,195
65,135,156
89,133,25
83,108,180
32,140,0
73,109,392
84,155,76
222,119,413
83,170,111
32,72,141
78,120,0
79,118,208
84,142,90
32,142,125
65,111,216
76,254,62
79,137,275
87,153,190
69,101,196
68,100,130
32,135,94
83,98,133
79,84,141
32,56,99
73,95,227
84,108,216
32,111,217
83,235,422
72,57,91
79,169,147
80,53,229
85,44,565
76,116,104
8,775,431
85,95,351
76,97,256
68,61,7
78,110,59
222,108,259
84,121,140
32,99,85
66,60,240
69,89,155
32,91,69
65,181,210
76,237,232
79,89,348
87,83,139
69,97,137
68,61,132
190,90,84
32,91,12
16,1307,1133
89,131,285
79,161,159
85,185,106
32,72,114
83,43,0
72,107,133
79,108,256
85,171,185
76,50,265
68,87,188
78,61,62
222,137,240
84,139,184
32,83,181
66,67,49
69,64,113
32,92,145
65,117,308
76,306,139
79,97,158
87,67,196
69,62,226
68,118,366
32,150,0
84,113,376
79,96,128
32,128,113
83,47,674
8,206,609
73,88,130
8,412,92
68,49,143
73,97,361
83,116,378
82,218,76
69,105,0
83,238,246
80,75,670
69,60,206
67,41,259
84,110,152
89,96,0
32,109,378
8,168,473
32,122,1258
84,124,178
72,73,76
69,112,195
32,126,31
87,86,233
79,65,79
82,80,156
68,105,243
32,97,263
79,137,312
70,97,108
32,75,111
16,263,162
71,79,198
79,117,437
68,99,249
32,88,37
66,98,243
89,117,55
32,105,178
77,136,392
65,177,63
82,361,201
89,122,435
73,93,109
78,85,161
71,107,135
32,237,95
83,112,287
79,153,57
77,106,404
69,89,117
79,165,90
78,65,93
69,146,61
32,86,430
79,54,158
70,106,229
32,113,117
84,93,169
72,83,110
69,119,112
32,134,52
83,78,255
65,118,135
77,84,146
69,83,112
32,97,131
83,178,285
69,24,182
88,106,229
190,152,0
32,0,423
16,246,539
77,114,94
65,64,317
82,270,89
73,104,327
65,174,63
71,97,257
69,76,54
32,113,433
73,108,43
83,104,96
32,99,308
66,32,155
69,161,160
84,49,0
87,36,212
69,303,131
78,110,320
32,134,74
65,116,173
32,72,79
77,82,110
65,102,115
78,122,159
32,104,340
68,86,280
8,275,368
77,128,686
65,96,134
78,40,92
32,99,374
65,137,263
78,137,214
68,129,124
32,75,72
65,82,56
32,46,209
87,79,70
79,173,240
77,121,74
65,154,0
78,99,151
190,131,216
32,268,0
16,5,717
84,110,209
72,123,205
65,142,4
84,108,108
8,27,430
71,85,417
65,143,106
8,0,396
72,141,781
65,187,73
84,133,199
222,117,617
83,127,197
32,89,224
73,99,138
84,134,152
190,81,799
32,78,239
16,337,506
89,133,95
79,228,225
85,160,87
32,149,0
67,84,218
65,180,81
78,195,60
222,113,404
84,71,105
32,145,135
72,102,222
65,195,22
86,98,110
69,95,41
32,135,128
65,103,143
32,135,159
70,70,189
65,118,200
77,115,172
73,94,0
76,24,39
89,106,227
32,89,136
73,66,37
70,115,283
32,72,109
89,104,0
79,161,15
85,103,72
222,127,526
82,72,0
69,120,7
32,134,100
65,124,0
32,55,114
77,96,153
65,64,109
78,99,59
32,130,317
65,114,162
78,134,175
68,112,405
32,75,95
89,70,982
79,84,258
85,70,112
32,67,228
77,96,500
65,97,156
82,171,365
89,59,385
32,65,203
65,81,310
78,78,85
79,145,113
84,81,129
72,44,185
69,55,70
82,105,134
32,197,0
77,136,500
65,94,77
78,118,177
190,105,351
32,171,210
16,756,499
84,72,379
72,103,126
65,78,97
84,77,172
222,134,360
83,125,99
32,100,89
65,78,452
78,104,308
79,139,265
84,172,162
72,135,83
69,176,129
82,78,206
32,131,478
82,21,270
69,147,109
65,83,318
83,125,193
79,117,239
78,130,181
32,198,271
87,76,395
72,118,197
89,114,216
32,103,423
73,65,166
84,137,0
222,131,118
83,135,105
32,128,176
87,95,237
82,97,188
79,96,142
78,101,0
71,92,138
190,111,282
32,217,238
16,504,0
66,105,155
85,84,101
84,94,113
32,79,0
73,135,96
8,0,311
69,161,253
86,78,144
69,69,420
78,117,20
32,320,228
73,127,244
70,95,116
32,115,168
89,86,161
79,107,125
85,77,17
32,89,36
84,69,117
65,146,116
75,58,67
69,72,100
32,96,67
84,116,334
72,84,169
69,106,195
32,124,185
87,119,253
79,88,70
82,83,143
68,106,192
32,110,178
79,113,608
70,133,76
32,108,72
16,242,198
71,101,98
79,138,184
68,97,285
32,94,410
79,0,0
85,110,117
84,106,80
32,89,17
79,131,224
32,181,71
8,420,312
70,131,703
32,206,80
73,61,170
84,103,123
188,75,17
32,129,412
73,142,241
84,110,10
222,114,0
83,85,154
32,79,150
83,109,0
84,67,221
73,78,70
76,270,130
32,79,290
77,111,60
79,136,148
82,130,41
65,143,203
76,150,104
89,108,384
32,111,129
87,57,203
82,60,282
79,71,259
78,140,191
71,48,217
190,63,66
32,141,247
16,109,105
73,106,169
84,111,259
222,97,2
83,77,161
32,118,130
68,111,383
73,107,0
83,146,133
71,113,219
85,43,167
83,107,0
84,35,245
73,63,247
78,106,220
71,59,159
32,109,236
65,79,179
83,89,172
32,134,0
87,165,159
69,132,174
76,176,162
190,105,190
32,203,284
16,319,360
71,103,0
65,117,200
89,101,136
83,107,134
32,108,120
83,80,335
72,92,106
79,86,104
85,98,156
76,132,278
68,80,38
32,108,150
78,77,304
79,110,4
84,58,166
32,102,10
66,104,667
69,81,140
32,76,94
65,106,251
76,187,212
79,91,818
87,83,151
69,123,204
68,87,293
32,71,0
84,74,85
79,151,151
32,88,97
71,68,340
69,193,0
84,98,244
32,46,154
77,128,393
65,132,190
82,79,31
73,94,442
69,91,168
68,93,254
190,79,104
32,109,285
16,758,597
84,135,582
72,128,96
69,82,82
82,85,61
69,118,167
222,54,460
83,152,238
32,87,238
65,116,234
66,95,239
83,151,556
79,124,22
76,133,354
85,79,263
84,162,133
69,94,348
76,256,0
89,91,95
32,207,333
78,155,0
79,135,0
32,136,262
82,172,165
69,171,218
65,108,152
83,94,99
79,183,0
78,87,5
32,171,0
70,140,307
79,94,59
82,62,87
32,0,172
73,110,158
84,52,184
190,96,139
