VK,HT,FT
16,293,-1
71,135,315
65,89,93
89,106,100
32,129,372
77,147,314
65,127,263
82,9,349
73,117,316
65,113,235
71,113,152
69,101,247
32,101,762
73,121,377
83,109,109
32,125,214
67,87,290
79,125,320
77,125,286
80,121,344
76,118,256
69,106,208
84,96,95
69,105,128
76,113,233
89,127,162
32,121,252
65,126,134
71,114,133
65,162,202
73,142,278
78,112,260
83,97,578
84,41,133
32,105,283
16,306,201
71,114,413
79,118,317
68,104,368
83,116,129
32,107,72
87,105,116
82,116,207
73,138,330
84,274,239
69,112,433
78,118,417
32,109,219
87,60,118
79,150,345
82,108,269
68,108,154
32,40,146
65,125,181
78,117,175
68,113,155
32,112,170
73,119,388
83,112,204
32,112,237
65,122,191
78,112,175
32,117,231
79,108,268
66,104,239
73,133,379
78,112,288
65,77,288
84,109,119
73,108,216
79,133,184
78,129,340
32,100,231
84,103,130
79,105,146
32,113,347
72,101,130
73,47,334
77,125,261
190,117,668
8,113,915
32,108,336
65,101,154
78,117,175
68,112,126
32,118,266
85,117,380
78,121,240
65,112,329
84,109,131
85,108,247
82,96,361
65,89,187
76,113,325
190,100,502
32,116,268
16,593,483
73,113,154
84,97,169
32,117,297
67,101,137
76,123,263
69,109,155
65,92,134
82,259,250
76,128,215
89,109,169
32,129,269
83,102,280
65,134,130
89,101,173
83,101,336
32,113,162
73,96,440
78,117,389
32,101,219
84,99,175
72,101,160
69,94,200
32,109,214
16,338,194
66,104,69
73,96,299
66,121,295
76,286,264
69,109,99
32,117,247
84,103,284
72,100,138
65,125,107
84,119,149
32,113,146
72,120,931
79,114,292
77,125,364
79,112,284
83,51,134
69,104,207
88,302,844
85,117,299
76,117,502
65,141,154
76,113,183
73,109,277
84,105,270
89,105,100
32,105,360
73,153,294
83,109,244
32,119,1456
65,125,155
78,117,175
32,106,290
79,109,547
66,105,239
73,104,195
78,112,252
65,117,186
84,121,122
73,109,389
79,120,182
78,129,304
32,117,308
73,71,304
78,91,366
32,120,231
16,252,557
71,137,184
79,125,188
68,112,122
83,109,246
32,105,161
69,121,215
89,110,155
69,93,150
83,108,257
16,253,100
49,502,481
32,129,215
16,296,167
73,117,402
84,100,247
32,117,334
83,105,93
80,281,300
82,117,145
69,92,231
8,1411,1297
69,113,282
65,133,1263
68,100,126
83,105,247
32,88,244
68,105,379
73,129,270
83,114,304
69,104,261
65,104,161
83,55,196
69,104,216
8,673,898
32,121,199
83,105,98
69,104,250
88,994,654
85,116,263
65,109,180
76,280,219
89,108,375
32,117,284
84,101,365
82,122,131
65,121,305
78,117,183
83,109,145
77,113,138
73,129,542
84,105,295
69,109,134
68,100,161
32,112,255
68,105,122
73,142,390
83,109,220
69,104,224
65,121,181
83,113,247
69,118,215
32,117,205
65,141,207
78,117,175
68,111,150
32,112,141
67,102,500
65,108,328
85,108,264
83,113,203
69,104,254
83,12,259
32,82,195
72,129,46
85,109,266
77,124,240
65,93,127
78,113,175
32,117,708
83,104,284
85,117,258
70,118,215
69,113,318
82,120,207
73,149,203
78,127,246
71,110,300
32,129,211
79,158,550
78,124,284
32,121,231
65,112,122
32,96,157
71,96,249
82,117,163
65,109,146
78,112,165
68,112,162
32,109,167
83,104,151
67,102,146
65,116,219
76,104,239
69,97,172
190,109,518
16,293,182
80,108,276
82,107,199
79,113,182
70,104,223
32,116,214
84,117,179
72,93,164
65,128,225
84,104,185
32,114,158
73,121,688
84,98,131
32,115,245
73,117,340
83,112,371
32,129,237
84,108,125
79,105,203
84,109,184
65,113,231
76,103,280
89,109,163
32,117,279
85,121,260
78,113,240
65,114,178
84,117,357
85,109,274
82,97,111
65,6,102
76,113,256
32,117,293
73,121,288
83,115,170
32,125,203
84,108,304
72,113,668
65,113,227
84,121,146
32,121,158
73,119,305
84,99,107
32,117,235
73,121,304
83,26,225
32,125,1403
73,132,298
77,99,280
80,120,344
79,121,372
83,110,270
73,109,393
66,117,76
76,121,410
69,109,203
32,115,211
84,90,272
79,117,190
32,104,343
80,108,437
82,96,121
79,120,320
67,101,524
82,121,236
69,93,255
65,117,174
84,113,182
69,96,163
32,108,211
72,101,789
85,117,154
77,124,294
65,101,207
78,117,138
32,117,207
76,109,458
73,105,272
70,117,261
69,125,239
32,134,231
73,113,377
78,113,245
32,68,231
83,104,162
85,112,174
67,109,459
72,131,173
32,101,211
65,109,122
32,113,155
82,54,100
69,105,139
76,116,211
65,89,142
8,113,898
83,96,243
65,101,122
77,125,260
69,109,222
32,116,195
83,109,265
69,104,224
88,494,78
32,97,268
83,104,327
73,113,253
84,110,328
8,120,1158
70,101,262
65,89,203
8,1411,839
32,105,219
83,104,243
73,105,393
84,109,222
85,109,269
65,101,138
84,120,440
73,117,284
79,121,167
78,125,304
190,117,474
16,282,170
77,113,292
65,122,130
82,272,360
73,117,319
71,117,512
65,105,178
69,93,348
32,137,215
73,116,347
83,112,174
32,105,463
83,122,364
65,112,191
67,91,195
82,100,302
69,96,296
68,111,339
8,1272,1222
32,105,644
65,130,195
32,55,159
83,122,191
65,121,294
67,101,300
82,104,236
69,96,296
68,111,274
32,115,189
85,101,110
78,125,296
73,137,211
79,129,187
78,106,296
32,120,708
66,124,239
69,125,187
84,142,242
87,145,376
69,96,308
78,111,434
32,114,204
65,119,188
32,99,150
77,127,307
65,121,150
78,121,267
32,117,307
65,125,134
78,117,162
68,112,105
32,113,282
65,141,91
32,113,222
87,103,104
79,113,333
77,131,212
65,99,202
78,113,8
32,115,202
65,125,142
78,123,163
68,46,88
32,110,280
65,117,134
78,117,176
89,110,528
84,100,163
72,129,194
73,117,243
78,125,301
71,97,130
32,96,256
69,113,203
76,113,276
83,114,247
69,14,227
32,108,215
68,112,286
69,109,219
83,98,284
84,96,227
82,110,380
79,125,292
89,105,105
83,112,171
32,105,275
84,108,164
72,113,142
69,99,151
32,117,181
83,13,168
65,96,202
67,104,307
84,142,179
73,141,279
84,98,316
89,121,275
32,121,320
79,87,269
70,105,238
32,116,1314
77,117,242
65,125,277
82,286,361
73,136,336
65,113,121
71,114,76
69,101,168
190,104,518
16,245,170
84,112,213
72,112,142
69,109,171
32,109,215
68,104,126
