VK,HT,FT
16,184,-1
73,132,134
32,131,177
70,131,267
69,117,133
76,113,149
32,106,230
84,119,223
72,92,95
65,160,171
84,113,192
32,127,154
84,108,178
72,108,67
69,117,142
32,108,97
73,134,157
78,131,81
67,126,421
76,158,138
85,93,184
83,140,220
73,142,142
79,155,143
78,132,101
32,125,300
79,131,177
70,103,152
32,113,135
83,136,218
65,159,247
77,110,160
69,117,292
32,109,187
83,147,306
69,107,196
88,122,309
32,123,212
77,110,291
65,152,101
82,151,184
73,106,184
65,140,214
71,117,306
69,133,136
83,149,232
32,133,247
79,104,241
70,113,132
32,119,139
8,257,535
82,115,195
32,118,181
222,112,465
16,195,485
71,122,238
65,137,237
89,92,177
32,127,273
8,231,657
222,110,456
32,151,265
77,107,313
65,154,118
82,173,211
73,97,214
69,127,135
65,170,118
71,99,266
69,110,214
83,143,226
32,131,203
67,121,488
79,132,84
85,89,108
76,104,306
68,139,231
32,104,157
72,88,222
69,112,162
76,123,269
80,119,315
32,102,145
83,144,344
84,117,299
82,122,257
69,137,95
78,114,199
84,112,403
8,167,584
71,120,249
84,117,178
72,97,113
69,115,142
78,101,180
32,126,309
70,128,231
65,136,101
77,109,170
73,135,149
76,122,167
89,87,187
32,114,97
86,110,230
65,146,117
76,111,188
85,84,193
69,126,212
83,144,245
32,110,285
84,114,251
72,91,83
65,153,141
84,119,268
32,124,155
72,96,202
65,164,116
86,104,179
69,114,179
32,124,121
66,113,286
69,107,241
78,97,203
32,135,253
83,143,256
84,126,256
69,129,185
65,156,133
68,120,266
73,110,181
76,121,166
89,86,185
88,100,328
67,119,405
8,199,550
32,134,177
68,112,470
69,87,206
67,112,615
76,172,147
73,136,181
78,132,108
73,119,119
78,132,54
71,117,205
32,116,123
83,134,212
73,123,177
78,137,67
67,122,280
69,122,213
32,109,138
65,144,195
66,114,369
79,134,111
85,102,105
84,127,271
82,115,334
8,139,574
84,118,242
32,122,174
8,213,707
32,99,147
84,120,212
72,94,74
69,109,165
32,114,117
49,919,382
57,250,841
53,28,489
48,555,509
222,106,337
83,133,231
32,123,123
79,100,195
82,103,251
32,110,141
83,142,269
79,135,203
190,86,276
32,110,293
16,190,427
73,134,156
32,146,144
87,143,378
79,136,102
85,92,93
76,103,296
68,144,236
32,115,143
80,126,310
79,133,177
82,119,181
84,122,189
82,107,243
65,163,101
89,90,185
32,123,197
84,115,249
72,99,99
69,114,152
32,105,116
83,146,348
65,156,204
77,97,159
69,119,263
32,121,110
83,134,317
69,110,191
88,108,315
32,90,251
77,115,243
65,148,104
82,190,156
73,106,164
65,140,102
71,129,232
69,115,132
32,112,205
65,142,191
83,132,380
32,120,241
65,138,398
78,100,125
32,119,356
65,140,320
76,110,190
84,120,174
69,131,186
82,124,84
78,122,148
65,135,143
84,116,215
73,135,88
86,106,241
69,120,192
32,119,147
84,125,244
79,101,79
32,139,181
84,125,191
72,93,96
69,112,159
32,106,100
82,128,199
73,99,185
83,129,215
73,142,142
78,121,62
71,117,203
32,116,146
78,88,238
85,93,179
77,133,131
66,110,229
69,135,198
82,125,92
83,119,301
32,119,253
70,123,328
79,129,90
8,177,725
80,117,213
70,130,300
32,117,152
8,123,640
79,114,213
70,110,180
32,113,108
222,116,353
85,99,109
78,103,221
87,149,300
65,143,239
78,101,122
84,112,134
69,128,168
68,117,252
222,105,485
32,153,201
67,130,376
72,80,99
73,106,152
76,113,171
68,117,241
82,122,220
69,148,119
78,112,209
