VK,HT,FT
16,126,-1
20,871,250
71,92,301
84,18,150
85,79,102
8,670,333
16,26,407
82,78,299
8,676,467
16,221,828
84,108,178
72,100,241
69,68,209
32,86,178
82,24,320
73,59,344
71,50,764
72,69,302
84,48,204
32,44,200
84,56,219
79,194,322
32,62,231
66,26,643
69,64,189
65,68,227
82,74,194
32,103,184
65,66,285
82,61,121
77,54,542
83,44,143
32,71,210
73,106,452
83,103,205
32,64,193
8,120,688
20,51,302
16,132,398
84,74,221
72,54,182
69,56,212
32,76,179
82,79,215
73,41,281
71,61,376
72,60,131
84,78,164
32,66,187
84,89,176
79,139,280
32,35,133
66,716,293
69,58,138
65,71,287
82,68,279
83,83,234
32,71,262
65,56,257
82,90,87
77,60,503
83,57,192
32,56,148
73,58,158
83,16,264
32,66,170
71,66,356
8,263,561
87,65,180
82,86,273
73,61,218
84,59,203
69,70,158
78,25,289
32,47,226
73,73,91
78,26,195
32,49,77
84,49,213
72,55,156
69,65,218
32,91,165
16,78,179
85,61,0
78,113,214
73,46,111
84,70,235
69,45,277
68,52,192
32,57,193
16,167,706
68,40,180
8,352,98
16,261,573
83,90,177
84,44,164
65,61,199
84,77,210
69,75,223
83,113,206
32,61,208
67,55,273
79,86,130
78,42,183
83,77,208
84,40,226
73,48,200
84,65,143
85,59,0
84,31,316
73,86,237
79,151,91
78,49,192
188,675,72
8,950,163
190,717,72
32,117,261
16,167,223
87,62,287
69,104,145
32,64,256
65,67,226
76,47,293
32,132,243
72,61,232
65,55,251
86,562,265
69,52,176
32,74,143
84,68,187
72,86,172
69,56,225
32,76,175
82,88,189
73,82,506
71,29,429
72,63,195
84,55,194
32,72,191
84,68,167
79,127,435
32,117,215
65,79,199
82,87,120
77,65,359
32,49,185
79,54,245
85,84,468
82,58,220
83,82,164
69,83,189
76,189,152
86,662,506
69,50,225
83,103,333
16,234,157
49,464,582
32,93,332
16,237,314
74,191,956
85,51,0
83,15,281
84,66,112
32,46,141
84,65,167
72,75,199
73,75,490
78,48,149
75,913,375
32,165,182
87,72,184
72,75,162
65,55,262
84,13,169
32,69,208
87,51,182
79,95,258
85,69,0
76,124,192
68,66,206
32,89,210
72,48,292
65,62,240
86,581,821
69,87,168
32,70,150
72,35,281
65,59,247
80,67,109
69,51,266
78,77,167
69,38,280
68,47,232
32,70,195
73,83,192
70,0,417
32,69,249
84,70,188
72,63,185
69,61,219
32,85,184
84,53,207
69,73,245
65,77,208
67,68,313
72,72,244
69,65,219
82,59,155
83,142,197
32,61,200
65,70,235
84,79,120
32,67,196
16,492,354
67,62,176
