VK,HT,FT
16,337,-1
84,91,145
72,77,90
69,90,79
82,136,78
69,133,86
32,84,211
83,111,171
69,137,80
77,94,152
83,111,119
32,81,197
84,79,142
79,96,73
32,93,130
66,79,185
69,82,82
32,81,174
65,99,125
32,74,107
72,91,181
85,86,107
71,87,186
69,114,102
32,81,174
65,99,125
82,110,88
71,87,186
85,92,104
77,94,152
69,107,102
78,74,136
84,91,93
32,79,155
65,91,159
66,78,193
79,89,124
85,93,65
84,80,100
32,80,130
71,77,327
85,93,94
78,112,60
83,87,126
32,81,197
65,91,159
78,75,90
68,73,98
32,82,77
71,77,327
85,93,94
78,112,60
32,94,153
67,74,285
79,94,84
78,110,79
84,91,93
82,105,141
79,89,124
76,101,140
190,74,377
32,85,189
16,292,278
85,86,107
78,108,68
70,81,210
79,89,124
82,89,115
84,91,145
85,84,127
78,108,68
65,80,170
84,102,107
69,114,102
76,101,140
89,84,113
32,85,306
77,76,206
65,85,115
78,90,91
84,91,93
8,296,464
89,86,127
32,85,248
85,86,107
78,108,68
70,81,210
79,89,124
82,89,115
84,91,145
85,84,127
78,108,68
65,80,170
84,102,107
69,114,102
32,81,174
80,107,219
69,114,102
79,89,124
80,128,81
76,91,87
69,89,117
32,81,174
72,91,181
65,97,69
68,84,167
32,80,117
84,79,142
79,96,73
32,93,130
76,101,140
83,111,119
79,89,124
69,114,102
32,81,174
84,84,121
72,74,87
69,83,80
73,82,156
82,105,141
32,85,228
76,101,140
73,82,156
86,96,256
69,114,102
83,163,78
32,81,197
73,85,141
78,92,82
32,94,153
79,77,185
82,89,115
68,84,167
69,114,102
82,120,91
32,85,228
70,81,360
79,89,124
82,89,115
32,85,228
84,79,142
72,74,87
73,82,156
83,111,119
32,81,197
84,79,142
73,85,137
80,107,219
79,89,124
67,81,227
8,296,464
79,89,124
80,128,81
73,82,156
67,81,227
32,85,189
84,79,142
79,96,73
32,93,130
69,114,102
86,96,256
69,114,102
78,74,136
32,94,153
67,74,285
79,94,84
77,135,101
69,107,102
32,81,174
73,85,141
85,86,107
80,107,219
8,296,464
85,86,107
80,107,219
190,74,377
32,85,189
16,292,278
84,91,145
72,77,90
69,90,79
32,85,114
84,84,121
82,105,141
85,86,107
84,80,100
72,77,90
32,85,189
73,85,141
83,111,119
32,81,197
84,79,142
72,74,87
79,89,124
85,93,65
71,87,186
72,82,116
188,71,384
32,81,166
84,79,142
72,74,87
65,97,69
84,102,107
32,79,155
84,79,142
65,96,128
75,73,141
73,82,156
78,92,82
71,91,81
32,82,209
65,91,159
87,105,139
65,96,128
89,86,127
32,85,248
71,77,327
85,93,94
78,112,60
32,94,153
82,105,141
73,90,149
71,87,186
72,82,116
84,91,145
83,111,119
32,81,197
73,85,141
83,111,119
78,94,97
222,84,137
84,91,145
32,79,155
71,77,327
79,89,124
73,82,156
78,92,82
71,91,81
32,82,209
84,79,142
79,96,73
32,93,130
84,79,142
8,296,464
83,111,119
84,106,95
79,100,71
80,128,81
32,85,189
86,96,256
79,89,124
73,82,156
76,167,115
69,89,117
78,74,136
67,81,227
69,114,102
190,74,377
32,85,189
16,292,278
73,71,89
84,105,101
32,79,155
73,85,141
84,105,101
8,296,464
83,111,119
78,94,97
222,84,137
84,91,145
32,79,155
71,77,327
79,89,124
73,82,156
78,92,82
71,91,81
32,82,209
84,79,142
79,96,73
32,93,130
77,76,206
65,85,115
75,73,141
69,114,102
32,81,174
16,292,278
65,96,128
77,94,152
69,107,102
82,120,91
73,90,149
67,81,227
65,92,82
32,77,162
65,91,159
78,75,90
89,86,127
32,85,248
83,111,171
65,96,128
70,81,210
69,160,165
82,120,91
190,74,377
32,85,189
16,292,278
80,107,219
69,114,102
79,89,124
80,128,81
76,91,87
69,89,117
32,81,174
65,99,125
82,110,88
69,101,101
32,84,211
86,96,256
79,89,124
73,82,156
76,167,115
69,89,117
78,74,136
84,91,93
32,79,155
67,74,285
82,90,330
69,133,86
65,135,47
84,102,107
85,84,127
82,105,141
69,133,86
83,163,78
188,71,384
32,81,166
65,91,159
78,75,90
68,73,98
32,82,77
83,111,171
79,89,124
77,135,101
69,107,102
84,118,198
73,85,137
77,100,85
69,107,102
83,163,78
32,81,197
87,100,148
69,96,86
32,89,122
75,73,141
73,82,156
76,167,115
32,92,351
79,77,185
84,91,145
72,77,90
69,90,79
82,136,78
32,85,228
72,91,181
85,86,107
77,94,152
65,85,115
78,90,91
32,94,185
66,79,185
69,82,82
73,82,156
78,92,82
71,91,81
83,111,119
190,74,377
32,85,189
16,292,278
89,86,127
79,89,124
85,93,65
32,85,189
67,74,285
65,117,59
78,101,60
222,84,137
84,91,145
32,79,155
79,90,153
85,93,65
84,80,100
76,101,140
65,96,128
87,105,139
32,85,189
72,91,181
85,86,107
77,94,152
65,85,115
78,90,91
32,94,185
78,94,97
65,80,170
84,102,107
85,84,127
82,105,141
69,133,86
190,74,377
32,85,189
16,292,278
67,81,227
82,90,326
73,102,133
77,101,91
73,94,415
78,92,82
65,80,170
76,85,87
83,111,119
32,81,197
65,91,159
82,110,88
69,101,101
32,84,211
67,74,285
82,90,330
73,101,127
78,92,82
8,296,464
77,94,152
73,94,415
65,96,128
8,296,464
78,94,97
65,80,170
76,85,87
83,111,119
32,81,197
66,79,185
69,82,82
67,81,227
65,92,82
85,86,107
83,100,93
69,137,80
32,81,174
84,84,121
72,74,87
69,83,80
89,86,127
32,85,248
65,91,159
82,110,88
69,101,101
32,84,211
71,77,327
79,89,124
73,82,156
78,92,82
71,91,81
8,296,464
68,84,167
79,89,124
73,82,156
78,92,82
71,91,81
32,82,209
73,85,141
76,167,115
69,89,117
71,87,186
65,96,128
76,85,87
32,92,351
84,79,142
72,74,87
73,82,156
78,92,82
71,91,81
83,111,119
190,74,377
32,85,189
16,292,278
73,71,89
70,81,210
32,80,179
87,100,148
69,96,86
32,89,122
66,79,185
65,96,128
78,90,91
32,94,185
70,81,360
85,86,107
78,108,68
32,94,153
84,79,142
72,74,87
69,83,80
82,136,78
69,133,86
32,84,211
87,100,148
73,82,156
76,167,115
32,92,351
187,301,380
8,296,464
71,87,186
85,92,104
78,110,62
83,87,126
32,81,197
84,79,142
72,74,87
69,83,80
82,136,78
69,133,86
32,84,211
87,100,148
73,82,156
76,167,115
32,92,351
79,77,185
78,110,79
76,101,140
89,84,113
32,85,306
66,79,185
69,82,82
32,81,174
65,99,125
32,74,107
66,79,185
76,101,140
65,96,128
67,81,227
75,73,141
32,85,189
77,76,206
65,85,115
82,115,86
75,73,141
69,114,102
84,118,198
32,79,155
70,81,360
79,89,124
82,89,115
32,85,228
84,79,142
72,74,87
69,83,80
77,94,152
190,74,377
32,85,189
16,292,278
89,86,127
79,89,124
85,93,65
32,85,189
67,74,285
65,117,59
78,101,60
222,84,137
84,91,145
32,79,155
83,111,171
84,106,95
79,100,71
80,128,81
32,85,189
65,91,159
32,74,107
67,74,285
82,90,330
73,101,127
77,101,91
73,94,415
78,92,82
65,80,170
76,85,87
32,92,351
70,81,360
82,105,141
79,89,124
77,135,101
32,97,235
77,76,206
8,296,464
67,81,227
79,94,84
77,135,101
73,94,415
78,92,82
71,91,81
8,296,464
84,91,145
8,296,464
84,91,145
8,296,464
73,82,156
84,105,101
73,85,137
78,92,82
71,91,81
32,82,209
67,74,285
82,90,330
73,101,127
77,101,91
69,107,102
83,163,78
8,296,464
84,91,145
72,77,90
69,90,79
32,85,114
67,74,285
82,90,330
73,101,127
77,101,91
69,107,102
83,163,78
32,81,197
84,79,142
72,74,87
69,83,80
89,86,127
32,85,248
83,111,171
69,137,80
84,118,198
32,79,155
79,90,153
85,93,65
84,80,100
32,80,130
84,79,142
79,96,73
32,93,130
68,84,167
79,89,124
190,74,377
32,85,189
16,292,278
89,86,127
79,89,124
85,93,65
32,85,189
67,74,285
65,117,59
78,101,60
32,94,185
79,77,185
78,110,79
76,101,140
89,84,113
32,85,306
72,91,181
73,82,156
78,92,82
68,74,103
69,114,102
82,120,91
32,85,228
84,79,142
72,74,87
69,83,80
77,94,152
32,97,235
65,91,159
78,75,90
68,73,98
32,82,77
77,76,206
65,85,115
75,73,141
69,114,102
32,81,174
73,85,141
84,105,101
32,79,155
72,91,181
65,97,69
82,115,86
68,84,167
69,114,102
82,120,91
190,74,377
32,85,189
16,292,278
85,86,107
78,108,68
70,81,210
79,89,124
82,89,115
84,91,145
85,84,127
78,108,68
65,80,170
84,102,107
69,114,102
76,101,140
89,84,113
32,85,306
77,76,206
79,89,124
83,111,119
84,106,95
32,79,155
79,90,153
70,83,91
32,79,144
85,86,107
83,100,93
32,81,197
87,100,148
73,82,156
76,167,115
32,92,351
72,91,181
65,97,69
86,96,256
69,114,102
32,81,174
84,84,121
79,96,73
32,93,130
76,101,140
73,82,156
86,96,256
69,114,102
32,81,174
73,85,141
78,92,82
32,94,153
70,81,360
69,160,165
65,135,47
82,115,86
190,74,377
32,85,189
16,292,278
66,78,193
69,83,82
73,82,156
78,92,82
71,91,81
32,82,209
65,91,159
32,74,107
67,74,285
79,94,84
76,101,140
69,89,117
71,87,186
69,114,102
32,81,174
83,111,171
84,106,95
85,84,127
68,84,167
69,114,102
78,74,136
84,91,93
32,79,155
77,76,206
89,86,127
83,111,119
69,137,80
76,101,140
70,81,210
32,80,179
65,91,159
78,75,90
68,73,98
32,82,77
65,91,159
32,74,107
77,76,206
65,85,115
76,85,87
32,92,351
69,114,102
77,94,152
80,107,219
76,91,87
89,84,113
69,114,102
188,71,384
32,81,166
16,292,278
73,71,89
32,85,189
79,77,185
78,110,79
76,101,140
89,84,113
32,85,306
75,73,141
78,94,97
79,89,124
87,105,139
32,85,189
84,79,142
79,96,73
32,93,130
87,100,148
69,96,86
76,101,140
32,92,351
87,100,148
72,82,116
65,97,69
84,102,107
32,79,155
73,85,141
84,105,101
222,84,137
83,111,119
32,81,197
76,101,140
73,82,156
75,73,141
69,114,102
32,81,174
84,84,121
79,96,73
32,93,130
72,91,181
65,97,69
86,96,256
69,114,102
32,81,174
65,99,125
32,74,107
66,79,185
79,89,124
77,135,101
66,78,193
32,85,189
79,77,185
82,89,115
32,85,228
71,77,327
85,93,94
78,112,60
32,94,153
83,111,171
67,81,227
65,92,82
82,115,86
69,101,101
32,84,211
65,99,125
82,110,88
69,101,101
8,296,464
32,85,189
8,296,464
84,91,145
32,79,155
69,114,102
73,82,156
84,105,101
72,77,90
69,90,79
82,136,78
32,85,228
77,76,206
89,86,127
32,85,248
80,107,219
76,91,87
65,96,128
67,81,227
69,114,102
32,81,174
79,77,185
70,83,91
32,79,144
83,111,171
84,106,95
85,84,127
68,84,167
89,86,127
32,85,248
79,77,185
82,89,115
32,85,228
87,100,148
79,89,124
82,89,115
75,73,141
190,74,377
32,85,189
16,292,278
73,71,89
84,105,101
222,84,137
83,111,119
32,81,197
73,85,141
78,92,82
67,81,227
82,90,326
69,133,86
68,102,180
73,82,156
66,78,193
76,101,140
89,84,113
32,85,306
70,81,360
82,105,141
73,90,149
71,87,186
72,82,116
84,91,145
69,114,102
78,74,136
73,82,156
78,92,82
71,91,81
188,71,384
32,81,166
89,86,127
69,114,102
84,118,198
32,79,155
73,85,141
8,296,464
16,337,276
73,72,93
222,84,137
77,94,152
32,97,235
83,111,171
84,106,95
73,85,137
76,167,115
32,92,351
67,74,285
79,94,84
77,135,101
80,107,219
76,91,87
69,89,117
84,118,198
69,114,102
76,101,140
89,84,113
32,85,306
65,91,159
71,87,186
65,96,128
73,82,156
78,92,82
83,89,121
84,106,95
32,79,155
82,105,141
69,133,86
83,163,78
84,106,95
82,105,141
73,90,149
67,81,227
84,91,145
73,85,137
78,92,82
71,91,81
32,82,209
71,77,327
85,93,94
78,112,60
83,87,126
190,74,377
32,85,189
16,292,278
89,86,127
79,89,124
85,93,65
222,84,137
82,105,141
69,133,86
32,84,211
78,94,97
79,89,124
84,91,145
32,79,155
74,634,49
85,86,107
83,100,93
84,106,95
32,79,155
84,79,142
65,96,128
75,73,141
73,82,156
78,92,82
71,91,81
32,82,209
65,91,159
87,105,139
65,96,128
89,86,127
32,85,248
65,91,159
32,74,107
67,74,285
82,90,330
73,101,127
77,101,91
73,94,415
78,92,82
65,80,170
76,85,87
83,111,119
32,81,197
82,105,141
71,87,186
8,296,464
73,82,156
71,87,186
72,82,116
84,91,145
32,79,155
84,79,142
79,96,73
32,93,130
79,77,185
87,105,139
78,94,97
32,94,153
65,91,159
32,74,107
71,77,327
85,93,94
78,112,60
188,71,384
32,81,166
66,79,185
85,86,107
84,80,100
32,80,130
65,91,159
78,75,90
32,94,185
72,91,181
79,89,124
78,110,79
83,89,121
69,137,80
84,118,198
32,79,155
65,91,159
78,75,90
68,73,98
32,82,77
72,91,181
65,97,69
82,115,86
68,84,167
32,80,117
87,100,148
79,89,124
82,89,115
75,73,141
73,82,156
78,92,82
71,91,81
32,82,209
87,100,148
79,89,124
77,135,101
65,85,115
78,90,91
222,84,137
83,111,119
32,81,197
82,105,141
73,90,149
71,87,186
72,82,116
84,91,145
32,79,155
84,79,142
79,96,73
32,93,130
80,107,219
82,105,141
79,89,124
84,91,145
69,114,102
67,81,227
84,91,145
32,79,155
72,91,181
69,96,78
82,136,78
83,111,119
76,101,140
69,89,117
8,296,464
69,114,102
76,101,140
70,81,210
32,80,179
87,100,148
73,82,156
84,105,101
72,77,90
32,85,189
65,91,159
32,74,107
70,81,360
85,86,107
78,108,68
190,74,377
8,296,464
71,87,186
85,92,104
78,110,62
191,110,407
190,74,377
8,296,464
190,74,377
