VK,HT,FT
16,224,-1
71,93,183
8,397,471
16,308,347
75,90,118
78,115,123
73,113,143
86,96,121
8,397,471
16,308,347
77,118,146
65,111,173
78,119,88
89,112,168
32,110,100
84,108,108
73,139,140
78,135,77
8,397,471
72,107,125
73,122,103
78,140,68
71,95,92
83,101,157
32,85,143
67,83,286
65,111,173
78,119,88
32,105,110
65,91,261
76,149,120
79,118,119
87,110,145
32,97,129
83,99,219
79,118,119
77,118,146
69,83,179
79,118,119
78,134,67
69,103,108
32,93,135
84,121,167
79,121,87
32,106,68
75,90,118
73,113,143
76,130,144
32,108,154
78,115,123
65,127,115
8,397,471
65,97,173
78,119,88
79,118,119
84,100,130
72,110,125
69,92,118
82,113,68
32,80,176
80,104,237
69,93,133
82,113,68
83,101,157
79,118,119
78,134,67
190,117,214
32,97,129
8,602,471
188,106,284
32,123,56
89,112,168
69,93,133
84,100,130
32,90,135
71,85,208
85,73,76
78,100,207
83,72,110
32,85,143
65,105,224
82,110,127
69,108,88
32,93,135
84,121,167
72,116,117
69,93,119
32,96,128
79,132,111
78,134,67
76,130,144
89,112,168
32,110,100
84,108,108
79,121,87
76,130,144
32,108,154
79,132,111
78,134,67
69,103,108
32,93,135
67,83,286
65,111,173
78,119,88
32,105,110
66,72,218
85,88,105
89,112,168
32,110,100
65,105,224
84,137,110
32,90,135
65,105,224
32,86,95
16,159,262
87,117,164
65,111,173
76,149,120
77,118,146
65,111,173
82,110,127
84,100,130
32,90,135
84,108,108
72,116,117
65,125,93
84,137,110
32,90,135
73,120,177
83,73,117
32,85,143
68,87,251
69,79,147
83,145,109
73,113,143
71,93,183
78,115,123
69,103,108
68,80,145
32,85,134
69,97,233
88,361,753
67,86,180
76,130,144
85,88,105
83,101,157
73,113,143
86,96,121
69,96,116
76,130,144
89,112,168
32,110,100
84,108,108
79,121,87
32,106,68
80,104,237
69,93,133
82,113,68
70,126,135
79,91,103
82,82,84
77,118,146
32,97,129
84,108,108
72,116,117
73,120,101
83,73,117
32,85,143
70,100,157
85,88,105
78,101,186
67,86,180
84,109,163
73,139,140
79,174,63
78,161,71
190,117,214
32,97,129
16,159,262
87,117,164
69,93,133
32,93,135
72,90,156
65,124,91
86,96,121
69,96,116
32,93,135
82,101,127
73,113,143
83,73,117
69,93,133
78,79,112
32,105,110
65,91,261
83,101,157
32,85,143
65,105,224
32,86,95
80,104,237
69,93,133
79,118,119
80,110,213
76,130,144
69,68,126
32,93,135
84,121,167
72,116,117
65,125,93
84,137,110
32,90,135
8,602,471
32,97,129
83,99,219
80,110,213
69,93,133
67,92,192
73,72,119
69,93,133
83,145,109
32,85,143
84,89,108
79,121,87
32,106,68
78,115,123
79,118,119
32,108,73
76,130,144
79,118,119
78,134,67
71,95,92
69,93,133
82,113,68
32,80,176
84,108,108
79,121,87
76,130,144
69,68,126
82,113,68
65,111,173
84,137,110
69,91,129
32,93,135
84,121,167
79,121,87
82,82,84
84,100,130
85,80,99
82,110,127
69,108,88
188,106,284
32,123,56
68,87,251
73,90,120
83,73,117
67,86,180
82,110,127
73,113,143
77,118,146
73,113,143
78,135,77
65,127,115
84,137,110
73,139,140
79,174,63
78,161,71
188,106,284
32,123,56
66,72,218
76,130,144
65,111,173
84,137,110
65,111,173
78,119,88
84,65,138
32,90,135
67,83,286
79,111,93
78,134,67
71,95,92
8,397,471
81,481,479
85,88,105
69,93,133
83,145,109
84,80,158
32,90,135
65,105,224
78,119,88
68,83,101
32,82,127
84,108,108
72,116,117
69,93,119
32,96,128
76,130,144
73,140,105
75,90,118
69,93,133
188,106,284
32,123,56
65,105,224
78,119,88
68,83,101
32,82,127
69,97,233
8,397,471
89,112,168
69,93,133
84,100,130
32,90,135
87,117,164
69,93,133
32,93,135
72,90,156
79,118,119
76,130,144
68,90,151
32,83,127
79,132,111
78,134,67
32,105,110
84,108,108
79,121,87
32,106,68
8,602,471
67,86,180
79,111,93
78,134,67
84,65,138
73,139,140
78,135,77
85,88,105
69,93,133
32,93,135
84,121,167
79,121,87
32,106,68
79,132,111
8,397,471
72,107,125
79,118,119
76,130,144
68,90,151
32,83,127
79,132,111
78,134,67
32,105,110
84,108,108
79,121,87
32,106,68
8,602,471
78,115,123
84,65,138
79,121,87
32,106,68
84,108,108
72,116,117
69,93,119
32,96,128
8,602,471
83,101,157
69,93,133
32,93,135
80,104,237
82,110,127
73,113,143
77,118,146
73,113,143
84,85,142
73,139,140
86,96,121
69,96,116
32,93,135
69,97,233
76,130,144
69,68,126
77,118,146
69,83,179
78,77,104
84,61,113
83,93,140
32,85,143
79,132,111
70,113,83
32,107,87
79,132,111
85,114,77
82,110,127
32,80,176
72,90,156
73,122,103
83,73,117
84,80,158
79,121,87
82,82,84
89,112,168
190,117,214
13,788,639
16,224,347
83,101,157
84,80,158
85,80,99
68,90,151
73,90,120
69,93,133
83,145,109
32,85,143
8,602,471
16,308,347
77,118,146
65,111,173
78,119,88
89,112,168
32,110,100
83,99,219
84,80,158
85,80,99
68,90,151
73,90,120
69,93,133
83,145,109
32,85,143
72,90,156
65,124,91
86,96,121
69,96,116
32,93,135
66,72,218
69,85,159
78,79,112
32,105,110
67,83,286
79,111,93
78,134,67
68,76,119
85,88,105
67,86,180
84,109,163
69,91,129
68,80,145
32,85,134
73,120,177
78,134,70
32,118,78
65,91,261
84,137,110
69,91,129
77,118,146
80,110,213
84,100,130
83,93,140
32,85,143
84,89,108
79,121,87
32,106,68
68,87,251
69,79,147
84,100,130
69,91,129
82,113,68
77,118,146
73,113,143
78,135,77
69,103,108
32,93,135
84,121,167
72,116,117
69,93,119
32,96,128
73,120,177
77,118,146
80,110,213
65,111,173
67,86,180
84,109,163
32,90,135
79,132,111
70,113,83
32,107,87
8,602,471
83,101,157
32,85,143
79,132,111
70,113,83
32,107,87
71,85,208
85,73,76
78,100,207
32,105,110
67,83,286
79,111,93
78,134,67
84,65,138
82,110,127
79,83,132
76,130,144
32,108,154
76,130,144
69,68,126
71,93,183
73,113,143
83,73,117
84,80,158
8,397,471
76,130,144
65,111,173
84,137,110
73,139,140
79,174,63
78,161,71
173,799,578
8,397,471
173,660,819
8,397,471
190,117,214
32,97,129
16,159,262
85,88,105
78,101,186
70,126,135
79,91,103
82,82,84
84,100,130
85,80,99
78,101,186
65,127,115
84,137,110
69,91,129
76,130,144
89,112,168
188,106,284
32,123,56
84,108,108
72,116,117
69,93,119
32,96,128
79,132,111
66,81,201
83,101,157
69,93,133
82,113,68
86,96,121
65,111,173
84,137,110
73,139,140
79,174,63
78,161,71
65,127,115
76,149,120
32,108,154
78,115,123
65,127,115
84,137,110
85,80,99
82,110,127
69,108,88
32,93,135
79,132,111
70,113,83
32,107,87
83,99,219
85,88,105
67,86,180
72,107,125
32,97,129
83,99,219
84,80,158
85,80,99
68,90,151
73,90,120
69,93,133
83,145,109
32,85,143
76,130,144
73,140,105
77,118,146
73,113,143
84,85,142
73,139,140
8,397,471
83,101,157
32,85,143
84,89,108
72,116,117
69,93,119
73,113,143
82,110,127
32,80,176
68,87,251
69,79,147
67,92,192
73,72,119
83,73,117
73,113,143
86,96,121
69,96,116
78,79,112
69,103,108
83,145,109
190,117,214
32,97,129
16,159,262
77,118,146
79,118,119
83,101,157
84,80,158
32,90,135
83,99,219
8,397,471
16,308,347
83,101,157
8,397,471
16,308,347
84,100,130
8,397,471
16,308,347
87,117,164
8,397,471
16,308,347
87,117,164
72,107,125
73,122,103
76,130,144
69,68,126
32,93,135
73,120,177
32,97,129
8,602,471
16,308,347
73,111,96
32,97,129
70,100,157
73,113,143
78,135,77
68,76,119
32,82,127
84,108,108
72,116,117
69,93,119
32,96,128
69,97,233
8,397,471
73,113,143
77,118,146
80,110,213
65,111,173
67,86,180
84,109,163
83,93,140
32,85,143
79,132,111
70,113,83
32,107,87
