VK,HT,FT
16,226,-1
73,88,88
32,155,104
65,127,123
77,121,131
32,65,35
79,21,295
80,52,195
79,50,437
83,121,50
69,92,22
68,117,89
32,83,123
84,120,83
79,52,87
32,164,118
71,114,82
85,59,95
78,89,146
32,150,129
67,147,134
79,87,81
78,79,143
84,33,104
82,85,117
79,118,53
76,123,30
32,111,92
76,82,116
65,116,126
87,88,96
83,154,110
190,120,122
32,154,78
16,193,118
84,88,88
72,47,84
69,83,145
89,126,155
32,121,126
65,124,85
73,83,136
8,118,324
73,85,107
71,91,121
78,77,93
79,121,284
82,119,122
69,119,82
32,102,62
84,101,397
72,122,45
69,84,143
32,149,129
82,264,82
69,85,82
65,112,52
76,93,119
32,123,84
80,126,116
82,66,104
79,118,118
66,82,122
76,38,101
69,117,112
77,84,119
188,290,178
32,129,107
87,66,75
72,91,84
73,51,127
67,154,104
72,85,88
32,122,133
73,82,136
83,117,87
32,122,101
87,88,120
72,84,87
89,84,22
32,162,99
80,77,125
69,118,63
79,28,75
80,82,141
76,84,123
69,33,102
32,153,103
87,79,81
79,88,162
85,87,136
76,110,139
68,79,111
32,119,93
85,61,87
83,154,52
69,85,78
32,109,145
71,119,123
85,86,90
78,126,130
83,112,101
32,118,92
84,129,69
79,85,87
32,119,91
72,190,144
65,127,72
82,87,133
77,84,49
32,160,130
79,82,167
84,81,97
72,126,84
69,117,145
82,110,123
83,156,93
190,120,210
32,107,131
16,227,145
84,91,409
72,117,78
73,91,92
83,116,86
32,116,120
73,122,118
83,116,86
32,122,105
65,156,47
32,150,122
80,81,119
72,80,73
89,60,64
83,120,66
8,1335,273
32,118,93
65,100,84
32,123,38
80,86,158
82,120,106
79,93,123
66,82,120
76,87,205
69,96,129
77,32,119
32,152,142
87,113,134
73,85,98
84,126,99
72,93,92
32,155,96
77,81,120
69,116,117
78,83,99
84,124,84
65,49,84
76,83,393
32,121,92
73,76,128
76,240,143
78,115,86
69,49,78
83,116,38
32,117,137
65,119,38
78,88,46
68,119,90
32,82,123
84,120,88
72,29,50
69,125,101
32,119,61
77,39,121
69,153,83
78,28,21
84,118,143
65,125,46
76,214,182
32,122,92
8,662,531
76,86,116
65,118,37
67,83,83
75,46,157
32,153,88
79,82,82
70,123,85
32,196,121
65,157,121
84,118,95
69,85,270
78,85,45
84,59,98
73,82,122
79,85,163
78,76,120
32,157,84
65,107,86
78,82,121
68,153,88
32,155,83
72,179,161
69,118,141
76,85,120
80,238,180
32,124,120
68,83,78
8,32,247
71,120,78
73,87,54
86,121,111
69,90,121
78,77,119
32,110,120
84,121,119
79,81,95
32,87,96
84,119,103
72,31,63
79,82,81
83,75,106
69,122,87
32,98,125
83,120,128
85,85,116
70,86,109
69,80,87
82,110,84
73,51,158
78,60,84
71,76,80
32,155,97
84,119,110
72,86,58
8,413,269
70,120,16
82,112,88
79,81,370
77,84,169
32,160,100
73,119,129
84,82,62
32,119,112
73,60,73
78,174,89
32,154,107
65,117,81
16,146,120
8,506,229
65,80,120
77,72,91
69,122,112
82,56,84
73,83,156
67,86,151
65,188,80
188,31,124
32,118,171
78,82,176
79,120,182
84,54,128
32,155,98
65,117,121
66,82,95
79,73,83
85,83,136
84,80,158
32,88,18
71,90,116
85,49,109
78,118,163
83,25,118
190,86,381
32,119,91
16,119,84
73,87,171
70,40,108
32,196,127
80,82,210
69,40,88
79,88,75
80,52,143
76,94,136
69,88,87
32,153,130
68,120,174
79,122,83
8,119,242
16,126,83
80,118,108
69,119,93
79,92,28
80,52,54
76,83,48
69,31,87
32,119,85
8,932,278
16,187,136
73,124,84
70,126,87
32,117,98
84,119,375
72,87,87
79,118,136
83,110,61
69,88,80
8,389,1105
16,190,37
73,82,84
70,44,158
32,161,131
73,123,130
84,87,181
32,161,113
87,73,80
69,196,268
82,86,85
69,154,82
78,78,79
222,451,684
84,82,85
32,129,114
71,125,141
85,16,124
78,86,139
83,120,953
32,127,143
73,85,147
84,42,116
32,101,97
87,124,111
79,124,148
85,46,150
76,241,120
68,82,158
32,82,131
66,122,119
69,130,120
32,111,87
66,64,620
79,86,324
77,84,82
66,93,95
83,117,66
188,821,845
32,165,89
71,125,124
85,81,84
78,86,146
83,84,84
8,657,68
75,52,84
78,87,124
73,82,98
66,85,88
69,95,82
83,75,81
8,118,1029
86,110,96
69,89,123
83,97,90
188,706,560
32,113,88
69,122,149
84,82,124
67,123,170
32,125,123
87,111,105
72,74,92
73,88,125
67,154,127
72,85,99
32,88,119
