VK,HT,FT
16,169,-1
71,56,307
85,104,115
78,56,204
83,56,181
32,80,119
65,63,1015
82,80,395
69,64,200
32,96,104
8,1313,1192
16,142,527
87,80,96
69,32,144
32,80,104
78,56,387
8,64,55
16,161,964
84,56,112
72,87,80
69,15,313
32,80,87
71,71,306
79,151,429
86,437,400
69,80,80
82,56,115
78,35,120
77,64,135
69,104,144
78,56,150
84,64,77
32,80,104
73,80,437
83,55,117
32,80,135
82,56,195
73,103,308
71,56,452
72,56,136
84,56,143
188,776,310
32,80,105
71,56,88
85,64,153
78,56,35
83,80,152
32,96,128
65,104,715
82,109,178
69,80,152
32,79,92
66,870,634
65,103,143
68,37,152
188,590,184
32,79,136
71,56,177
85,56,112
78,58,36
83,64,176
32,104,101
75,997,592
73,39,160
76,80,183
32,80,144
80,104,128
69,56,200
79,35,578
80,80,128
76,184,169
69,64,129
32,80,88
65,57,374
78,56,256
68,79,103
8,232,297
68,67,59
32,56,119
65,97,75
78,56,176
68,73,9
32,44,219
69,80,384
80,51,166
8,176,341
80,33,113
69,64,121
79,79,56
80,80,158
76,184,127
69,22,113
32,72,104
87,80,75
8,328,1091
83,80,142
72,80,1192
79,80,120
85,39,80
76,56,111
68,80,23
32,80,116
78,56,330
79,162,890
84,64,135
32,80,255
79,93,80
87,56,98
78,80,12
32,80,80
84,64,112
72,80,104
69,80,152
77,64,51
190,627,501
32,96,80
16,171,447
84,64,896
72,61,144
69,56,190
32,61,122
83,80,137
84,39,936
65,128,435
84,64,246
85,56,108
8,299,336
73,64,80
83,80,163
84,80,80
73,64,88
67,601,522
83,63,137
32,102,118
79,64,56
70,151,505
32,80,144
68,80,148
69,64,211
65,144,751
84,80,137
72,84,80
83,88,140
32,80,54
66,187,561
8,887,1124
70,669,832
82,64,68
79,88,135
77,56,155
32,73,192
71,94,344
85,55,51
78,64,176
32,80,200
86,867,902
73,80,244
79,136,56
76,57,167
69,55,384
78,55,176
67,705,7
69,64,128
32,96,104
73,64,111
83,60,92
32,96,255
72,63,445
71,56,111
8,195,588
73,40,102
79,80,476
71,64,359
72,40,60
84,80,936
8,154,580
71,56,111
72,8,704
190,978,957
32,73,98
16,157,660
71,89,116
85,52,120
78,16,144
83,80,11
32,49,96
8,655,1192
16,331,803
67,498,948
72,60,176
73,64,160
76,80,212
68,69,152
82,80,120
69,56,188
78,59,156
32,56,128
71,56,205
69,56,113
84,64,184
32,80,160
65,80,283
72,64,80
79,70,272
76,80,176
68,80,152
32,68,170
79,38,96
70,891,135
32,80,120
84,80,144
72,39,80
69,64,200
32,97,137
85,55,96
78,64,813
32,79,104
65,4,118
78,64,58
68,27,109
8,327,546
71,48,269
