VK,HT,FT
16,121,-1
71,109,138
85,64,117
78,99,172
32,143,139
79,141,148
87,151,255
78,108,197
69,130,228
82,114,99
83,177,164
72,117,136
73,127,81
79,131,141
80,114,263
8,260,504
80,103,328
32,90,200
73,115,169
83,124,114
32,110,97
65,207,105
32,105,106
82,122,457
73,98,129
71,95,121
72,77,92
84,116,85
32,123,113
79,142,135
70,129,103
32,93,98
69,112,200
86,101,166
69,128,169
82,139,94
89,122,139
32,126,103
67,112,270
73,125,144
84,113,117
73,116,131
90,909,782
69,136,164
78,81,163
32,123,135
73,117,195
78,143,199
32,115,117
84,149,112
72,110,87
73,117,150
83,136,109
32,113,89
67,113,209
79,128,55
85,89,123
71,114,136
78,89,161
8,231,641
78,107,160
84,90,124
82,125,149
89,114,151
190,96,229
32,187,102
16,131,305
73,124,147
82,130,239
8,535,593
84,119,233
32,119,108
73,131,158
83,130,115
32,118,97
80,113,440
82,139,212
79,103,99
84,107,109
69,118,187
67,109,242
84,147,168
69,140,271
68,94,171
32,117,92
73,114,194
78,153,276
84,114,115
8,328,496
32,142,408
84,149,122
72,96,69
69,121,70
32,134,109
67,109,203
79,131,51
78,99,100
83,123,154
84,115,234
73,109,112
84,118,93
85,77,176
84,145,148
73,92,150
79,119,96
78,106,122
190,98,231
32,92,194
16,125,326
87,151,174
69,143,221
32,120,120
65,173,81
8,218,474
72,100,96
65,164,77
86,93,123
69,140,140
32,128,142
84,146,122
72,90,63
69,123,187
32,138,100
82,123,509
73,83,125
71,101,140
72,93,80
84,111,97
32,127,122
84,133,101
79,111,143
32,122,116
66,81,172
69,130,164
65,177,107
82,154,118
32,132,129
65,179,83
82,195,92
83,123,218
8,339,636
77,91,225
83,147,259
190,95,171
32,147,114
16,126,360
82,142,101
69,135,117
67,124,198
69,78,195
78,79,170
84,123,112
76,132,209
89,100,190
188,108,494
32,127,99
65,187,156
32,104,102
82,123,357
65,159,129
83,161,159
72,110,304
32,96,111
79,125,180
70,131,97
32,109,99
83,155,382
78,106,133
8,252,430
69,126,171
78,87,241
83,140,393
69,157,142
76,117,264
69,116,109
8,443,581
83,143,119
32,136,119
72,88,125
85,90,165
77,83,190
8,328,506
71,110,140
85,64,95
78,119,179
32,134,161
86,95,141
73,120,144
76,119,151
8,410,418
79,122,97
76,109,213
69,133,187
78,78,154
67,126,172
69,88,304
32,129,153
72,86,97
65,147,76
83,210,121
32,126,111
71,116,248
73,110,143
86,84,191
69,140,142
78,80,173
32,127,138
80,105,344
79,164,130
76,103,152
73,99,83
84,139,167
73,123,97
67,110,167
73,99,93
65,186,72
78,113,133
83,133,348
32,125,114
65,200,146
32,103,111
74,66,228
85,74,115
77,91,141
80,95,223
73,117,118
78,103,86
71,103,101
32,126,220
79,128,148
70,115,92
32,98,123
80,114,179
79,168,114
73,102,150
78,103,161
84,115,129
32,125,137
84,155,120
79,114,75
32,119,114
80,104,311
65,168,67
83,198,126
32,123,229
71,130,230
85,61,97
78,119,180
32,137,175
67,116,200
79,118,48
78,100,96
84,70,85
82,120,145
79,133,91
76,99,247
32,186,185
76,98,176
65,142,129
87,125,272
83,136,185
32,123,198
84,151,102
72,111,73
65,173,68
84,156,115
32,127,76
84,152,202
65,178,137
75,950,429
69,109,133
32,127,118
65,243,101
8,286,649
87,123,185
65,177,104
89,110,123
32,116,116
84,135,107
72,101,78
73,123,154
83,142,106
32,109,96
82,108,457
73,86,138
71,90,126
72,86,87
84,108,86
190,88,183
32,160,205
16,121,366
65,146,49
76,162,155
84,134,122
72,90,112
79,146,101
85,95,123
71,114,205
72,70,82
188,114,467
32,139,128
84,147,227
72,114,93
69,116,184
82,127,98
32,142,117
69,140,110
73,107,111
83,151,114
32,109,104
78,78,169
79,109,93
32,129,108
68,131,233
73,90,103
8,522,408
69,117,138
8,443,528
82,132,159
69,123,114
32,122,217
73,131,150
83,132,109
32,102,104
78,99,163
79,99,66
32,136,103
68,125,279
73,81,109
83,134,104
80,94,364
79,198,129
85,84,133
84,133,157
8,419,428
85,73,113
84,130,163
69,143,247
32,127,157
84,150,212
72,92,57
65,164,56
84,147,116
32,121,78
84,154,144
72,108,66
69,115,158
83,193,158
32,113,126
86,89,172
73,110,147
79,109,82
8,327,442
69,136,180
32,127,165
86,86,136
73,102,125
76,136,151
69,131,131
8,398,615
79,131,133
76,98,228
69,115,190
78,78,150
84,105,120
32,119,162
65,162,177
67,127,215
84,114,248
83,145,263
32,118,179
65,209,124
82,179,131
69,138,111
32,117,171
84,154,190
82,115,167
65,144,165
67,161,251
8,618,489
71,115,149
73,98,148
67,115,161
188,117,475
32,136,155
84,166,221
72,102,75
69,117,95
32,131,110
77,80,293
65,183,137
74,638,285
79,107,90
82,146,192
73,79,112
84,144,172
89,97,122
32,130,88
79,122,168
70,125,101
32,102,99
71,120,199
85,66,117
78,118,173
32,131,136
79,140,202
87,160,177
73,116,141
78,124,87
71,102,80
8,197,486
78,89,164
73,109,147
78,120,90
71,107,92
32,122,273
16,120,283
65,151,51
77,93,211
69,116,95
82,135,91
73,98,132
67,125,197
65,177,67
78,97,112
83,133,221
188,113,456
32,124,183
83,143,291
72,103,107
79,151,95
85,84,136
76,138,200
68,105,161
32,130,125
78,94,180
79,103,97
84,116,91
32,108,132
66,92,193
69,107,160
32,136,173
80,109,198
85,88,155
78,96,195
73,119,100
83,132,112
72,108,123
69,101,105
68,104,173
32,129,90
70,180,294
79,116,105
82,124,93
32,140,242
84,146,159
72,100,65
69,109,167
32,132,117
87,144,321
79,119,104
82,139,89
75,82,245
83,160,121
32,125,179
79,138,171
70,120,91
32,103,110
65,145,197
32,105,106
70,114,113
69,146,515
87,153,243
32,177,211
77,75,255
69,115,144
78,77,195
84,107,115
65,163,109
76,182,119
89,99,184
32,111,103
67,106,285
65,143,75
72,95,165
76,114,225
69,139,142
78,82,133
71,101,100
69,111,224
68,94,197
32,119,88
79,127,144
80,100,381
69,124,169
8,384,484
72,101,135
65,170,60
76,145,114
69,125,101
78,78,126
71,107,89
69,116,124
68,90,196
32,118,89
80,100,431
79,202,89
8,386,503
69,106,185
79,124,78
80,96,354
76,106,170
69,127,127
190,92,267
32,193,89
16,119,347
65,152,55
77,78,153
69,117,92
82,113,101
73,97,140
67,116,301
65,184,165
78,114,101
32,127,107
72,109,61
65,152,58
86,92,188
32,120,142
69,127,146
84,125,111
32,114,117
69,142,232
72,107,98
8,284,657
69,131,165
32,139,124
84,155,118
72,99,71
69,118,179
32,138,104
82,117,368
73,96,126
71,101,135
72,71,78
84,126,90
32,122,127
84,162,153
79,114,130
32,120,114
80,114,371
82,140,156
79,128,143
84,102,101
69,140,172
67,94,187
84,143,136
32,116,108
69,109,166
72,89,77
8,515,638
84,125,142
72,90,138
69,112,93
73,100,168
82,147,141
32,135,184
80,110,161
69,116,230
82,119,92
79,101,111
78,112,118
32,110,113
8,704,550
83,156,199
79,120,154
78,112,106
65,185,112
32,117,86
8,839,704
32,136,463
65,168,175
78,91,112
68,114,119
32,131,223
84,155,209
72,103,76
69,125,176
73,104,103
82,119,201
32,145,139
80,107,187
82,147,184
79,113,132
80,112,400
69,113,111
82,120,82
84,125,155
89,119,144
190,83,246
32,166,212
16,115,331
84,133,171
72,113,72
69,100,91
32,134,96
71,123,127
79,110,133
86,93,161
69,128,139
82,126,81
78,114,210
77,88,150
69,117,137
78,95,239
84,112,93
32,118,135
72,84,87
65,165,70
83,174,130
32,121,214
78,89,167
79,104,97
84,107,92
8,413,514
32,146,486
82,121,542
73,94,118
71,101,130
72,80,85
84,106,99
32,112,129
84,132,227
79,121,93
32,118,122
84,136,196
65,180,88
75,163,809
69,106,177
32,126,127
84,137,166
72,92,69
65,167,59
84,135,124
32,124,81
87,175,250
8,608,404
65,175,166
87,144,273
65,158,146
89,123,154
190,87,282
32,145,187
16,125,300
87,153,256
69,153,168
32,135,170
76,84,157
86,92,183
8,273,631
73,115,116
86,97,186
69,126,142
32,120,105
73,118,194
65,158,95
78,112,100
32,122,158
65,172,130
32,115,93
8,627,765
78,86,163
32,104,150
65,160,108
32,106,105
82,108,354
8,602,455
70,126,296
82,140,173
69,136,93
32,136,145
69,143,252
8,284,524
69,129,192
32,126,149
83,149,373
79,130,83
67,125,197
73,95,135
82,146,173
84,130,221
8,392,626
69,132,96
84,144,195
89,117,112
190,95,243
