VK,HT,FT
16,884,-1
71,105,246
85,118,166
66,403,93
8,448,400
78,115,140
32,101,121
67,114,301
79,122,134
78,115,140
84,108,155
82,120,163
79,122,134
76,136,199
32,113,129
73,98,244
83,125,232
32,117,118
79,122,134
78,115,140
69,128,130
32,132,100
70,64,106
79,122,134
32,113,129
84,108,155
72,93,168
69,128,130
32,132,100
77,729,894
79,122,134
83,125,232
84,108,155
32,113,129
73,98,244
77,521,337
80,667,629
82,120,163
8,448,400
79,122,134
70,701,292
32,113,129
84,108,155
72,93,168
69,128,130
32,132,100
77,250,92
79,122,134
83,125,232
84,108,155
32,113,129
73,98,244
77,931,397
80,233,147
82,120,163
79,122,134
84,108,155
65,133,179
78,115,76
84,108,155
32,113,129
84,108,155
72,93,168
73,98,197
78,115,140
71,105,246
32,113,129
8,541,346
83,125,232
32,117,118
87,458,677
69,128,130
32,132,100
67,114,301
65,133,179
78,115,76
32,101,121
83,125,232
85,118,166
80,426,940
79,122,134
82,120,163
84,108,155
190,422,334
32,113,129
16,45,800
72,93,168
8,448,400
16,701,890
71,105,246
85,118,166
78,115,140
83,125,232
32,117,118
65,135,194
82,120,163
69,139,79
32,132,100
69,128,130
88,500,106
84,108,155
82,120,163
69,139,79
77,715,551
69,128,130
77,355,574
76,136,199
89,118,152
32,111,156
8,541,346
76,136,199
89,118,152
32,111,156
83,125,232
68,135,147
8,448,400
68,135,147
65,133,179
78,115,76
71,105,246
69,128,130
82,120,163
79,122,134
85,118,166
83,125,232
32,117,118
65,135,194
83,125,232
32,117,118
65,135,194
78,115,76
32,101,121
73,98,244
84,108,155
69,128,130
78,115,140
32,101,121
87,991,731
72,93,168
8,448,400
77,928,443
32,113,129
87,266,104
72,93,168
79,122,134
83,125,232
69,128,130
32,132,100
87,259,718
8,448,400
83,125,232
79,122,134
76,136,199
69,128,130
32,132,100
80,192,969
82,120,163
8,448,400
85,118,166
82,120,163
80,240,124
79,122,134
83,125,232
69,128,130
32,132,100
73,98,244
83,125,232
32,117,118
84,108,155
79,122,134
32,113,129
83,125,232
69,128,130
86,2,423
69,128,130
82,120,163
69,139,79
76,136,199
89,118,152
32,111,156
73,98,244
78,115,140
74,49,723
85,118,166
83,125,232
84,108,155
8,448,400
82,120,163
69,139,79
32,132,100
8,541,346
82,120,163
69,139,79
8,448,400
82,120,163
69,139,79
32,132,100
73,98,244
70,974,299
32,113,129
78,115,140
79,122,134
84,108,155
32,113,129
75,842,323
73,98,197
76,136,199
32,113,129
76,136,199
8,448,400
65,133,179
32,113,129
76,136,199
73,98,197
86,388,990
73,98,197
78,115,140
71,105,246
32,113,129
84,108,155
72,93,168
73,98,197
78,115,140
71,105,246
190,585,103
32,113,129
16,251,666
73,98,197
78,115,140
32,101,121
84,108,155
69,128,130
78,115,140
8,448,400
72,93,168
69,128,130
32,132,100
16,468,614
85,118,166
78,115,140
73,98,197
84,108,155
69,128,130
68,135,147
32,122,92
16,318,495
83,125,232
84,108,155
65,133,179
84,108,155
69,128,130
83,125,232
32,117,118
73,98,244
78,115,140
32,101,121
50,406,44
48,281,189
49,680,32
48,874,550
32,113,129
84,108,155
72,93,168
69,128,130
82,120,163
69,139,79
32,132,100
87,855,574
69,128,130
8,448,400
69,128,130
82,120,163
69,139,79
32,132,100
65,135,194
66,691,713
79,122,134
85,118,166
84,108,155
32,113,129
49,790,499
188,34,927
48,79,4
32,113,129
77,741,778
85,118,166
82,120,163
68,135,147
69,128,130
82,120,163
83,125,232
32,117,118
65,135,194
78,115,76
68,135,147
32,122,92
65,135,194
66,875,70
79,122,134
85,118,166
84,108,155
32,113,129
50,753,716
48,905,953
188,871,429
48,373,997
32,113,129
83,125,232
85,118,166
73,98,197
67,114,301
73,98,197
68,135,147
69,128,130
83,125,232
32,117,118
66,379,965
89,118,152
32,111,156
71,105,246
73,98,197
8,448,400
85,118,166
78,115,140
68,135,147
8,448,400
83,125,232
32,117,118
65,135,194
71,105,246
8,448,400
79,122,134
8,448,400
76,136,199
79,122,134
78,115,140
69,128,130
190,673,503
32,113,129
16,915,807
77,209,473
65,133,179
78,115,76
89,118,152
32,111,156
79,122,134
70,812,324
32,113,129
84,108,155
72,93,168
69,128,130
83,125,232
69,128,130
32,132,100
68,135,147
69,128,130
65,133,179
84,108,155
72,93,168
83,125,232
32,117,118
67,114,301
79,122,134
85,118,166
76,136,199
68,135,147
32,122,92
72,93,168
65,133,179
86,11,102
69,128,130
32,132,100
66,280,507
69,128,130
78,115,140
32,101,121
65,135,194
86,624,399
65,133,179
73,98,197
8,448,400
79,122,134
85,118,166
8,448,400
73,98,197
68,135,147
69,128,130
68,135,147
32,122,92
73,98,244
70,211,124
32,113,129
84,108,155
72,93,168
69,128,130
82,120,163
32,113,129
8,541,346
69,128,130
32,132,100
87,823,982
65,133,179
83,125,232
32,117,118
69,128,130
8,448,400
76,136,199
83,125,232
8,448,400
69,128,130
83,125,232
32,117,118
65,135,194
67,114,301
69,128,130
83,125,232
65,133,179
66,726,471
73,98,197
76,136,199
73,98,197
84,108,155
89,118,152
32,111,156
65,135,194
78,115,76
68,135,147
32,122,92
8,541,346
65,133,179
86,471,614
65,133,179
73,98,197
76,136,199
65,133,179
86,693,329
8,448,400
66,859,969
73,98,197
76,136,199
84,108,155
89,118,152
32,111,156
65,135,194
78,115,76
68,135,147
32,122,92
65,135,194
67,114,301
69,128,130
83,125,232
65,133,179
66,861,102
73,98,197
76,136,199
73,98,197
84,108,155
89,118,152
32,111,156
79,122,134
70,346,293
32,113,129
71,105,246
85,118,166
78,115,140
83,125,232
8,448,400
70,982,480
73,98,197
82,120,163
69,139,79
65,133,179
82,120,163
77,990,63
83,125,232
190,107,444
32,113,129
16,16,289
83,125,232
79,122,134
77,763,610
69,128,130
32,132,100
79,122,134
70,21,858
32,113,129
84,108,155
72,93,168
69,128,130
32,132,100
77,625,555
79,122,134
