VK,HT,FT
16,208,-1
73,132,111
32,128,104
84,96,319
72,122,79
73,128,217
78,137,106
75,135,304
32,123,138
84,102,338
72,122,72
65,125,88
84,98,122
32,118,65
71,110,501
85,86,188
78,143,238
32,123,85
67,122,349
79,129,86
78,136,166
84,96,128
82,109,262
79,114,138
76,120,286
32,155,182
73,142,317
83,136,105
32,127,57
65,120,153
32,144,113
71,110,569
82,105,154
69,114,99
65,128,303
84,108,141
32,127,60
73,147,230
68,125,150
69,123,140
65,120,174
190,124,457
32,152,150
16,293,746
71,101,222
85,85,157
78,156,241
83,132,106
32,118,111
65,110,144
82,108,176
69,122,106
32,125,77
84,90,227
72,130,82
69,123,57
32,128,48
67,119,307
65,121,279
85,92,228
83,136,101
69,128,211
32,125,110
79,131,246
70,110,81
32,123,60
65,122,256
32,138,90
76,126,358
79,128,116
84,104,191
32,117,62
79,136,271
70,108,88
32,125,84
84,91,205
72,124,82
69,114,69
32,119,48
86,131,363
73,112,261
79,136,148
76,124,248
69,129,192
78,127,100
84,102,142
32,118,63
67,120,304
82,106,181
73,138,96
77,130,187
69,139,162
32,131,62
65,122,265
78,158,92
68,131,70
32,110,84
73,139,300
70,120,313
32,112,69
87,127,375
69,127,189
32,135,84
72,114,250
65,125,86
86,100,208
69,173,155
32,151,62
83,124,216
84,95,196
82,107,264
73,136,86
67,120,216
84,111,242
69,111,202
82,108,126
32,140,138
76,124,293
65,120,161
87,127,214
83,143,233
188,773,352
32,141,114
87,127,247
69,126,197
16,354,548
55,721,243
76,138,340
32,146,143
72,116,283
65,116,79
86,107,213
69,172,174
32,151,76
76,114,319
69,126,189
83,243,290
32,143,79
86,127,361
73,137,176
79,148,144
76,125,253
69,124,198
78,125,96
84,94,134
32,118,57
67,117,338
82,101,140
73,144,82
77,174,191
69,150,204
190,130,402
32,126,77
16,312,686
67,134,342
8,211,827
16,154,830
71,102,239
85,91,185
78,143,239
32,127,88
67,119,342
79,121,120
78,141,160
84,99,117
82,110,267
79,113,104
76,123,223
32,128,128
76,131,286
69,125,206
71,88,350
73,125,208
83,130,130
76,152,302
65,130,119
84,102,157
73,138,95
79,150,150
78,137,148
32,123,97
73,138,231
83,140,111
32,111,60
76,131,232
79,125,219
78,141,160
71,94,56
32,108,54
79,139,257
86,111,264
69,148,210
82,99,126
68,127,116
85,95,257
69,122,124
190,125,433
32,142,135
16,263,731
84,109,162
72,126,76
69,125,71
82,109,82
69,114,131
32,130,116
73,151,282
83,146,108
32,133,54
78,133,568
79,116,217
32,129,73
76,118,299
69,122,231
71,95,173
73,138,245
84,99,212
73,144,93
77,138,178
65,127,218
84,110,140
69,117,168
32,130,116
82,102,217
69,119,122
65,124,278
83,233,161
79,130,160
78,151,147
32,120,101
84,98,312
72,130,80
65,128,80
84,94,145
32,124,69
84,99,254
72,131,80
69,119,47
32,123,50
65,130,267
86,109,198
69,159,169
82,105,107
65,123,167
71,102,257
69,106,143
32,123,51
67,121,371
73,134,192
84,123,197
73,121,95
90,493,568
69,113,178
78,126,105
32,123,72
78,128,363
69,116,141
68,140,269
83,155,248
32,135,167
65,120,167
83,189,256
65,116,190
85,105,203
76,120,135
84,104,175
32,124,64
87,116,382
69,122,164
65,131,240
80,132,336
79,123,165
78,140,128
83,134,112
32,138,84
79,131,265
70,119,82
32,110,82
65,124,246
78,152,101
89,109,226
32,124,75
75,139,454
78,138,130
8,480,820
73,113,141
78,135,148
68,129,93
190,134,325
32,123,108
16,253,538
87,133,375
72,116,121
69,122,88
78,137,141
32,125,79
65,126,156
32,153,106
67,114,310
73,122,142
84,121,213
73,146,87
90,284,671
69,143,222
78,129,136
32,126,68
73,128,286
83,139,84
32,118,47
80,124,424
69,135,154
82,97,122
77,126,180
73,106,213
84,104,161
69,118,183
68,135,274
32,123,65
84,90,217
79,120,67
32,128,54
87,127,391
79,122,203
78,134,146
32,122,91
65,124,162
78,152,112
68,128,65
32,119,74
85,91,152
83,136,118
69,123,202
32,137,86
8,139,737
79,128,104
87,127,280
78,152,206
32,120,101
65,122,151
78,175,97
68,131,69
32,123,82
85,98,211
83,133,136
69,136,196
32,128,101
65,130,267
32,132,95
71,110,468
85,84,157
78,153,235
188,949,180
32,142,104
84,104,216
72,125,91
69,118,60
89,108,214
32,124,72
83,128,210
72,131,112
79,126,121
85,98,135
76,125,162
68,127,129
32,120,54
79,132,281
78,135,178
76,125,339
89,109,147
32,127,78
66,94,745
69,114,190
32,130,117
65,120,274
66,87,474
76,111,248
69,128,175
32,134,54
84,99,214
79,118,65
32,136,59
68,122,163
79,115,119
32,126,81
83,132,230
79,134,109
32,127,79
65,119,251
70,131,192
84,94,199
69,111,206
82,108,119
32,132,286
80,126,333
65,123,140
83,220,404
73,124,118
78,131,133
71,96,52
32,116,58
65,121,339
32,140,110
84,98,233
72,118,93
79,128,201
82,89,227
79,112,115
85,104,130
71,98,350
72,119,104
32,103,131
66,95,645
65,127,131
67,124,346
75,121,369
71,94,260
82,103,198
79,111,171
85,101,112
78,125,231
68,111,98
32,111,77
67,124,379
72,119,132
69,117,95
67,135,339
75,127,201
190,126,510
32,139,123
16,313,531
87,131,265
69,123,192
32,127,51
72,115,275
65,131,90
86,102,212
69,162,155
32,145,63
83,133,207
69,129,248
78,132,135
32,126,69
80,131,386
82,103,215
79,109,103
66,91,511
76,113,219
69,125,220
77,157,230
83,198,256
32,124,98
84,101,244
72,133,84
65,117,88
84,109,133
32,114,55
67,123,307
65,119,244
78,158,99
32,129,78
65,128,174
82,101,191
73,124,107
83,139,127
69,136,248
32,135,106
87,120,313
73,112,108
84,121,260
72,130,102
32,127,94
86,128,344
73,133,164
71,81,177
73,132,195
76,123,315
65,128,150
78,149,116
84,97,126
69,125,175
32,136,45
74,262,293
85,96,193
83,133,103
84,94,217
73,114,81
67,125,216
69,145,173
32,132,71
83,135,233
85,104,245
67,125,338
72,121,156
32,133,100
65,125,204
83,197,279
32,136,92
73,137,324
78,133,131
32,122,83
84,90,320
72,118,93
69,119,70
32,119,55
67,115,353
65,116,262
83,174,408
69,138,207
32,132,53
79,135,252
70,110,100
32,116,64
16,352,539
71,98,332
69,117,169
79,126,179
82,94,230
71,94,331
69,110,243
32,129,112
16,234,712
90,447,18
73,123,111
77,173,206
69,123,214
82,101,117
77,138,319
65,129,150
78,163,117
32,124,73
65,126,167
78,153,102
68,125,53
32,111,67
16,365,628
84,120,127
82,105,220
65,121,251
89,108,204
86,113,236
79,115,116
78,150,149
32,121,89
16,380,706
77,138,321
65,124,242
82,109,206
73,140,83
84,100,280
8,498,922
84,104,216
73,123,90
78,142,143
190,130,275
32,147,103
16,290,706
84,117,182
72,134,73
73,113,257
83,138,101
32,114,52
83,124,230
73,138,151
84,104,165
85,90,253
65,118,190
84,107,121
73,140,84
79,147,138
78,133,131
32,119,86
73,137,237
83,146,89
32,112,59
8,246,929
65,123,178
32,131,103
84,96,225
82,101,200
65,126,143
71,99,353
69,118,214
68,140,253
89,117,166
32,130,76
84,94,233
72,124,85
65,111,80
84,96,142
32,117,67
67,116,307
79,125,98
85,95,134
76,123,151
68,127,134
32,125,53
72,113,237
65,119,80
86,109,212
69,153,159
32,149,70
66,98,548
69,114,205
78,126,131
32,126,74
80,124,396
82,103,132
69,125,110
86,108,244
69,144,163
78,132,96
84,96,140
69,121,218
68,138,289
32,117,62
66,87,668
89,111,200
32,130,73
83,125,221
84,98,205
82,108,251
73,140,84
67,126,204
84,111,258
69,122,155
82,103,141
32,123,224
71,106,533
85,89,176
78,154,235
32,124,86
67,128,345
79,124,97
78,149,150
84,104,134
82,109,248
79,113,184
76,128,253
32,118,183
65,130,388
78,173,94
68,124,61
32,121,81
71,115,444
85,88,173
78,139,233
32,129,86
76,130,203
65,123,187
87,132,254
83,142,287
190,126,464
