VK,HT,FT
16,208,-1
71,104,289
85,168,252
78,144,88
32,131,30
67,72,223
79,111,90
78,192,226
84,81,720
82,80,148
79,88,95
76,103,208
32,92,144
73,72,150
83,112,125
32,92,95
78,72,420
69,225,62
68,88,351
69,95,270
68,92,141
190,103,135
32,106,104
16,151,547
73,85,216
84,129,207
222,86,292
83,81,140
32,85,155
78,126,251
79,86,106
84,97,307
32,116,179
80,151,109
85,134,400
84,282,52
73,84,212
78,95,25
71,144,160
32,93,114
83,123,538
79,60,103
77,97,51
69,94,354
79,93,633
78,119,75
69,70,104
32,72,202
79,119,99
85,72,285
84,76,44
32,114,112
84,101,224
79,111,32
32,150,98
77,118,267
85,72,191
67,85,33
72,88,84
32,72,65
84,96,213
79,126,116
32,98,88
87,28,764
65,111,246
73,122,62
84,88,224
32,144,93
70,105,189
79,105,39
82,58,113
32,64,173
65,152,272
32,92,90
66,80,431
65,187,235
67,127,257
75,96,322
71,88,175
82,125,178
79,76,263
85,72,42
78,96,175
68,67,42
32,127,71
67,65,397
72,109,37
69,145,156
67,58,253
75,117,113
32,112,807
84,86,42
79,81,118
32,53,146
80,87,85
85,123,144
82,131,191
67,138,198
72,103,157
83,102,231
69,23,99
32,129,295
65,104,149
32,95,312
71,75,481
85,63,105
78,74,224
188,133,221
8,78,263
72,75,241
65,144,80
83,175,101
69,75,263
32,93,47
65,118,290
32,94,66
71,76,131
85,62,136
78,111,228
190,103,43
32,40,44
16,145,124
73,103,135
70,84,146
32,113,64
89,136,120
79,175,591
85,19,107
32,88,109
87,157,278
65,76,192
78,45,67
84,91,186
32,141,236
84,95,47
79,46,78
32,156,105
72,66,133
65,110,156
86,134,297
69,124,58
32,151,83
65,135,99
32,121,185
71,111,1008
85,40,110
78,94,208
32,96,69
70,91,178
79,58,186
82,93,70
32,106,2
72,116,327
85,64,131
78,66,194
84,115,98
73,143,135
78,76,125
71,135,77
32,134,85
79,121,378
82,105,108
32,66,225
72,112,2
79,92,104
77,81,226
69,56,111
32,55,178
80,123,92
82,146,83
79,75,95
84,112,109
69,87,521
67,80,227
84,121,216
73,87,90
79,8,104
78,84,190
32,98,417
89,104,464
79,274,122
85,136,57
32,104,74
68,135,176
79,35,62
78,61,173
222,104,155
84,22,144
32,95,85
78,73,309
69,232,107
68,83,845
32,107,88
84,135,112
