VK,HT,FT
16,425,-1
84,459,292
72,910,330
69,70,153
32,54,234
85,108,780
83,404,399
69,70,153
32,54,234
65,342,467
68,772,420
8,343,473
78,994,691
68,181,318
32,54,234
79,859,768
86,463,393
8,465,502
87,198,793
78,906,386
69,70,153
82,224,859
83,470,702
72,993,774
73,502,600
80,391,366
32,54,234
79,668,920
70,914,503
32,54,234
70,664,147
73,858,942
82,169,557
69,70,153
77,945,718
65,391,468
8,877,95
65,834,867
82,931,874
77,305,579
83,340,952
32,54,234
73,758,10
78,623,358
32,54,234
84,116,620
72,641,49
73,324,775
83,258,246
32,54,234
67,57,936
79,570,711
85,882,974
78,409,778
84,205,960
82,669,510
85,46,775
32,54,234
8,455,13
85,585,955
8,841,46
89,812,834
32,54,234
83,946,216
72,355,846
79,758,223
85,668,341
76,760,857
68,795,155
32,54,234
66,510,370
69,70,153
32,54,234
82,795,144
69,70,153
71,51,387
85,938,222
76,458,680
65,950,999
84,895,324
69,70,153
68,508,605
190,62,817
16,875,739
32,54,234
71,518,816
85,705,383
78,841,143
83,81,172
32,54,234
72,265,337
65,899,83
86,212,456
69,70,153
32,54,234
78,936,837
79,932,889
32,54,234
80,509,391
76,259,142
65,709,542
67,994,637
69,70,153
32,54,234
73,812,167
78,714,544
32,54,234
65,360,763
32,54,234
67,550,422
73,65,261
86,888,650
73,575,27
76,547,356
73,672,610
90,997,153
69,70,153
68,827,202
32,54,234
83,606,250
79,846,905
67,273,387
73,320,23
69,70,153
84,599,256
89,619,712
32,54,234
84,986,650
72,900,172
65,143,143
84,794,771
32,54,234
67,527,958
76,749,630
65,743,811
73,760,873
78,546,497
77,47,132
8,143,390
77,822,385
83,735,452
8,250,465
77,536,13
83,801,827
32,54,234
84,800,507
79,238,220
32,54,234
85,223,678
8,98,916
83,400,577
85,830,63
80,620,955
79,486,789
82,327,383
84,846,206
32,54,234
84,708,230
72,13,941
69,70,153
32,54,234
82,474,922
73,418,431
71,625,696
72,891,432
