VK,HT,FT
16,275,-1
73,106,80
32,176,64
65,136,128
77,104,732
32,95,160
67,56,96
79,96,64
77,96,232
80,104,209
76,160,240
69,176,255
84,96,176
69,120,173
76,104,58
89,71,192
32,95,77
65,104,136
71,96,96
65,176,53
73,128,229
78,96,222
83,209,156
84,120,88
32,176,96
84,96,108
72,67,72
69,70,216
32,128,32
73,152,128
68,109,104
69,72,200
65,72,112
32,168,87
79,125,94
70,128,389
32,158,80
83,95,216
84,176,56
82,152,88
73,136,127
67,77,88
84,104,97
69,112,144
82,88,80
32,136,72
71,52,700
85,138,72
78,128,17
32,105,18
67,72,112
79,112,128
78,72,106
84,119,119
82,96,88
79,146,156
76,160,128
190,53,89
32,104,96
16,164,168
87,107,200
69,128,18
32,193,48
65,160,106
82,215,108
69,164,10
32,174,59
80,96,96
69,80,80
79,112,40
80,56,265
76,104,219
69,120,259
32,95,32
83,64,127
72,76,217
79,129,96
85,79,66
76,110,192
68,89,68
32,130,82
66,81,138
69,112,184
32,103,34
65,120,150
76,222,84
79,112,77
87,88,256
68,72,176
32,144,56
84,88,124
79,104,11
32,152,63
8,57,396
69,120,176
68,83,184
32,148,24
84,80,128
79,112,80
32,152,72
79,120,167
87,128,72
78,136,96
32,150,74
87,96,168
72,125,63
65,128,152
84,128,80
69,152,104
86,92,144
69,120,144
82,24,64
32,183,224
87,152,200
69,107,40
32,103,18
87,99,158
65,130,37
78,128,34
84,96,96
32,184,88
73,103,208
70,135,81
32,136,38
73,120,70
84,35,72
32,146,56
77,104,91
69,71,104
65,88,88
78,128,136
83,216,50
32,168,55
80,128,128
82,96,35
79,4,141
84,64,147
69,80,160
67,104,88
84,96,112
73,111,112
79,95,45
78,95,74
32,135,64
79,144,192
70,104,81
32,128,64
79,168,159
85,149,85
82,116,64
83,95,128
69,112,160
76,104,42
86,48,104
69,86,152
83,128,82
32,151,42
65,44,236
78,96,482
68,88,216
32,160,70
79,96,147
85,136,56
82,118,104
32,127,72
80,56,80
82,114,169
79,81,115
80,96,96
69,109,99
82,143,42
84,120,95
89,72,178
190,96,150
32,192,81
16,142,104
78,87,24
79,176,120
32,115,72
79,124,166
78,71,225
69,112,160
32,160,48
83,72,127
72,109,193
79,130,104
85,84,52
76,136,196
68,81,24
32,152,56
69,59,155
86,34,172
69,80,144
82,88,40
32,159,80
72,137,304
65,35,167
86,104,163
69,80,144
32,103,19
84,105,154
72,43,56
69,56,215
32,120,72
80,125,167
79,104,48
87,128,200
69,78,48
82,88,51
32,137,60
84,120,144
79,195,88
32,152,72
84,105,136
65,120,56
75,265,238
69,80,80
32,160,79
65,120,103
87,88,88
65,97,76
89,96,248
32,121,72
79,114,158
85,142,115
82,126,104
32,172,80
82,120,235
73,114,160
71,63,76
72,200,94
84,112,136
32,128,72
84,34,154
79,70,122
32,188,54
66,88,48
65,72,128
82,131,177
69,80,104
32,117,23
65,160,131
82,168,68
77,112,120
83,88,95
190,72,152
32,152,72
16,136,107
73,97,104
70,135,100
32,128,64
