VK,HT,FT
9,916,-1
32,119,133
8,718,467
16,389,380
73,138,275
32,113,219
86,127,209
8,415,553
66,135,399
76,155,203
69,142,89
73,135,265
8,548,412
69,128,174
73,128,214
8,385,472
76,137,200
73,121,200
69,134,157
86,118,288
69,127,244
32,144,93
8,532,584
80,112,287
69,147,174
82,111,196
83,131,175
79,140,259
78,127,129
65,126,239
76,143,202
89,143,154
32,147,111
66,140,349
69,135,115
76,147,277
73,116,198
69,131,150
86,124,287
69,133,219
32,146,176
84,139,345
72,137,114
65,134,195
84,153,87
32,131,85
71,138,822
85,121,162
78,132,196
32,141,115
67,125,215
79,116,82
78,129,300
84,134,317
82,110,181
79,134,256
76,157,197
32,170,282
73,143,274
83,168,147
32,170,123
86,118,211
69,120,229
82,117,164
89,135,99
32,149,135
73,137,384
77,137,276
80,135,267
79,120,201
82,131,82
84,139,149
65,121,188
78,161,129
84,137,120
32,133,114
66,139,462
69,134,94
67,119,232
65,130,232
85,113,174
83,138,162
69,128,251
32,140,117
65,126,220
78,152,104
32,147,101
73,141,357
78,138,219
68,131,115
73,131,219
86,130,260
73,141,137
68,140,102
85,101,157
65,118,222
76,131,238
32,169,120
84,132,304
79,164,95
32,144,87
77,137,216
85,103,174
67,123,287
72,126,164
32,145,270
80,130,315
79,131,247
87,146,484
69,144,164
82,114,158
190,190,856
32,127,243
16,424,428
79,125,189
8,362,401
32,506,214
16,301,376
79,142,234
78,135,291
69,141,187
32,153,87
77,153,215
65,123,144
78,160,95
32,146,102
87,129,279
73,126,216
69,135,214
76,151,231
68,135,177
73,139,269
78,120,144
71,114,194
32,146,83
65,123,209
32,136,119
70,119,236
73,123,221
82,116,190
69,117,191
65,120,359
82,125,186
77,139,213
32,185,192
67,124,264
79,116,96
85,109,204
76,151,205
68,147,314
32,144,298
82,137,238
85,114,167
73,122,305
78,129,167
71,130,202
8,370,389
32,496,119
84,134,247
72,136,104
69,129,136
32,125,93
76,136,189
73,117,199
86,131,124
69,122,254
222,200,910
83,125,183
32,159,92
79,142,240
70,128,98
32,148,135
72,128,144
85,120,175
78,144,198
68,141,120
8,285,544
69,137,179
83,165,205
32,155,237
79,139,288
70,131,99
32,152,109
68,139,980
79,141,234
90,310,596
69,128,184
78,163,117
83,139,202
32,156,146
73,150,350
70,129,242
32,150,131
78,123,151
79,160,150
84,132,181
32,146,122
72,132,97
85,112,173
78,135,197
68,141,126
82,121,184
69,112,204
68,119,247
83,151,225
32,153,94
79,139,246
70,139,114
32,145,137
80,132,281
69,147,118
79,135,180
80,147,269
76,132,233
69,143,91
32,149,119
68,133,554
69,124,134
80,131,239
69,138,137
78,163,135
68,132,111
73,135,271
78,124,154
71,134,209
32,148,86
79,138,243
78,143,212
32,153,114
84,130,110
72,139,117
69,135,127
32,127,94
71,136,599
73,132,188
86,127,308
69,112,275
78,181,135
32,153,98
83,122,340
73,133,197
84,139,243
85,122,194
65,128,169
84,139,168
73,128,223
79,121,191
78,139,249
190,230,762
32,180,240
16,451,385
73,139,163
84,145,205
32,128,163
73,148,418
83,168,143
32,169,136
71,143,631
79,136,193
73,130,190
78,128,179
71,114,205
32,152,81
84,140,259
79,168,100
32,147,84
66,140,302
69,135,113
32,148,129
80,131,231
72,126,115
89,141,200
83,126,139
73,139,274
67,136,119
65,126,237
76,140,242
89,147,232
32,152,132
73,142,533
77,148,260
80,114,234
79,125,186
83,125,239
73,128,283
66,134,372
76,161,170
69,134,103
32,161,118
84,145,433
79,172,95
32,136,82
77,138,180
79,133,210
78,129,279
73,132,259
84,142,234
79,177,89
82,134,90
32,147,222
65,130,278
78,152,105
68,129,92
32,128,117
82,134,204
69,115,204
67,123,219
79,113,92
82,131,93
68,138,291
32,143,343
65,132,365
76,142,198
32,163,318
71,141,884
85,109,181
78,143,193
32,150,98
84,134,290
82,111,182
65,115,207
78,154,127
83,152,135
65,127,313
67,161,201
84,124,228
73,127,134
79,120,185
78,141,95
32,146,103
68,142,638
85,107,209
69,130,224
32,152,150
73,146,302
78,147,204
32,142,103
80,128,300
65,120,219
82,126,192
84,132,224
32,145,123
84,125,234
79,157,89
32,137,87
84,139,193
72,136,114
69,128,126
32,143,113
70,124,297
65,125,253
67,180,200
84,117,256
32,144,156
84,138,315
72,134,113
84,133,135
32,131,120
8,583,374
65,127,234
84,125,156
32,133,101
65,124,270
32,140,105
68,143,632
69,125,221
67,121,238
69,135,199
78,166,122
84,142,197
32,134,106
80,133,294
69,141,112
82,120,180
67,144,230
69,123,125
78,166,118
8,582,631
78,145,129
79,159,141
84,126,164
65,119,209
66,139,322
76,159,226
69,141,114
32,161,119
80,136,307
69,144,103
82,125,187
67,124,247
69,134,144
78,181,147
84,138,207
65,125,219
71,125,400
69,131,195
32,148,161
79,134,386
70,129,112
32,142,139
70,118,307
73,124,134
82,112,115
69,121,193
65,114,313
82,120,177
77,148,331
83,150,204
32,162,126
65,116,205
82,122,204
69,115,176
32,150,97
83,120,352
79,136,151
76,134,221
68,138,167
32,143,347
73,149,530
76,129,216
69,135,101
71,111,428
65,123,331
76,163,248
89,137,161
32,149,104
79,139,239
78,145,264
32,153,116
84,134,265
72,134,99
69,135,123
32,137,93
83,120,309
84,119,220
82,110,178
69,110,206
84,139,320
83,133,193
32,158,151
79,131,335
82,132,95
32,144,483
73,133,550
78,151,188
32,143,117
66,140,470
65,117,256
67,170,200
75,574,25
89,126,195
65,115,303
82,123,190
68,123,152
32,147,188
68,125,808
69,133,134
65,107,275
76,146,196
83,125,135
190,198,1129
32,190,119
16,420,580
84,128,277
72,128,111
69,132,120
32,141,91
77,150,202
79,144,232
83,145,149
84,114,216
32,138,123
87,131,382
69,130,147
32,152,183
67,123,267
65,123,236
78,154,94
32,142,113
68,127,587
79,140,152
32,148,100
73,150,246
83,147,149
32,165,120
71,139,727
73,127,168
86,127,125
69,137,213
32,146,123
66,140,247
65,128,280
67,143,200
75,186,536
71,115,415
82,121,180
79,126,146
85,94,183
78,129,199
68,136,152
32,135,129
67,131,246
72,129,164
69,130,144
67,119,218
75,590,42
83,153,188
32,152,175
65,112,163
78,151,101
68,137,101
32,129,100
70,116,235
79,125,131
8,377,569
70,130,189
65,128,173
67,151,201
73,140,151
76,149,176
73,115,209
84,135,282
65,119,192
84,135,153
69,122,155
32,142,98
84,136,516
72,137,126
69,127,126
32,134,102
67,133,208
85,100,209
82,116,224
69,117,164
78,178,113
84,126,131
32,136,152
76,135,216
65,128,288
87,147,261
83,146,232
32,153,124
65,109,204
78,148,127
68,136,104
32,131,119
84,140,269
82,110,180
89,163,141
32,154,114
84,131,154
79,173,96
32,142,86
69,143,243
68,105,232
85,102,213
67,135,287
65,127,214
84,121,150
69,124,234
32,146,111
84,148,502
72,137,116
69,136,131
32,143,88
89,145,246
79,120,165
85,98,183
84,132,309
72,128,116
32,132,203
79,129,323
70,135,97
32,157,119
65,131,156
77,134,220
8,281,419
16,421,534
65,127,264
77,150,168
69,129,130
82,124,180
73,119,271
67,131,133
65,118,210
32,154,200
87,139,384
72,129,171
65,131,166
84,160,85
32,140,95
73,155,342
83,168,100
32,168,145
65,113,212
67,170,198
69,125,125
80,122,189
84,127,319
65,119,149
66,135,353
76,143,217
69,139,109
32,159,109
66,139,427
69,133,111
72,131,118
65,133,172
86,124,152
73,129,189
79,113,191
82,138,82
32,146,448
65,122,169
78,152,112
68,132,109
32,135,114
87,135,352
72,131,171
65,135,152
84,145,88
32,139,106
67,123,240
76,158,218
69,139,99
65,113,346
82,121,185
76,159,188
89,138,185
32,145,137
83,126,298
8,595,392
73,133,240
83,166,127
78,141,183
59,919,878
84,133,283
8,399,600
222,327,426
84,137,267
32,140,124
8,857,334
190,307,900
32,135,77
16,374,478
78,148,153
79,119,154
78,138,333
69,139,161
32,142,188
83,108,308
72,140,161
8,466,559
32,320,193
16,438,546
78,148,203
79,131,144
66,139,430
79,123,240
68,138,233
89,126,164
32,150,99
83,110,373
72,137,99
79,123,165
85,91,203
76,137,199
68,149,125
32,146,286
69,141,314
86,125,172
69,122,279
82,111,189
32,146,441
84,129,343
65,121,175
75,653,617
69,140,136
32,143,100
71,142,958
85,109,196
78,141,201
83,123,229
32,154,121
73,126,403
83,134,130
85,106,175
69,127,128
83,176,219
32,159,262
76,132,210
73,121,210
71,114,499
72,135,92
84,137,156
76,135,193
89,150,143
190,180,862
