VK,HT,FT
20,132,-1
71,98,155
20,120,93
85,86,115
78,131,187
68,129,93
32,96,118
8,682,590
32,228,598
67,110,192
79,148,97
78,133,141
84,94,180
82,122,152
79,91,192
76,140,212
32,97,178
73,98,173
83,98,118
32,102,102
65,101,160
32,102,196
72,71,195
85,103,169
71,100,161
69,131,139
32,98,101
71,90,420
8,381,531
69,125,519
8,433,545
73,82,689
83,139,261
85,124,313
69,140,180
32,94,167
70,99,278
79,114,198
82,125,126
32,112,105
84,102,129
72,111,99
69,104,69
32,99,106
20,126,298
85,125,213
20,132,156
78,131,204
73,108,159
84,95,165
69,110,191
68,96,254
32,107,116
20,125,158
83,131,126
20,107,271
84,115,156
65,115,188
84,147,187
69,132,120
83,129,194
190,126,273
32,101,187
20,123,236
84,127,197
20,142,168
72,115,171
69,98,89
82,113,148
69,106,126
32,112,73
65,139,219
82,133,196
69,121,109
32,127,127
83,125,257
79,140,109
77,135,130
65,128,234
78,93,209
89,116,221
8,303,421
69,120,430
8,519,425
32,97,449
77,116,311
65,130,138
78,86,141
89,114,192
32,110,162
82,115,268
69,92,153
83,129,173
65,144,368
79,106,122
78,126,163
8,626,408
65,133,812
83,170,146
79,136,140
78,108,162
83,120,197
32,123,117
87,97,292
72,114,140
73,111,77
76,128,212
69,109,268
32,136,126
8,771,531
89,126,418
32,111,202
84,118,253
72,114,106
8,506,466
20,104,313
79,97,180
20,93,178
84,127,209
72,91,116
69,102,126
82,139,119
32,109,151
84,101,116
72,81,130
65,92,70
78,94,126
32,122,115
72,112,210
85,103,213
78,111,188
8,408,707
84,121,352
73,159,159
78,111,89
71,98,110
32,109,83
80,122,359
85,110,221
82,93,122
80,111,313
79,102,228
83,169,117
73,156,294
78,144,128
71,109,202
32,119,95
84,90,172
72,97,71
69,144,105
82,144,125
69,124,142
32,102,125
8,701,596
32,152,698
83,120,251
72,90,121
79,126,120
85,89,165
76,113,186
68,134,111
32,119,164
66,90,198
69,106,126
32,126,103
78,114,221
79,126,130
32,138,153
82,124,331
69,122,139
65,194,163
83,112,204
79,127,180
78,114,132
32,104,150
70,90,292
79,104,84
82,100,126
32,108,149
71,86,262
85,101,99
78,124,158
83,107,157
32,106,109
73,131,238
78,103,121
32,118,96
84,88,107
72,102,120
73,132,118
83,97,97
32,112,81
87,115,343
79,140,238
82,107,135
76,87,112
68,124,136
188,124,333
32,104,162
85,98,329
78,153,174
70,124,205
79,101,215
82,109,116
84,94,184
85,96,215
78,130,232
65,127,233
84,110,145
69,114,114
76,134,117
89,140,211
32,124,128
84,124,233
72,152,95
69,119,87
82,126,149
69,122,125
32,122,166
65,141,188
82,135,95
69,118,140
32,108,122
84,119,125
72,147,121
79,97,163
85,110,247
8,590,570
83,102,488
69,146,154
32,97,116
87,121,169
72,84,128
79,102,148
76,122,293
32,121,148
8,521,393
32,69,797
87,110,315
65,135,143
78,98,152
84,106,133
32,112,103
8,1127,666
85,100,431
83,111,125
69,101,155
32,92,238
84,87,148
72,76,83
69,86,103
77,106,130
32,110,138
70,98,217
79,119,218
82,100,122
32,91,64
72,120,285
85,104,185
82,72,104
84,119,185
73,98,121
78,126,109
71,109,115
32,91,234
79,151,125
84,118,159
72,113,121
69,153,102
82,147,104
83,121,224
190,77,176
32,164,159
20,98,187
87,117,291
20,109,213
69,93,186
32,120,201
78,128,276
69,228,138
68,130,336
32,105,148
84,117,192
79,130,89
32,130,115
71,82,421
69,104,217
84,91,170
32,120,94
71,94,430
85,107,120
78,108,185
83,130,177
32,96,133
70,102,142
82,105,274
79,145,113
77,138,159
32,130,220
84,105,140
72,124,105
69,117,99
83,155,218
69,119,111
32,114,161
80,94,235
79,140,162
8,223,396
69,119,376
79,111,220
80,109,162
76,118,149
69,111,87
32,115,117
66,87,259
89,111,211
32,105,139
65,120,304
78,96,104
89,117,290
32,127,128
77,126,206
69,186,107
65,155,179
78,102,216
83,112,174
32,109,106
78,98,177
69,182,165
67,118,175
69,111,225
83,276,230
65,140,359
82,118,247
89,151,280
190,101,495
32,98,198
20,110,258
73,106,229
20,94,57
32,112,252
8,682,663
20,100,125
83,131,232
20,135,310
84,112,177
82,110,180
73,89,122
67,97,193
84,102,277
69,117,153
82,105,114
32,94,100
76,170,207
65,127,96
87,110,161
83,136,250
32,116,230
79,132,145
78,107,163
32,116,118
72,118,247
79,130,133
87,114,118
32,95,99
79,104,249
78,132,160
69,110,136
32,100,115
67,117,392
65,143,137
78,143,124
32,108,120
79,135,153
66,104,294
84,112,191
65,114,146
73,87,112
78,111,124
32,91,184
71,121,305
85,89,157
78,119,187
83,112,187
32,99,162
73,125,264
83,104,119
32,135,118
79,91,196
78,121,157
69,79,130
32,95,116
87,97,239
65,145,167
89,89,211
188,119,273
32,107,137
65,127,240
78,124,133
68,118,100
32,93,101
79,168,181
84,101,151
72,111,100
69,133,94
82,110,126
32,129,118
8,238,616
83,91,363
32,96,219
65,136,269
82,120,151
69,117,99
32,108,96
8,571,566
32,139,594
66,120,175
85,120,163
84,94,154
32,88,106
74,82,371
85,114,213
83,120,140
84,129,174
32,102,135
77,95,177
65,99,129
75,99,133
73,131,184
78,121,87
71,102,105
32,121,99
8,468,401
66,90,388
65,89,166
78,131,143
73,127,243
78,102,106
71,92,118
32,91,112
84,109,216
72,87,74
69,141,101
77,139,261
32,130,202
65,125,357
76,223,102
8,564,443
32,153,447
84,101,144
79,112,74
8,648,688
76,114,704
84,129,183
79,129,161
71,100,262
69,125,214
84,124,157
72,88,217
69,111,92
82,152,120
32,114,160
83,99,254
69,151,183
77,151,171
83,109,273
32,131,146
84,100,127
79,122,120
32,112,97
77,103,181
65,133,132
75,114,113
69,127,201
32,110,110
84,105,108
72,83,99
69,101,85
32,94,125
77,117,178
79,104,129
83,101,165
84,114,156
32,98,94
83,100,251
78,91,364
8,325,466
69,105,375
78,105,139
83,131,244
69,103,251
190,111,386
32,194,213
20,116,184
73,104,218
20,81,57
32,138,338
68,102,262
79,117,150
32,133,137
78,114,204
79,143,86
84,101,265
32,94,162
72,101,123
65,125,75
69,121,208
32,104,111
84,114,148
72,113,113
8,509,368
86,88,434
69,105,188
32,109,117
84,105,106
72,120,110
69,117,105
32,120,119
65,118,138
78,104,115
83,133,216
87,128,338
69,144,190
82,110,158
83,109,182
32,167,148
79,117,212
78,101,155
32,115,100
84,117,124
72,152,118
73,133,84
83,94,106
32,107,83
73,118,251
83,139,107
85,136,294
69,139,167
188,96,398
32,111,126
66,105,336
85,112,118
84,109,103
32,123,128
20,110,354
73,100,112
20,85,57
32,118,139
68,106,206
79,127,100
32,122,145
83,103,186
69,171,152
32,158,137
65,136,198
32,120,140
71,114,246
82,110,239
69,103,115
65,107,266
84,109,152
32,102,132
78,134,190
69,210,94
68,96,316
32,110,96
70,87,157
79,111,133
82,96,106
32,111,257
83,125,166
79,92,99
77,133,137
69,118,116
32,126,203
65,131,370
84,154,210
69,139,128
78,123,171
84,125,152
73,126,111
79,137,111
78,130,146
32,104,274
84,138,243
