VK,HT,FT
16,230,-1
71,102,211
85,82,169
78,85,191
83,122,158
32,107,148
65,146,179
82,120,180
69,131,102
32,116,327
65,139,214
32,115,171
68,104,292
65,134,251
78,78,120
65,141,187
71,102,211
69,132,208
82,119,94
79,122,169
85,80,141
8,370,578
71,102,211
69,132,208
82,119,94
79,122,169
85,80,141
83,111,133
32,108,208
87,120,297
69,112,196
65,131,191
80,111,246
79,139,216
78,103,131
8,370,578
68,117,247
65,136,245
78,78,120
71,95,175
69,132,208
82,119,94
79,122,169
85,80,141
83,111,133
32,108,208
87,120,297
69,112,196
65,131,191
80,111,246
79,139,216
78,103,131
83,122,158
190,124,525
32,119,187
16,240,280
65,141,187
67,129,262
73,106,214
68,117,247
69,111,210
78,94,174
84,107,180
65,141,187
76,124,236
32,119,187
70,112,293
8,370,578
16,230,302
84,107,180
72,89,104
69,108,97
89,100,211
32,108,138
69,125,167
78,94,174
68,127,129
32,112,176
76,124,236
73,106,214
86,112,196
69,127,154
83,126,218
32,108,208
87,120,297
73,103,124
84,106,139
72,101,97
32,121,122
76,124,236
73,106,214
84,106,145
76,124,236
69,107,138
32,118,200
84,104,214
79,165,89
32,121,253
78,84,294
79,130,185
32,121,253
69,125,167
70,112,219
79,110,110
82,116,110
84,107,180
8,370,578
84,107,180
32,118,143
65,139,214
78,81,208
68,127,124
32,111,166
66,107,361
69,100,204
65,131,191
8,370,578
67,129,262
65,165,131
85,91,154
83,111,133
69,129,199
32,118,200
84,104,214
8,370,578
79,130,185
70,112,109
32,104,110
84,104,214
72,87,103
65,162,44
84,100,99
32,117,166
84,104,214
72,87,103
69,108,94
32,113,104
80,103,277
82,119,173
8,370,578
69,125,167
82,130,98
80,111,246
69,125,167
84,107,180
82,119,173
65,141,187
84,104,102
79,165,89
84,107,180
8,370,578
82,119,173
83,126,218
32,108,208
79,113,359
70,112,109
32,104,110
84,104,214
72,87,103
69,108,94
83,126,218
69,129,199
32,118,200
67,99,335
82,119,173
73,101,160
77,100,292
69,125,167
83,126,218
32,108,208
79,113,359
82,108,166
32,110,113
65,139,214
67,129,262
73,106,214
67,129,262
8,370,578
68,117,247
69,111,210
78,94,174
84,107,180
83,126,218
32,108,208
67,99,335
65,165,131
78,87,161
32,120,148
68,104,292
73,106,214
83,127,132
79,130,185
67,129,262
73,106,214
65,141,187
84,104,102
69,108,177
32,118,200
87,117,353
73,103,124
84,106,139
72,101,97
32,121,122
84,104,214
72,87,103
69,108,94
32,113,104
65,139,214
67,129,262
84,107,180
32,118,143
65,139,214
78,81,208
68,127,124
32,111,166
78,84,294
79,130,185
84,107,180
32,118,143
66,110,361
69,100,204
32,118,200
65,139,214
70,112,219
69,125,167
67,129,262
84,107,180
69,108,177
68,112,325
32,117,240
66,107,361
89,100,211
32,108,138
73,102,256
84,106,145
32,118,143
79,113,359
78,103,131
32,120,148
84,104,214
72,87,103
69,108,94
32,113,104
76,124,236
69,107,138
86,112,196
76,124,236
