VK,HT,FT
16,74,-1
73,65,108
32,106,77
66,414,26
69,98,165
76,98,96
73,49,101
69,129,152
86,105,90
69,1,138
32,75,135
84,106,257
72,122,35
65,58,164
84,33,70
32,106,157
71,116,134
85,75,201
78,106,126
32,82,246
67,474,816
79,51,133
78,114,173
84,90,101
82,98,231
8,66,583
84,114,69
82,114,109
85,55,197
69,82,106
32,90,133
16,291,263
71,97,224
85,49,197
78,154,141
32,90,149
16,850,364
67,449,646
79,40,157
78,159,153
84,107,125
82,123,89
79,90,117
76,82,345
32,90,61
73,33,236
78,90,181
32,106,133
65,90,71
36,799,314
8,244,836
16,550,674
65,82,31
77,119,22
69,98,181
82,106,133
73,41,133
67,925,367
65,90,388
78,92,285
32,98,61
73,117,113
83,78,72
32,106,110
78,90,165
84,90,83
79,60,234
32,98,968
65,82,83
32,99,125
8,74,357
79,111,132
84,113,147
32,114,117
65,90,105
32,90,133
77,959,181
65,66,251
84,114,123
69,121,93
82,117,77
32,63,68
79,90,108
82,122,122
8,82,357
70,647,481
32,82,126
82,106,77
69,114,101
83,34,169
84,90,125
82,130,97
73,69,185
67,649,89
84,94,268
73,77,948
78,114,154
71,97,164
8,87,342
69,89,101
76,82,116
73,33,109
77,308,570
73,60,101
78,98,320
65,64,66
84,90,158
73,83,205
78,106,165
71,118,143
32,90,125
71,11,128
85,79,272
78,90,165
83,65,124
70,675,475
32,114,251
82,93,346
79,114,117
8,69,401
32,106,101
70,10,491
82,90,77
79,66,227
77,71,431
32,90,159
84,106,177
72,100,124
69,50,181
32,98,61
80,150,567
79,99,112
80,775,822
85,82,321
76,133,131
65,74,76
84,66,172
73,21,116
79,57,68
78,90,181
32,113,85
82,82,109
8,69,401
66,219,527
85,66,130
84,98,69
32,130,141
82,90,77
65,90,189
84,101,68
72,122,133
69,114,149
82,75,122
32,74,138
67,155,421
79,106,117
78,14,141
84,102,125
82,90,200
79,122,89
76,88,236
73,39,236
78,90,118
71,115,96
32,105,129
72,138,178
79,43,133
87,393,970
8,74,162
76,246,140
73,3,310
78,90,258
71,99,125
32,90,148
72,106,534
79,66,91
87,12,346
32,106,150
80,547,493
69,77,93
79,78,213
80,598,453
76,86,21
69,90,93
32,82,56
72,98,124
65,58,23
78,106,165
68,60,32
76,82,221
69,90,100
32,98,125
84,106,112
72,98,133
69,116,111
83,82,125
69,282,174
32,76,61
71,92,84
85,98,247
89,125,542
8,87,391
78,98,331
83,99,117
32,90,133
65,90,87
78,122,158
68,84,117
32,130,165
84,106,25
72,138,133
69,74,204
32,82,99
8,87,357
84,98,124
72,112,129
69,82,121
32,63,93
83,83,157
67,65,338
82,106,77
69,98,149
78,98,172
73,65,133
78,90,165
71,127,100
32,90,141
80,612,55
82,137,77
79,90,54
67,313,976
69,98,157
83,66,157
32,90,151
84,111,17
79,98,47
32,21,102
71,115,100
69,58,212
84,69,72
32,114,101
84,106,19
72,122,133
69,98,93
77,778,131
32,90,76
73,50,117
83,100,72
32,109,88
65,79,92
68,71,117
8,88,440
68,84,172
73,21,119
8,618,398
65,90,162
81,506,150
85,106,65
65,82,165
84,98,85
69,122,101
190,262,647
32,98,148
16,582,185
71,103,93
85,125,230
78,114,134
32,129,176
82,65,74
69,90,188
76,2,48
65,89,22
84,90,48
69,90,105
68,100,344
32,98,102
86,70,91
73,46,229
79,88,232
76,98,44
65,58,100
78,112,150
67,877,469
69,90,229
32,81,113
8,83,403
69,114,93
78,106,109
67,949,739
69,74,116
32,106,133
73,98,129
83,88,77
32,113,141
86,90,231
69,114,150
82,98,198
89,30,379
32,75,243
82,90,228
65,90,125
82,138,76
69,82,181
76,74,127
89,497,159
32,87,85
73,65,119
78,106,141
8,58,308
73,58,133
78,167,109
32,66,40
83,94,74
89,100,22
78,114,189
67,283,647
32,90,93
87,102,912
73,70,236
84,90,165
72,138,132
32,106,148
8,83,568
86,4,98
69,114,171
82,128,153
89,645,926
32,114,109
82,122,117
65,59,170
82,106,125
69,71,72
76,244,227
89,866,516
32,65,338
73,34,109
78,122,165
86,7,129
79,73,120
76,135,188
86,66,113
69,50,176
68,116,117
8,77,330
83,98,75
32,103,148
73,65,128
78,114,109
68,90,153
73,55,141
86,112,90
85,63,152
68,20,148
85,126,125
8,77,403
73,62,212
68,34,163
85,0,148
65,85,165
76,82,148
83,73,125
32,114,154
87,470,16
72,138,151
79,90,117
32,82,101
76,166,42
69,213,220
71,91,103
8,74,397
71,97,93
65,53,99
76,93,182
89,173,166
32,82,165
65,78,125
78,90,156
68,86,253
32,90,101
76,243,37
69,112,37
71,97,132
73,69,108
84,69,126
65,74,404
77,133,726
69,98,205
78,90,152
84,105,108
69,78,113
76,98,29
8,74,403
76,87,132
89,91,924
32,130,165
8,72,333
79,98,154
87,953,802
78,106,172
32,90,133
84,55,176
72,28,56
69,90,119
73,19,96
82,118,133
32,58,75
71,97,100
85,42,277
78,106,29
83,66,125
32,83,133
65,58,133
78,106,156
68,85,117
32,31,133
72,122,487
65,10,116
69,90,165
8,80,331
86,95,118
69,98,204
32,89,78
84,114,140
8,86,712
66,128,886
69,86,165
78,73,326
32,114,133
84,106,174
72,122,133
82,74,409
79,90,60
85,98,124
71,98,66
72,138,133
32,82,148
80,3,968
82,106,85
