VK,HT,FT
16,67,-1
73,117,129
32,99,140
83,5,92
85,515,635
80,604,142
79,118,158
82,134,112
84,89,239
32,114,140
67,565,172
79,111,136
78,114,143
84,83,175
8,380,328
32,97,147
8,33,318
16,935,889
71,851,624
85,72,293
78,119,116
32,110,142
67,469,387
79,149,111
78,118,126
84,85,251
82,423,366
79,123,133
76,278,765
32,106,95
73,128,155
83,707,790
32,104,143
73,120,145
77,516,283
80,489,592
79,113,154
82,209,619
84,92,223
65,731,846
78,107,126
84,85,233
32,126,57
66,21,670
69,108,134
67,829,281
65,132,151
85,503,515
83,420,304
69,100,155
32,109,103
73,126,197
84,93,232
32,109,71
77,635,306
65,607,972
89,875,766
32,106,116
72,269,756
69,103,114
76,180,776
80,899,427
32,124,107
80,160,278
82,958,138
69,118,132
86,797,6
69,98,140
78,114,146
84,93,274
32,127,164
77,823,698
65,139,430
83,119,777
32,126,201
75,631,541
73,125,167
76,447,716
73,116,187
78,121,116
71,70,457
83,920,850
32,124,89
76,84,957
73,144,189
75,44,574
69,118,127
32,113,101
79,148,102
85,909,311
82,614,825
32,121,129
67,940,862
79,133,127
85,550,70
78,109,146
84,87,169
82,756,748
89,63,532
32,116,58
72,32,274
65,19,620
83,993,593
32,113,142
69,101,118
88,527,813
80,413,411
69,115,151
82,505,172
73,103,190
69,97,135
78,112,116
67,18,671
69,105,149
83,242,567
32,104,198
8,26,194
68,771,389
32,101,134
79,155,135
86,997,102
69,121,141
82,338,523
32,115,149
84,86,307
72,200,220
69,119,156
32,111,117
76,568,707
65,684,23
83,288,371
84,92,284
32,108,81
70,680,701
69,119,153
87,51,837
32,126,93
89,342,665
69,118,157
65,444,945
82,631,163
83,132,546
190,316,284
32,121,91
16,846,878
84,85,282
79,147,149
32,114,78
77,241,865
65,290,145
78,109,139
89,571,780
32,114,89
80,150,968
69,112,161
79,111,144
80,680,97
76,394,983
69,102,147
32,106,114
72,644,977
65,757,413
86,159,25
69,117,120
32,112,99
66,275,642
69,96,158
78,111,147
32,111,198
75,190,730
73,117,180
76,683,529
69,120,140
68,743,573
32,104,116
68,865,555
85,658,264
69,110,127
32,112,109
84,84,162
79,131,126
32,105,159
76,414,131
65,277,562
67,466,297
75,716,591
32,102,141
79,120,115
70,50,770
32,122,61
71,371,739
85,532,273
78,106,114
32,123,206
67,800,968
79,153,146
78,122,132
84,89,163
82,54,849
79,137,116
76,142,909
32,109,185
73,106,138
8,50,134
83,956,476
84,89,174
82,662,246
73,137,179
67,868,567
84,92,207
32,108,125
71,111,815
79,141,117
78,108,132
8,573,476
85,339,302
78,111,124
32,124,125
67,355,851
79,159,149
78,106,117
84,92,258
82,286,200
79,143,153
76,819,990
32,122,115
73,128,166
78,106,133
32,126,148
84,88,258
72,892,34
73,109,127
83,513,432
32,101,130
67,946,225
79,110,135
85,213,436
78,111,148
84,87,153
82,931,100
89,54,345
190,393,905
32,107,155
16,284,395
84,88,248
82,259,924
65,890,20
71,926,487
69,102,138
68,461,665
73,125,160
69,97,115
83,138,284
32,97,60
83,514,155
85,332,260
67,129,643
72,421,370
32,103,75
65,155,81
83,941,676
32,115,161
84,93,147
72,459,916
69,119,130
32,108,98
16,597,383
65,460,758
85,216,296
82,542,914
79,114,152
82,979,284
65,561,377
32,109,171
16,944,456
77,662,175
79,131,102
73,103,194
8,252,275
86,559,66
73,141,151
69,113,114
32,113,90
16,481,939
84,93,171
72,801,977
69,95,157
65,457,384
84,91,200
69,112,163
82,902,917
32,121,63
83,132,853
72,165,4
79,159,127
84,88,260
73,124,199
78,121,139
71,411,54
83,181,260
32,117,138
65,429,262
78,117,121
68,725,582
32,106,178
84,89,171
72,529,679
69,114,140
32,107,105
16,851,980
78,120,123
69,98,156
87,168,95
84,91,152
79,121,143
87,274,642
78,119,135
32,108,70
16,580,733
69,97,131
76,211,488
69,99,165
77,792,419
69,111,130
78,116,148
84,87,286
65,846,431
82,396,373
89,434,326
32,111,178
83,151,319
67,539,269
72,590,749
8,71,14
16,898,525
83,481,112
8,955,842
16,74,481
83,145,140
67,327,999
72,271,298
79,124,120
76,345,793
32,122,109
83,727,706
72,774,79
79,140,159
84,88,282
73,141,144
78,117,141
71,664,36
32,99,170
8,325,997
83,339,692
32,127,174
80,521,542
79,141,151
83,109,859
73,106,172
66,2,999
76,704,751
89,133,305
32,104,85
67,627,794
79,144,140
85,347,988
76,536,88
68,96,80
32,121,139
72,762,593
65,318,800
86,720,141
69,102,163
32,108,109
66,801,64
69,119,122
78,119,121
32,128,62
80,874,625
82,865,917
69,114,156
86,385,654
69,108,116
78,117,133
84,92,279
69,96,142
68,213,272
32,103,61
79,113,116
82,376,982
32,123,95
76,846,982
69,122,159
83,142,140
32,116,92
67,137,992
65,29,102
83,718,999
85,114,698
65,379,717
76,238,990
84,89,303
73,132,136
69,99,149
83,396,980
32,127,194
8,854,775
32,97,94
79,136,139
82,67,593
32,119,106
82,659,782
69,101,125
68,220,667
85,293,170
67,319,96
69,113,124
68,561,662
32,122,58
84,91,153
72,133,716
69,103,114
32,114,112
78,112,134
85,918,323
77,472,817
66,731,245
69,98,156
82,630,485
32,117,64
79,153,106
70,75,205
32,124,109
67,494,907
65,626,927
83,181,938
85,697,430
65,316,371
76,321,564
84,93,298
73,110,193
69,99,113
83,713,429
32,96,155
73,130,178
70,185,487
32,115,170
84,92,180
72,849,969
69,103,120
32,110,110
16,468,440
85,911,966
78,113,135
73,113,114
84,94,316
69,109,115
68,290,655
32,103,112
16,924,162
83,212,649
84,91,313
65,441,777
84,93,241
69,100,140
83,652,132
32,122,119
72,739,326
65,594,740
68,111,232
32,116,158
84,87,297
79,120,108
85,931,167
71,472,287
72,991,707
84,89,249
8,959,188
69,115,161
82,733,835
32,124,63
71,963,17
85,264,859
78,111,125
32,101,101
76,403,635
