VK,HT,FT
16,451,-1
71,373,519
79,71,76
86,321,219
69,62,76
82,82,53
78,128,44
77,98,56
69,102,61
78,52,28
84,102,96
32,101,41
76,86,28
69,105,59
71,86,908
73,102,56
83,102,16
84,67,172
8,955,832
76,85,19
65,132,88
84,191,567
69,101,76
68,86,60
32,120,28
71,392,427
85,118,97
78,101,0
32,102,12
67,54,60
79,73,65
78,126,44
84,62,44
82,101,11
79,61,28
76,94,73
32,110,12
73,136,58
83,147,60
32,105,58
65,132,84
32,110,28
70,62,502
79,70,138
76,129,66
73,78,138
83,147,84
72,155,60
73,134,11
32,120,52
8,783,369
32,126,0
73,124,84
68,104,60
69,161,401
65,158,12
32,86,28
84,89,566
72,98,45
65,121,90
84,167,53
32,78,12
83,77,171
72,107,63
79,125,76
85,0,71
76,167,136
68,127,60
32,110,44
66,935,623
69,70,37
32,78,0
79,129,124
80,86,0
79,61,0
83,102,60
69,101,44
68,61,0
190,801,239
32,133,12
16,393,910
84,252,28
72,53,60
69,132,140
32,122,0
16,550,323
66,611,272
73,84,43
76,134,127
32,86,38
79,119,48
70,44,48
32,108,68
16,569,966
82,67,28
73,138,11
71,585,381
72,98,112
84,62,114
83,101,79
32,125,30
67,58,90
76,86,2
69,93,52
65,134,34
82,61,53
76,86,11
89,90,347
32,101,83
80,145,19
82,169,27
79,94,17
86,865,219
73,174,94
68,101,12
69,209,60
83,133,84
32,112,51
70,69,43
79,114,44
82,94,55
32,85,20
16,667,7
65,116,27
77,64,28
69,102,0
82,61,269
73,84,68
67,56,84
65,134,64
78,93,28
32,94,28
67,60,89
73,132,104
84,104,68
73,42,44
90,689,77
69,124,59
78,89,51
83,158,203
32,95,27
84,104,53
79,115,128
8,289,89
37,541,10
39,868,430
84,62,28
72,86,37
69,133,154
32,98,0
73,24,13
8,630,102
82,134,84
73,103,44
71,385,238
72,62,45
84,140,28
32,120,32
84,204,18
79,76,145
32,86,118
66,816,835
69,109,75
65,157,84
82,133,53
32,122,27
65,107,12
82,158,20
77,122,39
83,134,60
188,960,257
32,68,43
65,109,36
78,86,28
68,93,63
32,88,84
65,65,12
78,101,28
89,695,913
32,101,22
71,901,356
79,57,0
86,158,69
69,108,60
82,102,156
78,39,39
77,16,113
69,129,0
78,78,51
84,102,233
65,116,31
76,77,28
32,71,84
65,136,12
84,57,60
69,147,138
77,47,28
80,0,109
84,208,546
32,126,6
84,94,22
79,105,33
32,96,76
82,102,156
69,101,217
83,140,60
84,104,53
82,62,15
73,134,308
67,7,60
84,54,68
32,85,0
84,134,71
72,104,41
69,147,68
32,107,3
79,99,0
87,122,44
78,137,13
69,128,59
82,101,156
83,215,73
72,141,60
73,174,44
80,34,73
32,93,0
79,90,42
70,70,277
32,108,0
70,69,44
73,106,228
82,124,156
69,86,60
65,190,93
82,158,28
77,122,60
83,102,143
32,102,21
73,70,35
83,164,135
32,101,20
70,69,44
73,99,95
82,62,11
83,92,109
84,19,0
76,79,148
89,780,175
32,110,0
8,438,788
32,63,12
85,53,36
78,109,43
67,54,84
79,92,95
78,71,36
83,204,0
84,106,160
73,102,115
84,68,52
85,48,12
84,138,28
73,134,0
79,102,0
78,123,44
65,135,12
76,102,0
190,942,597
32,141,28
16,265,329
72,97,11
79,95,137
87,92,358
69,126,88
86,328,9
69,85,52
82,61,20
188,223,303
32,94,60
84,66,55
72,31,40
69,93,60
82,189,84
69,109,160
32,107,4
65,110,93
82,220,84
69,126,60
32,134,0
69,95,89
86,36,857
69,135,82
78,85,139
32,94,60
77,97,41
79,56,135
82,31,120
69,92,75
32,77,19
80,63,130
82,54,44
65,134,191
67,101,84
84,94,70
73,92,43
67,54,82
65,76,12
76,70,62
32,86,69
82,162,52
69,105,330
65,85,68
83,109,62
79,74,302
