VK,HT,FT
16,413,-1
71,80,363
85,89,102
78,83,81
32,144,156
16,275,569
67,78,84
79,138,180
78,99,137
84,102,163
82,103,83
79,208,120
76,126,0
32,49,106
73,87,0
83,98,55
32,83,121
65,140,268
32,63,91
71,84,358
79,125,185
68,55,334
32,68,68
84,85,106
72,103,161
73,109,106
78,58,127
71,102,233
32,109,199
83,97,142
8,0,396
70,107,232
79,119,129
82,102,104
32,121,42
83,132,303
79,114,124
67,103,170
73,74,73
69,105,160
84,81,113
89,114,152
190,342,440
32,65,71
16,899,10
80,707,364
69,147,242
79,122,36
80,38,237
76,76,148
69,127,315
32,74,104
68,60,185
79,130,192
78,45,122
222,986,917
84,90,168
32,27,171
82,68,108
69,159,0
65,163,125
76,72,310
89,987,397
32,117,139
78,108,113
69,121,160
68,64,71
32,56,111
71,82,227
85,66,80
78,102,157
83,35,188
32,27,240
84,111,186
79,86,193
32,72,102
76,171,80
73,108,337
86,72,149
69,23,157
32,67,90
84,129,119
72,82,214
69,88,41
73,165,149
82,69,120
32,76,89
76,90,700
73,98,121
86,113,98
69,131,210
83,68,92
190,751,455
32,86,175
16,666,865
73,115,235
70,94,192
32,61,130
8,531,269
70,97,139
32,119,217
87,273,983
69,91,319
32,74,78
82,99,77
69,143,26
77,522,181
79,135,0
86,58,131
69,199,177
32,105,89
70,111,194
85,97,59
78,64,111
83,123,140
32,93,268
67,0,83
79,92,167
77,949,906
80,44,803
76,95,0
69,64,0
84,47,0
69,116,165
76,153,278
8,0,367
71,43,213
85,97,151
78,82,156
83,106,182
32,108,242
67,140,230
79,165,50
77,535,208
80,104,248
76,70,0
69,100,56
84,101,251
69,146,74
76,103,301
89,325,897
32,89,161
70,57,449
82,84,92
79,140,127
77,566,335
32,91,200
79,89,124
85,72,72
82,126,178
32,117,142
83,129,82
79,192,190
67,25,171
73,63,336
69,132,191
84,122,223
89,828,417
188,38,667
32,99,232
84,120,98
72,37,127
69,109,166
82,105,94
69,80,55
32,91,47
87,838,425
73,80,197
76,219,0
32,85,144
66,369,901
69,40,143
32,125,136
78,68,10
79,138,224
32,93,176
77,55,593
79,136,83
82,107,134
69,45,218
32,91,69
85,72,97
8,276,111
71,109,185
85,49,212
78,97,169
32,63,208
86,84,137
73,92,26
79,87,46
76,210,0
69,80,211
78,77,169
67,60,191
69,114,274
190,544,663
32,138,239
16,942,923
79,107,97
78,69,173
69,154,0
32,108,34
83,85,152
84,144,231
69,10,260
80,361,846
32,86,125
73,114,485
78,65,105
32,110,142
84,106,210
72,50,210
65,63,141
84,110,251
32,120,169
68,85,245
73,50,41
82,109,163
69,57,86
67,122,204
84,53,90
73,101,53
79,72,0
78,64,140
32,115,144
87,418,59
79,128,242
85,68,135
76,0,140
68,78,174
32,113,69
66,455,427
69,106,147
32,76,70
84,97,252
79,117,117
32,66,75
70,98,258
73,88,0
82,104,111
83,147,242
84,61,59
32,56,76
79,113,161
85,84,85
84,116,135
76,125,290
65,174,64
87,21,123
32,66,35
70,114,246
85,66,58
78,96,155
83,68,71
8,824,471
71,92,191
85,79,64
8,35,155
71,97,419
85,78,86
78,101,0
83,109,130
190,460,248
32,103,53
16,306,923
84,149,160
82,90,80
85,54,89
69,80,243
188,265,30
32,83,159
83,61,35
79,146,180
77,595,834
69,140,43
32,98,88
80,38,953
69,49,128
79,96,234
80,247,711
76,92,455
69,68,211
32,101,118
87,198,875
73,85,267
76,81,61
32,97,179
83,100,76
84,102,187
73,56,305
76,87,128
32,86,79
72,88,131
65,103,208
86,103,145
69,61,154
32,89,113
65,61,0
67,93,143
69,48,261
83,114,243
32,67,243
84,58,266
79,106,136
32,102,80
71,30,203
85,79,53
78,51,113
69,91,278
8,225,220
83,122,208
188,592,552
32,148,94
66,843,457
85,58,170
84,103,144
32,102,0
84,120,227
72,86,0
69,108,143
32,83,44
79,66,131
86,92,114
82,35,177
8,878,159
86,63,56
69,23,117
82,118,160
65,92,352
76,43,505
32,86,192
76,150,0
69,81,147
86,102,131
69,110,119
76,85,245
32,150,104
79,132,106
70,88,326
32,80,150
71,57,286
85,68,83
78,86,89
83,50,184
32,82,266
87,412,258
73,59,53
