VK,HT,FT
16,469,-1
84,120,68
72,96,183
69,120,102
32,136,59
83,133,6
69,44,260
52,906,508
67,120,307
8,293,1064
67,179,239
79,112,74
78,143,211
68,200,171
32,104,75
65,142,236
77,87,320
69,141,179
78,120,195
68,196,140
77,152,3
69,152,6
78,127,140
84,119,139
32,102,159
87,160,213
65,144,279
83,144,225
32,160,132
87,160,210
82,85,171
73,104,415
84,113,161
73,104,108
78,144,187
8,300,497
69,132,150
78,136,150
32,140,212
84,148,4
8,464,186
73,144,211
78,136,197
32,136,155
84,119,187
72,123,124
69,128,171
32,122,112
84,118,168
73,152,84
77,155,219
69,115,182
32,152,131
79,144,210
70,144,91
32,110,124
70,197,532
76,264,140
73,104,243
78,120,268
84,136,155
76,144,156
79,112,283
67,80,270
75,41,903
83,136,267
32,143,107
65,156,213
78,146,140
68,94,123
32,149,81
84,113,187
72,111,139
65,154,147
84,107,248
222,207,212
83,259,171
32,128,190
72,120,111
79,144,98
87,155,170
32,151,201
79,120,302
85,152,224
82,108,283
32,152,86
72,120,353
8,704,548
70,70,291
79,114,124
85,88,95
78,128,246
68,184,171
73,119,187
78,112,197
71,153,150
32,104,171
70,154,164
65,153,315
84,128,315
72,112,75
69,112,139
82,107,478
83,152,311
32,120,138
83,149,343
65,152,276
87,150,155
32,129,108
73,49,231
84,112,115
190,156,277
32,37,211
16,1290,334
84,127,483
72,111,147
69,128,114
89,136,136
32,117,301
87,144,212
69,185,236
82,83,203
69,118,281
32,116,150
78,112,200
79,120,5
84,144,299
32,112,167
70,192,187
79,111,108
82,97,157
84,127,130
85,104,148
78,136,511
69,127,111
32,117,93
84,120,147
69,178,451
76,132,197
69,120,115
82,62,168
83,142,275
32,138,143
65,159,203
78,144,140
68,141,123
32,145,665
67,157,134
79,53,94
85,113,71
76,164,203
68,198,239
32,112,949
78,112,414
79,128,141
84,136,418
32,137,111
72,120,217
65,162,146
86,99,252
69,112,199
32,136,123
83,96,230
69,320,276
78,136,169
32,136,199
84,127,184
72,120,82
69,130,130
32,152,107
65,168,1035
68,120,273
86,172,181
65,167,373
78,104,116
67,168,283
69,120,122
83,188,217
32,144,340
73,146,244
78,131,179
32,200,155
87,152,156
69,129,235
65,125,270
80,127,137
79,106,329
78,120,219
83,152,147
32,152,123
84,121,107
69,119,262
67,160,267
72,128,163
78,104,322
79,88,243
76,124,198
79,164,203
70,100,255
89,167,224
8,1500,515
71,151,422
89,136,234
32,132,164
50,665,264
48,251,210
32,136,67
89,135,336
69,152,292
65,159,347
82,136,243
83,140,263
32,136,133
73,93,230
78,112,187
84,144,139
79,128,267
32,123,132
84,120,107
72,104,139
69,185,185
32,140,22
70,160,642
85,95,251
82,52,201
8,744,1136
84,112,307
85,96,227
82,47,219
69,103,203
190,160,292
32,50,195
16,817,374
78,128,185
79,64,268
87,139,326
32,168,222
87,145,548
69,160,215
32,124,130
72,112,219
65,128,147
86,128,402
69,95,251
32,128,218
78,96,305
73,144,191
67,50,116
8,82,1261
85,89,665
67,144,183
76,262,342
69,128,121
65,128,285
82,108,232
32,152,93
87,177,195
69,146,264
65,123,310
80,128,122
79,112,239
78,128,227
83,127,219
188,152,775
32,136,171
70,160,236
73,104,195
76,104,258
8,131,315
85,128,1162
76,144,237
89,133,315
32,106,227
65,144,205
85,96,438
84,120,243
79,119,116
77,123,334
65,175,283
84,121,257
73,148,222
67,172,297
32,168,163
87,150,155
69,44,230
65,97,253
80,125,164
79,99,191
78,135,234
83,120,203
188,190,221
32,136,229
83,143,622
78,120,250
73,80,150
80,120,147
69,64,275
82,104,194
32,153,171
82,168,164
73,104,123
70,153,291
76,144,227
69,64,282
83,72,279
188,73,139
32,136,171
65,161,143
78,136,22
68,125,123
32,119,100
67,152,142
72,103,383
69,144,121
65,184,298
80,31,111
76,144,206
89,135,160
85,104,406
8,273,346
89,194,86
32,144,163
65,160,262
86,74,302
65,169,108
73,112,227
76,104,387
65,177,63
66,111,80
76,136,314
69,154,128
32,118,192
70,152,538
8,280,515
71,143,84
85,123,210
78,120,590
83,173,174
188,136,217
32,166,255
66,96,136
65,159,179
67,169,288
75,137,493
32,108,187
8,694,596
87,152,290
72,120,146
69,120,139
78,112,325
32,140,191
66,120,241
65,136,123
67,160,283
75,90,669
32,136,123
73,104,192
78,74,43
32,120,155
84,113,49
72,98,103
69,123,171
73,144,132
82,79,185
32,118,145
70,152,198
65,192,147
89,172,122
32,177,207
84,138,203
8,265,355
68,136,401
65,152,200
89,152,150
32,119,284
84,136,107
72,114,101
69,112,130
89,104,582
32,143,214
87,152,187
69,76,218
82,92,195
69,88,227
32,151,83
86,128,291
69,96,251
82,144,475
89,136,190
32,127,228
69,128,395
88,384,752
80,135,203
69,96,1179
78,120,126
83,120,109
73,173,230
67,182,231
8,796,459
86,160,265
69,96,251
32,91,122
65,161,1102
78,127,107
68,126,123
32,141,75
85,143,662
78,120,291
82,72,251
69,88,257
76,107,145
73,23,212
65,168,540
66,118,36
76,127,121
69,87,147
190,159,1353
32,191,195
16,456,91
86,123,148
73,120,114
82,124,199
84,120,485
85,136,203
65,153,275
76,164,114
89,36,121
32,135,366
69,87,275
86,123,1036
69,104,219
82,98,195
89,136,157
32,148,284
67,168,220
79,106,137
78,118,233
83,172,235
84,120,233
73,107,195
84,111,279
85,176,100
84,132,99
73,95,124
79,128,71
78,152,195
65,176,264
76,128,119
32,152,183
65,120,346
77,96,251
69,147,114
78,119,139
68,126,271
77,136,219
69,141,195
78,117,171
84,128,175
67,130,211
72,120,100
65,152,119
78,132,72
71,143,150
8,464,274
32,120,190
72,104,346
65,131,93
83,260,294
32,144,123
66,110,123
69,112,114
78,135,396
32,136,162
67,85,307
72,111,229
65,120,134
78,127,116
71,138,93
69,144,187
68,150,357
32,111,110
69,104,216
88,857,216
67,168,461
69,136,208
80,124,141
84,120,162
32,101,118
84,155,5
72,120,156
69,112,118
32,122,98
83,131,203
69,117,275
67,23,285
79,99,101
78,155,237
68,138,219
32,136,115
79,131,255
78,128,195
69,128,108
190,160,488
32,153,48
16,391,430
73,112,124
