VK,HT,FT
16,401,-1
71,115,198
85,97,260
78,118,194
32,132,141
67,122,300
79,111,133
78,110,140
84,90,164
82,100,188
79,82,116
76,107,206
32,106,179
68,111,131
8,402,501
83,118,411
84,100,190
73,93,174
8,245,491
82,103,328
73,105,208
75,106,194
69,106,162
83,106,181
32,110,91
68,102,245
73,104,143
82,106,144
69,108,151
67,86,256
84,92,211
76,108,171
89,100,222
32,109,190
65,115,190
84,160,169
32,94,131
84,111,235
72,109,104
69,109,137
32,109,146
72,120,277
69,105,172
65,109,190
82,112,148
84,101,210
32,118,118
79,107,164
70,118,94
32,108,116
84,110,182
72,106,86
69,104,111
32,103,112
67,104,234
79,92,96
78,111,138
67,97,189
69,118,147
80,108,280
84,103,210
32,110,164
79,105,183
70,105,114
32,100,161
84,110,182
72,106,86
69,104,111
16,378,294
32,105,145
85,100,260
78,113,189
73,105,160
84,102,128
69,81,192
68,91,183
32,93,143
16,189,152
83,122,105
84,102,191
65,127,150
84,129,116
69,119,141
83,117,230
32,114,180
79,114,249
70,92,110
16,336,361
32,105,145
65,113,217
77,109,188
69,95,327
82,104,126
73,91,187
67,103,198
65,113,198
188,109,326
32,110,149
73,96,253
78,114,146
68,99,317
73,89,166
86,99,312
73,99,149
68,104,273
85,85,175
65,101,156
76,82,172
32,111,207
76,92,183
73,106,159
66,94,234
69,112,173
82,125,129
84,95,206
89,100,195
190,85,360
16,415,277
32,105,145
84,104,211
72,100,104
69,103,134
32,103,125
87,98,241
82,99,203
73,101,166
84,117,173
73,110,156
78,103,118
71,84,106
32,84,140
79,109,263
70,92,136
32,98,111
84,108,193
72,106,86
69,104,111
32,103,112
16,333,283
67,103,227
79,104,219
78,126,179
83,113,198
84,104,252
73,91,210
84,109,237
85,87,185
84,94,315
73,116,144
79,122,137
78,112,157
32,113,271
65,112,199
78,130,100
68,102,133
32,99,125
84,89,245
72,88,86
69,102,130
32,96,130
65,116,369
68,159,258
73,125,206
84,106,172
73,110,156
79,110,202
78,99,162
32,115,184
79,120,131
70,171,138
32,104,111
84,108,193
72,106,86
69,104,111
32,103,112
16,333,283
66,99,188
73,99,193
76,124,163
32,102,287
79,117,180
70,97,118
32,101,124
16,191,269
82,105,196
73,101,166
71,92,165
72,99,114
84,94,130
83,112,256
32,117,265
83,113,245
80,108,154
69,114,335
67,123,318
73,98,224
70,117,173
73,91,259
67,121,148
65,110,191
76,164,115
89,102,338
32,109,175
73,92,316
78,113,173
68,99,317
76,104,239
8,342,480
67,119,383
76,110,142
85,89,209
68,107,195
69,104,210
68,88,182
32,95,141
78,98,203
8,403,494
65,118,490
78,107,150
32,104,176
69,126,239
78,93,178
84,79,133
73,113,143
82,106,144
69,108,151
32,94,137
65,118,215
77,109,188
69,95,327
78,105,144
68,103,221
69,128,167
77,109,178
8,321,495
77,97,533
69,99,148
78,96,130
84,95,119
69,119,226
8,178,531
32,112,596
68,103,257
69,104,213
86,99,217
79,117,138
84,107,185
69,83,196
32,104,149
84,104,209
8,296,430
68,104,367
32,111,180
84,100,237
79,99,93
32,97,139
84,110,194
72,109,102
69,103,115
32,89,138
67,104,234
79,92,96
78,111,138
69,93,188
8,331,526
67,119,383
69,108,139
80,108,280
84,103,210
32,110,164
79,105,183
70,105,114
32,100,161
80,97,229
82,97,149
79,98,144
84,101,273
69,84,188
67,78,255
84,78,210
73,86,216
79,93,152
78,77,216
32,114,130
79,120,131
70,171,138
32,104,111
84,108,193
72,106,86
69,104,111
32,103,112
73,92,364
78,110,148
68,99,317
73,89,166
86,99,312
73,99,149
68,104,273
85,85,175
65,101,156
76,82,172
190,97,467
16,415,277
32,105,145
73,103,255
78,114,146
32,103,138
65,116,153
32,96,139
70,107,286
82,99,194
69,221,158
32,107,150
83,105,265
79,104,109
67,87,228
73,84,190
69,90,208
84,85,215
89,85,144
32,90,127
84,94,259
72,103,108
69,95,104
32,103,125
82,106,237
73,89,150
71,93,162
72,98,125
84,93,130
