VK,HT,FT
16,199,-1
71,56,114
85,80,142
78,147,212
32,120,159
82,109,464
73,79,150
71,129,109
72,103,106
84,139,106
83,93,176
32,88,96
65,119,257
82,89,195
69,103,198
32,119,302
67,80,152
84,132,219
8,64,328
82,72,287
73,84,213
84,76,283
73,88,257
67,118,209
65,127,136
76,18,241
32,70,149
84,98,61
79,145,112
32,112,91
84,5,352
72,133,169
69,112,73
32,93,139
83,103,453
65,125,57
70,136,398
69,75,127
84,87,185
89,96,183
32,108,70
79,136,286
70,109,79
32,121,104
79,50,591
85,79,139
82,115,82
32,91,128
70,72,226
82,56,201
69,282,161
68,111,323
79,149,160
77,96,219
83,104,136
190,0,150
32,250,191
16,162,286
84,116,126
72,117,178
69,143,66
32,144,137
82,104,110
73,99,71
71,137,119
72,29,108
84,88,105
32,105,198
79,103,144
84,84,83
32,72,69
75,72,87
69,161,192
80,75,296
32,110,156
65,151,78
8,80,761
32,157,149
84,129,79
79,80,83
32,56,72
75,100,247
69,332,126
80,172,354
32,151,258
65,104,176
78,95,128
68,148,66
32,96,493
66,133,150
65,120,81
82,72,104
69,64,128
32,67,28
65,158,17
82,66,217
77,146,225
83,161,144
32,113,144
77,46,241
69,63,99
65,133,174
78,64,216
83,25,80
32,72,104
84,113,168
72,118,62
65,101,161
84,101,88
16,357,157
65,109,70
8,63,360
32,92,606
16,342,176
65,176,40
77,87,144
69,143,55
82,102,80
73,125,175
67,75,242
65,118,164
78,76,7
83,132,178
32,45,100
72,69,187
65,98,93
86,68,58
69,83,82
32,62,176
78,172,144
79,118,92
84,111,62
32,144,80
79,88,144
78,72,224
76,175,228
89,70,15
32,164,214
84,80,151
72,120,218
69,95,80
32,150,160
65,125,474
66,108,180
73,141,105
76,137,24
73,162,363
84,71,103
89,129,162
188,127,295
32,111,164
66,120,192
85,67,77
84,126,89
32,118,75
84,64,78
72,58,48
69,76,61
32,160,128
82,69,104
69,33,73
83,148,151
80,85,228
79,174,192
78,111,348
83,29,324
73,108,96
66,100,177
73,134,120
76,214,226
73,112,538
82,115,156
8,713,289
84,155,417
89,86,93
32,105,120
84,72,202
79,9,83
32,119,71
84,136,193
65,54,151
75,106,185
69,89,28
32,130,219
84,147,116
72,9,54
69,72,40
73,1,143
82,109,147
32,109,85
79,55,127
87,80,136
78,134,124
32,39,198
83,135,349
65,87,189
70,135,240
69,35,124
84,107,308
89,62,144
32,39,560
73,86,139
78,87,171
84,150,140
79,56,137
32,140,133
84,80,44
72,71,126
69,219,99
73,92,87
82,55,182
32,112,83
79,183,224
87,96,151
78,40,97
32,137,152
72,63,270
65,112,26
78,72,136
68,73,84
83,60,194
190,72,233
8,48,521
188,187,226
32,88,106
65,96,101
78,135,86
68,90,112
32,63,110
65,88,589
83,266,168
32,14,91
73,113,135
84,84,115
222,102,164
83,101,98
32,173,230
70,79,759
8,48,308
79,130,623
70,241,130
84,64,71
69,95,60
78,80,28
84,81,171
8,90,1052
32,143,1037
83,119,353
84,159,110
65,142,144
84,114,180
69,153,169
83,131,412
188,104,71
32,95,126
8,205,1265
68,136,171
188,62,92
32,64,106
16,160,1021
222,69,22
8,56,517
222,102,161
16,119,805
87,101,359
72,71,613
69,104,131
78,122,110
32,136,296
83,136,336
69,121,219
67,131,204
79,103,29
78,74,47
68,110,80
83,136,67
32,95,136
67,76,246
79,108,0
85,75,42
78,98,248
84,80,112
188,72,192
32,94,179
67,87,113
79,88,63
85,94,127
8,442,621
80,63,328
68,73,174
8,345,601
83,96,149
32,151,138
65,175,336
82,90,138
69,152,24
32,74,190
79,88,159
78,163,323
76,121,133
89,144,273
32,118,56
77,66,236
78,55,92
8,396,328
73,80,1229
78,26,135
85,80,160
84,70,89
69,146,140
83,47,166
32,76,161
65,167,54
87,115,112
65,127,92
89,125,108
190,87,143
