VK,HT,FT
16,220,-1
71,590,3
85,873,722
78,104,54
83,115,143
32,57,116
72,103,147
85,867,456
82,106,137
84,107,111
32,102,108
80,655,177
69,107,230
79,103,94
80,96,686
76,355,146
69,104,15
190,608,236
32,69,153
16,644,828
82,103,81
69,98,203
71,509,276
65,143,130
82,106,168
68,430,221
76,353,956
69,127,196
83,105,99
32,141,127
79,103,162
70,40,973
32,102,11
89,395,399
79,102,103
85,55,796
82,144,146
32,139,108
80,80,291
69,156,160
82,66,313
83,44,247
79,110,201
65,79,123
8,653,95
78,104,234
65,74,304
76,745,558
89,749,401
32,110,124
72,69,176
69,71,210
76,288,488
68,22,634
32,72,142
66,666,481
69,107,160
76,994,760
73,74,169
69,24,166
70,736,686
83,105,112
32,135,435
65,104,155
78,105,173
68,701,243
70,354,643
65,104,478
77,417,382
73,17,169
76,774,694
89,57,376
32,106,127
84,107,199
82,65,128
65,139,106
68,661,253
73,89,120
84,107,229
73,69,367
8,194,348
73,69,156
79,74,221
78,103,175
83,106,230
32,104,115
188,667,991
32,115,157
84,71,103
72,67,65
69,58,91
82,101,173
69,104,279
32,74,118
73,106,153
83,107,206
32,137,123
65,104,151
32,34,116
83,107,155
73,66,233
77,880,858
188,629,322
8,398,998
80,490,735
76,515,926
69,257,140
32,101,108
70,371,107
65,143,135
67,932,964
84,107,155
32,73,116
84,104,75
72,106,184
65,104,386
84,104,257
32,108,103
71,199,631
85,766,178
78,69,161
83,141,112
32,67,114
72,108,161
85,524,160
82,109,164
84,104,98
32,89,108
80,275,310
69,64,141
79,84,18
80,259,980
76,718,985
69,100,142
190,332,974
32,67,139
16,301,412
84,66,208
72,103,110
65,93,131
84,75,152
222,149,27
83,105,358
32,108,124
84,109,75
72,103,135
69,104,199
73,104,193
82,103,114
32,100,194
73,71,117
78,69,173
84,106,122
69,19,179
78,71,208
68,450,327
69,71,128
68,606,974
32,73,107
80,198,626
85,126,282
82,109,143
80,60,802
79,73,89
83,112,68
69,107,70
190,3,428
32,77,149
16,925,117
87,575,616
72,67,135
69,107,96
78,106,204
32,104,153
83,106,246
85,81,717
80,618,949
79,74,79
82,28,209
84,110,206
69,106,156
82,131,190
83,104,1278
32,104,614
79,73,200
70,836,343
32,36,223
71,339,34
85,451,747
78,103,130
32,104,167
67,688,747
79,73,168
78,71,201
84,107,296
82,108,115
79,73,221
76,166,928
32,111,143
65,107,151
82,143,305
71,336,742
85,858,507
69,104,96
32,72,115
73,75,138
78,69,98
32,69,114
70,491,50
65,105,109
86,442,213
79,73,83
82,107,130
32,65,127
79,103,68
70,596,816
32,74,142
83,105,110
84,180,343
82,144,106
73,69,141
67,80,366
84,104,166
69,255,157
82,108,143
32,102,249
82,103,8
69,107,71
71,666,721
85,197,871
76,393,639
65,103,93
84,107,100
73,67,143
79,105,106
78,105,163
83,107,79
188,273,686
32,26,110
73,71,126
84,104,230
222,718,724
83,141,247
32,110,133
78,124,163
79,105,196
69,225,221
8,750,596
84,180,116
32,68,108
66,553,322
69,103,165
67,113,141
65,105,126
85,632,392
83,104,247
69,97,125
32,68,142
87,793,33
69,106,223
32,71,279
65,104,112
73,75,135
77,961,704
32,71,142
84,106,114
79,69,181
32,104,108
82,97,143
69,106,293
77,983,177
79,71,120
86,580,898
69,106,511
32,90,464
89,23,53
79,71,112
85,18,609
82,109,181
32,102,108
71,169,332
85,519,242
78,69,136
83,105,84
32,110,127
65,142,671
78,66,211
68,902,890
32,105,142
67,574,734
82,102,107
69,71,618
65,109,643
84,108,113
69,104,126
32,105,697
84,66,159
72,107,148
69,112,365
32,142,126
71,515,557
85,912,893
78,104,374
8,135,192
189,326,913
76,817,133
69,105,32
83,107,35
32,107,119
85,603,647
84,107,163
79,74,6
80,359,26
73,69,152
65,151,154
32,72,133
83,133,94
79,73,114
77,212,321
69,86,383
32,106,109
80,59,176
69,107,118
79,17,188
80,769,165
76,849,849
69,104,114
32,110,119
69,143,211
78,30,151
86,961,875
73,67,193
83,141,138
73,73,404
79,65,97
78,88,157
188,515,675
32,69,32
73,58,149
84,108,95
222,50,122
83,141,120
32,114,119
66,343,265
69,107,165
67,600,252
65,104,135
85,699,333
83,109,247
32,105,154
8,303,567
69,99,112
32,30,107
87,75,187
69,70,122
32,65,121
66,440,186
69,109,360
76,567,251
73,72,184
69,104,214
86,818,599
69,70,73
32,98,114
84,107,35
72,14,157
65,138,239
8,386,891
69,158,205
82,103,110
69,104,360
32,103,529
83,205,246
8,97,240
73,69,118
83,141,83
32,115,137
78,70,176
79,69,79
32,112,119
78,87,168
69,106,180
67,256,730
69,135,94
83,106,181
65,104,105
82,105,142
89,89,438
32,106,199
85,797,645
83,104,103
69,145,198
32,72,730
70,708,278
79,18,114
82,101,139
32,106,247
8,203,993
65,109,56
32,106,135
51,888,572
48,593,415
32,105,126
82,143,353
79,106,145
85,449,485
78,66,149
68,355,598
32,105,304
67,336,196
76,575,134
73,64,230
80,138,181
32,104,137
65,107,244
78,69,141
68,629,440
32,41,169
77,636,790
73,8,144
76,43,449
73,69,228
84,68,115
65,98,24
82,107,156
89,913,202
32,110,127
83,107,205
84,76,185
89,673,484
76,661,517
69,104,204
32,104,249
66,0,803
76,106,991
65,41,166
67,11,900
75,416,174
32,102,115
87,884,704
69,103,365
65,69,72
80,833,538
79,72,171
78,103,195
83,106,132
190,529,513
32,104,119
16,423,150
84,104,180
72,87,157
69,104,111
82,109,183
32,104,137
8,522,256
82,109,115
32,113,125
71,682,830
8,887,929
32,25,127
82,106,148
73,69,162
71,835,291
72,80,157
84,105,327
32,106,125
84,113,117
79,72,168
32,105,110
72,70,157
85,614,991
78,103,175
84,77,99
32,72,119
87,629,186
73,66,95
76,754,350
32,104,132
65,79,339
87,578,841
8,871,542
76,419,988
87,952,111
65,103,72
89,400,543
83,99,94
32,68,18
82,108,181
69,107,139
77,0,604
65,141,79
73,71,143
78,71,175
32,72,122
73,71,10
78,126,127
84,107,155
32,69,325
8,620,229
32,169,250
84,107,80
72,66,136
73,67,149
83,108,161
32,40,111
67,31,173
79,110,27
85,877,121
78,72,96
84,158,114
82,106,190
89,222,121
188,848,931
32,51,572
65,105,152
66,415,394
8,681,906
66,280,640
85,414,628
84,113,69
32,106,121
84,104,125
72,106,142
69,104,555
82,109,104
69,103,108
32,110,138
73,63,34
83,105,130
32,69,137
78,69,158
79,102,108
32,104,108
82,109,13
69,146,3
65,21,305
83,104,77
79,72,159
78,104,66
32,103,167
84,106,184
79,89,230
32,110,125
87,228,993
79,105,89
78,84,175
32,117,107
65,94,137
83,188,194
85,773,932
65,150,72
76,779,250
84,106,396
32,102,119
82,98,58
73,109,166
70,518,773
76,481,127
84,104,159
8,972,808
79,73,202
87,679,807
78,69,152
32,91,108
65,148,566
83,105,106
85,288,723
65,104,155
8,15,616
65,104,72
85,852,966
76,19,42
84,107,145
32,173,169
82,29,161
73,74,139
70,516,135
76,362,988
