VK,HT,FT
16,581,-1
71,91,342
85,109,159
78,110,142
83,101,130
32,77,287
72,72,145
85,91,346
82,98,213
84,143,49
32,76,108
80,105,142
69,60,328
79,74,128
80,121,204
76,46,130
69,126,115
190,22,134
32,0,197
16,702,267
82,117,345
69,71,169
71,107,0
65,63,328
82,110,284
68,101,120
76,70,148
69,136,114
83,372,72
32,125,275
79,74,165
70,109,115
32,58,98
89,101,229
79,71,245
85,119,99
82,106,147
32,90,98
80,111,160
69,91,294
82,143,89
83,191,182
79,93,137
65,84,0
8,522,405
78,107,194
65,137,199
76,107,131
89,94,89
32,79,228
72,117,194
69,107,114
76,145,322
68,90,0
32,0,90
66,112,165
69,156,276
76,87,203
73,68,225
69,96,148
70,86,284
83,123,387
32,140,18
65,129,122
78,80,78
68,120,147
70,117,414
65,134,0
77,90,87
73,83,437
76,161,173
89,109,288
32,101,247
84,128,379
82,112,136
65,88,265
68,117,137
73,100,0
84,79,147
73,52,335
8,381,219
73,95,173
79,111,332
78,96,168
83,102,172
32,78,111
188,116,75
32,125,147
84,94,201
72,88,129
69,91,120
82,114,187
69,102,224
32,52,120
73,46,249
83,94,100
32,70,143
65,110,0
32,258,114
83,134,0
73,120,43
77,106,725
188,88,0
8,52,558
80,103,170
76,119,225
69,35,104
32,69,105
70,109,331
65,101,0
67,107,311
84,108,346
32,109,224
84,52,211
72,110,117
65,112,52
84,88,188
32,57,267
71,110,133
85,128,90
78,66,194
83,100,81
32,88,217
72,124,303
85,97,283
82,111,391
84,88,243
32,66,199
80,101,130
69,169,145
79,115,166
80,43,189
76,127,34
69,109,110
190,87,299
32,195,193
16,1132,598
84,89,0
72,79,126
65,91,104
84,144,165
222,90,165
83,121,97
32,96,77
84,96,139
72,94,111
69,97,108
73,48,0
82,100,157
32,81,75
73,90,405
78,86,124
84,133,314
69,136,233
78,70,31
68,118,96
69,93,206
68,103,188
32,132,105
80,136,142
85,150,0
82,86,249
80,71,172
79,129,117
83,151,0
69,104,156
190,134,96
32,221,267
16,0,79
87,126,0
72,108,66
69,72,91
78,93,159
32,98,212
83,113,0
85,81,144
80,113,201
79,99,101
82,153,108
84,90,0
69,108,153
82,115,112
83,99,428
32,88,114
79,97,244
70,119,124
32,109,106
71,90,475
85,95,96
78,64,187
32,82,198
67,125,325
79,51,213
78,134,155
84,77,38
82,107,126
79,88,140
76,122,236
32,196,90
65,69,0
82,157,219
71,96,417
85,89,77
69,116,96
32,128,125
73,89,212
78,96,165
32,73,104
70,113,528
65,116,215
86,102,201
79,127,172
82,102,85
32,83,135
79,81,108
70,83,134
32,84,108
83,127,134
84,110,253
82,115,112
73,75,424
67,101,205
84,73,95
69,115,92
82,91,0
32,104,139
82,73,0
69,120,99
71,93,86
85,78,76
76,114,284
65,117,359
84,84,111
73,88,182
79,76,255
78,102,167
83,100,141
188,131,363
32,102,167
73,56,217
84,111,0
222,69,235
83,159,237
32,54,111
78,73,164
79,92,195
69,134,144
8,178,761
84,95,38
32,94,130
66,94,0
69,180,257
67,105,180
65,114,162
85,100,0
83,132,208
69,106,168
32,98,130
87,81,518
69,170,227
32,89,103
65,79,140
73,58,286
77,97,619
32,117,176
84,61,185
79,100,80
32,245,53
82,171,46
69,153,136
77,78,146
79,98,58
86,96,111
69,126,0
32,133,83
89,146,191
79,125,10
85,94,102
82,50,323
32,97,0
71,128,696
85,77,135
78,86,209
83,102,119
32,80,161
65,116,818
78,72,86
68,96,86
32,1048,123
67,105,313
82,150,317
69,150,221
65,123,204
84,91,38
69,77,171
32,73,110
84,103,90
72,76,117
69,127,144
32,83,107
71,66,310
85,111,157
78,67,174
8,125,686
189,654,523
76,72,201
69,135,113
83,219,243
32,130,158
85,77,378
84,85,69
79,77,145
80,52,263
73,99,560
65,130,0
32,0,179
83,131,296
79,89,108
77,142,134
69,111,83
32,149,83
80,108,252
69,123,129
79,89,291
80,148,193
76,43,179
69,62,111
32,94,76
69,143,188
78,79,121
86,82,105
73,100,340
83,117,81
73,86,142
79,87,210
78,132,163
188,134,225
32,127,132
73,104,216
84,96,149
222,75,82
83,117,252
32,62,127
66,93,184
69,217,183
67,108,139
65,111,157
85,100,151
83,100,201
32,71,244
8,901,582
69,132,99
32,61,106
87,105,248
69,84,113
32,125,150
66,105,355
69,101,244
76,134,271
73,73,235
69,156,263
86,118,182
69,122,134
32,131,162
84,111,116
72,61,128
65,114,100
8,596,280
69,94,10
82,116,96
69,137,197
32,94,126
83,111,89
8,323,559
73,109,216
83,117,170
32,64,109
78,63,87
79,77,179
32,25,118
78,120,306
69,61,143
67,112,179
69,106,147
83,216,271
65,90,207
82,105,69
89,126,220
32,83,199
85,83,258
83,132,180
69,100,163
32,54,176
70,124,84
79,28,138
82,81,89
32,94,135
8,0,495
65,72,378
32,200,137
51,754,142
48,359,544
32,20,162
82,165,223
79,73,68
85,87,167
78,67,241
68,95,82
32,52,113
67,115,299
76,79,296
73,67,237
80,69,154
32,0,55
65,155,210
78,66,108
68,144,158
32,844,112
77,87,299
73,71,208
76,52,171
73,67,227
84,75,107
65,125,209
82,155,168
89,116,189
32,75,152
83,109,1101
84,109,286
89,136,239
76,16,123
69,128,125
32,126,220
66,111,7
76,16,143
65,107,152
67,123,318
75,109,164
32,15,186
87,96,0
69,95,105
65,128,104
80,101,192
79,132,265
78,137,175
83,106,167
190,119,305
32,32,214
16,878,0
84,120,0
72,137,121
69,78,29
82,70,169
32,104,54
8,955,570
82,145,96
32,88,29
71,17,17
8,261,742
32,38,40
82,139,341
73,53,252
71,86,81
72,110,143
84,70,111
32,73,73
84,81,135
79,103,83
32,88,91
72,100,36
85,74,366
78,104,184
84,110,141
32,82,39
87,141,233
73,93,0
76,164,214
32,286,222
65,108,0
87,95,625
8,184,547
76,47,255
87,90,337
65,104,524
89,95,87
83,146,0
32,119,269
82,98,179
69,154,145
77,79,129
65,98,102
73,73,185
78,94,134
32,111,213
73,86,117
78,120,147
84,123,220
32,68,211
8,663,0
32,64,357
84,115,328
72,70,117
73,95,171
83,99,77
32,75,101
67,118,164
79,109,204
85,85,98
78,50,185
84,180,214
82,113,190
89,77,187
188,107,537
32,169,113
65,126,17
66,106,174
8,508,672
66,98,175
85,81,254
84,73,137
32,127,80
84,97,120
72,80,99
69,76,134
82,55,193
69,160,265
32,145,144
73,53,294
83,133,62
32,80,88
78,83,253
79,93,164
32,164,124
82,143,195
69,121,142
65,130,33
83,152,273
79,62,110
78,63,212
32,115,137
84,93,0
79,61,88
32,166,158
87,123,0
79,88,38
78,80,143
32,86,164
65,105,435
83,115,269
85,127,232
65,125,0
76,134,214
84,132,0
32,114,166
82,122,256
73,73,0
70,75,0
76,58,193
84,63,300
8,0,479
79,75,102
87,152,558
78,95,373
32,106,160
65,127,44
83,293,217
85,101,135
65,118,740
8,0,474
65,114,174
85,88,91
76,56,110
84,78,0
32,92,31
82,124,93
73,63,653
70,87,206
76,168,173
69,122,115
83,178,474
32,106,253
79,70,263
84,102,228
72,106,132
69,171,108
82,143,107
32,102,163
84,120,467
72,72,130
65,85,79
78,54,141
32,121,130
84,161,173
79,111,92
32,190,71
67,116,168
65,118,188
83,253,250
8,42,428
85,109,1
83,114,119
69,97,174
32,81,99
67,122,321
65,98,166
82,141,133
65,117,408
8,103,564
78,118,203
65,112,145
71,85,119
69,101,118
190,93,219
32,115,218
16,267,209
84,128,290
65,102,273
75,101,161
69,53,115
32,75,104
84,103,11
73,71,223
69,90,35
77,95,189
8,660,357
77,104,0
69,106,75
32,65,123
84,102,224
79,125,159
32,256,194
84,106,123
8,904,368
84,109,329
72,132,147
73,103,241
78,111,137
75,77,139
32,48,311
79,147,79
70,102,131
32,86,106
84,90,72
72,65,160
69,112,75
32,41,139
67,108,398
72,51,152
73,129,207
76,187,225
68,84,203
82,129,305
69,75,191
78,101,137
190,122,311
