VK,HT,FT
16,396,-1
86,79,274
73,75,326
79,104,134
76,114,244
69,62,96
78,84,217
84,82,205
32,86,169
67,74,527
82,102,135
73,79,168
77,79,278
69,69,95
83,90,224
32,97,476
73,74,208
78,76,208
32,378,236
65,86,305
77,78,226
69,109,202
82,87,143
73,72,188
67,78,187
65,85,255
32,103,134
65,85,184
82,89,182
69,85,145
32,96,189
79,107,255
78,69,179
32,112,261
65,85,185
32,98,128
82,105,334
73,65,179
83,58,166
69,84,198
190,103,535
32,114,301
8,867,867
16,295,662
65,94,182
77,70,251
69,99,220
82,84,145
73,79,200
67,74,202
65,88,116
32,102,172
79,96,219
8,475,805
65,88,176
82,92,171
69,89,180
32,100,202
79,102,232
78,76,180
32,189,223
65,92,357
32,102,136
83,90,336
84,76,417
69,74,228
65,90,315
68,65,165
89,75,257
32,95,265
82,105,391
73,70,169
83,65,118
69,82,210
190,114,514
32,90,283
16,394,633
87,79,495
72,78,121
69,67,135
78,84,175
32,115,258
8,775,728
67,82,398
72,73,138
73,79,165
8,692,599
16,522,627
80,112,293
69,84,126
79,104,170
80,112,399
76,108,205
69,66,111
32,97,305
65,92,267
82,111,193
69,87,197
32,99,209
75,623,458
73,71,150
76,83,217
73,70,215
78,86,218
71,71,209
32,90,199
79,108,400
78,77,212
69,77,111
32,90,242
79,97,324
8,675,820
65,86,175
78,80,220
79,106,158
84,79,360
72,74,124
69,68,182
82,93,145
32,99,301
79,110,360
8,410,729
32,106,324
65,87,171
8,856,678
66,80,418
69,74,217
8,860,672
16,492,692
73,65,301
8,560,625
16,492,696
71,73,299
85,86,266
78,74,189
83,90,158
8,482,608
16,496,653
67,72,438
72,72,94
73,85,195
76,85,249
68,67,175
69,78,213
82,94,142
69,93,148
8,536,745
72,83,172
73,70,334
76,97,209
68,67,194
82,82,297
69,75,133
78,83,215
32,217,288
65,84,278
82,101,189
69,89,120
68,71,214
8,690,572
32,104,207
75,760,474
73,82,138
76,89,213
73,85,206
78,82,219
71,75,177
32,98,289
79,108,313
78,81,219
69,65,138
32,95,156
65,89,238
78,75,226
79,109,146
84,88,206
72,79,116
69,70,107
82,93,139
32,90,347
73,78,260
78,83,180
32,282,201
83,81,226
67,80,276
72,74,162
79,230,235
76,118,260
83,69,292
188,81,676
32,103,322
65,87,355
78,70,254
68,66,117
32,92,193
73,73,490
78,77,185
32,104,161
83,85,241
79,97,133
77,82,222
69,85,98
32,88,300
78,74,234
69,76,142
73,82,236
66,77,302
74,645,748
8,869,720
79,97,224
82,88,166
72,78,130
79,216,272
68,69,205
83,93,293
32,101,371
73,68,188
84,87,559
32,92,270
73,79,549
83,64,161
32,98,148
78,77,257
79,105,156
84,84,393
32,97,230
69,81,141
86,83,406
69,101,189
78,81,189
32,119,247
83,83,191
65,86,295
70,77,295
69,75,235
32,99,166
84,83,346
79,85,83
32,101,121
87,101,427
65,89,141
76,113,233
75,834,893
32,135,193
79,107,315
85,85,227
84,71,194
83,80,175
73,80,331
68,74,232
69,68,221
