VK,HT,FT
16,313,-1
222,139,238
16,478,283
65,122,60
32,123,164
87,120,261
69,153,243
75,113,181
8,168,462
76,97,0
32,174,299
79,139,0
82,158,156
68,132,35
69,162,116
82,140,35
69,45,179
68,157,177
32,140,44
77,157,138
69,124,228
8,534,124
73,121,279
76,221,189
73,108,220
84,120,32
73,135,100
65,133,164
32,66,114
8,180,244
188,120,563
32,115,92
8,245,451
82,144,243
69,125,87
71,114,246
73,36,251
76,52,229
65,92,116
8,442,298
85,152,180
8,172,628
85,105,198
76,162,212
65,91,0
84,154,165
69,115,166
68,184,327
32,73,57
77,144,199
73,50,287
76,207,292
73,168,216
84,120,115
73,156,87
65,128,182
188,97,296
32,143,335
66,101,0
69,168,120
73,84,156
78,127,254
71,162,13
32,95,90
78,94,89
69,298,86
67,113,344
69,111,225
83,307,215
65,174,122
82,99,235
89,94,198
32,130,143
84,142,163
79,97,39
32,79,121
84,64,167
72,138,91
69,119,108
32,130,98
83,139,37
67,93,85
8,646,30
69,129,250
67,85,95
85,162,401
82,99,70
73,149,70
84,107,87
89,107,37
32,148,151
79,137,26
70,137,125
32,108,0
65,152,113
32,99,184
70,151,97
82,176,108
69,194,149
32,96,13
83,120,186
84,81,104
65,112,262
84,55,33
69,120,257
188,132,174
32,160,366
84,121,99
72,119,65
69,110,143
32,147,37
82,112,417
73,162,89
71,108,33
72,125,85
84,108,52
32,152,242
79,183,166
70,109,72
32,127,0
84,189,112
72,127,57
69,141,194
32,115,73
80,172,173
69,95,122
79,118,230
80,84,146
76,132,155
69,85,57
32,144,114
84,161,445
79,24,102
32,171,113
75,147,321
69,147,213
80,94,235
32,140,217
65,154,379
78,89,72
68,136,88
32,129,95
66,141,247
65,102,0
8,372,677
69,113,402
65,125,158
82,128,184
32,159,156
65,123,195
82,80,132
77,139,341
83,99,192
32,100,173
83,78,109
72,130,128
65,124,170
76,27,25
32,88,141
78,103,186
79,186,171
84,135,86
32,147,94
66,136,14
69,95,66
32,135,169
73,57,117
78,148,155
70,134,141
82,146,29
73,164,253
78,153,97
71,59,172
69,139,147
68,114,323
190,15,0
16,41,487
222,170,74
32,213,71
16,381,0
84,147,242
72,142,95
69,86,205
32,73,120
70,137,255
79,130,89
76,165,147
8,211,508
73,153,292
83,125,52
32,139,58
73,160,107
83,147,96
32,143,94
84,130,180
72,82,81
69,134,94
32,113,61
84,99,53
69,103,266
88,632,554
84,108,35
32,179,223
79,142,171
70,120,167
32,136,12
84,82,205
72,108,41
69,112,113
32,64,82
16,221,200
83,108,186
69,158,180
67,132,358
79,64,54
78,119,218
68,134,134
32,107,118
16,795,206
65,162,2
77,145,237
69,62,139
78,172,155
68,142,181
77,167,32
69,142,120
78,153,196
84,114,143
32,106,156
79,109,167
70,160,139
32,86,88
84,135,169
72,183,72
69,129,93
32,118,72
16,76,474
67,53,376
79,85,104
78,142,189
83,100,133
84,105,346
73,161,102
84,169,381
85,81,135
84,96,106
73,76,79
79,98,189
78,97,241
32,142,30
79,115,195
70,151,108
32,112,195
84,111,154
72,172,47
69,131,122
32,131,113
16,672,496
85,136,176
78,112,117
73,109,267
84,171,177
69,98,247
68,119,404
32,147,165
16,924,55
83,76,340
84,99,344
65,89,127
84,137,226
69,125,194
83,318,142
32,101,88
79,126,135
70,100,109
32,92,127
16,251,269
65,153,0
77,124,209
69,148,141
82,109,77
73,129,6
67,140,353
65,137,147
190,144,0
32,190,186
16,514,529
79,163,165
85,155,191
82,135,191
32,171,134
70,70,71
79,155,167
82,120,155
69,200,36
70,146,248
65,170,171
84,92,268
72,116,45
69,79,94
83,137,213
8,158,450
82,96,180
83,114,128
32,145,83
75,127,97
78,109,126
69,154,66
87,107,115
32,116,166
84,126,131
72,144,71
69,101,143
32,142,77
68,57,233
65,78,268
71,121,203
69,72,52
8,701,489
78,97,245
71,88,89
69,134,117
82,166,183
83,124,151
32,141,7
79,121,89
70,110,86
32,177,17
73,176,86
84,112,5
83,103,216
32,68,25
80,165,112
69,132,97
79,197,163
80,54,260
76,133,179
69,116,132
32,88,95
78,128,55
79,108,237
84,108,92
32,137,105
66,96,138
69,111,9
73,119,149
78,102,89
71,128,0
32,161,90
65,75,100
66,67,140
76,97,165
69,136,91
32,131,66
84,146,0
79,110,89
32,112,155
68,193,99
69,116,165
70,88,297
69,113,179
78,61,165
68,78,179
32,125,118
84,134,99
72,168,51
69,115,141
77,162,1
83,126,355
69,118,241
76,225,37
86,155,0
69,83,220
83,37,184
32,125,118
73,143,129
78,51,296
32,139,90
65,124,67
32,118,56
84,126,150
73,92,132
77,107,286
69,53,9
32,88,72
79,161,65
70,129,158
32,110,5
78,128,325
69,73,104
68,82,416
190,113,290
32,234,193
16,68,205
84,74,240
72,90,106
65,118,166
84,111,133
32,154,113
8,653,409
69,106,0
32,130,61
78,208,167
69,208,124
68,139,419
32,114,28
70,137,156
79,137,76
82,125,119
32,169,118
83,48,123
69,123,145
76,215,22
70,250,224
32,142,73
68,124,181
69,117,240
70,47,292
69,224,255
78,131,143
83,122,25
69,106,221
32,138,101
72,136,122
65,5,73
83,108,63
32,176,78
78,95,248
69,195,102
66,117,217
69,92,57
82,124,211
8,118,354
86,134,176
69,137,210
82,99,138
32,193,100
76,212,149
69,143,31
83,22,0
69,154,135
78,135,0
68,135,172
188,74,0
32,80,197
73,148,168
8,0,382
69,93,370
68,161,65
188,81,0
32,121,250
73,154,162
84,116,267
32,152,47
73,151,197
83,118,167
32,112,81
74,757,122
85,124,184
83,112,159
84,89,154
32,87,192
84,123,0
72,161,104
65,118,176
84,111,0
32,149,137
84,135,85
72,132,85
69,106,142
32,101,83
86,179,51
73,117,122
76,83,181
73,158,183
85,94,250
65,111,172
78,80,108
8,371,595
65,123,207
78,237,111
83,99,122
32,105,90
72,139,340
65,78,97
86,84,130
69,108,55
32,92,102
67,107,53
72,130,280
65,156,66
78,136,103
71,95,202
69,125,122
68,166,111
188,142,0
8,301,555
190,83,171
32,365,216
16,94,238
82,141,173
65,118,137
84,153,57
72,137,97
69,107,65
82,78,189
32,148,0
84,142,27
72,64,63
65,147,85
78,145,112
32,83,174
16,633,235
66,104,330
82,108,44
73,144,33
84,119,271
73,160,91
83,123,253
72,106,330
32,104,137
83,129,222
79,157,62
76,143,278
68,104,0
73,169,96
69,131,219
82,109,226
83,172,229
32,155,90
87,111,152
72,158,104
79,10,248
32,100,60
87,109,102
73,92,203
83,152,410
72,183,24
32,133,299
84,83,0
79,108,78
32,120,167
75,138,220
69,157,130
80,118,217
32,142,119
84,105,195
72,89,54
69,141,97
32,125,47
82,138,412
85,127,331
76,135,172
69,154,6
32,114,111
79,110,106
70,81,99
32,130,55
84,172,84
72,141,82
69,66,152
32,107,83
77,103,586
79,67,218
78,102,246
65,102,80
82,148,138
67,52,130
72,137,121
89,79,324
32,177,191
73,183,211
78,72,124
84,110,248
65,161,147
67,117,164
84,65,199
188,111,395
32,145,259
73,130,193
84,116,447
32,120,125
73,110,163
83,94,113
32,122,79
66,171,336
85,131,53
82,114,43
71,40,64
76,99,113
65,121,79
82,120,198
68,147,55
32,99,74
8,143,17
83,26,345
32,99,117
87,127,91
72,133,46
79,102,174
32,93,116
87,107,21
65,97,240
78,154,122
84,122,40
32,111,105
84,68,0
79,148,0
32,133,45
80,129,218
85,78,127
76,167,110
8,349,360
73,154,0
76,151,317
65,106,49
71,85,466
69,43,173
32,99,128
89,99,473
79,98,210
85,81,166
82,166,43
32,173,102
72,147,42
79,129,191
77,141,211
69,74,73
188,124,114
32,160,300
79,191,331
82,80,174
32,135,93
67,134,0
82,144,188
73,124,121
77,139,173
73,102,323
78,158,178
65,154,115
76,108,64
83,137,0
32,111,117
87,114,104
72,135,279
79,79,217
32,100,145
87,96,195
65,78,203
78,213,116
84,164,370
32,95,104
84,77,79
79,119,144
32,124,143
72,125,347
85,136,41
82,152,14
84,166,219
32,119,17
89,148,446
79,107,259
85,121,185
190,101,149
188,89,346
32,136,469
8,0,569
32,168,189
16,591,213
84,71,206
72,85,56
69,186,81
32,121,69
16,331,77
67,118,221
79,149,121
78,92,221
83,100,147
84,91,147
73,137,107
84,104,232
85,73,173
84,171,0
73,122,191
79,98,174
78,71,196
32,128,159
66,140,0
76,114,246
65,87,136
84,104,265
65,158,222
78,92,97
84,103,149
76,151,233
89,97,320
32,128,109
65,109,2
78,109,114
68,83,56
32,141,59
80,149,267
76,164,161
65,120,259
85,141,142
78,105,230
8,517,314
73,62,268
78,205,176
76,115,125
8,307,313
65,126,337
73,96,188
78,125,293
76,147,249
89,94,348
32,128,75
80,105,208
82,151,172
79,87,93
84,165,191
69,137,193
67,70,148
84,73,161
83,107,225
68,61,92
32,191,104
77,110,151
8,0,453
32,185,0
77,208,113
89,42,183
32,118,197
82,133,358
73,135,131
71,90,135
72,85,103
84,104,115
83,129,241
32,101,0
84,137,124
79,113,29
32,132,108
79,108,114
66,121,0
84,145,212
65,123,198
73,95,72
78,155,205
32,156,123
65,122,71
32,156,26
71,154,195
85,115,164
78,121,213
188,83,302
32,114,132
84,102,157
79,83,101
32,119,97
85,145,307
83,106,75
69,47,197
32,108,40
65,76,267
32,156,67
71,138,305
73,127,0
85,171,359
8,315,358
85,129,302
78,57,178
188,105,262
32,114,138
65,106,248
78,88,52
68,133,71
32,71,119
84,31,0
79,92,78
32,167,133
80,144,429
82,174,318
79,119,110
84,144,40
69,142,285
67,119,142
84,100,190
32,153,124
84,60,138
72,149,108
79,141,179
83,91,265
69,237,212
32,99,84
84,100,206
72,62,15
65,134,161
84,96,81
32,116,128
16,227,141
73,148,230
32,108,117
76,91,149
79,119,300
86,93,243
69,112,272
32,155,129
65,73,171
78,69,129
68,108,116
32,66,77
84,74,240
72,135,116
65,75,141
84,62,83
32,138,160
87,132,168
72,155,225
73,147,294
67,124,0
72,137,374
32,148,142
16,401,37
73,141,270
32,132,35
86,113,2
65,103,138
76,167,131
85,116,292
69,110,141
32,119,59
84,94,208
72,97,83
69,101,155
32,79,86
77,114,416
79,125,123
83,91,0
84,98,118
190,108,167
32,224,224
16,460,286
84,126,164
72,163,139
69,164,129
82,106,160
69,90,158
8,333,255
16,614,395
66,168,188
65,168,92
78,100,26
73,135,229
78,161,238
71,74,74
32,86,117
87,147,94
69,32,198
65,127,182
80,123,453
79,66,154
78,115,193
83,172,143
32,125,85
65,79,109
78,81,53
68,131,146
32,102,66
80,90,233
76,143,171
65,120,70
67,90,61
73,86,136
78,129,185
71,104,128
32,141,281
67,106,48
79,132,49
78,139,178
84,113,22
82,139,188
79,98,64
76,143,96
83,125,303
32,158,230
79,155,127
78,104,220
32,189,169
84,127,20
72,107,59
69,85,171
77,138,210
32,113,308
73,149,230
83,29,116
32,117,69
78,155,14
79,96,223
84,136,84
32,85,29
71,147,210
79,163,146
73,104,201
78,128,97
71,103,179
32,93,170
84,63,63
79,101,148
32,125,118
83,95,333
84,71,370
79,134,97
80,122,77
32,169,167
65,108,75
32,136,102
67,148,213
82,160,225
73,152,85
77,144,214
73,52,91
78,126,160
65,65,26
76,100,139
32,114,299
70,66,0
82,167,268
79,136,151
77,107,174
32,136,256
66,96,346
69,179,35
73,144,161
78,64,244
71,99,26
32,94,122
65,83,153
66,132,78
76,129,194
69,135,86
32,156,114
84,167,321
79,128,84
32,177,147
79,140,163
66,120,20
84,117,316
65,76,142
73,133,22
78,84,226
32,60,150
84,162,155
72,162,160
69,98,233
77,84,155
190,49,304
32,172,108
16,1500,188
73,141,195
84,129,203
32,82,105
87,85,169
79,171,108
85,60,192
76,100,179
68,68,87
32,103,104
74,467,685
85,125,453
83,69,128
84,97,262
32,164,46
66,164,139
69,156,110
32,133,96
65,126,0
32,115,43
87,150,152
65,88,174
83,135,67
84,112,275
69,182,294
32,154,73
79,138,133
70,124,86
32,118,159
86,162,480
65,135,163
76,286,145
85,120,338
69,121,142
8,654,258
65,127,21
66,47,0
76,135,264
69,118,33
32,114,72
84,109,324
65,58,125
88,378,392
32,104,30
68,127,291
79,117,155
76,177,272
65,131,172
82,146,181
83,68,225
32,101,109
65,123,95
78,92,115
68,74,96
32,79,126
69,186,0
70,214,197
79,150,60
82,131,126
84,141,177
83,122,195
32,95,98
84,124,206
72,92,99
65,139,141
84,104,78
32,162,116
67,90,245
79,156,93
85,159,215
76,124,164
68,96,41
32,95,93
66,85,112
69,128,167
32,143,141
80,138,89
79,119,167
8,336,638
85,107,202
84,114,332
32,106,129
84,124,307
79,116,187
87,118,13
65,78,189
82,138,118
68,146,354
83,123,217
32,121,55
79,127,105
84,119,53
72,109,72
69,115,189
82,164,158
32,192,0
73,148,0
83,207,69
85,80,313
69,145,205
83,197,261
190,89,345
32,236,255
8,745,380
188,96,327
32,73,141
84,113,151
72,159,51
65,138,134
84,103,71
32,110,128
65,112,181
82,75,151
69,118,187
32,113,73
77,188,0
79,72,127
82,85,102
69,150,236
32,140,0
80,99,141
82,105,266
69,100,95
83,239,255
73,98,18
78,115,232
71,69,0
32,94,202
65,92,151
78,127,100
68,99,108
32,154,130
73,121,367
77,55,215
80,63,294
79,162,214
82,72,25
84,118,183
65,141,195
78,119,146
84,77,232
32,121,117
73,84,158
78,115,255
32,124,105
84,74,100
79,155,80
68,77,72
65,149,303
89,128,89
83,72,168
32,157,117
87,155,161
79,54,118
82,127,158
76,27,217
68,141,5
190,99,107
222,109,282
32,168,38
16,899,323
75,110,0
69,317,138
80,89,331
73,115,306
78,95,132
71,129,93
32,75,139
84,90,58
72,117,40
69,154,146
32,130,97
