VK,HT,FT
17,106,-1
86,808,315
17,770,644
86,591,255
16,994,762
73,65,254
32,57,248
65,86,181
77,238,967
32,88,272
65,85,161
32,95,258
83,111,255
84,75,489
82,96,285
79,8,492
78,92,320
71,74,244
32,83,251
79,61,316
80,63,172
79,84,207
78,85,253
69,87,109
78,85,278
84,81,303
32,68,251
70,226,521
79,77,240
82,81,258
32,87,200
8,577,354
79,84,376
70,336,173
32,78,262
16,217,545
71,72,212
85,72,308
78,76,303
32,121,189
16,200,745
67,58,654
79,63,291
78,71,289
84,68,0
82,68,245
79,80,285
76,10,348
32,71,538
70,428,760
79,41,285
82,66,222
32,82,1198
84,74,400
72,88,187
69,76,204
32,80,1028
83,89,408
73,76,321
77,979,580
80,59,84
76,78,261
69,92,255
32,88,266
82,82,285
69,83,950
65,85,236
83,129,383
79,75,740
78,78,208
32,128,189
84,68,185
72,15,181
65,68,291
84,87,298
32,60,844
87,74,339
69,79,257
32,82,1203
65,91,295
82,98,202
69,116,285
32,77,201
16,247,669
65,85,153
77,563,138
69,110,284
82,66,222
73,71,265
67,109,333
65,73,177
78,90,322
83,104,862
190,47,571
32,148,250
16,903,886
87,100,209
69,88,297
32,81,295
72,75,207
65,111,367
86,409,886
69,108,937
32,99,191
65,85,203
32,58,804
67,95,92
79,83,291
78,79,257
83,127,403
84,80,692
73,85,259
84,74,307
85,76,281
84,81,174
73,85,244
79,71,194
78,99,256
65,89,200
76,74,255
32,53,288
8,118,565
32,74,259
84,79,210
72,80,187
65,85,212
84,77,333
32,65,303
83,92,218
8,916,20
67,75,371
76,79,254
69,75,248
65,110,154
82,40,249
76,88,172
89,160,271
32,65,256
83,106,390
84,77,303
65,90,286
84,80,286
69,69,226
83,107,446
32,66,316
84,68,173
72,80,158
65,78,202
84,80,163
32,75,318
87,78,332
69,68,210
32,76,275
72,84,25
65,143,154
69,123,317
8,476,913
72,81,236
65,127,156
86,515,916
69,84,181
32,78,296
65,103,202
32,113,256
82,66,285
73,86,321
71,68,498
72,68,675
84,68,527
32,71,372
84,80,289
79,75,214
32,70,286
66,560,521
69,92,221
65,109,248
82,66,202
32,76,1356
65,85,189
82,74,43
77,979,579
83,104,195
190,798,234
32,75,800
16,148,443
73,71,250
70,905,114
32,76,296
87,98,417
69,77,339
32,72,711
72,89,760
65,79,380
86,863,970
69,90,187
32,65,216
65,93,181
32,88,848
82,70,200
73,85,231
71,75,796
72,72,762
84,71,212
32,69,210
84,71,198
79,68,261
32,81,424
66,236,235
69,109,182
65,93,181
82,97,248
32,71,1337
65,86,155
82,74,195
77,265,586
83,72,218
188,308,402
32,81,290
84,77,155
72,80,199
69,113,338
78,80,209
32,88,252
87,74,385
69,84,213
32,73,1058
65,62,297
76,87,83
83,126,264
79,73,825
32,87,426
72,61,196
65,112,236
86,953,346
69,74,216
32,87,730
65,93,186
32,88,225
82,38,225
73,64,461
71,71,245
72,70,212
84,60,425
32,80,177
84,79,482
79,68,566
32,85,286
80,83,170
85,66,232
82,85,284
83,122,191
8,860,783
67,77,200
72,68,239
65,92,237
83,129,262
69,87,228
32,64,286
87,112,525
69,112,258
65,72,188
80,107,322
79,75,194
78,87,305
83,83,218
190,602,325
32,74,245
16,604,975
84,60,172
72,78,171
65,104,200
84,80,380
32,65,1330
77,857,663
69,265,230
65,70,194
78,80,201
83,91,292
32,69,265
87,109,250
69,87,199
32,70,197
65,63,195
82,97,202
69,88,212
32,70,217
65,90,394
76,296,233
79,81,312
87,115,607
69,69,327
68,89,277
32,87,255
84,79,156
79,75,251
32,72,265
80,65,572
85,45,312
82,82,196
67,107,625
72,68,158
65,84,166
83,92,201
69,81,65
32,113,293
84,77,283
72,80,242
69,113,254
32,118,164
78,62,256
69,110,228
87,100,181
83,118,207
69,93,254
83,90,377
84,74,305
32,72,152
84,80,481
89,550,969
80,80,259
69,90,228
32,80,397
79,42,241
70,584,757
32,66,291
87,100,159
69,83,341
65,84,298
80,82,683
79,79,276
78,67,275
188,916,71
32,80,274
69,81,222
86,924,335
69,110,242
78,66,273
32,76,1153
65,86,231
83,97,310
65,90,250
85,80,280
76,77,252
84,85,238
32,66,257
87,87,0
69,92,228
65,130,227
80,79,581
79,63,292
78,80,260
83,80,590
190,675,155
32,120,215
16,233,966
84,76,317
72,75,255
69,94,286
32,81,171
77,798,398
65,86,329
83,78,329
32,76,164
75,196,947
73,74,310
76,78,742
73,74,228
78,86,276
71,66,244
83,106,227
32,74,171
79,75,315
70,396,194
32,77,174
73,63,229
78,86,27
79,69,236
67,60,856
69,77,230
78,63,304
84,84,380
32,87,165
80,77,399
69,169,212
79,83,208
80,77,295
76,79,420
69,87,487
32,81,191
73,65,239
78,76,254
32,65,271
84,79,177
72,72,226
73,71,321
83,95,260
32,68,283
67,95,350
79,84,192
85,63,282
78,73,326
84,80,355
82,91,192
89,323,785
32,78,233
65,46,181
82,84,283
69,70,259
32,92,220
78,80,304
79,68,266
84,80,157
32,57,804
65,83,385
32,68,167
82,86,202
69,88,254
83,82,240
85,76,280
76,78,109
84,70,595
32,84,215
79,65,293
70,388,129
32,83,193
80,82,175
69,109,200
79,74,274
80,83,359
76,246,260
69,101,344
32,68,177
72,75,557
65,117,189
86,790,843
73,72,219
78,28,275
71,74,296
32,59,251
84,76,606
72,75,251
69,114,331
83,71,257
69,301,237
32,109,255
87,100,412
69,78,256
65,92,279
80,84,175
79,84,238
78,80,288
83,102,224
32,68,160
66,761,788
85,68,126
84,65,798
32,66,280
82,66,186
65,82,167
84,68,185
72,60,243
69,76,242
82,84,238
32,130,238
79,63,386
85,82,282
82,15,223
32,69,293
76,262,323
65,132,332
67,74,785
75,747,710
32,80,259
79,41,309
70,592,248
32,67,190
71,70,246
79,78,210
68,95,185
32,71,1334
77,437,999
69,110,259
78,81,302
84,68,359
65,125,247
76,74,252
32,69,133
72,60,185
69,81,163
65,87,397
76,81,652
84,74,153
72,90,223
32,62,187
83,82,242
69,123,636
82,85,285
86,509,651
73,31,787
67,86,738
69,79,158
83,91,244
190,803,388
32,71,319
16,888,844
65,98,154
76,252,181
32,71,116
84,77,150
72,61,138
69,76,231
32,87,259
80,79,88
69,78,255
79,63,599
80,82,141
76,68,234
69,92,441
32,64,221
87,74,158
72,74,463
79,61,284
32,79,244
72,68,244
65,97,212
86,794,389
69,95,147
32,76,439
68,76,251
79,85,284
78,75,227
69,110,282
32,76,1199
84,77,343
72,60,255
69,76,237
83,77,341
69,95,250
32,6,178
77,341,888
65,130,201
83,117,447
32,74,361
83,92,250
72,80,365
79,84,381
84,69,260
73,78,460
78,100,275
71,40,263
83,112,695
32,68,544
65,93,207
82,82,201
69,74,209
32,74,219
77,852,256
69,70,211
78,86,256
65,91,212
84,82,163
76,71,514
89,846,906
32,69,215
73,85,221
78,81,276
83,112,390
65,146,212
78,40,330
69,110,228
190,750,376
32,57,377
16,801,350
84,80,404
72,72,114
69,88,194
89,212,216
32,87,286
65,88,185
82,66,222
69,89,179
32,81,191
84,76,164
72,75,126
69,85,216
32,94,170
79,62,211
78,5,169
69,92,348
83,87,241
32,74,588
68,95,185
79,68,376
73,78,462
78,85,234
71,67,259
32,82,1398
84,74,414
72,71,162
69,68,226
32,76,198
75,833,817
73,71,318
76,71,435
73,64,461
78,87,274
71,70,247
83,5,387
8,912,194
188,278,58
32,69,572
78,85,190
79,73,325
84,67,891
32,82,416
84,0,338
72,41,210
69,106,277
32,96,236
71,80,815
85,75,280
78,55,580
83,95,26
190,917,508
32,75,288
16,947,125
73,85,238
70,226,185
32,81,190
87,74,415
69,77,284
32,96,179
66,209,625
69,94,209
76,78,238
73,64,247
69,281,314
86,315,908
69,80,217
32,76,273
84,70,181
72,80,255
65,90,170
84,80,229
32,81,963
71,79,291
85,68,274
78,80,246
83,105,318
32,103,593
75,673,784
73,71,266
76,107,455
32,87,218
80,78,472
69,114,271
79,64,670
80,83,171
76,80,23
69,90,284
32,87,172
84,68,185
72,2,209
69,112,248
78,72,286
32,77,521
87,102,415
69,95,285
222,148,210
68,101,284
32,79,250
65,88,203
76,252,247
83,104,290
79,82,307
32,70,241
72,61,344
65,124,191
86,250,707
69,84,221
32,87,251
84,68,6
79,76,612
32,69,264
66,355,401
69,45,247
76,85,40
73,84,266
69,65,228
86,73,504
69,75,242
32,71,176
84,25,180
72,62,237
65,91,193
84,74,303
32,91,320
67,87,315
65,148,237
82,79,7
83,121,273
32,77,273
75,392,915
73,78,230
76,244,251
32,66,798
80,15,264
69,209,284
79,71,696
80,78,70
76,68,451
69,83,255
190,531,548
32,88,255
16,974,854
87,75,539
69,131,210
32,64,218
72,75,182
65,127,169
86,410,949
69,87,226
32,71,187
84,79,297
82,66,236
73,86,223
65,90,236
76,241,252
83,108,240
32,74,207
84,79,645
72,75,210
