VK,HT,FT
16,948,-1
84,69,215
72,51,134
69,69,148
32,65,111
82,64,157
69,69,148
67,64,247
69,69,148
78,52,134
84,69,215
32,64,130
80,195,654
85,56,261
83,66,177
72,53,156
32,64,130
70,82,221
79,63,131
82,64,157
32,64,130
71,55,330
85,56,261
78,56,226
32,64,140
67,67,186
79,63,131
78,56,226
84,69,215
82,64,157
79,63,131
76,81,188
32,64,130
73,51,210
83,66,177
32,64,130
81,809,164
85,56,261
73,51,210
84,69,215
69,69,148
32,65,111
84,59,327
82,64,157
79,63,131
85,56,261
66,54,315
76,81,188
73,51,210
78,54,286
71,55,330
32,64,130
65,54,238
83,66,177
32,64,130
73,51,210
84,69,215
32,64,130
87,446,413
79,63,131
85,56,261
76,81,188
32,64,130
68,197,2
77,72,243
69,69,148
65,58,182
78,56,226
32,64,140
83,66,177
73,51,210
71,55,330
78,56,226
73,51,210
70,82,221
73,51,210
67,64,247
65,58,182
78,56,226
84,69,215
76,81,188
89,401,266
32,64,130
8,189,408
39,979,680
32,64,130
67,67,186
72,53,156
65,58,182
78,56,226
73,51,210
71,55,330
78,56,226
32,64,140
79,63,131
85,56,261
82,64,157
32,64,130
8,189,408
71,55,330
73,51,210
78,54,286
71,55,330
32,64,130
79,63,131
85,56,261
82,64,157
32,64,130
86,92,578
73,51,210
69,69,148
87,786,550
32,64,130
79,63,131
70,82,221
32,64,130
79,63,131
85,56,261
82,64,157
32,64,130
16,747,913
67,64,247
79,63,131
78,56,226
83,66,177
84,69,215
73,51,210
84,69,215
85,56,261
84,69,215
73,51,210
79,63,131
78,56,226
65,58,182
76,81,188
32,64,130
82,64,157
73,51,210
71,55,330
72,53,156
84,69,215
83,66,177
32,64,130
70,82,221
82,64,157
79,63,131
77,72,243
32,64,130
66,54,315
69,69,148
73,51,210
78,54,286
71,55,330
32,64,130
83,66,177
69,69,148
84,69,215
32,64,130
73,51,210
78,54,286
32,64,140
83,66,177
84,69,215
79,63,131
78,56,226
69,69,148
32,65,111
84,59,327
79,63,131
32,64,130
66,54,315
69,69,148
73,51,210
78,54,286
71,55,330
32,64,130
68,433,437
73,51,210
83,66,177
80,193,398
79,63,131
83,66,177
65,58,182
66,54,315
76,81,188
69,69,148
32,65,111
87,840,861
72,53,156
69,69,148
78,52,134
32,64,140
65,54,238
32,64,130
71,55,330
82,64,157
79,63,131
85,56,261
80,281,927
32,64,130
70,82,221
69,69,148
76,81,188
83,66,177
32,64,130
84,59,327
72,51,134
69,69,148
32,65,111
84,59,327
73,51,210
77,72,243
69,69,148
32,65,111
73,51,210
83,66,177
32,64,130
65,54,238
80,513,240
82,64,157
79,63,131
80,602,684
82,64,157
73,51,210
65,58,182
84,69,215
69,69,148
190,400,874
32,64,130
13,879,641
16,473,224
8,189,408
16,371,937
84,69,215
72,51,134
69,69,148
32,65,111
83,66,177
69,69,148
67,64,247
79,63,131
78,56,226
68,676,641
32,64,130
65,54,238
77,72,243
69,69,148
78,52,134
68,375,542
77,72,243
69,69,148
78,52,134
84,69,215
32,64,130
73,51,210
83,66,177
32,64,130
77,72,243
79,63,131
82,64,157
69,69,148
32,65,111
84,59,327
72,51,134
65,58,182
78,56,226
32,64,140
65,54,238
78,56,226
32,64,140
65,54,238
78,56,226
84,69,215
73,51,210
81,336,208
85,56,261
65,58,182
84,69,215
69,69,148
68,589,256
32,64,130
78,56,226
79,63,131
84,69,215
73,51,210
79,63,131
78,56,226
32,64,140
84,59,327
72,51,134
65,58,182
84,69,215
32,64,130
65,54,238
76,81,188
79,63,131
87,402,838
83,66,177
32,64,130
65,54,238
32,64,130
84,59,327
79,63,131
87,937,462
78,56,226
32,64,140
84,59,327
79,63,131
32,64,130
72,53,156
65,58,182
86,637,77
69,69,148
32,65,111
65,54,238
32,64,130
77,72,243
73,51,210
76,81,188
73,51,210
84,69,215
73,51,210
65,58,182
190,603,792
32,64,130
16,365,55
73,51,210
84,69,215
32,64,130
73,51,210
83,66,177
32,64,130
65,54,238
32,64,130
83,66,177
69,69,148
84,69,215
32,64,130
79,63,131
70,82,221
32,64,130
80,210,648
82,64,157
73,51,210
78,54,286
67,64,247
73,51,210
80,222,689
76,81,188
69,69,148
83,66,177
32,64,130
37,124,163
39,227,545
37,898,907
32,64,130
67,67,186
79,63,131
78,56,226
67,64,247
69,69,148
80,124,826
84,69,215
32,64,130
73,51,210
78,54,286
32,64,140
65,54,238
32,64,130
8,189,408
84,69,215
72,51,134
65,58,182
84,69,215
32,64,130
65,54,238
76,81,188
79,63,131
87,773,721
32,64,130
84,59,327
72,51,134
69,69,148
32,65,111
73,51,210
78,54,286
68,657,562
73,51,210
86,441,162
73,51,210
68,121,522
85,56,261
65,58,182
76,81,188
32,64,130
84,59,327
79,63,131
32,64,130
80,692,42
82,64,157
79,63,131
84,69,215
69,69,148
67,64,247
84,69,215
32,64,130
84,59,327
72,51,134
69,69,148
77,72,243
83,66,177
69,69,148
76,81,188
86,616,286
69,69,148
83,66,177
32,64,130
