VK,HT,FT
17,256,-1
86,158,156
16,437,376
71,154,179
85,146,217
78,156,198
32,120,128
8,846,535
16,330,376
73,182,259
32,112,204
84,150,201
72,149,107
73,147,184
78,158,99
75,11,99
32,112,204
87,147,137
69,154,179
32,105,200
78,147,142
69,172,131
68,177,214
32,120,416
84,150,201
79,158,98
32,116,182
68,143,215
79,156,108
32,118,155
83,132,178
79,153,172
77,146,120
69,146,83
84,210,131
72,137,148
73,147,184
78,158,99
71,128,111
32,86,155
65,142,192
66,146,279
79,153,172
85,146,217
84,150,181
32,103,187
84,150,201
72,149,107
69,150,113
32,114,109
86,158,156
73,147,184
79,153,172
76,159,196
69,168,126
78,130,156
67,140,229
69,162,138
32,105,175
73,152,203
78,158,99
32,120,128
84,150,201
72,149,107
73,147,184
83,169,126
32,114,225
67,145,196
79,190,88
85,146,217
78,156,198
84,163,139
82,174,79
89,166,164
190,196,249
32,112,204
16,474,329
84,150,181
72,137,148
73,147,184
83,169,126
32,114,225
72,168,265
65,161,157
83,213,93
32,109,172
66,150,292
69,141,137
67,122,232
79,190,88
77,146,120
69,146,83
32,105,175
65,142,192
32,112,204
67,145,196
85,146,217
76,131,228
84,150,181
85,146,217
82,159,152
69,186,99
32,91,151
79,156,200
70,165,175
32,119,232
70,148,216
69,157,149
65,140,187
82,159,152
32,97,211
82,159,152
69,186,99
65,140,187
8,507,535
85,147,392
76,131,228
69,168,126
68,177,214
32,120,416
66,150,292
89,166,164
32,118,237
8,846,535
69,162,138
32,105,175
84,151,286
73,142,166
77,132,164
8,507,535
16,330,376
72,142,166
79,153,172
87,158,171
32,112,204
77,121,212
65,144,191
78,150,114
89,166,164
32,118,237
77,121,212
79,153,172
82,159,114
69,186,99
32,91,151
76,126,241
73,147,184
86,158,156
69,151,153
83,160,205
32,114,178
77,121,212
85,146,217
83,141,102
84,123,173
32,104,80
66,150,292
69,141,137
32,98,177
76,126,241
79,153,172
83,151,149
84,123,173
32,104,80
85,146,217
78,156,198
84,163,139
73,142,166
76,194,222
32,124,226
87,147,137
69,154,179
32,105,200
83,137,151
84,132,176
65,132,189
78,150,114
68,142,128
32,114,158
89,166,164
8,507,535
85,147,392
80,166,245
32,112,204
65,142,192
78,162,112
68,143,121
32,123,140
83,132,178
65,163,196
89,166,164
32,118,237
69,175,97
78,115,144
79,160,179
85,146,217
71,197,97
72,137,109
32,112,204
73,152,203
83,169,126
32,114,225
69,175,97
78,115,144
79,160,179
85,146,217
71,197,97
72,137,109
190,196,249
32,112,204
16,474,329
73,186,271
32,112,204
68,143,215
79,156,108
32,118,155
78,147,142
79,152,156
84,140,194
32,103,187
87,147,137
65,137,203
78,150,114
84,163,139
32,103,187
77,121,212
89,166,164
32,118,237
67,145,196
72,142,166
73,147,184
76,194,222
68,152,181
82,159,152
69,186,99
78,130,156
32,120,128
79,156,200
82,159,114
32,97,211
70,148,216
82,159,152
73,147,184
69,162,138
78,130,156
68,143,125
83,151,149
32,109,172
79,156,200
82,159,114
32,97,211
76,124,241
79,153,172
86,158,156
69,151,153
68,177,214
32,120,416
79,156,200
78,155,120
67,140,229
8,507,535
69,162,138
83,160,205
32,114,178
71,154,179
69,162,138
84,210,131
73,142,166
78,158,99
71,128,111
32,86,155
72,168,265
85,146,217
82,159,152
84,150,181
188,783,42
32,112,204
65,142,192
78,162,112
68,143,121
32,123,140
16,474,329
73,186,271
32,112,204
68,143,215
79,156,108
32,118,155
78,147,142
79,152,156
84,140,194
32,103,187
87,147,137
65,137,203
78,150,114
84,163,139
32,103,187
65,142,192
78,162,112
79,152,156
89,166,164
8,507,535
89,166,164
32,118,237
79,156,200
84,140,194
72,137,148
69,161,95
82,166,83
32,97,211
67,145,196
73,147,184
84,157,116
73,142,166
90,8,833
69,162,138
78,130,156
83,143,154
32,109,172
76,124,241
79,153,172
86,158,156
69,151,153
68,177,214
32,120,416
79,156,200
78,155,120
69,172,131
83,160,205
32,114,178
73,152,203
78,158,99
32,120,128
84,150,201
72,149,107
69,150,113
32,114,109
16,474,329
85,146,217
78,156,198
73,147,184
84,157,116
69,131,132
68,177,214
32,120,416
16,474,329
83,151,149
