VK,HT,FT
17,323,-1
86,150,227
16,330,450
71,153,184
85,174,189
78,157,233
32,116,125
8,595,509
16,314,237
73,207,403
32,160,155
84,145,217
72,141,80
73,153,154
78,146,121
75,128,95
32,124,274
87,149,183
69,173,95
32,121,232
78,139,256
69,266,82
68,159,259
32,102,344
84,166,169
79,160,145
32,123,129
68,143,272
79,152,84
32,132,107
83,118,135
79,152,182
77,142,135
69,156,107
84,233,136
72,136,156
73,146,160
78,162,86
71,118,103
32,94,160
65,130,138
66,131,164
79,158,115
85,124,211
84,157,145
32,106,222
84,166,152
72,151,111
69,141,132
32,110,107
86,162,202
73,135,175
79,152,188
76,136,207
69,148,132
78,140,142
67,132,273
69,197,105
32,96,166
73,131,155
78,154,113
32,130,139
84,140,105
72,152,117
73,147,155
83,152,116
32,105,251
67,155,164
79,185,70
85,153,210
78,148,136
84,175,145
82,160,109
89,146,181
190,185,362
32,143,288
16,360,496
84,164,240
72,142,119
73,131,141
83,191,132
32,107,169
72,155,324
65,164,187
83,259,99
32,119,210
66,161,400
69,161,179
67,119,223
79,176,84
77,140,141
69,169,110
32,117,191
65,125,152
32,103,230
67,135,209
85,127,301
76,180,145
84,154,244
85,149,157
82,159,128
69,261,81
32,115,197
79,153,167
70,178,90
32,127,349
70,161,239
69,154,130
65,144,202
82,151,181
32,107,243
82,142,131
69,203,93
65,147,228
8,354,562
85,142,185
76,169,273
69,157,118
68,186,207
32,118,148
66,142,247
89,153,124
32,122,334
8,632,655
69,183,178
32,94,131
84,121,217
73,137,249
77,150,185
8,378,454
16,417,546
72,131,146
79,146,217
87,167,147
32,126,261
77,138,202
65,140,218
78,172,123
89,167,162
32,100,161
77,126,176
79,156,202
82,138,139
69,194,99
32,111,198
76,171,273
73,136,182
86,142,242
69,178,146
83,174,265
32,117,228
77,132,238
85,130,271
83,152,128
84,123,190
32,92,227
66,139,286
69,140,187
32,112,193
76,180,133
79,161,144
83,146,180
84,129,178
32,103,147
85,135,270
78,142,176
84,149,110
73,143,141
76,247,198
32,123,187
87,162,149
69,173,112
32,113,217
83,142,152
84,135,202
65,126,190
78,133,119
68,142,116
32,123,122
89,145,190
8,611,583
85,167,238
80,164,336
32,103,280
65,142,187
78,166,101
68,137,136
32,110,125
83,138,205
65,177,110
89,176,146
32,99,324
69,140,111
78,148,156
79,146,167
85,154,196
