VK,HT,FT
16,415,-1
73,175,139
84,131,158
32,130,107
73,175,139
83,152,158
32,135,121
69,140,145
83,152,158
69,140,145
78,152,157
84,131,158
73,175,139
65,148,140
76,165,164
32,125,129
84,127,145
79,157,135
32,125,129
78,152,157
79,157,135
84,131,158
69,140,145
32,126,119
84,127,145
72,121,120
65,148,140
84,131,158
32,130,107
84,127,145
72,121,120
69,140,145
32,126,119
85,116,157
83,152,158
69,140,145
32,126,119
79,157,135
70,138,231
32,125,129
84,127,145
72,121,120
69,140,145
32,126,119
70,138,231
73,175,139
82,142,171
69,126,123
65,148,140
82,142,171
77,154,225
32,125,129
73,175,139
83,152,158
32,135,121
80,278,596
82,142,171
73,175,139
77,154,225
65,148,140
82,142,171
73,175,139
76,165,164
89,722,821
32,125,129
84,127,145
79,157,135
32,125,129
75,149,107
73,175,139
76,165,164
190,914,243
32,125,129
87,723,230
72,121,121
69,140,145
84,131,158
72,121,120
69,140,145
82,142,171
32,125,129
73,175,139
84,131,158
32,130,107
66,149,837
69,140,145
32,126,119
65,126,116
78,137,125
32,131,147
65,126,116
78,137,125
73,175,139
77,154,225
65,148,140
76,165,164
32,125,129
79,157,135
82,142,171
32,125,129
65,126,116
32,125,129
72,121,121
85,116,157
77,154,225
65,148,140
78,137,125
32,131,147
66,251,674
69,140,145
73,175,139
78,170,123
71,105,134
188,422,790
32,125,129
8,942,70
186,23,789
32,125,129
65,126,116
32,125,129
71,105,134
85,116,157
78,152,157
32,131,147
84,127,145
65,148,140
75,215,483
69,140,145
83,152,158
32,135,121
76,165,164
73,175,139
70,138,231
69,140,145
190,446,872
32,125,129
87,936,868
8,654,282
16,380,459
87,371,610
72,121,121
69,140,145
84,131,158
72,121,120
69,140,145
82,142,171
32,125,129
79,157,135
82,142,171
32,125,129
78,152,157
79,157,135
84,131,158
32,130,107
89,204,679
79,157,135
85,116,157
32,125,129
66,429,458
69,140,145
76,165,164
73,175,139
69,140,145
86,836,540
69,140,145
32,126,119
73,175,139
78,170,123
32,131,147
84,127,145
72,121,120
69,140,145
32,126,119
82,142,171
73,175,139
71,105,134
72,121,121
84,131,158
32,130,107
79,157,135
70,138,231
32,125,129
65,126,116
32,125,129
80,710,336
69,140,145
82,142,171
83,152,158
79,157,135
78,152,157
83,152,158
32,135,121
84,127,145
79,157,135
32,125,129
66,873,840
69,140,145
65,148,140
82,142,171
32,125,129
87,102,21
72,121,121
73,175,139
67,137,321
72,121,121
32,125,129
65,126,116
78,137,125
68,124,246
87,387,844
72,121,121
65,148,140
84,131,158
69,140,145
86,396,77
69,140,145
82,142,171
8,423,566
32,125,129
87,487,931
72,121,121
65,148,140
84,131,158
69,140,145
86,356,456
69,140,145
82,142,171
32,125,129
65,126,116
82,142,171
77,154,225
83,152,158
32,135,121
84,127,145
72,121,120
69,140,145
89,778,444
32,125,129
67,137,321
72,121,121
79,157,135
83,152,158
69,140,145
16,133,917
186,823,228
32,125,129
84,127,145
72,121,120
69,140,145
82,142,171
69,126,123
32,126,119
73,175,139
83,152,158
32,135,121
65,126,116
32,125,129
70,138,231
85,116,157
78,152,157
68,124,246
65,148,140
77,154,225
69,140,145
78,152,157
84,131,158
65,148,140
76,165,164
32,125,129
66,428,298
69,140,145
76,165,164
73,175,139
69,140,145
70,138,231
32,125,129
65,126,116
77,154,225
79,157,135
78,152,157
71,105,134
32,125,129
65,126,116
76,165,164
32,125,129
80,381,977
69,140,145
82,142,171
83,152,158
79,157,135
78,152,157
83,152,158
32,135,121
65,126,116
78,137,125
68,124,246
32,125,129
67,137,321
85,116,157
76,165,164
84,131,158
85,116,157
82,142,171
69,126,123
83,152,158
32,135,121
84,127,145
72,121,120
65,148,140
84,131,158
32,130,107
76,165,164
73,175,139
70,138,231
69,140,145
32,126,119
73,175,139
83,152,158
32,135,121
83,152,158
65,148,140
67,137,321
82,142,171
69,126,123
68,124,246
190,312,946
32,125,129
16,819,365
76,165,164
73,175,139
70,138,231
69,140,145
32,126,119
73,175,139
83,152,158
32,135,121
83,152,158
80,404,913
69,140,145
67,137,321
73,175,139
65,148,140
76,165,164
32,125,129
80,435,191
82,142,171
69,126,123
67,137,321
73,175,139
79,157,135
85,116,157
83,152,158
32,135,121
65,126,116
78,137,125
68,124,246
32,125,129
81,23,571
85,116,157
8,64,195
85,116,157
78,152,157
73,175,139
81,366,905
85,116,157
69,140,145
32,126,119
65,126,116
78,137,125
68,124,246
32,125,129
67,137,321
65,148,140
78,137,125
79,157,135
84,131,158
32,130,107
66,586,456
69,140,145
32,126,119
82,142,171
69,126,123
80,869,123
76,165,164
73,175,139
67,137,321
65,148,140
84,131,158
69,140,145
68,124,246
32,125,129
66,122,486
89,996,157
32,125,129
84,127,145
69,140,145
67,137,321
72,121,121
78,152,157
79,157,135
76,165,164
79,157,135
71,105,134
89,841,311
32,125,129
79,157,135
82,142,171
32,125,129
80,126,787
79,157,135
76,165,164
73,175,139
84,131,158
73,175,139
67,137,321
65,148,140
76,165,164
32,125,129
68,124,246
73,175,139
65,148,140
84,131,158
82,142,171
73,175,139
66,805,701
69,140,145
83,152,158
190,119,262
32,125,129
16,846,510
67,137,321
79,157,135
78,152,157
83,152,158
69,140,145
81,766,937
85,116,157
69,140,145
78,152,157
84,131,158
73,175,139
65,148,140
76,165,164
89,455,223
188,384,198
32,125,129
65,126,116
32,125,129
76,165,164
73,175,139
70,138,231
69,140,145
32,126,119
67,137,321
65,148,140
78,137,125
79,157,135
84,131,158
32,130,107
66,292,788
69,140,145
32,126,119
82,142,171
69,126,123
80,87,752
76,165,164
65,148,140
67,137,321
69,140,145
68,124,246
32,125,129
79,157,135
78,152,157
69,140,145
8,515,335
67,137,321
69,140,145
32,126,119
84,127,145
65,148,140
75,541,161
69,140,145
78,152,157
190,176,574
32,125,129
16,334,977
66,752,29
85,116,157
84,131,158
32,130,107
84,127,145
72,121,120
69,140,145
32,126,119
84,127,145
65,148,140
75,490,677
73,175,139
78,170,123
70,138,231
32,125,129
79,157,135
70,138,231
32,125,129
8,236,298
71,105,134
32,125,129
79,157,135
70,138,231
32,125,129
65,126,116
32,125,129
76,165,164
73,175,139
70,138,231
8,793,380
86,472,229
69,140,145
83,152,158
32,135,121
77,154,225
65,148,140
89,288,873
32,125,129
66,118,841
69,140,145
32,126,119
80,594,490
82,142,171
69,126,123
86,834,506
69,140,145
78,152,157
84,131,158
69,140,145
68,124,246
190,133,925
32,125,129
16,117,502
87,249,368
69,140,145
32,126,119
67,137,321
85,116,157
82,142,171
69,126,123
8,944,268
82,142,171
69,126,123
78,152,157
84,131,158
76,165,164
89,347,38
32,125,129
87,140,483
79,157,135
82,142,171
75,62,553
32,125,129
87,249,83
73,175,139
84,131,158
72,121,120
73,175,139
78,170,123
32,131,147
65,126,116
32,125,129
83,152,158
89,841,213
83,152,158
84,131,158
69,140,145
77,154,225
32,125,129
79,157,135
70,138,231
32,125,129
76,165,164
65,148,140
87,751,353
83,152,158
32,135,121
65,126,116
78,137,125
68,124,246
32,125,129
82,142,171
85,116,157
76,165,164
69,140,145
83,152,158
32,135,121
84,127,145
72,121,120
65,148,140
84,131,158
32,130,107
67,137,321
65,148,140
78,137,125
32,131,147
77,154,225
65,148,140
75,106,863
69,140,145
32,126,119
73,175,139
84,131,158
32,130,107
68,124,246
73,175,139
70,138,231
73,175,139
67,137,321
85,116,157
76,165,164
84,131,158
32,130,107
84,127,145
79,157,135
32,125,129
80,545,532
82,142,171
79,157,135
67,137,321
85,116,157
82,142,171
69,126,123
32,126,119
84,127,145
72,121,120
69,140,145
32,126,119
73,175,139
78,170,123
83,152,158
84,131,158
82,142,171
85,116,157
77,154,225
69,140,145
78,152,157
84,131,158
83,152,158
32,135,121
79,157,135
70,138,231
32,125,129
76,165,164
73,175,139
70,138,231
69,140,145
189,269,290
84,131,158
65,148,140
75,618,865
73,175,139
78,170,123
71,105,134
190,367,669
32,125,129
16,510,945
73,175,139
83,152,158
32,135,121
73,175,139
84,131,158
32,130,107
78,152,157
79,157,135
84,131,158
32,130,107
69,140,145
83,152,158
69,140,145
78,152,157
84,131,158
73,175,139
65,148,140
76,165,164
32,125,129
84,127,145
72,121,120
65,148,140
84,131,158
32,130,107
87,12,507
69,140,145
32,126,119
68,124,246
79,157,135
32,125,129
87,678,694
8,439,29
69,140,145
86,135,510
69,140,145
82,142,171
89,294,224
84,131,158
72,121,120
73,175,139
78,170,123
71,105,134
32,125,129
87,797,610
69,140,145
32,126,119
67,137,321
65,148,140
78,137,125
32,131,147
65,126,116
83,152,158
32,135,121
65,126,116
32,125,129
83,152,158
79,157,135
67,137,321
73,175,139
69,140,145
84,131,158
89,277,203
32,125,129
84,127,145
79,157,135
32,125,129
68,124,246
79,157,135
32,125,129
83,152,158
79,157,135
16,228,339
191,100,213
32,125,129
84,127,145
72,121,120
73,175,139
83,152,158
32,135,121
73,175,139
83,152,158
32,135,121
84,127,145
72,121,120
69,140,145
32,126,119
67,137,321
72,121,121
65,148,140
76,165,164
69,140,145
78,152,157
71,105,134
69,140,145
32,126,119
87,270,541
69,140,145
32,126,119
70,138,231
65,148,140
67,137,321
69,140,145
32,126,119
66,573,518
69,140,145
70,138,231
79,157,135
82,142,171
69,126,123
32,126,119
85,116,157
83,152,158
188,130,607
32,125,129
65,126,116
78,137,125
68,124,246
16,793,75
32,125,129
73,175,139
32,125,129
73,175,139
77,154,225
80,397,893
76,165,164
79,157,135
82,142,171
69,126,123
32,126,119
84,127,145
72,121,120
69,140,145
32,126,119
82,142,171
69,126,123
65,148,140
68,124,246
69,140,145
82,142,171
32,125,129
84,127,145
79,157,135
32,125,129
83,152,158
85,116,157
80,833,613
79,157,135
82,142,171
84,131,158
32,130,107
83,152,158
69,140,145
78,152,157
83,152,158
73,175,139
66,877,316
76,165,164
69,140,145
32,126,119
67,137,321
8,246,820
71,105,134
85,116,157
78,152,157
32,131,147
82,142,171
69,126,123
71,105,134
85,116,157
76,165,164
65,148,140
84,131,158
73,175,139
79,157,135
78,152,157
190,292,280
32,125,129
8,671,776
