VK,HT,FT
16,323,-1
65,115,115
69,95,199
8,390,601
77,88,487
69,93,137
82,80,78
73,87,124
67,118,146
65,112,133
78,104,114
32,100,198
83,118,216
79,111,138
67,89,159
73,90,223
69,100,112
84,96,153
89,102,134
32,98,156
72,75,225
65,80,178
83,95,115
32,108,156
83,117,244
69,98,254
78,71,193
32,90,89
85,81,243
78,93,201
83,84,199
69,92,135
84,136,169
76,99,234
73,107,173
78,111,207
71,112,189
32,105,160
83,95,346
80,100,199
79,83,156
85,97,124
84,97,152
83,96,135
32,86,95
79,122,287
70,84,141
32,95,160
86,105,257
73,121,187
79,105,196
76,104,244
69,72,223
78,105,134
67,76,151
69,89,167
188,109,237
32,94,180
77,97,244
79,88,130
83,122,96
84,87,118
32,98,80
78,98,474
79,74,167
84,90,106
69,102,202
65,109,147
8,392,407
65,122,401
66,89,153
76,94,175
89,96,216
32,96,183
8,373,424
32,103,578
79,100,198
86,78,115
69,120,208
82,108,141
32,101,125
84,108,163
72,76,141
69,79,61
32,94,154
80,95,294
65,133,120
83,241,210
84,103,161
32,94,82
50,112,933
189,95,320
8,430,404
48,342,271
8,478,548
73,91,552
83,88,129
32,88,156
68,89,279
69,112,213
80,86,169
76,125,251
89,106,126
32,99,138
69,91,271
78,83,104
84,92,91
82,107,132
69,233,158
78,100,178
67,93,268
72,100,156
69,111,129
68,97,266
32,88,202
73,86,229
78,131,106
32,80,117
86,85,237
73,119,111
79,114,288
76,108,268
69,95,240
78,83,165
67,82,208
69,89,214
32,118,243
79,103,175
78,107,115
32,100,160
65,113,203
32,82,133
68,86,362
65,118,190
73,86,177
76,73,226
89,81,194
32,104,128
66,91,408
65,87,152
83,117,163
73,105,171
83,74,178
190,78,440
32,84,129
16,363,269
76,131,167
65,92,154
82,112,188
71,111,290
69,95,132
32,71,180
77,85,282
65,92,83
83,283,208
189,99,302
83,139,114
72,85,147
79,127,162
84,103,335
73,136,125
78,145,109
71,98,119
83,111,147
32,120,207
71,109,439
82,114,150
65,108,179
66,80,233
32,94,106
72,108,326
69,88,172
65,110,132
68,130,217
76,97,255
73,83,223
78,104,217
69,104,108
83,129,316
32,125,247
83,91,269
69,159,125
86,79,150
69,93,135
82,99,129
65,101,335
76,122,162
32,121,186
84,101,122
73,98,82
77,96,164
69,88,91
83,103,240
32,92,263
65,105,90
32,94,87
89,94,224
69,134,90
65,96,169
82,117,133
190,87,147
32,116,328
16,404,609
66,89,149
69,116,142
84,92,207
87,122,353
69,94,127
8,244,456
69,106,317
78,102,159
32,86,233
84,83,99
72,88,168
69,108,84
83,129,192
69,122,132
32,98,178
69,108,299
86,100,184
69,103,140
78,106,120
84,96,106
83,124,176
32,104,242
84,109,167
72,96,109
69,108,115
82,113,117
69,94,177
32,105,122
65,129,178
82,130,120
69,101,107
32,170,122
83,94,218
77,80,335
65,118,125
76,142,99
69,79,156
82,93,155
8,847,389
72,91,520
79,103,112
84,114,304
73,123,116
78,136,104
71,94,122
83,123,157
32,119,217
73,111,336
78,109,140
32,92,103
87,105,194
72,94,119
73,86,170
67,104,146
72,72,111
32,99,114
84,111,86
72,86,106
69,78,167
32,113,138
66,113,310
79,139,262
68,95,249
89,86,215
32,119,127
67,111,272
79,100,123
85,99,89
78,90,288
84,101,185
32,123,223
77,108,258
65,94,144
89,61,174
32,81,73
66,76,243
69,82,127
32,83,179
76,103,349
79,103,209
87,101,199
69,120,286
82,135,181
188,99,263
32,97,120
66,109,290
85,90,142
84,90,136
32,86,128
84,102,119
72,92,99
69,103,112
32,80,106
84,73,269
82,116,181
65,124,157
68,108,317
8,514,397
71,101,289
69,87,172
68,76,420
89,91,165
32,112,195
82,134,460
69,95,128
77,108,210
65,93,169
73,87,129
78,96,117
83,113,145
32,121,98
84,102,172
72,99,80
69,108,128
32,95,149
83,98,307
65,117,146
77,111,154
69,125,120
16,638,471
186,92,657
32,83,205
84,96,205
72,81,105
69,87,143
32,85,124
85,87,274
78,87,205
67,83,164
65,115,207
82,229,139
73,85,293
78,87,161
71,89,93
32,94,169
84,78,224
69,85,168
65,94,172
82,89,111
73,98,253
78,113,156
71,79,98
32,89,124
79,116,171
70,82,111
32,100,185
72,116,157
85,86,219
77,88,199
65,119,190
78,95,116
32,106,172
76,87,408
73,110,164
70,123,252
69,119,160
32,104,278
70,87,263
82,111,146
79,98,158
77,105,165
32,93,110
84,77,99
72,90,105
73,86,138
83,103,91
32,123,119
77,83,180
79,102,196
82,112,65
84,72,232
65,110,120
76,181,116
32,167,181
78,106,228
69,198,119
84,91,182
87,98,243
79,119,104
82,112,193
75,81,144
190,121,210
68,100,186
69,88,184
86,108,217
69,91,163
83,84,146
84,79,193
65,130,134
84,95,178
73,103,79
78,115,130
71,88,122
40,204,590
39,448,830
32,114,176
16,457,469
73,90,255
84,88,227
32,111,115
73,96,170
83,116,100
32,106,99
8,371,503
16,332,668
84,84,179
72,66,188
69,69,101
82,133,117
69,107,124
32,107,171
73,106,193
83,112,109
32,77,120
65,124,180
32,82,106
67,109,404
76,120,146
69,148,167
65,103,167
82,101,102
32,105,236
80,173,406
82,80,112
79,82,93
66,83,213
76,86,161
69,90,117
77,121,116
32,122,101
79,93,264
70,151,181
32,96,328
71,76,554
85,69,81
78,108,147
83,102,154
32,91,125
73,83,192
78,91,118
32,109,106
16,344,230
65,104,101
77,90,207
69,137,179
82,109,108
73,81,120
67,99,130
65,133,143
78,99,98
32,92,192
83,89,212
79,103,82
67,120,183
73,89,111
69,95,236
84,103,187
89,93,91
188,199,278
32,99,144
66,102,304
79,188,161
84,97,235
72,77,92
32,91,140
76,110,249
69,77,104
71,90,210
65,158,194
76,167,116
32,81,210
65,92,177
78,94,95
68,99,95
32,84,92
73,80,159
76,251,247
69,85,305
71,95,215
65,139,173
76,179,137
188,98,384
32,84,129
73,111,232
78,113,142
32,88,110
84,100,134
72,89,87
69,100,171
32,92,96
72,106,134
65,112,115
78,99,110
68,134,178
83,113,192
32,112,71
79,93,200
70,86,141
32,91,118
84,68,145
72,99,85
85,94,224
71,87,183
83,116,191
32,96,253
71,92,409
85,76,179
78,74,195
83,98,140
40,110,866
39,457,848
32,107,144
65,135,266
78,83,152
68,83,92
32,51,79
8,655,510
16,278,881
65,119,117
77,90,221
69,128,187
82,124,102
73,97,146
67,111,129
65,113,100
78,88,174
32,99,160
67,105,255
85,94,118
76,111,201
84,83,208
85,74,145
82,120,154
76,100,259
8,289,526
69,105,391
188,81,413
32,107,155
65,123,241
78,86,105
68,105,102
32,84,119
69,104,357
86,94,226
69,92,128
78,98,130
32,111,116
73,102,282
78,123,148
32,106,155
16,248,157
65,123,67
77,116,219
69,145,135
82,109,90
73,93,192
67,123,147
65,126,137
78,91,157
32,92,195
76,118,380
65,138,97
87,104,183
32,80,289
69,106,210
78,77,130
70,70,186
79,90,115
82,68,72
67,99,320
69,95,177
77,84,143
69,76,117
78,81,97
84,88,81
190,69,195
32,88,274
16,216,396
73,97,275
84,119,216
32,105,143
73,107,144
83,123,129
32,112,133
84,81,229
79,100,103
32,112,140
79,94,337
70,123,114
84,103,308
69,129,176
78,92,119
32,94,77
83,95,221
69,144,180
78,93,253
32,113,181
65,209,193
83,129,216
32,107,148
84,80,187
72,76,84
69,80,93
32,91,144
71,102,280
82,119,221
69,136,139
65,133,152
84,101,152
32,99,137
69,101,268
81,116,486
85,83,245
65,106,117
76,220,114
73,97,205
90,91,197
69,98,221
82,142,127
188,101,297
32,103,129
69,105,344
86,103,198
69,115,121
82,121,171
89,98,123
32,105,119
71,101,548
82,110,152
69,132,132
8,373,569
73,96,487
69,96,179
86,108,204
69,121,146
8,398,318
77,103,421
65,98,100
78,73,129
32,98,183
83,102,222
85,95,202
70,119,169
69,84,138
82,94,127
73,100,237
78,82,134
71,91,123
32,108,142
65,124,308
32,87,115
71,86,237
82,124,149
73,110,126
69,89,141
86,102,208
65,119,205
78,99,174
67,102,144
69,92,233
32,93,165
75,69,232
78,101,256
79,151,122
87,120,176
83,133,223
32,111,148
84,95,224
72,99,124
69,91,76
32,80,120
79,130,185
80,278,318
84,89,183
73,99,128
79,109,148
78,130,146
32,197,205
65,127,217
86,83,436
65,111,173
73,109,157
76,105,206
65,115,117
66,82,203
76,83,128
69,90,82
32,92,120
84,93,139
79,92,114
32,122,123
72,72,183
73,115,106
77,124,186
32,95,132
79,94,361
82,82,108
32,110,98
72,102,228
69,84,162
82,114,117
8,765,377
190,105,543
37,485,300
32,133,154
84,91,125
79,118,110
32,99,82
87,108,307
82,103,169
65,115,252
8,297,354
69,125,258
65,125,169
75,77,161
32,104,194
72,84,411
65,122,94
86,99,138
79,93,194
67,105,216
32,103,181
65,86,147
78,90,93
32,99,132
8,544,538
68,82,210
32,230,145
83,85,265
72,104,108
79,125,168
67,85,168
75,87,157
32,117,154
83,116,219
79,99,112
67,114,166
73,90,202
69,93,212
84,104,244
89,93,139
32,94,65
73,121,241
83,133,133
39,781,480
32,95,187
16,230,373
65,112,142
76,179,170
84,109,212
72,82,150
79,105,201
85,101,120
71,75,155
72,103,120
84,100,131
32,104,142
8,563,618
32,79,463
84,91,200
72,85,77
69,81,112
82,110,115
69,103,156
82,120,114
8,583,334
32,91,624
73,100,245
83,122,142
32,105,86
65,107,152
32,86,86
67,91,348
79,117,104
78,121,88
83,98,228
84,107,229
73,83,325
84,92,364
85,68,213
84,104,310
73,139,141
79,128,97
78,100,115
65,99,159
76,142,132
32,116,144
82,82,341
73,93,99
71,96,140
72,92,94
84,84,137
32,92,137
84,95,246
79,107,104
32,98,106
66,92,324
69,92,226
65,100,195
82,90,196
32,84,105
65,128,172
82,116,212
77,76,240
83,83,144
188,102,399
32,87,161
84,108,487
72,87,98
69,107,139
32,86,93
71,92,391
85,113,289
78,109,208
32,96,123
73,118,219
78,94,129
68,125,164
85,97,132
67,77,159
8,370,491
83,92,535
84,104,136
82,109,258
89,88,93
32,93,133
87,92,553
79,103,87
85,119,106
76,110,214
68,89,95
32,94,137
8,408,413
77,84,425
65,121,157
75,108,161
69,99,173
83,176,161
32,72,126
77,78,330
79,104,154
78,130,177
69,105,106
89,93,169
32,113,117
79,87,190
70,97,94
32,101,168
70,90,220
8,478,397
79,96,687
70,69,146
32,98,175
69,89,169
88,112,248
80,141,174
76,88,125
79,96,285
73,120,194
84,118,232
73,91,115
78,104,122
71,51,144
32,97,231
84,97,191
72,98,105
69,80,137
32,113,133
76,77,356
79,125,211
80,97,188
72,87,88
79,165,118
76,105,327
69,103,151
83,151,214
32,97,318
65,96,135
78,108,124
68,121,109
32,157,101
83,102,271
69,113,247
78,72,162
83,101,253
65,96,210
84,133,173
73,141,80
79,114,153
78,85,142
65,101,166
76,107,91
73,106,195
83,78,108
77,98,352
32,85,125
79,106,367
70,159,173
32,119,148
72,92,337
73,88,142
71,100,148
72,89,94
32,94,143
80,108,303
79,125,199
87,127,131
69,151,107
82,114,161
69,115,112
68,97,311
32,94,228
71,99,267
85,92,94
78,85,155
83,108,146
188,99,218
32,120,122
68,98,402
69,86,223
83,129,140
80,91,143
73,101,298
84,76,162
69,99,179
32,78,272
84,81,295
72,86,119
69,80,163
73,92,103
82,77,138
32,83,110
79,90,154
86,95,111
69,139,206
82,124,148
76,92,207
89,102,185
32,107,135
76,124,188
69,100,83
84,92,138
72,97,88
65,131,129
76,158,100
32,67,230
67,121,481
65,97,132
80,140,211
65,137,104
67,146,280
73,111,279
84,87,183
73,90,143
69,78,130
83,184,131
190,111,364
8,196,560
65,125,539
32,98,182
16,346,232
73,100,205
84,111,206
83,100,258
32,83,217
84,86,163
73,82,178
77,115,126
69,127,92
32,103,298
84,92,154
79,131,121
32,101,142
82,92,457
69,94,186
86,100,304
69,111,153
82,98,90
83,111,178
69,104,154
32,91,195
84,89,162
72,96,92
73,99,128
83,103,92
32,109,158
84,101,332
82,116,220
69,208,194
78,95,126
68,89,177
188,117,525
32,105,161
65,135,265
78,98,158
68,89,103
32,112,127
77,100,262
65,99,109
73,95,143
78,114,102
84,82,230
65,101,313
73,89,157
78,91,88
32,110,132
65,94,189
32,80,114
77,70,241
79,98,184
82,89,100
69,96,111
32,106,116
83,95,192
85,90,143
83,90,175
84,109,124
65,124,168
73,105,155
78,103,131
65,88,172
66,79,224
76,81,168
69,92,96
32,80,128
77,104,180
69,76,174
84,112,198
72,94,81
79,102,157
68,96,260
32,120,193
79,112,304
70,80,144
32,108,111
77,80,328
65,89,135
73,93,128
78,113,135
84,100,226
65,106,165
73,93,114
78,103,93
73,101,199
78,98,129
71,111,180
32,95,124
79,130,269
85,122,131
82,90,94
32,98,110
83,111,234
69,106,203
67,116,246
79,102,162
78,117,134
68,97,116
32,87,169
65,98,184
77,132,117
69,100,253
78,110,165
68,115,285
77,100,236
69,88,129
78,91,138
84,93,115
32,90,233
82,129,191
73,88,145
71,75,127
72,86,118
84,95,129
83,97,258
32,101,372
87,102,332
73,74,108
8,523,532
72,88,616
73,97,156
76,108,191
69,90,87
32,90,135
67,124,161
79,114,82
78,104,129
84,78,135
82,110,181
76,114,118
8,308,529
79,119,568
76,120,285
73,86,186
78,95,198
71,81,144
32,102,203
84,99,260
72,99,80
69,105,91
32,114,102
87,93,223
79,92,132
82,78,184
83,103,275
84,67,161
32,118,157
82,53,291
69,101,136
80,85,200
69,117,182
82,76,137
67,90,316
85,105,105
83,112,166
73,109,173
79,118,143
78,85,184
83,118,127
32,49,271
79,105,207
70,78,107
32,111,155
65,133,304
78,86,100
32,101,185
79,104,201
80,187,242
69,99,140
78,83,191
32,86,91
67,86,338
8,378,452
71,77,420
85,97,130
78,81,144
32,90,83
80,104,332
79,99,193
76,114,181
73,104,177
67,87,142
73,97,207
8,334,594
89,76,501
32,61,126
73,103,342
78,126,155
32,88,95
65,87,182
32,69,134
86,90,243
73,104,157
79,102,158
76,78,265
69,87,248
78,90,152
84,72,167
32,260,111
67,103,279
85,99,116
76,124,177
84,109,213
85,88,225
82,120,129
69,105,137
190,91,216
