VK,HT,FT
16,233,-1
73,112,131
32,143,37
66,64,88
69,145,124
76,155,113
73,160,173
69,75,168
86,128,223
69,126,96
32,143,113
84,83,284
72,94,94
65,110,45
84,156,58
32,161,99
71,102,422
85,23,168
78,84,251
32,163,236
67,121,112
79,134,160
78,107,334
84,95,144
82,77,167
79,76,83
76,127,184
32,62,67
73,71,277
83,66,112
32,97,113
85,156,211
78,96,189
69,288,70
67,91,235
83,114,563
8,311,273
69,128,167
83,106,160
65,165,327
82,157,68
89,104,136
190,111,209
32,0,898
16,146,658
73,64,293
32,100,110
84,193,331
72,91,86
73,119,111
78,102,136
75,77,95
32,1,109
84,72,227
72,99,114
65,82,112
84,123,161
32,110,42
87,45,9
69,143,62
32,64,73
67,192,228
65,153,291
78,229,56
32,88,241
80,173,363
82,122,90
69,109,0
86,128,457
69,92,142
78,152,161
84,96,103
32,110,248
70,73,169
85,47,117
8,3,579
71,54,425
85,17,169
78,103,147
32,95,167
86,76,232
73,72,316
79,114,265
76,72,263
69,87,382
78,112,114
67,79,78
69,107,238
32,85,811
73,21,392
78,101,64
83,146,650
84,111,187
69,90,163
65,143,127
68,55,176
32,62,267
84,86,1040
72,64,64
82,140,70
79,179,139
85,88,111
71,112,90
72,96,106
32,114,125
69,73,216
68,108,225
85,134,108
67,40,98
65,88,91
84,93,250
73,106,104
79,176,96
78,128,105
32,175,265
65,96,161
78,85,103
68,156,90
32,88,104
80,83,1170
79,86,176
76,94,65
73,144,37
67,113,139
89,57,192
32,112,157
69,97,79
78,88,99
70,138,105
79,96,161
82,128,120
69,156,23
67,13,403
77,112,135
69,99,83
78,67,85
84,71,133
190,90,923
13,220,283
16,346,338
65,142,85
32,68,117
76,67,130
79,68,160
84,140,84
32,80,87
79,96,165
70,132,104
32,123,106
68,36,320
69,96,157
65,100,69
84,146,125
72,135,159
83,127,99
32,136,105
70,80,1168
82,112,345
79,131,159
77,89,22
32,105,294
71,95,690
85,104,191
78,149,80
83,156,112
32,79,648
72,2,96
65,98,48
80,322,64
69,61,173
78,175,92
32,130,136
66,75,185
69,152,174
67,119,226
65,111,80
85,63,127
83,127,303
69,179,150
32,105,178
80,86,292
69,143,204
79,72,9
80,118,113
76,96,248
69,111,104
32,124,134
68,104,168
79,104,166
78,86,46
222,158,208
84,80,96
32,99,99
75,140,104
78,212,99
79,142,211
87,96,70
32,112,178
72,101,152
79,78,80
87,96,93
32,97,93
84,89,120
79,72,84
32,80,96
85,118,140
83,5,113
69,180,43
32,80,110
84,104,143
72,108,79
69,134,50
77,104,117
190,106,556
32,100,220
16,225,224
87,160,137
69,142,253
32,96,107
83,70,2
79,78,72
85,69,146
76,88,72
8,191,303
32,87,336
65,78,29
83,77,95
32,120,140
16,176,305
65,151,214
77,72,159
69,107,99
82,135,80
73,41,112
67,97,163
65,62,99
78,283,82
83,145,132
32,87,102
83,32,192
72,123,87
79,75,108
85,54,46
76,138,184
68,103,101
32,81,63
72,1,90
65,131,103
86,96,305
69,102,245
32,99,94
65,120,239
67,151,101
69,85,493
83,232,206
32,140,291
84,93,76
79,96,100
32,101,223
71,124,99
85,200,96
78,103,184
32,166,56
83,80,175
65,48,178
70,96,327
69,181,208
84,122,90
89,110,165
32,112,136
67,141,180
76,89,106
65,156,85
83,143,183
69,88,200
83,34,110
32,81,109
70,97,127
79,139,89
82,53,67
32,80,64
70,80,192
82,105,428
69,218,64
32,128,104
