VK,HT,FT
16,556,-1
71,74,220
85,84,250
78,105,194
32,102,412
67,88,294
79,93,135
84,85,202
78,88,153
82,84,183
79,106,314
76,135,134
32,101,201
73,93,264
83,83,122
8,250,576
78,104,114
84,85,204
82,78,150
79,102,630
76,93,154
32,112,179
73,90,245
83,80,139
32,101,98
72,118,430
69,89,108
76,111,142
80,111,218
70,87,322
85,84,247
76,94,159
32,107,173
84,74,320
79,108,65
32,115,85
84,83,153
72,93,52
69,90,143
32,93,85
83,88,201
69,66,159
65,87,190
70,82,364
84,89,256
89,76,159
32,107,75
65,78,359
78,126,117
68,77,98
32,108,85
87,91,226
69,84,172
76,107,143
189,102,186
66,89,329
69,76,183
73,82,129
78,99,142
71,73,80
32,91,100
79,112,273
70,82,375
32,105,62
79,98,314
85,86,224
84,75,130
8,203,683
82,75,190
32,116,79
67,96,237
73,89,220
84,91,230
73,71,49
90,341,616
69,91,177
78,98,87
83,81,133
32,103,97
65,73,85
78,110,116
68,75,93
32,104,92
79,110,310
85,93,125
84,71,232
32,96,75
78,94,135
65,85,256
8,268,687
91,41,870
86,73,230
8,276,549
82,88,124
32,118,85
78,104,141
65,85,169
84,75,143
73,75,65
79,106,39
78,100,148
37,3,116
8,286,607
39,281,666
69,88,111
188,83,73
32,80,105
65,77,137
83,98,171
32,90,77
71,71,105
85,82,110
78,110,239
83,80,112
32,108,107
72,105,341
65,81,54
86,70,247
69,91,160
32,91,81
84,85,272
72,98,67
69,83,116
32,99,108
65,75,259
66,80,304
73,96,141
76,165,172
73,86,245
84,74,68
89,84,168
32,104,92
84,81,299
79,106,52
32,115,84
72,109,386
85,112,138
82,98,86
84,68,187
32,91,90
65,80,246
78,128,120
68,78,94
32,106,87
83,83,290
69,71,162
82,81,125
73,87,80
79,107,46
85,81,76
83,77,167
76,108,172
89,74,138
32,109,120
72,109,339
65,71,78
82,75,178
77,95,183
32,81,97
79,104,156
82,87,76
32,110,98
75,72,156
73,88,209
76,173,176
32,113,189
73,97,209
78,96,136
68,74,107
73,83,125
86,74,234
73,93,218
68,75,124
85,80,254
65,76,266
76,115,167
83,66,88
190,80,224
32,119,65
16,367,358
87,85,336
72,77,84
69,89,109
78,90,83
32,86,492
72,112,249
85,117,160
78,108,194
8,271,356
71,72,106
85,95,205
78,109,263
83,81,131
32,109,96
65,78,114
82,77,140
69,89,192
32,90,92
80,88,165
76,122,163
65,74,153
67,83,306
69,74,211
68,75,161
32,112,255
73,95,224
78,89,140
84,85,203
79,114,66
32,117,85
84,81,233
72,98,58
69,79,132
32,96,87
72,108,381
65,79,87
78,103,117
68,83,99
83,79,142
32,108,98
79,111,223
70,80,207
32,101,65
73,95,214
68,77,205
78,89,165
73,96,219
68,90,180
73,90,108
65,86,152
76,77,108
83,65,102
32,100,107
87,92,392
72,86,94
79,110,176
32,118,102
87,101,206
73,91,146
83,82,124
72,94,193
32,118,92
84,80,205
79,106,48
32,119,81
72,122,314
65,78,61
82,74,152
77,98,98
32,85,120
79,102,222
84,91,246
