VK,HT,FT
16,205,-1
73,144,171
78,178,163
32,127,292
16,31,445
65,121,6
77,112,211
69,96,107
82,102,235
73,76,123
67,96,183
65,118,91
32,145,71
84,112,203
72,127,83
69,72,122
82,128,171
69,136,83
32,112,340
73,98,189
83,120,130
32,112,122
77,160,178
85,156,147
67,96,146
72,112,119
32,144,84
68,105,253
69,91,198
66,112,166
65,136,91
84,128,75
69,104,131
32,120,107
65,112,155
66,88,280
79,160,203
85,120,267
84,99,215
32,96,100
72,90,300
79,13,123
87,108,171
32,311,427
84,112,171
79,128,113
32,128,82
82,158,199
69,117,97
68,112,219
85,81,211
67,112,139
69,112,83
32,105,161
84,120,192
72,148,123
69,128,94
32,127,91
80,72,146
82,129,235
79,132,318
76,112,115
73,80,211
70,144,313
69,114,94
82,157,353
65,112,116
84,105,137
73,124,100
79,154,88
78,152,83
32,152,291
79,96,203
70,108,83
32,137,100
86,104,179
73,88,99
79,83,98
76,96,211
69,96,165
78,120,203
84,65,186
32,127,156
67,99,304
82,168,331
73,88,231
77,86,160
69,128,127
83,96,206
190,104,249
32,205,184
16,201,359
82,104,195
69,120,83
67,120,243
69,114,197
78,57,191
84,96,119
32,141,138
65,112,155
84,320,208
8,96,420
82,152,139
79,78,107
67,104,165
73,71,155
84,118,65
73,125,84
69,120,108
83,128,204
32,16,376
73,128,142
78,104,163
67,112,375
76,72,394
85,152,171
68,96,211
69,111,179
32,120,139
83,120,112
79,104,140
84,104,315
72,104,91
8,87,423
73,96,99
8,613,467
72,112,83
79,264,162
84,104,155
73,123,76
78,104,154
71,120,91
83,96,139
32,104,282
65,134,275
83,125,178
32,128,155
83,120,123
67,147,241
72,104,91
79,128,103
76,107,254
83,96,168
32,128,155
65,147,86
78,96,167
68,103,89
32,92,99
65,144,107
84,128,435
32,146,123
77,112,211
79,112,39
86,128,230
73,112,111
69,104,179
32,136,139
84,128,199
72,83,21
69,87,113
65,120,83
84,253,131
69,91,227
82,140,409
83,80,187
32,112,158
66,102,155
89,96,115
32,138,156
87,96,163
69,144,131
76,116,149
32,160,126
65,104,116
82,136,171
77,98,291
69,65,123
68,125,219
32,120,151
71,114,272
85,114,95
78,78,260
77,88,163
69,70,59
78,120,179
84,90,139
8,303,379
32,112,139
65,112,315
71,104,24
65,88,84
73,112,168
78,153,107
83,104,123
84,102,314
32,131,154
68,88,165
69,96,219
70,96,163
69,74,192
78,128,163
83,87,163
69,248,147
76,99,179
69,89,115
83,105,179
32,141,166
67,76,187
73,88,123
84,104,139
73,165,91
90,217,962
69,104,139
78,104,171
83,112,107
190,96,357
32,224,263
16,168,561
87,96,83
72,146,167
73,103,98
76,96,166
69,88,123
32,113,117
16,182,168
73,80,87
222,543,681
77,120,171
32,122,135
83,112,123
85,104,182
82,32,123
69,109,116
32,127,152
69,72,7
86,73,291
69,74,13
82,104,313
89,136,131
79,128,107
78,112,810
69,186,203
32,136,139
67,153,351
65,136,107
78,120,132
32,133,256
65,88,191
71,104,246
82,91,163
69,128,29
32,96,123
84,81,163
72,14,56
65,151,99
84,128,75
32,167,115
69,104,200
86,104,295
69,134,75
78,120,171
84,101,82
83,128,155
32,104,126
76,104,399
73,97,171
75,91,60
69,104,122
32,95,155
84,102,369
72,88,75
69,90,107
83,120,178
69,111,177
32,128,126
65,97,143
82,136,115
69,136,324
32,128,144
84,103,123
69,126,110
82,96,402
73,71,83
66,71,275
76,88,134
69,68,99
32,131,65
65,11,306
78,88,132
68,96,87
32,120,222
84,104,147
72,112,59
65,144,91
84,113,106
32,108,208
87,134,414
69,171,220
32,160,163
87,137,163
65,96,187
78,96,107
84,121,134
32,76,138
65,169,115
32,130,130
83,75,187
79,80,99
76,75,211
85,144,217
84,88,137
73,216,91
79,111,9
78,152,94
32,120,184
84,120,243
79,136,70
32,133,149
80,120,300
82,136,283
69,25,184
86,104,291
69,136,67
78,104,139
84,84,128
32,133,150
83,80,244
85,104,123
67,112,156
72,46,107
32,109,76
65,112,107
67,111,227
84,112,327
73,80,91
79,136,75
78,153,115
83,35,155
32,12,99
71,136,73
85,104,11
78,32,260
32,127,379
67,72,251
79,80,68
78,88,115
84,128,227
82,19,211
79,114,107
76,80,221
32,128,93
73,82,128
83,137,107
32,117,87
78,144,286
79,112,137
84,104,161
32,18,339
84,120,141
72,102,86
69,88,36
32,104,112
65,96,272
78,82,87
83,102,133
87,96,119
69,136,179
82,104,112
190,88,1069
32,264,312
16,304,603
76,81,207
65,95,63
87,105,118
83,88,211
32,120,195
65,113,175
78,11,130
68,120,99
32,149,115
82,140,282
69,111,107
71,72,163
85,96,91
76,104,116
65,120,55
84,96,141
73,155,95
79,129,72
78,128,83
83,105,139
32,115,110
65,99,150
82,158,66
69,128,107
32,120,131
70,116,31
79,112,91
76,80,226
79,152,97
87,103,125
69,64,203
68,96,261
32,137,414
66,128,170
89,112,123
32,136,136
84,143,179
72,112,91
69,112,163
32,112,122
76,105,115
65,43,171
87,120,156
70,145,137
85,136,155
76,96,222
32,116,279
65,97,154
78,121,107
68,104,116
32,120,99
85,124,203
80,120,281
83,64,115
84,115,171
65,120,171
78,95,123
68,112,99
73,112,135
78,152,156
71,56,99
32,104,119
67,140,369
73,96,163
84,120,416
73,145,67
90,249,156
69,112,91
78,80,157
83,142,107
32,129,108
79,104,171
70,96,137
32,117,104
65,80,88
32,136,92
78,152,163
65,128,106
84,128,111
73,72,99
79,128,85
78,145,91
190,88,400
32,224,313
16,320,439
73,126,195
84,112,151
32,88,122
73,112,178
83,112,107
32,120,107
