VK,HT,FT
16,346,-1
71,102,192
85,104,80
78,95,168
32,128,88
67,174,128
79,134,56
78,52,152
84,101,40
82,120,191
79,8,104
76,152,51
32,106,233
8,424,262
16,216,332
70,264,151
69,80,206
68,104,276
69,128,216
82,151,104
65,135,296
76,114,152
32,143,246
65,152,214
78,104,96
68,136,120
32,143,112
83,136,90
84,132,130
65,140,184
84,131,96
69,120,201
32,128,112
76,140,152
65,144,144
87,103,105
83,135,144
32,119,104
82,136,200
69,151,93
71,128,287
85,104,64
76,128,180
65,128,200
84,168,49
73,96,104
78,112,191
71,103,59
32,120,91
84,97,143
72,80,80
69,136,57
32,112,28
83,135,201
65,144,120
76,109,120
69,104,137
32,19,112
65,144,120
78,65,131
68,143,105
191,940,966
79,111,143
82,78,160
32,104,144
80,119,433
79,136,200
83,129,136
69,141,90
83,152,296
73,152,203
79,104,179
78,89,128
32,82,91
8,424,441
83,165,135
73,111,86
79,103,104
78,90,160
32,112,88
79,103,152
70,152,13
32,21,97
71,120,392
85,104,60
78,72,161
83,112,96
32,98,88
73,96,168
83,62,204
32,104,115
85,136,199
78,119,184
69,126,122
67,144,132
8,1135,294
69,88,96
83,155,309
65,152,184
82,120,56
89,132,132
32,104,104
65,160,129
78,88,96
68,137,111
32,71,74
73,67,249
83,112,128
32,103,112
79,109,181
70,139,19
84,122,138
8,86,248
32,126,144
79,111,152
70,147,39
84,119,143
69,144,40
78,123,96
32,117,131
72,96,104
65,128,840
83,161,72
32,112,142
73,96,152
8,127,358
73,128,1349
8,1117,476
32,111,130
65,144,136
78,92,112
68,150,138
32,95,112
73,119,152
83,96,108
32,87,128
70,181,445
82,109,157
69,152,100
81,901,136
85,112,126
69,144,183
78,96,128
8,106,400
32,123,120
8,116,312
73,158,184
78,119,192
69,145,208
70,139,127
69,128,192
67,128,191
84,107,113
73,118,80
86,80,230
69,136,54
190,109,152
32,144,128
16,233,34
68,135,40
85,82,80
82,120,200
73,144,176
78,83,234
71,4,120
32,112,148
84,104,139
72,103,104
69,113,120
32,141,96
82,155,152
69,144,91
67,110,352
69,135,96
78,124,114
84,103,121
32,144,138
8,120,262
32,111,111
16,103,120
83,136,222
73,104,104
78,96,191
67,173,240
69,88,156
32,120,127
8,138,344
32,127,96
16,280,144
65,144,579
76,264,42
84,103,103
72,96,128
79,255,35
85,120,96
71,144,142
72,113,88
32,144,80
8,424,300
32,119,143
16,180,800
73,80,623
84,151,248
32,81,160
73,117,152
83,122,128
32,93,125
67,168,865
69,118,169
82,127,56
84,136,113
65,140,159
73,80,201
78,122,216
76,151,104
89,137,152
32,1500,113
85,112,112
78,119,192
68,116,133
69,136,206
78,96,130
73,151,102
65,134,192
66,74,119
76,90,144
69,116,4
32,117,112
84,108,160
72,111,96
65,104,120
84,126,104
32,112,152
80,132,284
69,168,68
79,109,108
80,104,175
76,125,168
69,128,118
32,128,112
65,104,298
82,120,56
69,152,278
32,120,46
75,112,120
73,129,176
76,98,304
69,128,129
68,135,368
32,104,96
87,128,169
73,136,121
84,119,110
72,105,88
32,120,120
8,128,447
77,168,227
65,152,200
78,112,135
89,138,64
32,118,104
80,104,437
69,134,96
79,103,128
80,95,176
76,112,42
69,7,3
32,119,127
65,157,294
82,182,64
69,136,72
32,106,128
75,103,156
73,104,135
76,271,200
69,112,96
68,136,187
32,168,112
87,104,168
73,96,100
84,104,172
72,96,143
32,113,112
8,466,424
32,120,129
16,1306,108
65,117,250
76,121,104
84,95,128
72,88,88
79,105,159
85,120,112
71,141,320
72,104,88
32,96,249
82,144,200
79,119,143
85,120,91
71,182,176
72,136,88
76,104,201
89,137,241
32,1500,112
16,206,822
192,247,99
49,329,727
50,731,496
188,151,168
48,821,79
32,144,231
72,88,67
79,254,91
77,152,152
73,112,112
67,128,240
73,96,120
68,154,129
69,86,206
83,135,216
32,120,128
65,120,141
82,120,56
69,181,93
32,120,120
67,163,163
79,152,52
77,165,221
73,112,48
84,136,280
69,125,213
68,103,261
32,109,120
69,120,576
86,104,423
8,264,582
84,128,168
69,96,183
68,138,240
32,112,152
69,120,705
86,110,192
69,89,200
82,152,88
89,126,88
32,104,89
89,128,80
69,119,232
65,144,219
82,212,202
32,104,121
87,65,168
73,168,136
84,114,280
72,97,80
32,96,112
65,144,152
32,98,136
71,120,191
85,102,80
78,11,96
8,800,447
32,119,120
71,112,188
85,104,80
78,72,168
83,127,91
188,168,179
32,96,111
84,104,136
72,111,79
65,74,152
84,168,113
32,120,160
78,160,192
85,128,542
77,179,177
66,142,150
69,134,48
82,90,56
32,96,144
72,88,157
65,135,614
83,8,72
32,113,228
66,52,214
69,121,231
78,83,92
32,119,102
68,117,129
8,128,478
83,136,192
84,109,93
69,96,57
65,117,0
68,103,9
73,40,37
76,255,267
89,137,141
32,136,113
68,151,176
69,144,2
67,156,190
76,152,208
73,129,21
78,83,200
73,118,184
78,96,191
71,118,150
190,122,403
32,136,152
16,208,841
84,112,168
72,88,141
73,88,104
83,141,164
32,89,146
68,152,382
69,95,191
67,1,257
76,136,193
73,128,144
78,123,191
69,152,191
32,96,187
73,113,1103
83,144,128
32,118,22
73,104,136
78,88,172
32,112,72
83,108,370
80,128,619
73,128,96
84,119,206
69,120,115
32,112,127
79,78,192
70,151,111
32,120,97
84,127,142
72,64,120
69,115,103
32,112,37
71,120,176
82,120,118
79,128,89
87,111,99
73,120,321
78,114,192
71,127,121
32,112,72
78,88,164
85,128,134
77,168,176
66,136,216
69,126,237
82,133,75
32,104,235
79,104,233
70,152,103
32,44,111
71,147,212
85,99,79
78,110,167
32,116,72
79,103,230
87,151,145
78,128,92
69,112,136
82,160,88
83,128,113
32,104,103
65,136,127
78,96,128
68,143,181
32,141,100
84,101,96
72,96,88
69,145,104
32,112,102
84,112,136
79,136,192
84,128,208
65,127,198
76,105,208
32,120,227
78,96,192
85,51,80
77,180,204
66,57,262
69,67,244
82,125,48
32,112,130
79,112,112
70,152,160
32,118,97
71,120,215
85,104,72
78,31,160
83,127,325
32,120,88
73,98,174
78,87,176
32,105,89
80,138,192
82,96,176
73,120,167
86,104,392
65,152,152
84,112,80
69,99,675
32,112,104
72,153,104
65,127,299
78,53,112
68,143,112
83,144,192
190,95,152
32,104,120
16,205,830
70,120,160
85,131,71
82,176,614
84,129,120
72,88,86
69,136,103
82,114,104
77,104,178
79,137,117
82,166,55
69,136,74
188,145,240
32,96,135
79,112,138
66,127,95
83,119,240
69,118,210
82,192,64
86,104,193
66,135,102
73,104,96
78,112,167
8,860,6
73,111,112
78,96,225
71,136,120
32,120,144
84,112,95
72,64,80
69,127,124
8,124,344
84,120,169
72,56,88
69,160,105
32,112,135
84,120,160
82,118,191
69,160,95
78,103,107
68,141,160
32,142,119
8,319,312
16,394,152
70,104,157
85,104,39
82,152,132
84,136,152
72,104,124
69,127,96
82,159,77
77,119,165
79,137,131
82,127,109
69,146,93
188,154,224
32,115,96
84,96,136
72,96,106
69,119,110
32,120,104
70,158,448
69,96,272
87,148,103
32,117,128
71,128,198
79,112,192
86,148,9
69,121,214
82,151,82
78,96,192
77,134,255
69,128,88
78,104,106
84,104,125
32,112,135
83,114,162
84,111,131
85,88,133
68,103,192
73,88,100
69,136,136
83,131,167
32,95,24
79,112,183
78,88,153
32,112,31
84,132,120
72,96,112
69,125,112
32,128,120
65,120,243
83,203,0
85,75,137
65,176,296
8,264,453
65,159,214
85,112,578
76,132,193
84,168,207
32,120,85
87,128,49
69,41,142
65,120,167
80,112,263
79,91,7
78,88,208
83,120,95
32,143,88
66,120,16
65,135,192
78,80,96
32,144,97
79,140,183
70,152,130
32,115,111
49,941,43
57,45,337
52,311,933
32,112,272
80,136,240
82,34,191
79,112,136
8,516,520
68,136,83
73,127,385
68,112,146
32,112,84
78,80,224
79,126,175
84,128,145
32,120,112
89,152,316
73,141,42
69,128,728
76,128,112
68,152,129
32,78,119
65,135,136
78,104,123
89,128,143
32,112,104
84,96,186
65,152,157
78,104,96
71,149,121
69,171,216
73,111,416
8,415,311
73,144,81
66,135,353
76,88,105
69,140,144
32,136,165
82,114,56
69,217,90
83,152,176
85,136,236
76,128,27
84,132,184
83,152,72
32,104,120
84,110,143
72,96,88
65,152,144
84,117,109
32,88,120
84,104,155
72,64,72
69,126,97
32,112,159
66,126,355
65,168,415
78,111,112
32,93,106
87,128,200
65,135,184
83,204,72
32,104,232
69,120,49
70,127,400
69,120,822
67,128,352
84,144,140
73,133,79
86,112,534
69,136,208
190,41,121
32,96,87
16,280,187
73,103,152
78,112,167
32,111,108
65,160,206
68,128,49
73,112,104
84,134,280
73,96,80
79,116,40
78,104,152
8,812,797
37,10,366
38,569,187
37,709,943
39,433,772
37,778,682
39,596,582
37,865,178
39,340,857
16,758,766
87,134,200
72,63,80
65,130,256
84,96,113
32,126,120
77,105,515
65,127,184
75,117,149
69,125,128
83,128,325
32,96,116
84,120,136
72,96,104
73,104,167
83,128,240
32,96,128
68,111,168
69,83,237
67,160,191
76,103,108
73,144,121
78,87,140
69,136,119
32,112,120
69,136,156
86,127,228
69,95,200
78,104,92
32,118,88
77,125,160
79,121,120
82,83,78
69,180,64
32,104,122
83,136,154
8,80,520
16,237,104
65,132,247
78,96,56
32,144,124
65,144,265
68,143,373
73,112,103
84,111,131
73,184,78
79,112,218
78,104,158
65,152,214
76,264,128
32,144,272
67,159,128
79,102,31
77,152,209
80,104,240
79,96,200
78,104,207
69,128,64
78,104,128
84,116,160
32,112,5
79,112,128
70,152,111
32,120,111
84,129,95
72,123,104
73,96,307
83,143,129
8,580,151
70,137,136
65,160,191
67,128,240
84,165,137
79,304,71
82,207,98
32,98,180
73,96,154
78,108,210
32,96,62
84,96,114
72,91,80
73,98,56
83,136,128
32,96,65
68,24,192
69,81,176
67,120,195
76,120,174
73,129,119
78,126,164
69,112,156
32,112,104
73,83,173
83,135,121
32,104,111
84,112,148
72,96,112
69,125,104
32,78,22
73,84,140
78,80,188
67,144,206
82,120,56
69,232,120
65,120,234
83,165,79
69,142,178
32,128,104
73,96,135
78,110,200
32,128,96
83,141,80
84,104,144
65,144,165
84,159,72
69,112,728
83,128,191
32,104,128
65,144,112
76,94,201
79,176,168
87,128,169
73,112,213
78,127,163
71,134,87
32,112,85
84,128,145
72,96,65
69,156,41
32,112,121
67,158,417
79,102,56
78,92,262
67,136,546
69,118,728
65,147,249
76,151,136
69,135,144
68,119,382
32,112,104
79,104,168
82,135,160
32,96,112
79,104,172
80,104,168
69,143,96
78,80,126
32,112,89
67,142,180
65,160,160
82,122,72
89,137,143
32,116,112
79,112,156
70,152,136
32,106,20
70,147,246
73,120,52
82,156,75
69,151,96
65,22,206
82,145,56
77,157,180
83,128,128
190,108,107
32,128,112
16,480,144
65,160,152
83,104,96
32,82,144
8,316,510
32,119,95
16,533,148
84,104,104
72,96,79
73,95,120
83,126,136
32,93,128
73,117,82
83,114,136
8,135,854
72,107,160
73,105,201
83,125,261
32,104,119
73,104,788
83,135,90
32,104,65
68,152,546
73,112,416
82,120,187
69,125,64
67,152,341
84,88,128
76,89,104
89,148,84
32,1500,112
67,168,552
79,102,70
85,120,96
78,443,164
84,48,130
69,125,728
82,125,78
32,120,133
84,112,186
79,134,40
32,111,96
84,129,96
72,64,112
69,136,136
32,112,144
70,184,442
65,128,144
76,104,25
65,152,358
67,166,341
89,128,88
32,112,88
84,112,136
72,104,79
65,132,183
84,96,232
32,95,83
77,121,203
79,129,109
82,173,91
69,153,81
32,104,121
71,128,197
85,96,60
78,113,170
83,112,96
32,52,104
79,112,128
78,95,170
32,112,72
84,120,150
72,104,88
69,160,120
32,128,159
83,26,176
84,111,174
82,117,200
69,144,90
84,104,40
83,136,128
32,112,144
69,118,89
81,336,378
85,112,112
65,110,96
76,127,237
83,112,136
32,104,158
77,157,152
79,137,98
82,177,91
69,65,84
32,120,172
71,120,222
85,112,126
78,118,192
32,128,69
68,141,168
69,102,232
65,144,167
84,128,72
72,111,120
83,128,192
32,96,120
8,800,487
32,120,112
8,346,432
32,126,136
16,251,144
57,264,266
79,136,546
82,135,608
32,96,117
65,160,128
83,153,78
32,88,148
84,107,154
72,96,88
69,136,104
32,112,120
65,145,110
78,95,96
8,1117,278
80,105,240
82,152,112
79,129,137
173,753,668
71,119,120
85,96,8
78,72,161
173,733,785
67,150,229
79,152,80
78,144,71
84,96,136
82,95,152
79,111,44
76,104,232
32,144,255
67,144,190
82,105,160
79,112,104
87,128,136
68,162,334
32,104,55
83,144,136
65,152,123
89,148,320
83,128,143
32,104,110
16,192,892
8,645,280
188,136,120
32,128,96
16,215,396
222,290,286
16,225,138
73,111,128
84,135,171
32,81,111
87,129,182
73,112,314
76,151,202
32,144,135
66,135,254
69,119,236
32,112,158
76,133,226
73,129,111
75,6,208
69,111,5
32,39,128
84,125,160
72,96,72
69,136,111
32,39,127
16,206,105
87,168,140
73,128,0
76,113,200
68,96,129
32,37,119
16,1257,1304
87,152,136
69,128,200
83,120,301
84,109,283
16,216,352
222,941,677
16,371,352
48,160,250
190,142,145
32,128,102
13,17,767
40,10,26
39,27,766
38,74,719
39,448,264
37,894,373
38,275,734
40,100,66
39,96,517
37,832,770
39,688,622
32,120,128
16,172,104
73,80,108
78,120,205
32,128,89
67,128,190
79,152,80
78,47,216
83,146,95
73,104,96
68,142,120
69,50,208
82,189,52
73,105,79
78,84,159
71,127,121
32,119,87
84,121,403
72,64,60
69,166,123
32,120,120
78,80,216
85,120,112
77,103,220
66,144,214
69,95,232
82,136,74
32,112,128
79,112,265
70,152,103
32,118,52
72,104,72
79,176,112
77,168,209
73,157,949
67,149,549
73,103,336
68,23,168
69,109,198
83,106,365
32,104,208
8,625,391
32,126,128
8,257,577
188,145,186
32,135,96
89,112,27
79,144,40
85,59,80
78,79,168
71,137,240
32,123,87
85,120,247
82,144,200
8,1117,265
188,152,1096
32,28,120
85,136,160
82,135,86
66,71,157
65,160,136
78,96,168
32,127,96
77,157,154
73,104,86
78,116,205
79,88,143
82,136,140
73,120,128
84,47,171
73,246,125
69,136,170
83,99,205
32,120,103
65,144,184
82,17,72
69,128,88
32,119,120
68,44,502
73,112,104
83,127,128
80,128,144
79,88,204
82,124,136
80,96,144
79,78,212
82,176,139
73,96,372
8,598,405
84,104,232
73,218,52
65,128,128
78,96,61
76,104,152
8,104,249
84,48,138
69,144,138
76,88,37
89,137,143
32,88,97
86,104,232
73,112,96
67,116,129
84,104,184
73,136,80
77,152,190
83,128,88
32,123,128
65,148,851
78,107,96
68,156,3
32,81,124
80,136,72
69,125,136
82,120,55
80,88,160
69,176,96
84,137,575
82,120,200
65,128,136
84,128,204
79,130,82
82,135,12
83,135,154
190,95,119
32,117,145
16,190,176
73,55,96
78,96,160
83,128,43
84,14,213
69,118,728
65,79,189
68,160,244
32,109,143
79,112,184
70,137,127
32,121,97
70,149,206
79,128,116
67,128,257
85,112,114
83,128,136
73,104,152
78,80,176
71,103,72
32,120,79
69,120,272
70,104,152
79,96,232
82,120,142
84,96,136
83,136,295
32,112,73
84,121,125
79,132,67
32,137,100
77,152,192
65,160,136
75,88,211
69,128,110
32,91,104
79,112,137
8,120,520
32,32,119
79,104,168
66,144,214
84,120,80
65,130,144
73,105,136
78,88,195
