VK,HT,FT
16,936,-1
87,816,656
72,95,95
73,85,3
76,101,111
69,91,65
32,126,81
71,99,259
85,67,158
78,71,150
32,97,94
84,91,289
8,101,489
67,66,154
79,106,99
78,97,124
84,98,69
82,94,156
79,52,152
76,71,174
32,108,104
73,91,165
83,21,109
32,208,76
65,102,118
32,116,73
86,418,830
69,222,183
82,68,71
89,93,197
32,90,59
8,968,472
32,121,63
86,446,958
69,117,108
82,105,239
89,52,249
32,217,354
85,93,242
78,306,182
69,128,196
8,100,690
68,66,273
69,101,162
82,48,71
83,96,177
84,82,220
65,97,71
68,95,103
65,119,470
8,841,720
78,88,141
68,92,320
65,109,204
66,965,546
76,79,174
69,110,221
32,93,62
84,86,157
65,80,74
67,81,80
84,38,188
73,16,0
67,76,154
188,530,920
32,106,104
8,58,319
32,87,60
84,87,419
79,85,238
32,112,102
76,79,193
79,125,134
87,751,555
69,117,179
82,111,97
32,95,340
8,86,38
68,78,320
69,115,118
67,89,139
82,4,112
69,116,59
65,103,74
83,93,101
69,63,46
32,115,22
86,809,340
73,85,153
79,80,98
76,66,267
69,111,175
78,74,123
67,80,113
69,98,120
32,93,68
73,86,137
78,88,157
32,108,117
79,85,683
85,113,143
82,93,95
32,101,45
78,106,249
65,97,149
84,108,182
73,66,146
79,98,120
78,71,158
188,191,153
32,106,70
73,79,80
84,91,88
32,122,78
72,90,15
79,80,187
76,101,153
68,100,215
83,108,154
32,108,126
77,598,611
65,116,203
78,104,53
89,91,197
32,118,107
65,130,53
68,99,438
86,317,719
69,171,153
82,96,43
83,147,45
69,111,141
32,99,78
82,74,189
73,62,19
83,98,196
75,88,162
69,135,114
8,215,433
83,101,118
190,402,403
32,97,260
16,853,434
76,3,204
73,85,537
75,266,595
69,85,299
32,121,55
68,68,88
82,73,93
85,110,461
71,100,34
83,101,90
188,909,772
32,107,49
79,92,651
78,105,150
67,92,122
69,97,59
32,73,81
79,2,144
85,91,294
84,19,229
76,86,25
65,141,118
87,475,1
68,109,418
8,458,292
69,111,130
68,66,128
32,136,309
84,84,227
72,111,106
69,100,119
32,100,68
68,117,292
82,92,197
85,84,151
71,99,213
32,189,60
65,122,10
66,978,192
85,98,110
83,86,75
69,99,108
32,121,43
82,40,189
65,111,84
84,96,187
69,101,178
32,92,73
83,220,110
75,103,428
89,15,197
32,121,129
82,74,129
79,104,120
67,51,201
75,841,310
69,130,183
84,87,198
69,111,173
68,66,117
32,116,84
84,100,429
79,100,139
32,115,129
65,126,398
76,91,127
77,814,149
79,114,160
83,108,110
84,87,151
32,101,108
65,101,122
8,40,299
72,89,81
65,102,549
76,99,182
70,198,289
32,107,91
84,91,477
72,87,99
69,14,67
32,100,69
67,101,201
79,85,88
85,87,147
78,83,140
84,90,229
82,106,71
89,104,35
32,107,948
85,45,143
83,114,110
69,117,118
83,92,187
32,104,94
68,84,313
82,92,139
85,80,0
71,102,361
83,88,262
32,115,41
79,106,31
70,170,66
32,124,828
83,151,194
79,92,154
77,721,625
69,110,104
32,93,1
83,220,174
79,89,120
82,94,169
84,96,188
190,220,366
32,131,67
16,237,609
79,40,119
85,78,242
82,80,202
32,95,107
83,101,76
79,82,72
67,99,154
73,85,318
69,110,109
84,69,203
89,81,245
32,101,91
84,98,157
69,111,317
78,87,173
68,97,320
83,101,110
32,130,71
84,87,458
79,95,72
32,100,69
71,91,362
79,80,145
32,147,260
70,40,802
65,122,155
70,645,54
8,562,429
65,97,203
70,406,424
84,31,198
69,114,108
82,104,169
32,216,76
84,87,234
72,88,66
69,60,97
32,96,91
84,113,237
72,114,45
73,30,67
78,73,121
71,104,103
83,117,196
32,107,78
8,73,386
87,183,194
72,36,66
65,91,80
84,88,188
32,114,71
87,140,506
69,8,441
32,107,68
68,99,241
69,85,58
77,208,863
32,109,109
84,112,160
79,151,85
32,93,105
66,120,292
69,97,154
32,100,43
73,56,178
76,5,175
69,91,121
71,113,259
65,86,155
76,79,177
32,81,84
79,119,31
82,66,232
32,121,94
66,239,538
65,118,149
68,97,129
190,790,138
32,116,79
16,765,166
84,91,188
73,66,220
83,84,82
8,215,362
72,90,96
73,102,131
83,96,114
32,122,260
73,85,237
83,100,182
32,72,78
86,885,91
8,72,273
69,102,176
86,201,22
78,83,370
32,33,93
77,495,224
8,60,141
69,111,49
78,72,149
32,82,117
77,338,747
79,102,99
82,107,73
69,222,130
32,125,68
84,87,163
82,78,169
85,78,255
69,44,466
76,74,121
32,136,67
8,1078,447
32,76,40
8,1500,414
69,115,191
32,93,89
73,103,122
78,107,260
32,90,97
89,86,215
79,92,67
85,84,125
78,26,199
71,96,157
32,122,60
80,936,712
69,101,69
79,85,524
80,121,576
76,86,180
69,97,130
32,20,90
66,710,70
69,117,153
84,79,419
87,317,980
69,113,178
78,82,191
84,86,198
