VK,HT,FT
16,211,-1
84,74,140
72,105,168
69,68,143
32,74,71
82,67,343
73,68,101
71,81,80
72,80,91
84,60,89
32,80,83
84,86,97
79,51,95
32,85,123
66,77,150
69,63,87
65,88,147
82,84,180
32,108,166
65,65,530
82,70,608
77,114,109
83,67,122
32,85,97
73,125,153
83,59,132
32,57,69
79,120,128
78,104,75
69,71,116
32,79,99
79,75,156
70,73,110
32,63,76
84,72,95
72,66,75
69,70,73
32,104,83
16,283,237
65,79,211
77,69,154
69,68,110
82,71,142
73,108,112
67,69,132
65,71,150
78,66,74
32,79,136
80,175,205
69,87,176
79,107,50
80,64,64
76,110,100
69,80,111
83,109,201
32,71,302
82,68,333
73,116,97
71,66,124
72,59,82
84,66,71
83,66,172
190,76,87
32,75,163
16,218,189
77,123,140
65,68,369
78,107,128
89,65,110
32,72,150
80,104,228
69,109,158
79,70,69
80,67,41
76,76,138
69,73,83
32,80,75
73,74,144
78,30,77
32,68,111
84,71,92
72,108,102
73,69,109
83,67,71
32,72,97
67,104,185
79,103,114
85,65,105
78,104,144
84,71,214
82,69,163
89,103,165
32,70,285
65,68,212
82,67,218
69,71,147
8,311,329
82,69,1088
69,73,155
83,69,208
80,106,479
79,139,559
78,68,105
83,76,620
73,68,77
66,73,229
76,114,124
89,113,137
32,74,276
66,74,431
85,118,90
89,62,176
32,103,165
65,73,121
78,66,77
68,72,96
32,65,76
85,72,176
83,69,146
69,70,144
32,175,452
71,67,576
85,106,81
78,109,69
83,67,111
32,106,82
82,67,132
69,67,151
71,108,146
85,70,116
76,68,230
65,70,141
82,70,482
76,71,431
89,70,94
32,69,109
8,298,316
190,70,418
8,106,298
89,105,297
190,69,114
32,69,155
8,173,1425
186,107,246
32,116,214
16,212,393
73,118,134
32,114,211
69,89,136
86,44,106
69,66,58
78,68,102
32,72,165
87,81,721
65,78,159
78,75,119
84,117,135
32,79,373
77,71,168
89,111,103
32,73,71
79,107,198
87,71,220
78,70,152
32,106,149
76,104,236
73,70,180
83,69,161
8,69,306
67,72,121
69,70,282
78,105,281
83,67,383
69,69,161
32,70,121
84,67,424
79,73,84
32,102,163
67,74,167
65,71,163
82,210,203
89,70,323
32,104,266
65,105,173
32,104,415
