VK,HT,FT
16,298,-1
73,82,133
32,76,159
65,147,1007
66,106,176
83,151,252
79,122,118
76,129,209
85,98,148
84,269,603
76,130,206
69,72,46
89,81,927
32,93,192
68,92,198
79,121,143
32,74,202
78,106,196
79,111,63
84,113,301
32,73,137
66,78,559
69,108,243
76,112,51
73,92,426
69,114,185
86,178,252
69,115,187
32,83,142
87,157,214
69,156,9
32,90,297
78,121,267
69,116,692
68,154,641
32,122,172
77,142,719
79,159,198
82,107,150
69,160,125
32,96,244
71,123,348
85,108,198
78,96,221
32,79,16
67,145,396
79,131,171
78,114,545
84,107,278
79,125,190
76,98,253
190,444,1082
32,82,315
16,185,496
80,113,413
69,121,291
79,188,192
80,73,125
76,160,154
69,108,82
32,100,442
73,99,268
78,136,239
32,30,173
84,126,710
72,125,140
69,99,223
73,98,722
8,112,340
82,130,247
72,93,65
73,116,135
83,139,160
32,105,190
67,145,94
79,131,447
85,71,96
78,168,193
84,70,387
82,114,288
89,114,284
32,121,196
72,122,108
65,180,75
86,92,387
69,154,118
32,97,105
84,122,423
72,82,83
69,106,56
32,93,115
82,166,216
73,61,55
71,89,150
72,35,164
84,78,248
32,40,606
84,98,311
79,111,134
32,128,118
80,106,1080
82,106,310
79,125,136
84,76,143
69,67,123
67,154,316
84,127,90
32,165,166
84,84,580
72,112,101
69,111,187
77,76,253
83,290,217
69,154,265
76,106,166
86,177,254
69,192,179
83,98,363
32,100,42
8,1069,482
190,73,984
32,101,306
16,296,284
73,98,10
70,130,218
32,95,735
71,139,340
85,102,142
78,119,105
83,114,443
32,73,190
65,127,149
82,126,194
69,170,375
32,48,181
79,136,817
85,115,250
84,98,306
76,170,391
65,178,175
87,113,29
69,162,150
68,106,129
188,107,92
32,83,234
84,119,188
72,129,62
65,36,311
84,74,191
32,129,140
73,91,249
83,153,85
32,110,149
78,100,237
79,164,157
84,86,230
32,114,142
71,139,385
79,130,167
73,106,167
78,121,184
71,106,140
32,122,104
84,122,451
79,123,33
32,131,5
71,122,533
69,106,310
84,83,594
32,97,139
84,108,228
72,105,113
69,97,146
32,96,116
71,129,425
85,112,286
83,157,61
32,105,189
83,124,472
8,78,430
65,161,94
87,228,230
65,121,121
89,66,358
70,296,292
82,96,277
79,90,199
77,122,356
32,114,654
84,121,663
72,107,101
79,211,114
83,146,95
69,106,223
32,122,215
87,169,155
72,106,93
79,194,241
32,106,177
84,108,211
82,127,290
85,129,273
76,181,233
89,117,198
32,58,172
77,122,171
69,123,78
65,114,229
78,134,1044
32,45,179
84,94,451
79,131,134
32,114,122
72,111,890
65,181,167
82,146,176
77,87,270
32,80,214
16,200,277
73,121,2
84,97,140
32,138,133
87,188,629
73,120,136
76,113,190
32,81,320
76,122,215
69,115,222
65,175,396
86,177,378
69,217,115
32,136,226
76,129,314
65,198,132
87,217,223
32,114,168
65,138,321
66,112,109
73,98,85
68,89,48
73,108,595
78,129,186
71,114,238
32,89,134
67,146,267
73,202,500
84,113,207
73,99,94
90,604,987
65,130,166
78,105,261
83,102,49
32,117,194
8,26,549
32,146,134
68,130,1285
69,121,218
70,98,132
69,142,184
78,186,355
83,96,218
69,89,183
76,137,142
69,106,223
83,128,294
190,34,549
32,112,358
16,562,192
74,107,614
85,120,198
84,103,207
8,98,418
83,222,218
84,106,206
32,117,56
66,106,224
69,122,126
67,138,266
85,146,215
65,146,346
83,100,277
69,321,226
32,110,230
89,120,266
79,233,198
85,156,45
32,113,151
77,130,292
65,122,166
75,66,1135
69,171,160
32,122,222
83,150,326
79,90,137
77,122,374
69,152,128
84,90,295
72,102,117
73,97,245
78,145,165
71,105,231
32,105,89
73,99,200
76,255,265
69,131,196
71,117,596
76,106,231
69,120,95
8,1127,398
65,130,159
71,72,584
76,268,214
69,120,337
32,131,247
8,1471,764
69,146,126
76,274,320
69,123,164
32,88,208
8,99,760
71,98,205
76,129,232
69,121,70
32,1106,293
68,157,321
79,138,95
69,110,0
83,274,283
78,99,199
222,698,418
84,106,248
32,113,134
77,91,352
69,251,151
65,97,287
78,135,256
32,113,75
73,104,105
84,62,207
32,122,135
87,202,817
73,109,139
76,273,279
32,67,256
74,134,190
85,109,92
83,147,136
84,114,230
32,106,86
71,120,1079
79,138,116
32,122,330
65,123,479
87,116,209
65,51,369
89,125,49
188,90,873
32,48,375
73,107,240
84,97,215
32,113,417
77,103,487
69,128,110
65,132,244
78,130,99
83,131,451
32,90,262
89,111,166
79,54,64
85,174,70
32,107,151
67,130,893
82,121,270
69,138,88
65,130,271
84,116,311
69,115,221
68,146,56
77,108,238
79,126,198
82,106,128
69,183,315
8,129,433
32,138,153
77,144,328
79,140,160
82,130,746
69,185,252
32,106,38
67,130,162
82,146,172
73,102,59
77,79,338
73,123,117
78,122,254
