VK,HT,FT
32,105,-1
16,200,113
84,95,208
72,83,83
69,92,86
82,112,6
69,190,260
32,130,214
83,132,158
72,86,72
79,130,185
85,88,102
76,150,26
68,80,566
32,96,197
66,63,136
8,116,399
16,208,104
87,88,260
69,98,101
32,127,143
76,143,241
73,161,131
86,42,129
69,100,179
32,112,138
73,56,139
78,70,155
32,78,181
65,134,115
32,137,157
84,87,135
73,154,165
77,149,251
69,144,110
32,94,111
87,99,95
72,46,143
69,113,86
78,87,193
8,82,467
82,157,110
69,101,333
8,81,145
78,170,161
32,0,206
86,160,339
73,146,161
79,167,216
76,87,207
65,82,133
8,98,518
69,138,60
78,60,193
67,88,129
69,137,225
32,131,152
72,156,155
65,261,67
83,129,40
32,147,95
82,118,162
85,84,201
78,102,207
32,124,168
82,107,119
65,109,92
77,119,456
80,161,162
65,122,170
78,137,212
84,88,100
190,95,160
32,119,366
16,12,184
84,137,119
72,80,129
69,68,137
32,135,97
77,38,12
69,104,231
68,144,210
73,80,136
65,121,67
188,97,143
65,184,105
32,130,217
80,98,152
69,139,311
82,121,126
83,136,145
79,92,127
78,111,175
83,122,100
8,102,362
222,522,604
83,112,282
32,128,145
79,157,175
85,103,228
84,103,499
76,141,155
79,166,234
75,111,203
32,179,129
65,149,166
84,103,168
8,78,377
65,222,133
32,111,151
71,117,99
69,100,99
78,131,170
69,130,98
82,180,119
65,100,119
76,152,214
32,85,177
83,14,837
69,105,61
78,62,226
83,132,17
69,137,84
32,138,234
79,116,97
70,114,126
32,117,142
87,67,159
82,120,62
73,76,72
84,136,192
8,109,429
82,156,219
73,228,30
71,88,121
72,87,118
32,119,166
8,370,350
84,84,93
32,103,182
65,115,203
78,86,358
68,139,136
32,162,112
87,173,93
82,139,156
79,138,121
78,115,100
71,170,279
32,104,162
65,92,126
78,96,127
68,77,241
32,104,5
65,166,14
32,120,168
83,119,161
69,109,71
78,145,180
83,133,46
69,142,92
32,119,170
73,34,240
78,102,212
32,100,169
80,126,131
79,154,101
80,103,152
85,127,78
65,123,135
8,370,399
76,82,251
82,164,321
8,64,112
65,107,6
82,150,134
32,138,115
67,96,121
85,191,120
76,136,180
84,119,85
85,133,186
82,97,152
69,133,457
32,86,46
84,108,103
72,105,9
65,114,61
84,182,73
32,114,137
87,169,102
72,145,82
65,73,46
84,109,131
32,135,8
73,131,127
83,113,116
32,157,130
77,117,126
73,112,206
78,108,185
8,1376,392
72,107,105
65,149,64
84,114,97
32,99,60
73,50,230
83,102,134
32,109,105
77,134,116
73,96,123
78,89,177
69,118,166
32,86,149
73,88,134
83,165,134
32,120,103
77,64,65
73,44,186
78,112,170
32,88,169
65,69,111
78,70,140
68,89,105
32,81,283
8,1132,67
69,100,89
32,144,78
65,114,102
78,94,142
68,121,166
32,99,103
87,124,95
72,81,141
65,129,63
84,135,216
32,133,148
73,86,106
83,98,12
32,105,128
89,71,160
79,197,101
85,152,177
82,119,110
83,136,167
32,119,133
73,87,264
83,112,122
32,117,129
77,89,172
73,69,185
78,93,154
69,130,85
190,128,145
8,102,729
32,92,226
67,123,136
82,83,598
69,164,156
65,159,184
84,120,84
69,98,190
32,85,65
65,99,27
32,100,213
